1311-T,東証,TOPIX30,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,670,670,661,665,3730,2478580
2014-06-26,671,673,668,669,9610,6445630
2014-06-25,669,670,668,669,16000,10698560
2014-06-24,667,675,666,671,20230,13574690
2014-06-23,677,677,672,673,4740,3204000
2014-06-20,677,679,675,675,25260,17114140
2014-06-19,664,676,664,674,17550,11787590
2014-06-18,660,662,658,662,6510,4307840
2014-06-17,657,659,656,657,8800,5790840
2014-06-16,663,663,657,659,2220,1465560
2014-06-13,653,663,653,663,23420,15415280
2014-06-12,657,659,652,658,9650,6333170
2014-06-11,652,658,652,658,16450,10780620
2014-06-10,654,658,651,651,12090,7922460
2014-06-09,658,658,656,656,1360,894350
2014-06-06,658,658,654,655,7740,5077550
2014-06-05,656,657,654,655,5090,3340590
2014-06-04,654,655,653,655,14060,9206650
2014-06-03,652,655,652,654,3070,2005560
2014-06-02,642,650,642,649,5400,3494390
2014-05-30,637,640,637,637,170,108400
2014-05-29,635,638,632,637,15670,9928780
2014-05-28,637,647,635,637,61990,39559390
2014-05-27,635,640,635,636,2420,1544490
2014-05-26,635,635,632,634,3790,2405230
2014-05-23,624,631,624,627,42880,27023930
2014-05-22,615,623,615,622,9750,6042230
2014-05-21,611,613,610,613,9010,5509970
2014-05-20,616,617,614,615,2270,1396300
2014-05-19,617,618,614,615,2680,1649760
2014-05-16,623,623,615,618,8720,5383110
2014-05-15,628,629,624,628,2120,1326260
2014-05-14,630,632,630,631,6770,4277300
2014-05-13,629,634,629,632,18640,11741520
2014-05-12,620,626,620,622,2960,1848780
2014-05-09,618,625,618,623,3240,2018130
2014-05-08,620,622,619,620,3380,2093050
2014-05-07,627,627,616,617,9260,5739650
2014-05-02,629,631,628,631,11390,7174330
2014-05-01,621,629,621,628,4760,2971350
2014-04-30,617,622,617,619,3330,2062270
2014-04-28,612,616,612,614,1240,760430
2014-04-25,617,624,615,619,8800,5431780
2014-04-24,623,624,618,618,1970,1223110
2014-04-23,624,624,621,623,10880,6768280
2014-04-22,626,627,620,620,3350,2088940
2014-04-21,623,628,623,624,690,431930
2014-04-18,627,627,621,624,3480,2170690
2014-04-17,622,626,620,623,8400,5237230
2014-04-16,616,622,616,622,14260,8846860
2014-04-15,612,612,607,607,4010,2450740
2014-04-14,601,609,601,605,9620,5826530
2014-04-11,599,608,597,602,16870,10151830
2014-04-10,621,621,609,609,16750,10292170
2014-04-09,619,619,610,614,10870,6693810
2014-04-08,633,633,625,626,6770,4261870
2014-04-07,647,647,637,637,5820,3723170
2014-04-04,649,653,649,651,30730,20029400
2014-04-03,650,655,650,653,21940,14316200
2014-04-02,647,654,647,650,21070,13715530
2014-04-01,645,645,642,644,1360,876300
2014-03-31,636,643,636,643,4980,3187090
2014-03-28,628,632,625,631,5920,3733590
2014-03-27,620,628,612,628,6570,4072420
2014-03-26,620,621,617,618,7040,4355380
2014-03-25,612,617,607,617,81830,49921850
2014-03-24,612,619,612,616,3700,2276970
