1347-T,東証,上場グリチ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,4145,4215,4145,4215,460,1908000
2014-06-26,-,-,-,-,0,0
2014-06-25,-,-,-,-,0,0
2014-06-24,4180,4180,4170,4170,110,458800
2014-06-23,-,-,-,-,0,0
2014-06-20,4200,4200,4200,4200,50,210000
2014-06-19,-,-,-,-,0,0
2014-06-18,-,-,-,-,0,0
2014-06-17,-,-,-,-,0,0
2014-06-16,-,-,-,-,0,0
2014-06-13,-,-,-,-,0,0
2014-06-12,-,-,-,-,0,0
2014-06-11,-,-,-,-,0,0
2014-06-10,-,-,-,-,0,0
2014-06-09,-,-,-,-,0,0
2014-06-06,-,-,-,-,0,0
2014-06-05,-,-,-,-,0,0
2014-06-04,-,-,-,-,0,0
2014-06-03,4040,4040,4040,4040,30,121200
2014-06-02,-,-,-,-,0,0
2014-05-30,3945,3990,3945,3990,160,631800
2014-05-29,-,-,-,-,0,0
2014-05-28,-,-,-,-,0,0
2014-05-27,4020,4020,4020,4020,10,40200
2014-05-26,-,-,-,-,0,0
2014-05-23,-,-,-,-,0,0
2014-05-22,-,-,-,-,0,0
2014-05-21,-,-,-,-,0,0
2014-05-20,-,-,-,-,0,0
2014-05-19,-,-,-,-,0,0
2014-05-16,-,-,-,-,0,0
2014-05-15,-,-,-,-,0,0
2014-05-14,-,-,-,-,0,0
2014-05-13,-,-,-,-,0,0
2014-05-12,-,-,-,-,0,0
2014-05-09,-,-,-,-,0,0
2014-05-08,3990,3990,3990,3990,10,39900
2014-05-07,-,-,-,-,0,0
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,4080,4080,4080,4080,100,408000
2014-04-28,3950,3950,3950,3950,10,39500
2014-04-25,-,-,-,-,0,0
2014-04-24,-,-,-,-,0,0
2014-04-23,-,-,-,-,0,0
2014-04-22,-,-,-,-,0,0
2014-04-21,-,-,-,-,0,0
2014-04-18,-,-,-,-,0,0
2014-04-17,-,-,-,-,0,0
2014-04-16,4040,4040,4040,4040,10,40400
2014-04-15,4045,4045,4035,4035,20,80800
2014-04-14,-,-,-,-,0,0
2014-04-11,-,-,-,-,0,0
2014-04-10,-,-,-,-,0,0
2014-04-09,-,-,-,-,0,0
2014-04-08,-,-,-,-,0,0
2014-04-07,-,-,-,-,0,0
2014-04-04,-,-,-,-,0,0
2014-04-03,4200,4200,4200,4200,20,84000
2014-04-02,4340,4340,4340,4340,10,43400
2014-04-01,-,-,-,-,0,0
2014-03-31,-,-,-,-,0,0
2014-03-28,-,-,-,-,0,0
2014-03-27,-,-,-,-,0,0
2014-03-26,-,-,-,-,0,0
2014-03-25,-,-,-,-,0,0
2014-03-24,-,-,-,-,0,0
2014-03-20,-,-,-,-,0,0
2014-03-19,-,-,-,-,0,0
2014-03-18,-,-,-,-,0,0
2014-03-17,-,-,-,-,0,0
2014-03-14,-,-,-,-,0,0
2014-03-13,-,-,-,-,0,0
2014-03-12,-,-,-,-,0,0
2014-03-11,-,-,-,-,0,0
2014-03-10,-,-,-,-,0,0
2014-03-07,-,-,-,-,0,0
2014-03-06,-,-,-,-,0,0
2014-03-05,-,-,-,-,0,0
2014-03-04,-,-,-,-,0,0
2014-03-03,-,-,-,-,0,0
2014-02-28,-,-,-,-,0,0
2014-02-27,-,-,-,-,0,0
2014-02-26,-,-,-,-,0,0
2014-02-25,-,-,-,-,0,0
2014-02-24,-,-,-,-,0,0
2014-02-21,-,-,-,-,0,0
2014-02-20,-,-,-,-,0,0
2014-02-19,-,-,-,-,0,0
2014-02-18,-,-,-,-,0,0
2014-02-17,-,-,-,-,0,0
2014-02-14,4200,4200,4200,4200,100,420000
2014-02-13,4170,4170,4170,4170,40,166800
2014-02-12,-,-,-,-,0,0
2014-02-10,4115,4230,4115,4230,150,628750
2014-02-07,4095,4105,4095,4105,80,327850
2014-02-06,-,-,-,-,0,0
2014-02-05,-,-,-,-,0,0
2014-02-04,-,-,-,-,0,0
2014-02-03,4250,4250,4165,4165,120,502450
2014-01-31,4360,4360,4300,4300,60,261000
2014-01-30,-,-,-,-,0,0
2014-01-29,4335,4335,4335,4335,100,433500
2014-01-28,4335,4360,4325,4325,40,173750
2014-01-27,-,-,-,-,0,0
2014-01-24,-,-,-,-,0,0
2014-01-23,-,-,-,-,0,0
2014-01-22,4490,4495,4490,4495,30,134750
2014-01-21,4570,4570,4535,4535,120,544900
2014-01-20,-,-,-,-,0,0
2014-01-17,-,-,-,-,0,0
2014-01-16,-,-,-,-,0,0
2014-01-15,4500,4500,4500,4500,10,45000
2014-01-14,4490,4490,4490,4490,100,449000
2014-01-10,-,-,-,-,0,0
2014-01-09,-,-,-,-,0,0
2014-01-08,4540,4540,4540,4540,30,136200
2014-01-07,4455,4455,4455,4455,70,311850
2014-01-06,4555,4555,4460,4475,260,1175450
2013-12-30,4490,4580,4490,4580,190,865950
2013-12-27,4450,4450,4450,4450,10,44500
2013-12-26,4435,4445,4435,4445,100,444400
2013-12-25,4365,4365,4365,4365,100,436500
2013-12-24,4375,4425,4370,4375,960,4214900
2013-12-20,4360,4375,4350,4375,290,1262200
2013-12-19,4385,4405,4380,4380,1570,6893200
2013-12-18,4270,4325,4240,4325,840,3610500
2013-12-17,4300,4300,4245,4250,220,936050
2013-12-16,-,-,-,-,0,0
2013-12-13,-,-,-,-,0,0
2013-12-12,-,-,-,-,0,0
2013-12-11,-,-,-,-,0,0
2013-12-10,4320,4335,4320,4335,30,129900
2013-12-09,4330,4335,4330,4335,160,693050
2013-12-06,4190,4295,4190,4295,40,170050
2013-12-05,4275,4275,4240,4240,50,212700
2013-12-04,4330,4385,4315,4385,140,606600
2013-12-03,4390,4390,4390,4390,240,1053600
2013-12-02,4365,4365,4350,4350,430,1874300
2013-11-29,4355,4380,4340,4360,230,1002950
2013-11-28,4350,4370,4345,4370,560,2436350
2013-11-27,4325,4325,4300,4300,210,905250
2013-11-26,4300,4300,4300,4300,200,860000
2013-11-25,4235,4320,4235,4320,240,1026100
2013-11-22,4290,4305,4290,4305,360,1546900
2013-11-21,4185,4220,4185,4220,160,674700
2013-11-20,4175,4255,4175,4255,60,253850
2013-11-19,4145,4240,4145,4235,70,294700
2013-11-18,4230,4230,4230,4230,50,211500
2013-11-15,4105,4170,4105,4170,230,951800
2013-11-14,4100,4100,4100,4100,30,123000
2013-11-13,4030,4070,4030,4070,100,404750
2013-11-12,3955,4040,3955,4040,290,1170600
2013-11-11,4005,4005,3945,3945,2050,8208300
2013-11-08,-,-,-,-,0,0
2013-11-07,4020,4020,4005,4005,1250,5023500
2013-11-06,3955,4005,3955,4005,400,1592000
2013-11-05,4090,4090,4085,4085,20,81750
2013-11-01,-,-,-,-,0,0
2013-10-31,-,-,-,-,0,0
2013-10-30,4050,4050,4050,4050,380,1539000
2013-10-29,4020,4020,4020,4020,40,160800
2013-10-28,3970,4010,3970,4005,830,3323100
2013-10-25,3970,3970,3970,3970,30,119100
2013-10-24,4055,4055,3970,3970,160,647200
2013-10-23,4000,4000,4000,4000,20,80000
2013-10-22,4005,4005,4005,4005,310,1241550
2013-10-21,-,-,-,-,0,0
2013-10-18,4100,4100,4100,4100,40,164000
2013-10-17,4100,4100,4100,4100,10,41000
2013-10-16,4130,4130,4130,4130,10,41300
