1401-F,福証Q-Board,エムビーエス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,-,-,-,-,0,0
2014-06-26,1600,1600,1600,1600,200,320000
2014-06-25,1545,1545,1545,1545,300,463500
2014-06-24,1500,1500,1500,1500,100,150000
2014-06-23,-,-,-,-,0,0
2014-06-20,-,-,-,-,0,0
2014-06-19,-,-,-,-,0,0
2014-06-18,-,-,-,-,0,0
2014-06-17,1500,1500,1500,1500,100,150000
2014-06-16,-,-,-,-,0,0
2014-06-13,-,-,-,-,0,0
2014-06-12,1500,1500,1500,1500,300,450000
2014-06-11,-,-,-,-,0,0
2014-06-10,-,-,-,-,0,0
2014-06-09,-,-,-,-,0,0
2014-06-06,-,-,-,-,0,0
2014-06-05,1520,1520,1520,1520,200,304000
2014-06-04,-,-,-,-,0,0
2014-06-03,-,-,-,-,0,0
2014-06-02,-,-,-,-,0,0
2014-05-30,-,-,-,-,0,0
2014-05-29,1545,1545,1545,1545,100,154500
2014-05-28,-,-,-,-,0,0
2014-05-27,1500,1500,1500,1500,200,300000
2014-05-26,1550,1550,1550,1550,100,155000
2014-05-23,-,-,-,-,0,0
2014-05-22,1510,1510,1510,1510,100,151000
2014-05-21,-,-,-,-,0,0
2014-05-20,1570,1600,1570,1600,200,317000
2014-05-19,-,-,-,-,0,0
2014-05-16,-,-,-,-,0,0
2014-05-15,-,-,-,-,0,0
2014-05-14,1600,1600,1530,1530,300,470000
2014-05-13,-,-,-,-,0,0
2014-05-12,-,-,-,-,0,0
2014-05-09,-,-,-,-,0,0
2014-05-08,1560,1600,1560,1600,300,472000
2014-05-07,1720,1720,1600,1600,300,493000
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,1650,1840,1650,1800,1800,3130700
2014-04-28,1600,1650,1600,1650,1000,1605000
2014-04-25,1468,1468,1468,1468,200,293600
2014-04-24,1468,1468,1468,1468,100,146800
2014-04-23,-,-,-,-,0,0
2014-04-22,1460,1460,1460,1460,100,146000
2014-04-21,1465,1465,1465,1465,100,146500
2014-04-18,-,-,-,-,0,0
2014-04-17,1470,1470,1470,1470,100,147000
2014-04-16,-,-,-,-,0,0
2014-04-15,-,-,-,-,0,0
2014-04-14,-,-,-,-,0,0
2014-04-11,1380,1450,1380,1450,300,428000
2014-04-10,-,-,-,-,0,0
2014-04-09,-,-,-,-,0,0
2014-04-08,-,-,-,-,0,0
2014-04-07,-,-,-,-,0,0
