1417-T,東証1部,ミライトHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1018,1032,1002,1013,278800,283548100
2014-06-26,1014,1026,1007,1024,180000,183460400
2014-06-25,1009,1014,1004,1010,178800,180704100
2014-06-24,994,1007,983,1002,120900,120780300
2014-06-23,994,1000,991,995,96500,96064600
2014-06-20,998,1004,990,993,122300,121809200
2014-06-19,980,1010,979,1010,312400,313637200
2014-06-18,971,985,961,983,98200,95855700
2014-06-17,966,971,960,965,108600,104828200
2014-06-16,986,998,967,972,173600,170168800
2014-06-13,963,991,963,988,192500,187382000
2014-06-12,968,982,968,978,106400,103893600
2014-06-11,971,985,965,983,119000,116297600
2014-06-10,980,987,970,974,77600,75882700
2014-06-09,980,980,967,976,64900,63263100
2014-06-06,978,989,965,980,123800,121390500
2014-06-05,980,990,973,979,117800,115810400
2014-06-04,972,980,971,980,67500,65992300
2014-06-03,968,978,959,972,104600,101202600
2014-06-02,960,969,955,965,123000,118371200
2014-05-30,954,970,952,955,118900,114080200
2014-05-29,960,965,953,962,88300,84701400
2014-05-28,965,977,958,971,91200,88480400
2014-05-27,968,968,952,955,109300,104660300
2014-05-26,979,983,962,972,116300,112915000
2014-05-23,970,972,953,960,104400,100445700
2014-05-22,959,984,958,971,194300,188813700
2014-05-21,950,956,943,951,87300,82944900
2014-05-20,950,966,941,952,217500,208462500
2014-05-19,947,952,935,942,131300,123858900
2014-05-16,945,960,933,941,140500,132241500
2014-05-15,952,960,946,959,167000,159627800
2014-05-14,950,965,941,955,180400,172497900
2014-05-13,956,961,946,953,190900,181849000
2014-05-12,895,967,888,957,607600,572655000
2014-05-09,874,883,861,863,186400,162246300
2014-05-08,873,885,870,873,87200,76231700
2014-05-07,900,900,870,873,146800,128936200
2014-05-02,898,907,896,904,54300,48944600
2014-05-01,903,904,890,903,141800,127515700
2014-04-30,897,902,894,898,81100,72865900
2014-04-28,894,899,886,893,76400,68262900
2014-04-25,890,897,882,897,143600,127680000
2014-04-24,887,899,878,885,130000,115269200
2014-04-23,885,900,883,892,100400,89669400
2014-04-22,882,893,882,882,59900,53154700
2014-04-21,900,906,879,880,203300,180705500
2014-04-18,909,910,900,907,55700,50364200
2014-04-17,893,904,892,900,91000,81830700
2014-04-16,863,892,863,892,94300,83216400
2014-04-15,863,872,863,865,78700,68187600
2014-04-14,865,877,862,863,96200,83409900
2014-04-11,860,868,857,862,118300,102073600
2014-04-10,875,886,869,870,96200,84288500
2014-04-09,880,880,862,869,156200,135974400
2014-04-08,897,902,888,889,125700,112219800
2014-04-07,899,904,895,903,113600,102303500
2014-04-04,896,910,896,904,124500,112550800
2014-04-03,904,915,900,902,140100,127025600
2014-04-02,912,915,898,901,154500,140030000
2014-04-01,898,910,896,907,128800,116413700
2014-03-31,891,906,884,904,236500,211587400
2014-03-28,873,878,860,878,266500,231897700
2014-03-27,863,888,858,884,255000,222132200
2014-03-26,876,897,872,887,520300,458672000
2014-03-25,890,893,864,876,391800,344847600
2014-03-24,894,918,883,890,372700,333485600
2014-03-20,894,906,879,879,243700,216279000
2014-03-19,920,920,896,900,128000,115887900
2014-03-18,902,917,901,913,87100,79312400
2014-03-17,899,904,886,890,189400,169510000
2014-03-14,914,926,902,904,324900,296721800
2014-03-13,944,951,938,944,100600,95074200
2014-03-12,968,968,943,945,193300,184476200
2014-03-11,971,974,963,970,152700,147972600
2014-03-10,973,979,965,971,189300,184247800
2014-03-07,959,979,959,973,229300,222651200
2014-03-06,936,958,936,956,221900,210662800
2014-03-05,935,941,931,934,209700,196143300
2014-03-04,935,937,926,932,227700,211972800
2014-03-03,945,945,923,936,242400,226023700
2014-02-28,959,959,944,952,206100,195956700
2014-02-27,956,967,941,959,180100,172525000
2014-02-26,959,963,945,958,203700,195092600
2014-02-25,951,961,946,961,252900,241296000
2014-02-24,949,965,936,951,239200,227785300
2014-02-21,930,950,926,947,196000,184121400
2014-02-20,926,932,916,918,160700,148184300
2014-02-19,922,930,912,926,133300,123100500
2014-02-18,912,930,909,922,259400,239017100
2014-02-17,891,914,890,912,137700,124228200
2014-02-14,900,909,888,894,189400,170247900
2014-02-13,900,908,897,900,190100,171324200
2014-02-12,891,904,889,902,279500,251021000
2014-02-10,907,907,876,889,171600,152885500
2014-02-07,920,920,895,902,379000,343053300
2014-02-06,839,860,837,849,135100,114504900
2014-02-05,844,853,824,840,203000,170332800
2014-02-04,858,863,835,835,297600,250308600
2014-02-03,893,897,877,878,114900,101702800
2014-01-31,896,903,889,902,235800,211561800
2014-01-30,900,904,887,894,195900,175081100
2014-01-29,900,927,900,926,70500,64628300
2014-01-28,901,909,891,891,203700,182882500
2014-01-27,917,922,900,901,198000,179814400
2014-01-24,937,943,926,930,269700,251877500
2014-01-23,974,978,959,960,147000,142014000
2014-01-22,973,975,960,972,115900,112253000
2014-01-21,979,979,965,973,120400,117288800
2014-01-20,1000,1000,973,979,172800,170039200
2014-01-17,975,997,973,996,284500,281317300
2014-01-16,959,978,955,971,352700,342420700
2014-01-15,925,956,924,950,243700,229779300
2014-01-14,932,943,924,929,190700,178224100
2014-01-10,948,949,931,947,244100,229645300
2014-01-09,956,958,948,957,203600,194021500
2014-01-08,935,954,933,954,174900,165612700
2014-01-07,929,936,919,928,210900,195932600
2014-01-06,930,938,926,932,226500,211023700
2013-12-30,930,938,925,935,152900,142701500
2013-12-27,922,926,910,926,196700,181238700
2013-12-26,892,918,891,915,227800,206458900
2013-12-25,884,891,879,890,303500,269510300
2013-12-24,887,889,880,883,221300,195713200
2013-12-20,883,887,876,887,199100,175569100
2013-12-19,894,897,881,889,255900,227665800
2013-12-18,878,892,875,890,296700,263174500
2013-12-17,867,881,867,879,140600,123229000
2013-12-16,867,873,860,867,177600,154095200
2013-12-13,880,885,866,873,416400,364849700
2013-12-12,875,883,870,880,214400,188467500
2013-12-11,876,880,863,875,216100,188302100
2013-12-10,865,880,850,876,281400,245362000
2013-12-09,849,869,843,869,293000,252346200
2013-12-06,807,843,806,837,262200,217958800
2013-12-05,834,835,802,806,545600,444661400
2013-12-04,851,854,832,834,210900,177169600
2013-12-03,872,874,850,850,250200,214894900
2013-12-02,871,879,863,865,205700,178968900
2013-11-29,870,878,868,870,110200,96068400
2013-11-28,868,876,867,868,106800,93029600
2013-11-27,867,875,862,865,110100,95652200
2013-11-26,880,884,868,869,150000,131003900
2013-11-25,890,891,883,887,91100,80838500
2013-11-22,884,891,882,883,87000,77070500
2013-11-21,888,898,883,885,242200,215604600
2013-11-20,885,891,881,887,85700,75944900
2013-11-19,891,895,882,889,131600,116978800
2013-11-18,884,897,878,897,177000,157333800
2013-11-15,860,885,858,876,332900,291614100
2013-11-14,838,861,838,858,138000,117763500
2013-11-13,855,857,841,842,96800,81992500
2013-11-12,848,856,843,850,137400,116683700
2013-11-11,864,867,848,850,86300,73799500
2013-11-08,850,859,845,854,122000,103911400
2013-11-07,880,881,862,865,154400,134529700
2013-11-06,871,880,861,878,135900,118751500
2013-11-05,870,879,865,874,214100,186866100
2013-11-01,870,873,858,869,185900,161003800
2013-10-31,864,876,863,871,185400,161403400
2013-10-30,850,869,844,866,253200,217558300
2013-10-29,851,867,839,862,217900,186386500
2013-10-28,849,858,844,854,141600,120518700
2013-10-25,854,854,835,841,161700,136153200
2013-10-24,835,849,830,847,143200,120153000
2013-10-23,858,864,835,838,165000,139600300
2013-10-22,846,859,846,857,107900,92167800
2013-10-21,850,853,841,846,131900,111638400
2013-10-18,847,850,832,842,188100,158265900
2013-10-17,850,854,842,847,179500,152116100
2013-10-16,846,851,837,850,259300,219452100
2013-10-15,842,849,833,845,259000,218115800
2013-10-11,838,847,833,842,146000,122328700
2013-10-10,827,844,816,833,208700,172856500
2013-10-09,816,836,805,834,229200,188350300
2013-10-08,810,822,802,817,374900,304738800
2013-10-07,840,843,814,816,312700,258041900
2013-10-04,846,856,833,847,262600,222465000
2013-10-03,840,861,832,854,471000,400727600
2013-10-02,860,864,836,840,186500,158029400
2013-10-01,842,860,837,859,300100,256125200
2013-09-30,833,843,831,837,291400,243957000
2013-09-27,835,841,826,837,204600,170476200
2013-09-26,825,839,814,839,224000,184839300
2013-09-25,855,855,830,835,225000,187943900
2013-09-24,848,848,837,846,193700,163307800
2013-09-20,845,862,844,855,215600,183197000
2013-09-19,833,850,828,846,241000,202172600
2013-09-18,811,833,810,828,273100,225752500
2013-09-17,818,828,807,813,264300,216216000
2013-09-13,806,823,805,818,310100,251729400
2013-09-12,805,813,798,806,260900,210229800
2013-09-11,830,833,800,805,334000,271896700
2013-09-10,783,824,783,819,372700,301368000
2013-09-09,795,795,765,778,514500,399391600
2013-09-06,773,779,754,760,274500,208695600
2013-09-05,784,791,772,775,202200,157438900
2013-09-04,783,785,774,782,286900,223544700
2013-09-03,791,801,785,791,246000,195056400
2013-09-02,776,798,776,790,306800,241765700
2013-08-30,787,793,774,776,277500,216516200
2013-08-29,786,794,781,792,214300,169060500
2013-08-28,793,796,780,794,228200,179791600
2013-08-27,809,822,801,803,248300,201325300
2013-08-26,830,830,811,816,213900,174804500
2013-08-23,836,837,824,829,252800,209871600
2013-08-22,835,838,821,834,188600,156239600
2013-08-21,830,844,825,838,214600,179027500
2013-08-20,847,854,824,827,220200,184255400
2013-08-19,846,864,844,859,101400,86777200
2013-08-16,845,860,842,849,136500,116025000
2013-08-15,865,874,851,854,133800,115299700
2013-08-14,855,871,851,868,190400,164267000
2013-08-13,839,859,839,858,181900,154367800
2013-08-12,825,838,821,838,296300,245944600
2013-08-09,821,840,821,830,350600,290228100
2013-08-08,873,874,820,827,577900,487272300
2013-08-07,891,910,871,873,497700,441428500
2013-08-06,953,958,936,953,75700,71748800
2013-08-05,964,969,951,957,102500,98534300
2013-08-02,946,964,935,963,157200,149881200
2013-08-01,942,945,918,945,157200,147171800
2013-07-31,911,922,896,908,123200,112110400
2013-07-30,891,921,883,914,176600,159151600
2013-07-29,929,931,892,897,205200,186197600
2013-07-26,932,938,916,928,186300,172035200
2013-07-25,960,963,938,943,149800,142005100
2013-07-24,955,958,946,948,154700,147258100
2013-07-23,933,953,930,949,138400,130882600
2013-07-22,937,944,925,929,162200,151161500
2013-07-19,965,974,930,933,360500,339345100
2013-07-18,970,976,955,958,267000,256932200
2013-07-17,947,985,941,980,287700,277367100
2013-07-16,942,961,934,945,206800,195710600
2013-07-12,954,968,940,943,198600,188847600
2013-07-11,939,954,934,948,278300,262724700
2013-07-10,931,943,928,935,190900,178735900
2013-07-09,914,925,905,924,192400,176139600
2013-07-08,940,940,908,908,136500,125857100
2013-07-05,924,932,918,923,168100,155509100
2013-07-04,920,939,919,929,220400,205154800
2013-07-03,916,927,910,917,151800,139532300
2013-07-02,884,916,883,916,244500,220963500
2013-07-01,875,885,868,877,241300,211294300
2013-06-28,851,890,851,890,332500,291839900
2013-06-27,840,856,818,833,676600,561118700
2013-06-26,898,899,844,848,327700,282825000
2013-06-25,907,907,872,891,213000,188435800
2013-06-24,919,923,891,898,195700,177010400
2013-06-21,898,907,871,904,283300,252456100
