1548-T,東証,上場チャイナ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1025,1028,1009,1012,13270,13624020
2014-06-26,1022,1037,1021,1037,200,204540
2014-06-25,1029,1041,1029,1029,30,30990
2014-06-24,1030,1042,1030,1042,1020,1062720
2014-06-23,1039,1042,1039,1041,5940,6187960
2014-06-20,1018,1042,1017,1042,2190,2254490
2014-06-19,1023,1041,1023,1038,2670,2771660
2014-06-18,1019,1042,1019,1042,5260,5367090
2014-06-17,1018,1018,1018,1018,1000,1018000
2014-06-16,1026,1040,1026,1040,11200,11635800
2014-06-13,1025,1034,1025,1034,4480,4617540
2014-06-12,1026,1040,1025,1027,5860,6032420
2014-06-11,1038,1045,1038,1045,960,1002490
2014-06-10,1030,1037,1025,1037,640,661370
2014-06-09,1030,1034,1030,1034,280,288730
2014-06-06,1025,1032,1025,1030,420,432200
2014-06-05,1024,1024,1015,1018,1040,1055760
2014-06-04,1022,1023,1011,1011,1320,1337460
2014-06-03,993,1021,993,1017,820,828330
2014-06-02,1014,1014,1007,1014,290,293430
2014-05-30,1004,1004,1003,1004,390,391540
2014-05-29,989,1002,989,999,280,279050
2014-05-28,1002,1003,990,1003,440,438790
2014-05-27,1000,1000,992,992,450,446840
2014-05-26,997,1020,992,997,2530,2533890
2014-05-23,988,995,988,995,750,741420
2014-05-22,979,994,976,988,9920,9747820
2014-05-21,969,974,968,974,1210,1178370
2014-05-20,981,981,971,971,2370,2315480
2014-05-19,971,974,955,966,710,684150
2014-05-16,970,985,970,982,880,858120
2014-05-15,989,989,975,975,170,167290
2014-05-14,972,990,954,990,1200,1172690
2014-05-13,969,975,969,974,1110,1078070
2014-05-12,953,972,950,972,720,687060
2014-05-09,951,964,951,955,2150,2054440
2014-05-08,960,968,960,968,1140,1094730
2014-05-07,990,990,950,955,6270,6094270
2014-05-02,983,988,974,980,2820,2761500
2014-05-01,976,976,965,974,920,896560
2014-04-30,988,988,968,968,1920,1887260
2014-04-28,973,986,967,975,1190,1157460
2014-04-25,986,986,972,973,5150,5055500
2014-04-24,985,989,985,987,670,660610
2014-04-23,1004,1004,984,985,1120,1110000
2014-04-22,1003,1003,989,989,950,947760
2014-04-21,1001,1003,1001,1003,360,361000
2014-04-18,1011,1017,1001,1001,1220,1233170
2014-04-17,1004,1004,987,1000,10060,10058590
2014-04-16,987,990,987,990,820,809370
2014-04-15,1013,1013,994,994,2010,2012710
2014-04-14,1000,1006,1000,1004,1180,1183600
2014-04-11,1018,1019,1004,1004,2140,2175070
2014-04-10,1029,1029,1009,1009,1590,1633170
2014-04-09,1019,1020,1001,1001,1330,1345350
2014-04-08,1002,1018,989,1018,1720,1724040
2014-04-07,1007,1007,1003,1004,2130,2140330
2014-04-04,1011,1023,1011,1023,410,414630
2014-04-03,1005,1022,1001,1015,1810,1832380
2014-04-02,999,1016,991,996,1100,1100940
2014-04-01,1003,1010,999,999,1900,1908490
2014-03-31,994,1000,990,996,2750,2740100
2014-03-28,980,985,980,985,1160,1140230
2014-03-27,965,977,957,977,1050,1013410
2014-03-26,967,978,966,978,1430,1388140
2014-03-25,957,961,945,961,630,601400
2014-03-24,924,957,922,957,7410,6905790
2014-03-20,923,925,909,909,810,746600
2014-03-19,925,925,905,906,1680,1548860
2014-03-18,912,921,911,921,1570,1438290
2014-03-17,908,915,907,907,990,900890
2014-03-14,928,928,901,912,4880,4458350
2014-03-13,930,942,930,938,440,410330
2014-03-12,942,942,928,928,2090,1956520
2014-03-11,945,957,945,950,1440,1369520
2014-03-10,957,961,945,945,1510,1437570
2014-03-07,979,979,960,966,5800,5591740
2014-03-06,961,968,957,968,1130,1088540
2014-03-05,972,972,961,964,830,802640
2014-03-04,955,968,953,959,2680,2564220
2014-03-03,968,968,951,961,1660,1594490
2014-02-28,978,983,970,975,1870,1829190
2014-02-27,960,978,960,978,2730,2637880
2014-02-26,969,969,940,958,5340,5130850
2014-02-25,988,988,974,974,650,641720
2014-02-24,998,998,963,963,1520,1483250
2014-02-21,995,1000,995,998,230,229550
2014-02-20,998,1002,975,975,1950,1923640
2014-02-19,997,997,997,997,690,687930
2014-02-18,997,999,988,998,2520,2498990
2014-02-17,979,992,979,992,430,423890
2014-02-14,970,983,970,977,11340,11045390
2014-02-13,990,990,970,970,2640,2606590
2014-02-12,978,995,976,989,6930,6801840
2014-02-10,953,957,951,953,1910,1824780
2014-02-07,946,948,946,948,200,189230
2014-02-06,937,937,928,930,1630,1523770
2014-02-05,948,948,927,928,1100,1031100
2014-02-04,948,948,925,927,2180,2051190
2014-02-03,955,962,955,962,1300,1243450
2014-01-31,970,973,963,963,710,688160
2014-01-30,972,972,950,962,2200,2121190
2014-01-29,993,997,984,997,580,575840
2014-01-28,968,997,956,971,2790,2710160
2014-01-27,970,971,940,971,4890,4706340
2014-01-24,1000,1014,995,1000,1930,1931490
2014-01-23,1042,1048,1020,1029,610,631020
2014-01-22,1025,1040,1025,1040,720,743460
2014-01-21,1009,1039,1009,1037,2090,2142830
2014-01-20,1014,1026,1009,1009,480,486700
2014-01-17,1030,1035,1015,1029,11820,12169110
2014-01-16,1036,1037,1028,1030,1260,1298230
2014-01-15,1021,1035,1021,1022,1340,1370710
2014-01-14,1012,1020,1000,1015,6420,6478510
2014-01-10,1035,1040,1022,1037,2090,2151560
2014-01-09,1050,1050,1040,1041,2470,2576540
2014-01-08,1044,1051,1033,1051,4660,4853310
2014-01-07,1030,1049,1030,1032,4370,4510370
2014-01-06,1064,1064,1033,1040,4480,4710110
2013-12-30,1108,1121,1093,1107,9240,10290710
2013-12-27,1097,1105,1089,1105,190,208730
2013-12-26,1100,1106,1100,1103,7220,7962800
2013-12-25,1102,1107,1089,1089,3620,3978030
2013-12-24,1074,1100,1070,1100,6590,7123030
2013-12-20,1097,1097,1070,1077,4310,4692810
2013-12-19,1108,1121,1098,1103,1560,1727570
2013-12-18,1085,1093,1081,1093,1880,2039080
2013-12-17,1098,1099,1092,1094,3660,4005200
2013-12-16,1095,1110,1082,1082,2080,2269840
2013-12-13,1099,1110,1091,1107,2400,2644000
2013-12-12,1096,1098,1064,1093,5000,5456420
2013-12-11,1140,1140,1101,1101,2630,2919510
2013-12-10,1141,1148,1136,1140,1160,1325590
2013-12-09,1146,1157,1121,1140,4680,5360920
2013-12-06,1110,1134,1109,1134,4780,5353840
2013-12-05,1137,1137,1118,1118,1670,1875010
2013-12-04,1128,1139,1115,1137,4720,5327970
2013-12-03,1149,1153,1141,1149,1480,1697500
2013-12-02,1144,1157,1130,1143,1950,2230350
2013-11-29,1135,1136,1126,1136,650,735670
2013-11-28,1130,1147,1130,1140,3760,4269060
2013-11-27,1108,1127,1107,1121,7590,8435220
2013-11-26,1119,1127,1105,1120,3150,3522670
2013-11-25,1120,1163,1104,1130,5530,6219100
2013-11-22,1116,1133,1116,1118,5960,6684250
2013-11-21,1115,1115,1093,1101,6260,6928010
2013-11-20,1118,1124,1109,1117,6050,6730160
2013-11-19,1099,1123,1091,1109,16960,18763660
2013-11-18,1057,1098,1054,1098,10720,11444620
2013-11-15,1010,1043,1010,1040,7060,7284270
2013-11-14,997,1007,997,1004,1660,1661790
2013-11-13,1019,1019,994,994,1890,1905110
2013-11-12,1006,1028,1006,1028,4240,4336510
2013-11-11,999,1004,991,998,50400,50587170
2013-11-08,984,999,984,999,870,856980
2013-11-07,1010,1010,980,996,1620,1621470
2013-11-06,1010,1010,1010,1010,100,101000
2013-11-05,1019,1026,1006,1016,1790,1814120
2013-11-01,1010,1020,1006,1020,1790,1810780
2013-10-31,1008,1017,1007,1007,2210,2228480
2013-10-30,988,1002,986,996,8470,8451870
2013-10-29,971,987,971,981,4720,4608660
2013-10-28,970,976,944,961,3190,3054070
2013-10-25,983,983,958,958,2910,2823530
2013-10-24,1002,1005,977,992,1830,1801120
2013-10-23,1019,1022,1002,1002,1180,1202020
2013-10-22,1016,1017,1009,1017,4080,4141040
2013-10-21,1016,1021,1011,1015,7280,7391330
2013-10-18,1017,1023,1011,1011,480,490770
2013-10-17,1029,1029,1012,1014,1840,1878960
2013-10-16,1024,1024,1009,1013,2160,2201740
2013-10-15,1022,1027,1022,1022,1640,1676190
2013-10-11,1008,1021,1007,1019,1450,1465150
2013-10-10,991,1000,986,994,620,614130
2013-10-09,986,986,984,986,760,749250
2013-10-08,973,1008,973,1008,6020,5986930
2013-10-07,990,992,979,979,720,712560
2013-10-04,990,996,982,991,3590,3561200
2013-10-03,980,992,980,992,1520,1496150
