1549-T,東証,上場インド,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1205,1210,1195,1204,2760,3314480
2014-06-26,1205,1209,1203,1203,3300,3975440
2014-06-25,1224,1224,1208,1209,1040,1262440
2014-06-24,1208,1219,1201,1219,520,629090
2014-06-23,1210,1217,1200,1213,5650,6831540
2014-06-20,1215,1215,1206,1209,9380,11367980
2014-06-19,1227,1227,1213,1219,25440,30916820
2014-06-18,1215,1235,1215,1232,3690,4500090
2014-06-17,1211,1220,1211,1212,6740,8169100
2014-06-16,1230,1230,1211,1219,15720,19105880
2014-06-13,1245,1245,1230,1240,17910,22189380
2014-06-12,1240,1244,1235,1240,7640,9477580
2014-06-11,1238,1262,1236,1260,10210,12669530
2014-06-10,1260,1265,1237,1241,12340,15468150
2014-06-09,1239,1244,1229,1244,6510,8047080
2014-06-06,1210,1220,1210,1216,3590,4355040
2014-06-05,1215,1215,1193,1193,5370,6463800
2014-06-04,1226,1226,1203,1205,2040,2469090
2014-06-03,1190,1234,1190,1208,4840,5826840
2014-06-02,1171,1190,1171,1190,3220,3788000
2014-05-30,1186,1189,1175,1189,10020,11852850
2014-05-29,1191,1207,1182,1190,2670,3179730
2014-05-28,1202,1205,1191,1193,9250,11073400
2014-05-27,1230,1246,1190,1201,54660,66978690
2014-05-26,1210,1239,1200,1230,22390,27235910
2014-05-23,1194,1200,1186,1199,12880,15423560
2014-05-22,1188,1194,1179,1186,8930,10608380
2014-05-21,1191,1191,1166,1172,1440,1687770
2014-05-20,1188,1194,1172,1185,9330,10994360
2014-05-19,1168,1198,1150,1188,19010,22254860
2014-05-16,1150,1218,1139,1198,8400,9939110
2014-05-15,1156,1160,1141,1149,710,819640
2014-05-14,1160,1165,1136,1163,1790,2070100
2014-05-13,1144,1150,1127,1150,5350,6128180
2014-05-12,1088,1120,1088,1094,2330,2572470
2014-05-09,1099,1099,1079,1079,190,207630
2014-05-08,1080,1090,1080,1080,1260,1362840
2014-05-07,1099,1099,1085,1085,340,370080
2014-05-02,1083,1092,1081,1092,2690,2914240
2014-05-01,1093,1093,1080,1080,140,151760
2014-04-30,1086,1093,1085,1093,370,401790
2014-04-28,1111,1111,1100,1100,170,188510
2014-04-25,1120,1120,1120,1120,10,11200
2014-04-24,1120,1120,1110,1110,20,22300
2014-04-23,1115,1120,1115,1120,100,111550
2014-04-22,1120,1120,1119,1119,60,67170
2014-04-21,1111,1118,1111,1118,770,857630
2014-04-18,1100,1100,1100,1100,10,11000
2014-04-17,1096,1101,1095,1097,250,274050
2014-04-16,1104,1104,1104,1104,10,11040
2014-04-15,1104,1104,1096,1096,100,109970
2014-04-14,1084,1091,1084,1087,2190,2379440
2014-04-11,1118,1123,1099,1105,280,312890
2014-04-10,1115,1115,1100,1100,20,22150
2014-04-09,1124,1124,1101,1101,980,1098200
2014-04-08,1085,1114,1085,1114,490,535700
2014-04-07,1099,1110,1091,1091,450,494570
2014-04-04,1134,1134,1080,1110,2900,3201120
2014-04-03,1134,1134,1120,1133,250,283170
2014-04-02,1118,1125,1117,1125,4290,4807430
2014-04-01,1105,1105,1105,1105,60,66300
2014-03-31,1083,1119,1083,1104,2050,2250750
2014-03-28,1087,1087,1081,1085,300,325290
2014-03-27,1090,1093,1085,1088,2100,2286410
2014-03-26,1088,1095,1088,1092,5010,5474670
2014-03-25,1085,1085,1078,1079,720,777150
2014-03-24,1077,1080,1075,1080,820,882970
2014-03-20,1067,1067,1059,1059,190,202630
2014-03-19,1079,1079,1067,1067,130,140150
2014-03-18,1058,1080,1048,1080,680,724080
2014-03-17,1049,1060,1046,1058,710,746850
2014-03-14,1054,1054,1054,1054,130,137020
2014-03-13,1070,1072,1057,1071,520,554070
2014-03-12,1065,1080,1065,1080,1830,1961800
2014-03-11,1080,1080,1066,1076,530,568200
2014-03-10,1073,1073,1061,1073,1340,1428950
2014-03-07,1051,1080,1051,1070,1150,1215060
2014-03-06,1035,1049,1035,1049,460,479800
2014-03-05,1029,1039,1026,1035,4040,4164400
2014-03-04,1003,1023,1002,1020,540,544290
2014-03-03,1009,1024,1009,1024,1010,1021280
2014-02-28,1026,1038,1019,1019,440,450270
2014-02-27,1031,1031,1008,1026,240,244200
2014-02-26,1025,1025,1025,1025,320,328000
2014-02-25,1026,1035,1014,1033,720,741270
2014-02-24,1016,1019,1001,1015,1130,1149570
2014-02-21,1018,1018,1018,1018,20,20360
2014-02-20,1001,1001,1001,1001,10,10010
