1567-T,東証,MXSリスク5,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,-,-,-,-,0,0
2014-06-26,-,-,-,-,0,0
2014-06-25,-,-,-,-,0,0
2014-06-24,1112,1112,1111,1111,50,55560
2014-06-23,1129,1129,1129,1129,60,67740
2014-06-20,-,-,-,-,0,0
2014-06-19,-,-,-,-,0,0
2014-06-18,-,-,-,-,0,0
2014-06-17,-,-,-,-,0,0
2014-06-16,1118,1118,1118,1118,10,11180
2014-06-13,-,-,-,-,0,0
2014-06-12,-,-,-,-,0,0
2014-06-11,-,-,-,-,0,0
2014-06-10,-,-,-,-,0,0
2014-06-09,1098,1098,1098,1098,10,10980
2014-06-06,-,-,-,-,0,0
2014-06-05,-,-,-,-,0,0
2014-06-04,1104,1104,1104,1104,100,110400
2014-06-03,1126,1126,1126,1126,150,168900
2014-06-02,-,-,-,-,0,0
2014-05-30,-,-,-,-,0,0
2014-05-29,-,-,-,-,0,0
2014-05-28,-,-,-,-,0,0
2014-05-27,-,-,-,-,0,0
2014-05-26,-,-,-,-,0,0
2014-05-23,1112,1112,1094,1110,50,55400
2014-05-22,1113,1113,1113,1113,70,77910
2014-05-21,-,-,-,-,0,0
2014-05-20,-,-,-,-,0,0
2014-05-19,-,-,-,-,0,0
2014-05-16,-,-,-,-,0,0
2014-05-15,-,-,-,-,0,0
2014-05-14,-,-,-,-,0,0
2014-05-13,-,-,-,-,0,0
2014-05-12,-,-,-,-,0,0
2014-05-09,-,-,-,-,0,0
2014-05-08,-,-,-,-,0,0
2014-05-07,-,-,-,-,0,0
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,-,-,-,-,0,0
2014-04-28,-,-,-,-,0,0
2014-04-25,1099,1099,1099,1099,10,10990
2014-04-24,-,-,-,-,0,0
2014-04-23,-,-,-,-,0,0
2014-04-22,-,-,-,-,0,0
2014-04-21,1093,1093,1093,1093,230,251390
2014-04-18,1100,1100,1092,1092,80,87650
2014-04-17,-,-,-,-,0,0
2014-04-16,-,-,-,-,0,0
2014-04-15,-,-,-,-,0,0
2014-04-14,1103,1105,1103,1105,70,77230
2014-04-11,-,-,-,-,0,0
2014-04-10,-,-,-,-,0,0
2014-04-09,1105,1105,1105,1105,10,11050
2014-04-08,-,-,-,-,0,0
2014-04-07,-,-,-,-,0,0
2014-04-04,1105,1105,1105,1105,60,66300
2014-04-03,-,-,-,-,0,0
2014-04-02,1105,1105,1105,1105,10,11050
2014-04-01,-,-,-,-,0,0
2014-03-31,1100,1100,1100,1100,20,22000
2014-03-28,-,-,-,-,0,0
2014-03-27,-,-,-,-,0,0
2014-03-26,1119,1119,1113,1113,30,33450
2014-03-25,-,-,-,-,0,0
2014-03-24,1092,1092,1092,1092,10,10920
2014-03-20,-,-,-,-,0,0
2014-03-19,-,-,-,-,0,0
2014-03-18,-,-,-,-,0,0
2014-03-17,-,-,-,-,0,0
2014-03-14,1109,1109,1109,1109,100,110900
2014-03-13,-,-,-,-,0,0
2014-03-12,-,-,-,-,0,0
2014-03-11,-,-,-,-,0,0
2014-03-10,1124,1124,1124,1124,20,22480
2014-03-07,1127,1127,1127,1127,10,11270
2014-03-06,1114,1114,1114,1114,10,11140
2014-03-05,-,-,-,-,0,0
2014-03-04,-,-,-,-,0,0
2014-03-03,1100,1100,1100,1100,30,33000
2014-02-28,1100,1100,1100,1100,10,11000
2014-02-27,-,-,-,-,0,0
2014-02-26,-,-,-,-,0,0
2014-02-25,-,-,-,-,0,0
2014-02-24,-,-,-,-,0,0
2014-02-21,-,-,-,-,0,0
2014-02-20,-,-,-,-,0,0
2014-02-19,-,-,-,-,0,0
2014-02-18,1100,1100,1100,1100,50,55000
2014-02-17,1115,1115,1113,1113,50,55690
2014-02-14,-,-,-,-,0,0
2014-02-13,-,-,-,-,0,0
2014-02-12,1120,1120,1120,1120,10,11200
2014-02-10,1130,1130,1130,1130,20,22600
2014-02-07,-,-,-,-,0,0
2014-02-06,-,-,-,-,0,0
2014-02-05,-,-,-,-,0,0
2014-02-04,1104,1104,1104,1104,10,11040
2014-02-03,-,-,-,-,0,0
2014-01-31,1124,1124,1124,1124,10,11240
2014-01-30,1105,1105,1105,1105,20,22100
2014-01-29,-,-,-,-,0,0
2014-01-28,1123,1124,1123,1124,310,348390
2014-01-27,1117,1117,1117,1117,30,33510
2014-01-24,-,-,-,-,0,0
2014-01-23,1135,1135,1135,1135,80,90800
2014-01-22,-,-,-,-,0,0
2014-01-21,1123,1135,1123,1135,20,22580
2014-01-20,1125,1134,1125,1134,210,236340
2014-01-17,1120,1159,1119,1159,400,452630
2014-01-16,1122,1142,1121,1142,100,112360
2014-01-15,1140,1140,1140,1140,10,11400
2014-01-14,1120,1144,1120,1144,100,112240
2014-01-10,1131,1144,1126,1144,120,136710
2014-01-09,1128,1131,1128,1131,20,22590
2014-01-08,1133,1133,1121,1128,160,180080
2014-01-07,-,-,-,-,0,0
2014-01-06,1123,1124,1121,1121,300,336800
2013-12-30,1147,1147,1147,1147,10,11470
2013-12-27,1142,1142,1142,1142,10,11420
2013-12-26,-,-,-,-,0,0
2013-12-25,-,-,-,-,0,0
2013-12-24,1115,1115,1115,1115,10,11150
2013-12-20,1136,1136,1136,1136,30,34080
2013-12-19,-,-,-,-,0,0
2013-12-18,1123,1133,1123,1133,40,45220
2013-12-17,1123,1123,1123,1123,100,112300
2013-12-16,1133,1133,1133,1133,20,22660
2013-12-13,1120,1120,1120,1120,20,22400
2013-12-12,1126,1129,1126,1129,230,259510
2013-12-11,-,-,-,-,0,0
2013-12-10,-,-,-,-,0,0
2013-12-09,-,-,-,-,0,0
2013-12-06,1106,1109,1106,1109,50,55330
2013-12-05,1109,1109,1109,1109,220,243980
2013-12-04,1129,1132,1129,1132,70,79090
2013-12-03,1125,1130,1125,1130,10030,11293900
2013-12-02,-,-,-,-,0,0
2013-11-29,-,-,-,-,0,0
2013-11-28,-,-,-,-,0,0
2013-11-27,-,-,-,-,0,0
2013-11-26,-,-,-,-,0,0
2013-11-25,-,-,-,-,0,0
2013-11-22,-,-,-,-,0,0
2013-11-21,-,-,-,-,0,0
2013-11-20,1116,1123,1116,1123,20,22390
2013-11-19,-,-,-,-,0,0
2013-11-18,-,-,-,-,0,0
