1568-T,東証,TPX2倍,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,21170,21220,20580,20880,417330,8704263600
2014-06-26,21310,21370,21140,21230,160960,3421823500
2014-06-25,21220,21350,21120,21120,141560,3007465100
2014-06-24,21160,21500,21000,21340,194700,4140329300
2014-06-23,21520,21560,21260,21310,184880,3957654600
2014-06-20,21410,21560,21230,21380,247740,5301624700
2014-06-19,20780,21420,20740,21370,665420,14103278600
2014-06-18,20450,20760,20400,20730,246410,5085487100
2014-06-17,20320,20500,20280,20340,208640,4255223200
2014-06-16,20500,20500,20070,20220,359710,7297308600
2014-06-13,20050,20630,20000,20550,320210,6510918200
2014-06-12,20130,20400,19970,20350,254560,5136849100
2014-06-11,20050,20410,20050,20410,311090,6300876400
2014-06-10,20300,20490,19970,20040,290630,5879917700
2014-06-09,20510,20560,20260,20270,156430,3191725600
2014-06-06,20340,20430,20190,20250,234450,4759971200
2014-06-05,20310,20400,20110,20240,218990,4433487800
2014-06-04,20160,20230,20010,20210,223150,4493718400
2014-06-03,20160,20220,20030,20070,343190,6909821300
2014-06-02,19530,19890,19520,19820,266750,5261023200
2014-05-30,19220,19340,19090,19130,320750,6164273300
2014-05-29,18940,19270,18910,19180,186000,3550537300
2014-05-28,19060,19230,19000,19100,217140,4154306200
2014-05-27,18960,19320,18960,19020,240710,4619492900
2014-05-26,18900,19000,18810,18960,245810,4644541400
2014-05-23,18350,18760,18350,18520,429660,7989091600
2014-05-22,17870,18320,17780,18200,278030,5022099900
2014-05-21,17500,17660,17400,17660,217150,3809598700
2014-05-20,17790,17900,17610,17740,114530,2036997800
2014-05-19,17870,17970,17560,17670,136390,2423072800
2014-05-16,17900,17940,17650,17930,283100,5044744100
2014-05-15,18310,18500,18050,18460,148910,2721847300
2014-05-14,18440,18650,18380,18650,103890,1926538900
2014-05-13,18450,18590,18350,18500,211190,3902239900
2014-05-12,18040,18230,17870,17890,142470,2564429100
2014-05-09,17750,18310,17750,18130,212060,3840232600
2014-05-08,17900,18170,17790,17940,171080,3076275800
2014-05-07,18200,18250,17680,17740,304540,5452782600
2014-05-02,18530,18660,18470,18660,169970,3159245000
2014-05-01,18250,18660,18220,18650,286280,5295214500
2014-04-30,18250,18300,17980,18060,151310,2740673200
2014-04-28,17930,18040,17790,17970,166420,2980709100
2014-04-25,18080,18540,17970,18290,216430,3959842200
2014-04-24,18420,18460,17990,18130,168760,3065640600
2014-04-23,18300,18410,18210,18380,155690,2853022800
2014-04-22,18420,18540,18040,18060,157280,2884616500
2014-04-21,18480,18680,18260,18310,230840,4270565700
2014-04-18,18320,18420,18190,18380,161780,2962313400
2014-04-17,18210,18440,18050,18180,232000,4236677400
2014-04-16,17600,18200,17570,18200,262040,4696178600
2014-04-15,17530,17550,17200,17290,173720,3013664800
2014-04-14,16990,17520,16990,17200,253370,4385399400
2014-04-11,16900,17420,16800,17200,311920,5346432300
2014-04-10,18200,18230,17570,17690,309470,5541113000
2014-04-09,18020,18130,17570,17710,519140,9263010300
2014-04-08,18910,18920,18440,18470,358020,6658924000
2014-04-07,19360,19460,19070,19200,220100,4240023800
2014-04-04,19710,19920,19700,19800,119050,2356696800
2014-04-03,19800,20070,19700,19850,231920,4616714300
2014-04-02,19600,20050,19600,19690,287930,5713686200
2014-04-01,19530,19570,19220,19420,181040,3507492800
2014-03-31,19250,19450,18940,19340,301090,5797168200
2014-03-28,18450,18910,18300,18870,168910,3148103700
2014-03-27,17990,18680,17700,18580,320210,5827057900
2014-03-26,18090,18230,17860,18090,211200,3816266100
2014-03-25,17650,18050,17510,17830,181910,3238775300
2014-03-24,17450,18070,17430,17790,171450,3059459100
2014-03-20,18050,18100,17270,17340,285300,5011435800
2014-03-19,18110,18400,17630,17890,290260,5217108000
2014-03-18,18140,18180,17870,17950,189830,3425407600
2014-03-17,17720,17860,17350,17570,287120,5059513600
2014-03-14,18260,18340,17800,17920,472970,8549935500
2014-03-13,19220,19390,19070,19110,162740,3132363100
2014-03-12,19640,19670,19230,19300,398840,7748734500
2014-03-11,20090,20250,19900,20130,170830,3437082000
2014-03-10,20080,20230,19810,19940,168620,3372686200
2014-03-07,20340,20430,19990,20290,254820,5165229800
2014-03-06,19620,20100,19450,19980,244480,4848785000
2014-03-05,19750,19850,19480,19490,253870,4991721800
2014-03-04,18700,19350,18660,19220,258990,4937666300
2014-03-03,19020,19040,18400,18960,541440,10162378900
2014-02-28,19630,19690,19160,19420,391680,7605874300
2014-02-27,19730,19930,19530,19640,251190,4950270100
2014-02-26,19810,20200,19780,19870,237860,4754362100
2014-02-25,20040,20220,19920,20160,425750,8558133400
2014-02-24,19750,20200,19260,19740,420860,8294697200
2014-02-21,19450,19870,19440,19820,303740,5963393700
2014-02-20,19510,19620,18840,18910,393960,7545456400
2014-02-19,19690,19820,19500,19730,304780,5988611100
2014-02-18,19050,19980,19000,19880,584120,11377297300
2014-02-17,18630,18940,18250,18900,401950,7480560600
2014-02-14,19180,19450,18300,18620,608810,11448347600
2014-02-13,19750,19790,19010,19130,613950,11886696700
2014-02-12,19700,19980,19670,19770,561300,11100488000
2014-02-10,19300,19300,18950,19300,317540,6078049200
2014-02-07,18580,18830,18430,18830,326750,6087740200
2014-02-06,18140,18210,17870,17990,364770,6585332000
2014-02-05,17950,18120,17480,18000,579680,10356507400
2014-02-04,17860,18150,17270,17270,831270,14715891000
2014-02-03,19640,19850,19110,19160,395890,7689441600
2014-01-31,20380,20470,19610,19870,481130,9646925300
2014-01-30,20150,20290,19800,20080,639260,12788731000
2014-01-29,20600,21150,20550,21150,333630,6957057500
2014-01-28,20380,20490,20100,20100,377580,7666782900
2014-01-27,20360,20520,20180,20260,519120,10552066500
2014-01-24,21750,21750,21250,21450,707340,15235291700
2014-01-23,22900,22950,22240,22250,546800,12372811200
2014-01-22,22520,22800,22230,22710,763870,17225611100
2014-01-21,22560,22850,22530,22540,451230,10243620400
2014-01-20,22600,22630,22300,22430,455640,10226844800
