1583-T,東証,iSフロンティア,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,3810,3830,3720,3725,8404,31561400
2014-06-26,3910,3910,3780,3845,6202,23692605
2014-06-25,3890,3890,3840,3840,2494,9622225
2014-06-24,3895,3895,3850,3895,3326,12858970
2014-06-23,3910,3925,3890,3900,2105,8229515
2014-06-20,3870,3870,3845,3870,2276,8791940
2014-06-19,3890,3935,3885,3890,2977,11607630
2014-06-18,3900,3905,3880,3900,1447,5633145
2014-06-17,3900,3900,3880,3900,8239,32068945
2014-06-16,3975,3975,3940,3945,2984,11776335
2014-06-13,3925,3970,3900,3960,2824,11096285
2014-06-12,4000,4000,3975,3990,3762,15013550
2014-06-11,4040,4040,4025,4025,1287,5190930
2014-06-10,4195,4195,4055,4055,3235,13310950
2014-06-09,4085,4100,4055,4060,3379,13744575
2014-06-06,4090,4090,4030,4050,3424,13844045
2014-06-05,4070,4070,4030,4055,658,2669945
2014-06-04,4040,4090,4035,4060,408,1663455
2014-06-03,4085,4085,4015,4030,1243,5043075
2014-06-02,4000,4050,3970,4050,1633,6542040
2014-05-30,3965,3990,3960,3965,1028,4079845
2014-05-29,3930,3930,3890,3910,375,1466105
2014-05-28,3980,3980,3905,3930,1131,4436525
2014-05-27,3915,3930,3885,3925,2853,11143125
2014-05-26,3855,3890,3855,3880,874,3373600
2014-05-23,3885,3885,3850,3855,354,1372105
2014-05-22,3795,3850,3795,3845,473,1801870
2014-05-21,3845,3850,3775,3795,3692,14025255
2014-05-20,3900,3900,3855,3870,1271,4935990
2014-05-19,3945,3945,3895,3900,716,2804880
2014-05-16,3955,3955,3900,3925,1906,7476130
2014-05-15,3940,3945,3930,3945,325,1280855
2014-05-14,3895,3925,3895,3905,519,2025435
2014-05-13,3900,3915,3895,3895,1876,7317655
2014-05-12,3900,3900,3870,3870,802,3114970
2014-05-09,3900,3900,3880,3900,886,3444875
2014-05-08,3895,3905,3875,3895,1159,4515960
2014-05-07,3875,3875,3855,3875,1614,6243580
2014-05-02,3865,3870,3850,3870,551,2129915
2014-05-01,3840,3840,3825,3835,753,2888685
2014-04-30,3840,3855,3820,3850,6155,23637480
2014-04-28,3900,3915,3880,3910,5232,20367930
2014-04-25,3970,3970,3925,3950,3185,12607250
2014-04-24,3985,3985,3975,3980,1256,5001925
2014-04-23,3970,3970,3915,3970,1403,5564380
2014-04-22,3930,3955,3920,3945,938,3696430
2014-04-21,3905,3920,3900,3905,4740,18511090
2014-04-18,3900,3900,3890,3900,171,666880
2014-04-17,3900,3900,3875,3875,302,1175770
2014-04-16,3870,3875,3845,3875,491,1899980
2014-04-15,3870,3870,3830,3830,1290,4970050
2014-04-14,3845,3850,3830,3850,617,2371250
2014-04-11,3835,3845,3810,3845,1504,5762745
2014-04-10,3905,3905,3845,3850,1348,5228755
2014-04-09,3840,3840,3820,3835,1622,6223315
2014-04-08,3825,3835,3825,3835,352,1348225
2014-04-07,3820,3820,3800,3800,1123,4282740
2014-04-04,3840,3840,3805,3820,1325,5051925
2014-04-03,3820,3850,3820,3840,536,2052340
2014-04-02,3790,3825,3790,3805,2144,8166060
2014-04-01,3740,3755,3735,3735,349,1305805
2014-03-31,3715,3735,3705,3735,1254,4666560
2014-03-28,3665,3705,3665,3705,494,1824035
2014-03-27,3665,3670,3645,3670,739,2704405
2014-03-26,3650,3655,3640,3655,474,1728275
2014-03-25,3640,3640,3605,3635,274,994615
2014-03-24,3645,3645,3625,3630,650,2362820
2014-03-20,3585,3585,3580,3585,784,2809250
2014-03-19,3560,3575,3540,3575,221,786570
2014-03-18,3565,3565,3530,3560,133,473605
2014-03-17,3485,3500,3485,3495,1035,3608785
2014-03-14,3535,3535,3510,3525,1113,3926900
2014-03-13,3575,3580,3550,3575,950,3388345
2014-03-12,3575,3580,3555,3575,641,2290600
2014-03-11,3565,3605,3565,3605,551,1977925
2014-03-10,3580,3585,3550,3570,627,2243225
2014-03-07,3550,3550,3545,3545,1935,6868980
2014-03-06,3525,3550,3525,3530,623,2198805
2014-03-05,3530,3530,3520,3525,165,581795
2014-03-04,3515,3530,3510,3530,180,632710
2014-03-03,3525,3535,3500,3530,1142,4019980
2014-02-28,3580,3580,3540,3570,754,2687450
2014-02-27,3565,3595,3550,3575,373,1328650
2014-02-26,3585,3590,3560,3580,125,448070
2014-02-25,3585,3585,3545,3550,119,424430
2014-02-24,3590,3590,3550,3550,1285,4590445
2014-02-21,3565,3585,3565,3575,300,1070565
2014-02-20,3570,3570,3505,3555,619,2204635
2014-02-19,3575,3575,3495,3565,3078,10918850
2014-02-18,3525,3560,3510,3560,1688,5953840
2014-02-17,3530,3530,3520,3525,344,1212990
2014-02-14,3560,3560,3525,3555,420,1493750
2014-02-13,3560,3560,3540,3545,691,2453405
2014-02-12,3550,3555,3540,3555,415,1472730
2014-02-10,3545,3545,3500,3540,941,3320720
