1595-T,東証,NZAMJリート,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1614,1614,1614,1614,110,177540
2014-06-26,1654,1654,1653,1654,60,99210
2014-06-25,1635,1675,1605,1614,860,1390270
2014-06-24,1630,1630,1600,1610,970,1566170
2014-06-23,1649,1649,1600,1600,5750,9380180
2014-06-20,1609,1613,1596,1609,20160,32367620
2014-06-19,1600,1606,1600,1605,430,689640
2014-06-18,1595,1595,1595,1595,60,95700
2014-06-17,-,-,-,-,0,0
2014-06-16,1580,1596,1580,1596,40,63360
2014-06-13,1580,1580,1568,1579,300,472760
2014-06-12,1576,1576,1576,1576,660,1040160
2014-06-11,1572,1572,1572,1572,200,314400
2014-06-10,1574,1574,1574,1574,10,15740
2014-06-09,1575,1578,1565,1574,440,692870
2014-06-06,1560,1573,1560,1573,40,62790
2014-06-05,1610,1610,1570,1578,1310,2085850
2014-06-04,1628,1628,1570,1570,250,393760
2014-06-03,1576,1588,1574,1588,80,126180
2014-06-02,1577,1578,1574,1574,410,646610
2014-05-30,1567,1575,1567,1575,20,31420
2014-05-29,1565,1565,1554,1559,60,93610
2014-05-28,1553,1559,1553,1559,80,124650
2014-05-27,1540,1540,1540,1540,100,154000
2014-05-26,1532,1540,1532,1536,120,184400
2014-05-23,-,-,-,-,0,0
2014-05-22,1536,1536,1527,1531,1930,2960700
2014-05-21,1526,1526,1526,1526,10,15260
2014-05-20,1527,1527,1527,1527,20,30540
2014-05-19,1525,1525,1525,1525,10,15250
2014-05-16,1530,1530,1530,1530,10,15300
2014-05-15,-,-,-,-,0,0
2014-05-14,1521,1524,1516,1516,60,91180
2014-05-13,1510,1510,1510,1510,100,151000
2014-05-12,1518,1518,1509,1509,140,212340
2014-05-09,1512,1514,1512,1514,20,30260
2014-05-08,1515,1515,1504,1504,1270,1922230
2014-05-07,1510,1510,1510,1510,200,302000
2014-05-02,1508,1508,1508,1508,10,15080
2014-05-01,1503,1503,1503,1503,210,315630
2014-04-30,1501,1502,1499,1499,720,1079630
2014-04-28,1500,1501,1499,1500,740,1110030
2014-04-25,1495,1495,1492,1494,400,597600
2014-04-24,-,-,-,-,0,0
2014-04-23,1492,1493,1492,1493,40,59700
2014-04-22,1501,1501,1496,1496,40,59890
2014-04-21,1496,1496,1496,1496,10,14960
2014-04-18,1487,1488,1485,1488,50,74350
2014-04-17,1477,1485,1477,1485,20,29620
2014-04-16,1467,1477,1467,1475,40,58860
2014-04-15,1470,1473,1465,1472,50,73480
2014-04-14,1467,1473,1465,1470,560,823040
2014-04-11,1470,1470,1470,1470,30,44100
2014-04-10,1479,1479,1479,1479,10,14790
2014-04-09,1463,1473,1463,1472,340,498690
2014-04-08,1490,1490,1480,1480,120,178050
2014-04-07,-,-,-,-,0,0
2014-04-04,1492,1493,1485,1485,360,537060
2014-04-03,1495,1510,1495,1500,110,165000
2014-04-02,1497,1503,1493,1503,1130,1694090
2014-04-01,1482,1482,1474,1482,230,339660
2014-03-31,1488,1488,1480,1480,780,1155200
2014-03-28,1481,1481,1481,1481,10,14810
2014-03-27,1465,1480,1465,1480,240,354940
2014-03-26,1473,1473,1469,1469,110,161990
2014-03-25,1478,1478,1472,1472,1400,2068440
2014-03-24,1445,1450,1440,1450,1120,1620840
2014-03-20,1466,1466,1456,1458,11000,16093370
2014-03-19,1477,1477,1477,1477,110,162470
2014-03-18,1478,1478,1469,1469,840,1239680
2014-03-17,1467,1467,1457,1462,150,219670
2014-03-14,1467,1474,1464,1464,1070,1570450
2014-03-13,1471,1482,1471,1482,80,117870
2014-03-12,1485,1485,1475,1475,860,1275180
2014-03-11,1526,1526,1494,1494,200,299560
2014-03-10,1503,1503,1487,1496,12990,19450350
2014-03-07,1497,1501,1489,1498,2920,4376600
