1618-T,東証,エネ資源,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,14210,14210,14070,14080,168,2375750
2014-06-26,14200,14260,14180,14190,94,1334260
2014-06-25,14360,14400,14180,14340,73,1043970
2014-06-24,14350,14360,14200,14360,87,1243140
2014-06-23,14420,14440,14310,14440,71,1021390
2014-06-20,14600,14600,14380,14410,145,2109320
2014-06-19,14280,14600,14230,14540,203,2947480
2014-06-18,14220,14280,14180,14280,32,455230
2014-06-17,14300,14370,14210,14210,28,400450
2014-06-16,14510,14510,14310,14320,209,3012330
2014-06-13,14070,14520,14070,14470,288,4155980
2014-06-12,14210,14220,14000,14060,81,1146180
2014-06-11,13880,14100,13880,14100,344,4827170
2014-06-10,13950,13950,13830,13830,13,180350
2014-06-09,13980,14000,13940,13940,100,1396950
2014-06-06,13790,13970,13790,13970,83,1151210
2014-06-05,13770,13800,13770,13790,25,344840
2014-06-04,13790,13790,13710,13760,136,1871640
2014-06-03,13730,13750,13720,13740,191,2623710
2014-06-02,13390,13690,13390,13660,133,1811490
2014-05-30,13510,13600,13510,13600,12,162210
2014-05-29,13390,13440,13390,13440,14,187610
2014-05-28,13590,13590,13590,13590,5,67950
2014-05-27,13440,13590,13440,13590,55,742350
2014-05-26,13600,13600,13440,13440,54,732940
2014-05-23,13370,13560,13370,13500,62,836870
2014-05-22,13300,13400,13300,13350,34,454570
2014-05-21,13000,13270,13000,13250,45,593930
2014-05-20,13110,13110,13000,13100,35,456650
2014-05-19,13060,13160,13040,13110,44,575760
2014-05-16,13100,13100,13000,13000,55,715490
2014-05-15,13230,13250,13230,13250,3,39710
2014-05-14,13350,13350,13150,13200,27,357050
2014-05-13,13330,13390,13330,13390,18,240540
2014-05-12,13050,13220,13010,13030,110,1438160
2014-05-09,13450,13450,13170,13300,92,1216410
2014-05-08,-,-,-,-,0,0
2014-05-07,13510,13510,13330,13340,89,1187950
2014-05-02,13700,13700,13560,13580,78,1059080
2014-05-01,13660,13740,13630,13720,85,1164550
2014-04-30,13550,13620,13550,13590,5,67860
2014-04-28,13350,13490,13350,13480,43,576300
2014-04-25,13390,13560,13390,13510,93,1254320
2014-04-24,13200,13370,13200,13300,94,1252210
2014-04-23,13410,13410,13250,13250,30,397660
2014-04-22,13580,13630,13460,13470,113,1534440
2014-04-21,13240,13540,13230,13500,477,6412820
2014-04-18,13180,13190,13120,13180,218,2865690
2014-04-17,13050,13190,13050,13150,330,4323190
2014-04-16,12700,13010,12700,13010,121,1555220
2014-04-15,12600,12600,12530,12530,23,289660
2014-04-14,12410,12690,12410,12690,36,455550
2014-04-11,12180,12400,12180,12400,64,784860
2014-04-10,12400,12400,12310,12310,5,61700
2014-04-09,12320,12400,12300,12400,38,469340
2014-04-08,12640,12650,12480,12480,56,707070
2014-04-07,12530,12800,12530,12740,240,3039290
2014-04-04,12750,12830,12750,12830,14,178820
2014-04-03,12670,12800,12670,12800,16,203490
2014-04-02,12600,12710,12520,12710,40,505460
2014-04-01,12480,12480,12480,12480,5,62400
2014-03-31,12510,12550,12510,12510,20,250480
2014-03-28,12230,12290,12230,12290,2,24520
2014-03-27,12100,12100,12100,12100,1,12100
2014-03-26,12200,12210,12200,12210,2,24410
2014-03-25,12010,12180,12010,12180,7,84540
2014-03-24,12130,12130,11960,11960,20,241300
2014-03-20,12160,12200,11990,12000,18,216810
2014-03-19,12110,12270,12100,12180,18,219400
2014-03-18,12220,12300,12200,12300,67,822620
2014-03-17,12080,12190,12080,12150,38,460110
2014-03-14,12410,12410,12240,12250,87,1072610
2014-03-13,12550,12610,12500,12610,12,151150
2014-03-12,12720,12720,12570,12570,30,379210
2014-03-11,12820,12920,12820,12920,26,335330
2014-03-10,12850,12850,12750,12750,2,25600
2014-03-07,12760,12900,12760,12820,133,1705610
2014-03-06,12700,12700,12580,12660,40,505220
2014-03-05,12690,12800,12660,12660,118,1507610
2014-03-04,12530,12600,12480,12600,84,1049310
2014-03-03,12520,12560,12410,12530,232,2889210
2014-02-28,12550,12550,12530,12530,21,263150
2014-02-27,12770,12770,12600,12650,24,304430
2014-02-26,-,-,-,-,0,0
2014-02-25,12890,12950,12850,12950,220,2834190
2014-02-24,12800,12850,12640,12740,121,1541720
2014-02-21,12700,12790,12700,12760,61,778730
2014-02-20,12980,12980,12500,12520,195,2471120
2014-02-19,12430,12700,12430,12700,272,3430100
2014-02-18,12310,12350,12310,12350,165,2033860
2014-02-17,12230,12230,12100,12200,8,97560
