1633-T,東証,不動産,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,33400,33400,32600,32950,740,24444350
2014-06-26,33250,33500,33200,33200,51,1698250
2014-06-25,33050,33450,33050,33200,373,12396000
2014-06-24,33200,33400,32900,33200,324,10744750
2014-06-23,33750,33850,33500,33550,280,9427350
2014-06-20,33150,33900,33150,33650,571,19192900
2014-06-19,32550,33200,32450,33050,485,15954700
2014-06-18,32450,32500,32250,32350,49,1588650
2014-06-17,32300,32300,32200,32300,35,1129950
2014-06-16,32300,32600,32150,32200,92,2976250
2014-06-13,32050,32800,31900,32500,588,18887700
2014-06-12,33000,33000,32150,32350,123,3982550
2014-06-11,32650,32800,32550,32700,489,16012050
2014-06-10,33050,33150,32800,32850,336,11095350
2014-06-09,33100,33100,32700,33100,66,2181900
2014-06-06,32750,32800,32500,32500,74,2417650
2014-06-05,33000,33000,32500,32650,48,1569100
2014-06-04,33350,33350,32550,32800,217,7127800
2014-06-03,33350,33550,33100,33150,266,8881450
2014-06-02,32300,33100,32300,32950,430,14139100
2014-05-30,32050,32200,31900,32050,84,2698150
2014-05-29,32000,32300,31950,32250,1316,42234600
2014-05-28,31900,32450,31600,32350,719,23201300
2014-05-27,32500,32900,32200,32450,221,7204750
2014-05-26,32400,32500,32300,32350,28,906900
2014-05-23,31800,32400,31800,31900,310,9970700
2014-05-22,31000,31750,31000,31350,134,4200150
2014-05-21,31500,31600,31000,31300,934,29309200
2014-05-20,31800,32050,31750,32000,1237,39572450
2014-05-19,32250,32250,31500,31700,77,2447850
2014-05-16,31850,32300,31850,32300,109,3492950
2014-05-15,32050,32750,32000,32500,386,12453150
2014-05-14,31800,32200,31550,32150,535,17100000
2014-05-13,31300,31800,31250,31500,532,16755950
2014-05-12,31100,31100,30700,30750,72,2220700
2014-05-09,30850,31200,30750,31150,137,4262350
2014-05-08,30900,31200,30800,30950,876,27153800
2014-05-07,31150,31150,30600,30600,119,3662200
2014-05-02,30850,31300,30850,31200,157,4879650
2014-05-01,30350,30700,30150,30500,216,6567000
2014-04-30,30050,30150,29900,30100,901,27009810
2014-04-28,29680,29890,29680,29840,59,1753890
