1680-T,東証,上場MSコク,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1838,1838,1826,1834,3550,6506560
2014-06-26,1840,1842,1831,1842,3660,6734160
2014-06-25,1834,1844,1830,1839,9860,18095490
2014-06-24,1848,1853,1840,1853,5380,9928270
2014-06-23,1852,1854,1840,1844,6210,11469790
2014-06-20,1841,1848,1836,1847,5430,10002420
2014-06-19,1830,1840,1828,1840,8120,14878930
2014-06-18,1819,1828,1819,1826,5840,10633760
2014-06-17,1822,1830,1820,1829,2580,4716040
2014-06-16,1817,1817,1813,1813,10060,18276830
2014-06-13,1824,1829,1821,1827,8260,15076710
2014-06-12,1827,1835,1827,1829,12520,22885600
2014-06-11,1835,1836,1830,1834,5010,9184760
2014-06-10,1839,1840,1830,1836,13470,24731700
2014-06-09,1833,1838,1833,1834,18480,33894630
2014-06-06,1816,1825,1816,1821,20640,37560670
2014-06-05,1816,1816,1810,1811,14760,26772570
2014-06-04,1812,1819,1811,1811,18180,32968680
2014-06-03,1812,1818,1808,1808,13740,24908870
2014-06-02,1797,1811,1797,1802,17830,32128960
2014-05-30,1796,1798,1787,1788,4860,8722400
2014-05-29,1795,1795,1790,1793,2800,5021790
2014-05-28,1797,1798,1789,1796,12690,22751260
2014-05-27,1790,1794,1788,1792,16520,29579740
2014-05-26,1795,1795,1784,1784,6380,11425170
2014-05-23,1782,1787,1779,1784,4020,7164570
2014-05-22,1772,1779,1772,1779,1390,2467790
2014-05-21,1766,1769,1758,1764,9090,16019750
2014-05-20,1778,1779,1773,1775,5640,10017560
2014-05-19,1771,1776,1770,1776,2920,5174660
2014-05-16,1770,1774,1768,1768,6820,12074510
2014-05-15,1788,1789,1778,1786,5470,9767270
2014-05-14,1791,1794,1791,1792,2860,5124570
2014-05-13,1793,1795,1790,1794,4740,8495250
2014-05-12,1782,1783,1777,1782,1400,2494320
2014-05-09,1777,1779,1766,1768,3660,6492360
2014-05-08,1780,1780,1772,1775,1170,2080060
2014-05-07,1773,1779,1763,1763,11330,20058080
2014-05-02,1785,1787,1783,1783,9640,17195880
2014-05-01,1784,1785,1780,1782,5300,9447490
2014-04-30,1780,1783,1778,1783,3710,6603800
2014-04-28,1775,1775,1759,1769,15400,27316150
2014-04-25,1786,1787,1778,1782,2690,4798770
2014-04-24,1785,1787,1785,1787,2420,4322150
2014-04-23,1778,1784,1778,1783,20210,35975690
2014-04-22,1778,1778,1768,1768,9100,16167970
2014-04-21,1766,1788,1766,1773,21470,38010340
2014-04-18,1765,1773,1765,1767,7850,13859550
2014-04-17,1768,1772,1763,1765,7590,13416930
2014-04-16,1745,1755,1744,1754,14600,25559710
2014-04-15,1740,1741,1732,1735,3670,6373050
2014-04-14,1720,1723,1716,1723,40660,69971150
2014-04-11,1746,1748,1735,1745,32310,56348880
2014-04-10,1781,1781,1766,1771,3360,5972150
2014-04-09,1760,1766,1752,1756,12120,21297250
2014-04-08,1768,1769,1757,1766,15340,27058570
2014-04-07,1780,1787,1773,1773,14800,26326420
2014-04-04,1805,1807,1802,1805,3100,5596320
2014-04-03,1805,1808,1795,1803,8600,15504040
2014-04-02,1794,1806,1794,1799,16520,29699130
2014-04-01,1780,1788,1771,1778,13690,24362230
2014-03-31,1770,1773,1761,1765,23330,41211780
2014-03-28,1746,1750,1743,1747,1470,2565090
2014-03-27,1740,1745,1740,1745,2890,5034380
2014-03-26,1752,1761,1752,1754,11590,20311890
2014-03-25,1748,1748,1740,1740,3750,6548530
2014-03-24,1750,1756,1741,1756,3360,5876770
2014-03-20,1742,1750,1735,1740,14170,24647850
