1682-T,東証,白金先物,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,267,270,267,270,4900,1309200
2014-06-26,270,270,270,270,100,27000
2014-06-25,267,267,267,267,1500,400500
2014-06-24,269,269,266,266,900,240100
2014-06-23,-,-,-,-,0,0
2014-06-20,270,270,270,270,100,27000
2014-06-19,266,266,266,266,3800,1010800
2014-06-18,268,268,268,268,1800,482400
2014-06-17,266,266,266,266,400,106400
2014-06-16,266,267,266,267,1100,293600
2014-06-13,-,-,-,-,0,0
2014-06-12,270,270,270,270,1000,270000
2014-06-11,270,270,270,270,2100,567000
2014-06-10,-,-,-,-,0,0
2014-06-09,267,267,267,267,600,160200
2014-06-06,265,265,265,265,5000,1325000
2014-06-05,-,-,-,-,0,0
2014-06-04,-,-,-,-,0,0
2014-06-03,-,-,-,-,0,0
2014-06-02,267,267,267,267,200,53400
2014-05-30,-,-,-,-,0,0
2014-05-29,270,270,269,270,3600,971800
2014-05-28,270,270,270,270,3000,810000
2014-05-27,272,272,272,272,100,27200
2014-05-26,273,273,270,270,2000,543000
2014-05-23,270,270,270,270,5000,1350000
2014-05-22,269,269,269,269,300,80700
2014-05-21,271,271,270,270,6200,1679900
2014-05-20,271,272,270,270,600,162500
2014-05-19,271,271,270,271,2000,541900
2014-05-16,268,268,268,268,3400,911200
2014-05-15,270,270,269,269,4700,1268600
2014-05-14,267,267,267,267,5000,1335000
2014-05-13,-,-,-,-,0,0
2014-05-12,262,262,262,262,300,78600
2014-05-09,-,-,-,-,0,0
2014-05-08,-,-,-,-,0,0
2014-05-07,265,269,265,269,700,186300
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,-,-,-,-,0,0
2014-04-28,266,266,263,263,300,79200
2014-04-25,261,261,261,261,800,208800
2014-04-24,260,260,260,260,100,26000
2014-04-23,263,263,263,263,1100,289300
2014-04-22,-,-,-,-,0,0
2014-04-21,-,-,-,-,0,0
2014-04-18,265,265,263,263,1200,316900
2014-04-17,267,267,267,267,100,26700
2014-04-16,268,269,267,267,2700,723300
2014-04-15,-,-,-,-,0,0
2014-04-14,272,272,271,271,3200,870200
2014-04-11,266,266,266,266,1500,399000
2014-04-10,-,-,-,-,0,0
2014-04-09,-,-,-,-,0,0
2014-04-08,-,-,-,-,0,0
2014-04-07,269,269,269,269,300,80700
2014-04-04,270,270,269,269,2200,592000
2014-04-03,-,-,-,-,0,0
2014-04-02,270,270,267,267,2300,614700
2014-04-01,266,267,266,267,1500,399500
2014-03-31,263,263,263,263,800,210400
2014-03-28,-,-,-,-,0,0
2014-03-27,261,261,260,260,1800,469200
2014-03-26,264,264,261,261,500,131700
2014-03-25,-,-,-,-,0,0
2014-03-24,267,267,267,267,400,106800
2014-03-20,-,-,-,-,0,0
2014-03-19,-,-,-,-,0,0
2014-03-18,-,-,-,-,0,0
2014-03-17,271,271,271,271,1100,298100
2014-03-14,270,271,270,271,31300,8451200
2014-03-13,272,272,272,272,100,27200
2014-03-12,-,-,-,-,0,0
2014-03-11,274,274,273,273,32000,8766000
2014-03-10,272,272,272,272,4900,1332800
