1726-T,東証2部,BRHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,399,399,390,390,11000,4355000
2014-06-26,398,401,398,401,4000,1597000
2014-06-25,399,399,396,396,2000,795000
2014-06-24,399,399,392,392,3000,1190000
2014-06-23,400,400,400,400,2000,800000
2014-06-20,396,400,396,398,5000,1987000
2014-06-19,410,413,396,410,32000,12923000
2014-06-18,409,413,400,413,27000,11056000
2014-06-17,395,405,394,405,20000,7988000
2014-06-16,388,390,383,390,20000,7742000
2014-06-13,380,380,376,380,12000,4555000
2014-06-12,368,379,368,379,4000,1483000
2014-06-11,377,377,376,376,7000,2638000
2014-06-10,381,381,381,381,1000,381000
2014-06-09,390,390,382,382,5000,1927000
2014-06-06,-,-,-,-,0,0
2014-06-05,400,400,395,399,6000,2388000
2014-06-04,398,399,398,399,13000,5181000
2014-06-03,-,-,-,-,0,0
2014-06-02,398,398,398,398,2000,796000
2014-05-30,397,398,392,398,20000,7938000
2014-05-29,387,397,387,397,31000,12169000
2014-05-28,373,382,361,382,27000,10071000
2014-05-27,349,372,349,372,27000,9753000
2014-05-26,348,350,348,348,13000,4536000
2014-05-23,335,350,332,350,22000,7603000
2014-05-22,344,344,328,335,5000,1685000
2014-05-21,-,-,-,-,0,0
2014-05-20,323,330,323,330,8000,2617000
2014-05-19,-,-,-,-,0,0
2014-05-16,344,344,319,319,24000,7806000
2014-05-15,325,345,325,345,35000,11797000
2014-05-14,313,313,301,301,3000,915000
2014-05-13,320,320,295,300,16000,4796000
2014-05-12,338,340,335,335,17000,5737000
2014-05-09,325,332,325,330,21000,6897000
2014-05-08,320,320,310,315,26000,8278000
2014-05-07,304,325,300,305,43000,13408000
2014-05-02,285,307,285,296,44000,13016000
2014-05-01,270,280,270,277,36000,9826000
2014-04-30,267,267,267,267,11000,2937000
2014-04-28,260,267,258,267,32000,8409000
2014-04-25,262,262,258,258,8000,2090000
2014-04-24,260,262,257,262,13000,3367000
2014-04-23,254,254,254,254,1000,254000
2014-04-22,256,256,253,253,6000,1530000
2014-04-21,264,264,264,264,1000,264000
2014-04-18,259,259,259,259,1000,259000
2014-04-17,256,259,255,259,8000,2046000
2014-04-16,252,255,252,255,2000,507000
2014-04-15,255,255,250,250,2000,505000
2014-04-14,-,-,-,-,0,0
2014-04-11,250,250,250,250,6000,1500000
2014-04-10,248,255,248,255,2000,503000
2014-04-09,252,256,249,249,4000,1012000
2014-04-08,-,-,-,-,0,0
2014-04-07,254,254,254,254,1000,254000
2014-04-04,-,-,-,-,0,0
2014-04-03,253,258,253,255,7000,1786000
2014-04-02,254,257,254,257,8000,2043000
2014-04-01,262,262,250,250,9000,2302000
2014-03-31,276,276,270,270,13000,3575000
2014-03-28,251,257,251,257,6000,1524000
2014-03-27,250,250,250,250,3000,750000
2014-03-26,247,247,247,247,1000,247000
2014-03-25,246,246,246,246,1000,246000
2014-03-24,246,249,246,249,2000,495000
2014-03-20,245,245,245,245,1000,245000
2014-03-19,253,253,245,245,7000,1750000
2014-03-18,263,263,250,253,12000,3054000
2014-03-17,250,264,250,264,7000,1764000
2014-03-14,242,242,242,242,2000,484000
2014-03-13,-,-,-,-,0,0
2014-03-12,246,246,246,246,1000,246000
2014-03-11,251,251,250,250,3000,751000
2014-03-10,248,249,248,249,3000,745000
2014-03-07,253,253,253,253,6000,1518000
2014-03-06,250,250,250,250,1000,250000
2014-03-05,246,246,246,246,7000,1722000
2014-03-04,-,-,-,-,0,0
2014-03-03,269,269,250,250,5000,1274000
2014-02-28,259,270,258,269,20000,5222000
