1822-T,東証1部,大豊建,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,386,387,371,374,2157000,815209000
2014-06-26,384,387,381,383,959000,368206000
2014-06-25,388,392,386,386,807000,313625000
2014-06-24,389,391,382,391,1198000,463348000
2014-06-23,397,399,390,391,1432000,565249000
2014-06-20,382,397,378,395,2884000,1125305000
2014-06-19,375,385,375,382,1959000,744026000
2014-06-18,373,376,372,375,783000,293226000
2014-06-17,376,376,372,373,556000,207838000
2014-06-16,375,379,372,376,1023000,384352000
2014-06-13,371,378,371,376,944000,353422000
2014-06-12,376,378,374,376,759000,285195000
2014-06-11,373,379,373,378,595000,223809000
2014-06-10,381,383,375,376,920000,348440000
2014-06-09,386,388,380,383,765000,293598000
2014-06-06,384,390,381,385,1539000,594549000
2014-06-05,393,393,382,384,875000,337920000
2014-06-04,386,393,383,391,1462000,569702000
2014-06-03,391,394,386,388,702000,273452000
2014-06-02,384,389,382,387,943000,363697000
2014-05-30,385,388,377,380,913000,348249000
2014-05-29,385,391,381,385,2004000,772223000
2014-05-28,370,388,370,388,3369000,1287532000
2014-05-27,366,376,366,371,1370000,508949000
2014-05-26,361,368,361,366,1042000,380321000
2014-05-23,355,362,355,359,1142000,410061000
2014-05-22,356,361,351,358,1126000,402134000
2014-05-21,345,355,345,354,1037000,363409000
2014-05-20,350,353,343,349,2461000,855919000
2014-05-19,368,368,351,353,1858000,666590000
2014-05-16,373,374,368,371,1075000,398561000
2014-05-15,375,381,374,377,1284000,485572000
2014-05-14,379,380,373,376,1242000,468943000
2014-05-13,380,382,374,376,1794000,675952000
2014-05-12,382,388,372,372,4853000,1841801000
2014-05-09,403,404,392,393,2242000,892703000
2014-05-08,412,413,402,403,1898000,770720000
2014-05-07,406,419,403,406,5486000,2250858000
2014-05-02,403,409,399,408,1834000,741474000
2014-05-01,400,407,392,405,2357000,943119000
2014-04-30,408,409,396,397,2175000,877345000
2014-04-28,408,411,403,404,2372000,964145000
2014-04-25,408,417,403,414,4378000,1801774000
2014-04-24,403,414,401,410,7485000,3054760000
2014-04-23,389,398,386,396,2157000,846905000
2014-04-22,396,403,386,386,2848000,1125247000
2014-04-21,411,416,394,396,4613000,1866748000
2014-04-18,400,419,397,414,10854000,4444879000
2014-04-17,393,398,388,398,4093000,1603945000
2014-04-16,371,391,370,389,3331000,1267555000
2014-04-15,373,373,361,370,2204000,809344000
2014-04-14,367,376,364,366,1741000,644339000
2014-04-11,367,374,364,371,1980000,733408000
2014-04-10,395,398,376,382,2003000,775435000
2014-04-09,390,395,387,387,1805000,704112000
2014-04-08,400,400,389,395,2881000,1138494000
2014-04-07,398,405,393,402,3283000,1311372000
2014-04-04,391,404,390,403,6698000,2679956000
2014-04-03,392,401,387,392,4198000,1658855000
2014-04-02,401,404,390,393,6589000,2607147000
2014-04-01,378,407,374,399,9697000,3853031000
2014-03-31,383,383,375,377,1140000,431730000
2014-03-28,375,380,372,379,1883000,706977000
2014-03-27,359,379,357,377,2446000,902174000
2014-03-26,370,375,360,364,2023000,738785000
2014-03-25,377,382,369,370,1784000,669365000
2014-03-24,374,385,373,382,2437000,923983000
2014-03-20,396,397,368,372,4801000,1818215000
2014-03-19,405,408,388,398,5331000,2121766000
2014-03-18,385,409,384,402,8608000,3431249000
2014-03-17,387,396,374,377,3932000,1514027000
2014-03-14,380,406,379,385,11157000,4387797000
2014-03-13,376,394,371,390,7756000,2992875000
2014-03-12,383,387,373,374,3122000,1186309000
2014-03-11,398,401,381,389,7014000,2740625000
2014-03-10,367,390,366,390,6768000,2568449000
2014-03-07,369,379,362,367,5043000,1868587000
2014-03-06,347,358,346,357,1576000,554334000
2014-03-05,354,356,348,348,1127000,395279000
2014-03-04,339,353,339,349,1402000,485552000
2014-03-03,347,349,338,346,1590000,545621000
2014-02-28,351,354,345,352,2265000,791303000
2014-02-27,363,366,352,355,4387000,1576678000
2014-02-26,344,368,343,360,7088000,2544915000
2014-02-25,341,349,338,346,2455000,846551000
2014-02-24,336,342,332,338,1367000,461422000
2014-02-21,334,338,330,336,1312000,438271000
2014-02-20,340,343,328,331,2474000,828050000
2014-02-19,344,355,341,344,1632000,564726000
2014-02-18,341,351,335,350,1965000,674586000
2014-02-17,347,348,331,342,1984000,675226000
2014-02-14,354,357,336,340,2772000,950364000
2014-02-13,365,367,351,353,2760000,988969000
2014-02-12,377,378,358,361,2700000,993645000
2014-02-10,385,387,374,375,2365000,898606000
2014-02-07,379,385,368,380,2959000,1115453000
2014-02-06,352,382,349,374,3865000,1413314000
2014-02-05,347,364,340,351,3145000,1108027000
2014-02-04,340,358,334,339,5449000,1873805000
2014-02-03,366,373,356,357,3461000,1255278000
2014-01-31,391,395,371,376,2221000,845782000
2014-01-30,390,393,383,389,2690000,1041021000
2014-01-29,395,399,392,396,1547000,611293000
2014-01-28,400,404,388,388,2357000,933670000
2014-01-27,393,403,391,394,3282000,1297650000
2014-01-24,411,414,406,408,3244000,1328932000
2014-01-23,424,444,414,414,17613000,7549244000
2014-01-22,414,418,408,416,2107000,869029000
2014-01-21,419,419,413,414,1624000,673898000
2014-01-20,418,422,413,416,1911000,798051000
2014-01-17,412,428,409,420,6958000,2920094000
2014-01-16,421,423,405,410,4586000,1899564000
2014-01-15,431,433,411,424,4850000,2046169000
2014-01-14,413,431,410,423,7067000,2974076000
2014-01-10,419,428,406,421,6711000,2801538000
2014-01-09,412,417,408,414,3486000,1438275000
2014-01-08,416,428,412,416,9778000,4091512000
2014-01-07,443,451,403,409,21612000,9154946000
2014-01-06,458,461,439,451,31090000,13968124000
2013-12-30,413,493,410,466,101850000,47612701000
2013-12-27,383,416,373,413,30600000,12178639000
2013-12-26,366,390,357,385,25829000,9717664000
2013-12-25,319,371,318,368,40255000,13986804000
2013-12-24,318,319,314,314,1884000,595854000
2013-12-20,318,320,316,316,1983000,629825000
2013-12-19,323,324,314,318,2368000,754806000
2013-12-18,318,321,315,315,2274000,722243000
2013-12-17,320,331,317,319,10234000,3309703000
2013-12-16,310,316,306,314,5745000,1787623000
2013-12-13,317,320,312,312,3137000,988875000
2013-12-12,330,335,319,320,6060000,1976944000
2013-12-11,308,341,307,330,15644000,5131386000
2013-12-10,314,317,310,312,5674000,1775161000
2013-12-09,323,330,316,320,10808000,3490957000
2013-12-06,359,363,354,359,1787000,639502000
2013-12-05,360,371,355,360,3988000,1448020000
2013-12-04,352,360,352,360,1568000,557747000
2013-12-03,367,368,354,357,3105000,1124184000
2013-12-02,362,362,356,360,1352000,484444000
2013-11-29,353,361,351,359,2189000,780414000
2013-11-28,360,363,343,354,4035000,1416629000
2013-11-27,367,371,358,362,2891000,1053468000
2013-11-26,367,378,365,371,5846000,2169472000
2013-11-25,377,377,356,359,5076000,1845461000
2013-11-22,382,384,370,375,4381000,1646014000
2013-11-21,398,398,376,384,5265000,2036139000
2013-11-20,393,403,390,394,4275000,1694866000
2013-11-19,393,407,384,395,13265000,5246440000
2013-11-18,379,398,377,397,4989000,1933334000
2013-11-15,383,386,374,381,4056000,1539475000
2013-11-14,375,392,373,379,7999000,3061277000
2013-11-13,378,379,366,369,3043000,1128028000
2013-11-12,380,381,360,377,9537000,3545146000
2013-11-11,396,415,378,384,14963000,5949480000
2013-11-08,377,396,375,388,9330000,3611284000
2013-11-07,400,427,380,385,40540000,16455284000
2013-11-06,370,404,360,395,24258000,9475071000
2013-11-05,377,388,361,370,10612000,3969809000
2013-11-01,376,394,353,377,15896000,5932831000
2013-10-31,385,395,363,368,13769000,5228099000
2013-10-30,398,414,373,382,34198000,13500739000
2013-10-29,431,436,400,407,84165000,35112185000
2013-10-28,386,439,376,439,159124000,65380481000
2013-10-25,343,359,334,359,30872000,10590057000
2013-10-24,321,352,319,342,27254000,9150684000
2013-10-23,335,346,319,326,29429000,9787624000
2013-10-22,313,346,306,339,56294000,18819875000
2013-10-21,302,316,297,306,11315000,3468177000
2013-10-18,268,310,265,306,20223000,5889752000
2013-10-17,270,272,263,264,1133000,302478000
