1847-T,東証1部,イチケン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,177,177,174,176,50000,8761000
2014-06-26,176,176,174,175,48000,8403000
2014-06-25,178,178,175,175,93000,16454000
2014-06-24,174,178,174,177,84000,14757000
2014-06-23,179,179,175,176,81000,14289000
2014-06-20,179,179,176,176,116000,20614000
2014-06-19,179,179,177,179,128000,22832000
2014-06-18,176,180,175,179,340000,60304000
2014-06-17,173,177,172,176,140000,24392000
2014-06-16,173,175,173,173,114000,19802000
2014-06-13,170,174,169,173,155000,26585000
2014-06-12,168,169,167,168,61000,10225000
2014-06-11,168,171,168,168,48000,8090000
2014-06-10,172,172,168,168,88000,14907000
2014-06-09,169,171,168,168,28000,4744000
2014-06-06,168,169,166,169,59000,9883000
2014-06-05,170,171,168,168,84000,14242000
2014-06-04,170,171,170,170,145000,24677000
2014-06-03,167,172,167,171,117000,19851000
2014-06-02,168,169,166,166,75000,12560000
2014-05-30,168,168,166,166,58000,9696000
2014-05-29,168,170,167,168,95000,15986000
2014-05-28,164,168,164,167,92000,15258000
2014-05-27,164,165,162,164,53000,8660000
2014-05-26,165,166,163,164,44000,7252000
2014-05-23,160,165,160,162,42000,6824000
2014-05-22,159,160,158,160,12000,1910000
2014-05-21,158,160,158,159,45000,7142000
2014-05-20,166,166,158,158,115000,18647000
2014-05-19,169,169,164,166,119000,19797000
2014-05-16,166,166,162,164,132000,21745000
2014-05-15,165,168,164,167,88000,14598000
2014-05-14,162,164,161,163,54000,8783000
2014-05-13,161,163,161,162,104000,16826000
2014-05-12,164,164,163,163,35000,5725000
2014-05-09,165,166,163,164,130000,21424000
2014-05-08,166,168,165,166,45000,7468000
2014-05-07,167,168,166,166,47000,7836000
2014-05-02,168,170,167,169,48000,8072000
2014-05-01,168,169,167,169,86000,14416000
2014-04-30,172,173,169,169,79000,13493000
2014-04-28,175,175,170,171,79000,13562000
2014-04-25,171,174,171,174,69000,11948000
2014-04-24,171,172,169,171,98000,16686000
2014-04-23,171,172,171,172,29000,4963000
2014-04-22,173,174,169,170,112000,19142000
2014-04-21,176,177,174,175,104000,18258000
2014-04-18,169,176,169,175,283000,49211000
2014-04-17,171,171,169,169,44000,7474000
2014-04-16,167,172,167,171,64000,10785000
2014-04-15,165,167,165,167,12000,2000000
2014-04-14,164,166,164,165,12000,1981000
2014-04-11,164,167,163,165,63000,10386000
2014-04-10,166,168,165,165,77000,12825000
2014-04-09,166,167,165,166,51000,8473000
2014-04-08,167,168,166,166,48000,7997000
2014-04-07,167,168,167,167,30000,5015000
2014-04-04,167,169,167,169,39000,6539000
2014-04-03,169,169,167,169,40000,6741000
2014-04-02,168,169,167,169,57000,9571000
2014-04-01,168,170,167,168,102000,17160000
2014-03-31,171,172,169,170,45000,7653000
2014-03-28,166,169,165,169,193000,32100000
2014-03-27,163,170,163,170,136000,22758000
2014-03-26,171,173,169,173,111000,18948000
2014-03-25,173,173,168,169,101000,17325000
2014-03-24,166,173,166,171,62000,10528000
2014-03-20,168,168,166,166,101000,16853000
2014-03-19,169,169,167,167,79000,13307000
2014-03-18,168,169,168,169,61000,10286000
2014-03-17,169,170,166,166,110000,18439000
2014-03-14,172,173,168,169,221000,37795000
2014-03-13,171,177,171,175,166000,29102000
2014-03-12,172,173,170,173,57000,9781000
2014-03-11,174,174,172,174,32000,5542000
2014-03-10,174,175,172,173,41000,7110000
2014-03-07,173,174,172,174,32000,5531000
2014-03-06,168,172,168,172,35000,5972000
2014-03-05,172,172,170,170,22000,3763000
2014-03-04,167,170,167,170,24000,4045000
2014-03-03,167,169,166,169,30000,5016000
2014-02-28,177,177,166,170,130000,22226000
2014-02-27,175,176,174,174,40000,6992000
2014-02-26,177,178,175,175,46000,8137000
2014-02-25,175,177,173,177,61000,10674000
2014-02-24,175,176,173,173,33000,5758000
2014-02-21,171,174,171,174,26000,4473000
2014-02-20,171,172,168,169,73000,12419000
2014-02-19,174,175,171,171,24000,4145000
2014-02-18,174,175,172,174,63000,10916000
2014-02-17,170,172,169,172,30000,5105000
2014-02-14,177,177,167,170,123000,20931000
2014-02-13,178,178,173,173,127000,22336000
2014-02-12,170,173,170,172,46000,7904000
2014-02-10,170,174,168,170,60000,10179000
2014-02-07,164,176,164,169,70000,11745000
2014-02-06,161,165,160,163,60000,9707000
2014-02-05,161,162,157,160,137000,21875000
2014-02-04,159,160,154,157,288000,45289000
2014-02-03,171,173,169,169,119000,20301000
2014-01-31,176,176,173,175,89000,15501000
2014-01-30,177,177,174,174,190000,33262000
