1868-T,東証1部,三井ホーム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,480,480,477,479,33000,15813000
2014-06-26,479,480,478,478,26000,12445000
2014-06-25,479,479,477,478,33000,15784000
2014-06-24,472,478,472,477,32000,15225000
2014-06-23,472,476,472,473,31000,14691000
2014-06-20,474,475,472,474,30000,14227000
2014-06-19,468,474,468,474,38000,17910000
2014-06-18,472,472,467,469,16000,7517000
2014-06-17,468,469,466,467,18000,8413000
2014-06-16,472,472,463,464,33000,15364000
2014-06-13,466,471,463,466,64000,29827000
2014-06-12,472,472,465,467,15000,7006000
2014-06-11,464,470,464,468,22000,10283000
2014-06-10,473,473,466,466,24000,11293000
2014-06-09,468,472,465,470,32000,15040000
2014-06-06,464,468,462,468,26000,12114000
2014-06-05,465,467,461,465,28000,13005000
2014-06-04,467,467,466,466,4000,1865000
2014-06-03,470,470,466,467,21000,9831000
2014-06-02,470,470,467,468,15000,7027000
2014-05-30,465,468,463,464,15000,6971000
2014-05-29,468,468,464,467,13000,6068000
2014-05-28,464,469,461,468,25000,11619000
2014-05-27,468,468,466,467,18000,8412000
2014-05-26,465,465,464,465,18000,8369000
2014-05-23,459,461,459,461,26000,11962000
2014-05-22,455,456,455,456,6000,2735000
2014-05-21,452,454,452,454,11000,4980000
2014-05-20,458,458,453,453,21000,9565000
2014-05-19,456,457,455,455,11000,5016000
2014-05-16,458,458,456,456,42000,19176000
2014-05-15,457,459,457,458,35000,16016000
2014-05-14,461,461,459,461,17000,7820000
2014-05-13,458,462,458,458,45000,20663000
2014-05-12,462,462,455,456,91000,41706000
2014-05-09,462,464,461,462,47000,21709000
2014-05-08,466,469,461,463,69000,32061000
2014-05-07,468,468,461,463,60000,27881000
2014-05-02,472,473,470,472,20000,9435000
2014-05-01,476,476,473,475,13000,6176000
2014-04-30,477,477,470,471,25000,11829000
2014-04-28,472,477,468,471,24000,11323000
2014-04-25,476,477,469,476,41000,19440000
2014-04-24,480,483,470,472,55000,26347000
2014-04-23,471,490,468,480,148000,71018000
2014-04-22,465,467,461,463,22000,10196000
2014-04-21,466,469,465,465,10000,4665000
2014-04-18,467,467,465,466,21000,9794000
2014-04-17,470,474,463,470,26000,12163000
2014-04-16,463,468,462,468,19000,8821000
2014-04-15,465,467,464,464,12000,5588000
2014-04-14,462,470,460,467,12000,5581000
2014-04-11,460,467,460,462,23000,10630000
2014-04-10,468,474,465,465,20000,9364000
2014-04-09,471,471,464,464,42000,19588000
2014-04-08,483,483,469,469,25000,11831000
2014-04-07,487,487,482,483,8000,3869000
2014-04-04,484,490,482,487,31000,15088000
2014-04-03,484,485,481,483,27000,13072000
2014-04-02,483,485,483,483,47000,22750000
2014-04-01,485,485,475,483,47000,22634000
2014-03-31,483,485,480,483,37000,17877000
2014-03-28,482,482,479,481,42000,20191000
2014-03-27,478,480,470,478,38000,18118000
2014-03-26,478,484,475,483,86000,41351000
2014-03-25,478,483,460,476,128000,60579000
2014-03-24,455,476,455,476,57000,26728000
2014-03-20,471,471,455,455,68000,31442000
2014-03-19,470,472,470,471,14000,6588000
2014-03-18,475,475,470,474,21000,9955000
2014-03-17,468,469,460,463,42000,19490000
2014-03-14,476,476,470,470,93000,44056000
2014-03-13,475,479,473,476,26000,12360000
2014-03-12,479,479,475,475,19000,9049000
2014-03-11,478,481,478,480,13000,6230000
2014-03-10,480,480,475,478,23000,10972000
2014-03-07,480,482,466,482,47000,22414000
2014-03-06,477,480,477,479,14000,6702000
2014-03-05,482,482,474,476,23000,10995000
2014-03-04,470,478,470,478,20000,9502000
2014-03-03,475,475,470,475,40000,18892000
2014-02-28,477,480,472,474,39000,18534000
2014-02-27,480,480,477,477,24000,11498000
2014-02-26,474,485,474,481,28000,13438000
2014-02-25,479,480,472,479,34000,16269000
2014-02-24,472,475,469,472,35000,16512000
2014-02-21,472,475,470,472,23000,10848000
2014-02-20,469,471,466,466,18000,8415000
2014-02-19,465,473,465,473,38000,17823000
2014-02-18,465,471,465,470,36000,16835000
2014-02-17,465,472,465,466,16000,7467000
2014-02-14,467,470,463,463,46000,21439000
2014-02-13,472,476,468,468,23000,10856000
2014-02-12,465,474,465,472,60000,28108000
2014-02-10,467,475,467,469,27000,12688000
2014-02-07,455,464,455,463,71000,32564000
2014-02-06,464,464,456,457,40000,18356000
