1873-T,東証1部,東ハウス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,525,530,510,523,279200,145503000
2014-06-26,525,531,520,525,315300,165703000
2014-06-25,520,525,520,522,223600,116887500
2014-06-24,523,524,517,520,257400,134015500
2014-06-23,521,523,517,521,287200,149261700
2014-06-20,513,523,508,523,394600,203842100
2014-06-19,507,513,505,513,273600,139393000
2014-06-18,507,510,504,508,167000,84768700
2014-06-17,507,507,499,506,239600,120731900
2014-06-16,508,508,500,506,204200,103145600
2014-06-13,505,509,502,504,206900,104506500
2014-06-12,505,512,505,508,104600,53220400
2014-06-11,507,515,498,512,360900,183061900
2014-06-10,515,517,506,509,307900,157179700
2014-06-09,523,525,515,516,279900,145274700
2014-06-06,513,520,512,516,249300,128544200
2014-06-05,520,522,507,509,441500,227083400
2014-06-04,534,534,517,523,641700,337147500
2014-06-03,512,542,512,534,953900,505764000
2014-06-02,510,514,501,508,591200,300727400
2014-05-30,516,522,508,508,792500,405923500
2014-05-29,515,524,502,514,1607700,827718500
2014-05-28,512,528,512,521,1030100,535705800
2014-05-27,501,510,500,510,578500,292123500
2014-05-26,488,501,487,500,508800,251869500
2014-05-23,483,487,481,485,201600,97759900
2014-05-22,474,488,474,484,340600,164430600
2014-05-21,471,476,466,466,250500,117607800
2014-05-20,474,481,471,477,180900,86195400
2014-05-19,480,480,467,469,246800,116920800
2014-05-16,479,482,466,479,348500,165673300
2014-05-15,477,479,475,477,265800,126900500
2014-05-14,475,490,462,483,558100,267959800
2014-05-13,468,478,467,476,172400,81315200
2014-05-12,489,489,461,465,554700,261780500
2014-05-09,492,493,486,490,254800,124605000
2014-05-08,490,495,488,493,189500,93277900
2014-05-07,489,489,485,488,141200,68774300
2014-05-02,493,493,488,488,99300,48712100
2014-05-01,491,492,487,492,167300,81806500
2014-04-30,494,495,486,489,203800,99887300
2014-04-28,491,494,486,490,135800,66469100
2014-04-25,491,492,485,491,190700,93311600
2014-04-24,497,497,490,494,162500,80177100
2014-04-23,502,502,495,498,137800,68639900
2014-04-22,506,506,498,501,143700,72052400
2014-04-21,504,507,502,505,347200,175349500
2014-04-18,505,508,499,502,210900,106352600
2014-04-17,499,506,498,506,318300,159885700
2014-04-16,487,495,485,495,212500,103681200
2014-04-15,490,491,483,484,252200,122884200
2014-04-14,481,489,481,484,156000,75518000
2014-04-11,480,487,476,485,239100,115183200
2014-04-10,498,499,488,491,307800,152238400
2014-04-09,485,492,485,489,214700,105057700
2014-04-08,496,497,485,487,403200,197837100
2014-04-07,505,507,503,505,243600,123011000
2014-04-04,508,510,503,508,327400,165994200
2014-04-03,515,516,507,512,412500,211212400
2014-04-02,500,520,495,509,1310700,665499700
2014-04-01,463,473,463,464,150200,69927000
2014-03-31,477,480,464,464,222500,104779500
2014-03-28,457,474,451,474,314400,146422700
2014-03-27,450,460,443,455,149400,67474600
2014-03-26,460,460,451,451,128400,58438900
2014-03-25,454,455,450,454,108000,48907800
2014-03-24,452,456,447,453,191500,86390300
2014-03-20,464,464,449,451,248600,112915200
2014-03-19,453,467,453,466,302500,139411500
2014-03-18,447,458,447,451,217800,98223400
2014-03-17,458,460,439,443,265100,118649200
2014-03-14,457,460,451,460,367300,167484000
2014-03-13,456,462,453,460,234700,107305500
2014-03-12,464,464,453,456,114300,52411400
2014-03-11,455,469,454,466,223100,103332100
2014-03-10,464,464,451,456,173200,78878300
2014-03-07,469,470,460,462,165500,76791900
2014-03-06,459,476,459,473,160000,74651800
2014-03-05,459,464,455,458,138300,63583000
2014-03-04,448,458,447,457,115000,52055900
2014-03-03,460,460,446,451,183900,83279500
2014-02-28,469,469,458,464,144800,66762800
2014-02-27,467,471,464,464,108400,50587200
2014-02-26,483,484,466,478,490500,235171300
2014-02-25,461,465,460,460,113700,52565300
2014-02-24,462,465,459,461,77300,35647900
2014-02-21,460,462,452,458,142900,65235200
2014-02-20,460,460,447,450,158000,71409100
2014-02-19,457,464,457,462,68600,31529500
2014-02-18,450,468,450,466,167800,77280800
2014-02-17,448,450,436,448,182000,80724100
2014-02-14,455,461,432,444,367700,162557900
2014-02-13,463,467,451,457,247400,113733900
2014-02-12,468,470,460,460,166500,77640700
2014-02-10,454,464,452,457,177700,81132900
2014-02-07,444,448,442,443,161500,71787400
2014-02-06,430,445,429,440,134700,58716800
2014-02-05,426,431,415,425,273900,116098400
2014-02-04,425,427,405,412,467000,195269300
2014-02-03,463,463,440,441,444100,200285500
2014-01-31,475,483,468,469,335000,158871000
2014-01-30,484,484,472,473,179000,85242000
2014-01-29,485,493,484,488,214000,104345000
2014-01-28,480,481,475,477,163000,77931000
2014-01-27,490,490,474,474,392000,187992000
2014-01-24,502,503,499,499,187000,93727000
2014-01-23,512,512,506,506,175000,88935000
2014-01-22,514,515,508,512,229000,117104000
2014-01-21,519,519,514,516,235000,121228000
2014-01-20,519,520,516,517,210000,108676000
2014-01-17,517,519,514,519,181000,93530000
2014-01-16,522,523,516,519,204000,105718000
2014-01-15,515,518,515,517,158000,81546000
2014-01-14,517,521,516,518,139000,71980000
2014-01-10,525,526,515,524,218000,113718000
2014-01-09,527,527,524,527,112000,58900000
2014-01-08,527,530,525,529,285000,150353000
2014-01-07,532,532,524,526,218000,115142000
2014-01-06,526,532,524,528,248000,130920000
2013-12-30,520,536,518,527,722000,380213000
2013-12-27,521,521,505,510,516000,264911000
2013-12-26,486,509,486,508,481000,240927000
2013-12-25,473,473,463,470,609000,284843000
2013-12-24,483,487,472,473,412000,197129000
2013-12-20,490,490,477,481,322000,155813000
2013-12-19,498,499,491,491,236000,116740000
2013-12-18,498,499,492,494,260000,128936000
2013-12-17,500,501,495,496,165000,82144000
2013-12-16,510,510,494,494,224000,112638000
2013-12-13,501,502,492,492,243000,120437000
2013-12-12,503,504,497,500,274000,137017000
2013-12-11,520,527,505,507,371000,190124000
2013-12-10,534,536,510,521,668000,348984000
2013-12-09,527,537,524,531,350000,186328000
2013-12-06,523,525,521,524,100000,52328000
2013-12-05,523,527,521,523,125000,65412000
2013-12-04,527,530,520,527,221000,116038000
2013-12-03,536,537,530,533,179000,95595000
2013-12-02,535,536,527,531,223000,118454000
2013-11-29,524,528,523,528,97000,50930000
2013-11-28,522,529,521,522,142000,74255000
2013-11-27,533,534,522,525,183000,96751000
2013-11-26,540,540,536,539,155000,83469000
2013-11-25,541,545,538,543,180000,97678000
2013-11-22,545,548,534,540,203000,110057000
2013-11-21,530,544,530,543,184000,98895000
2013-11-20,527,537,520,534,265000,140569000
2013-11-19,535,538,520,520,283000,149871000
2013-11-18,535,545,531,531,299000,160437000
2013-11-15,528,533,527,528,167000,88427000
2013-11-14,526,530,522,525,161000,84670000
2013-11-13,513,518,513,516,90000,46369000
2013-11-12,509,514,506,512,96000,49045000
2013-11-11,513,515,504,509,160000,81332000
2013-11-08,508,510,504,507,195000,98737000
2013-11-07,508,520,504,516,328000,167126000
2013-11-06,505,514,505,508,228000,115805000
2013-11-05,522,522,507,513,170000,87469000
2013-11-01,526,535,514,520,176000,92006000
2013-10-31,547,547,521,524,439000,234247000
2013-10-30,559,562,543,548,238000,131727000
2013-10-29,550,562,549,556,413000,228763000
2013-10-28,578,578,572,576,368000,211737000
2013-10-25,585,585,565,575,465000,267232000
2013-10-24,572,587,571,582,358000,207167000
2013-10-23,573,578,570,571,300000,172166000
2013-10-22,579,580,563,573,394000,225319000
2013-10-21,553,580,553,579,578000,328472000
2013-10-18,552,552,549,549,308000,169434000
2013-10-17,551,554,550,552,313000,172637000
2013-10-16,552,552,548,550,292000,160726000
2013-10-15,560,561,554,555,319000,177710000
2013-10-11,555,559,551,555,498000,276032000
2013-10-10,550,552,547,548,281000,154155000
2013-10-09,546,550,544,547,294000,160777000
2013-10-08,532,557,531,556,432000,234185000
2013-10-07,568,570,540,540,440000,242631000
2013-10-04,575,579,562,576,264000,150949000
2013-10-03,601,605,585,587,386000,229987000
2013-10-02,630,632,610,611,318000,197377000
2013-10-01,630,644,627,631,255000,161939000
2013-09-30,626,634,624,634,142000,89220000
2013-09-27,628,629,623,626,144000,90128000
2013-09-26,610,620,610,617,166000,101808000
2013-09-25,628,628,615,617,168000,104476000
2013-09-24,618,628,618,628,184000,114549000
2013-09-20,623,623,616,617,111000,68675000
2013-09-19,625,625,615,621,112000,69397000
2013-09-18,642,645,615,622,283000,177147000
2013-09-17,641,650,635,642,256000,164545000
2013-09-13,616,634,612,626,290000,180673000
2013-09-12,578,620,578,609,304000,183016000
2013-09-11,570,584,568,575,210000,120609000
2013-09-10,550,559,550,556,137000,76049000
2013-09-09,553,554,544,545,120000,65943000
2013-09-06,545,545,533,533,113000,60837000
2013-09-05,553,555,542,545,249000,136739000
2013-09-04,590,590,550,557,311000,176393000
2013-09-03,551,585,550,580,221000,125123000
2013-09-02,542,547,535,541,88000,47770000
2013-08-30,541,545,532,532,90000,48338000
2013-08-29,550,556,536,547,89000,48531000
2013-08-28,555,559,550,550,68000,37599000
2013-08-27,559,565,550,565,75000,41743000
2013-08-26,573,573,556,559,74000,41674000
2013-08-23,558,560,553,553,57000,31722000
2013-08-22,555,565,551,552,45000,24984000
2013-08-21,572,572,560,561,39000,22013000
2013-08-20,570,580,570,572,60000,34393000
2013-08-19,572,580,572,580,24000,13827000
2013-08-16,572,579,571,579,24000,13765000
2013-08-15,580,583,575,576,64000,36991000
2013-08-14,590,591,584,586,49000,28857000
2013-08-13,582,590,582,588,25000,14662000
2013-08-12,590,598,580,582,33000,19326000
2013-08-09,604,604,590,590,51000,30394000
2013-08-08,610,610,601,603,46000,27827000
2013-08-07,611,619,610,615,29000,17782000
2013-08-06,622,622,613,616,24000,14782000
2013-08-05,608,624,608,617,43000,26561000
2013-08-02,610,621,602,608,65000,39730000
2013-08-01,595,608,590,608,47000,28152000
2013-07-31,610,614,595,595,61000,36892000
2013-07-30,595,609,595,609,34000,20424000
2013-07-29,615,615,594,594,75000,45128000
2013-07-26,641,641,613,614,104000,65386000
2013-07-25,630,635,627,631,54000,34023000
2013-07-24,635,637,627,637,34000,21495000
2013-07-23,638,646,634,634,72000,46007000
2013-07-22,650,650,637,642,64000,41232000
2013-07-19,650,651,626,630,143000,91124000
2013-07-18,660,660,646,647,94000,61344000
2013-07-17,663,664,642,659,66000,43376000
2013-07-16,675,675,660,673,106000,71196000
