1896-T,東証1部,大林道,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,530,530,517,520,238000,124139000
2014-06-26,533,535,529,529,95000,50499000
2014-06-25,523,535,523,533,160000,84817000
2014-06-24,527,527,522,523,171000,89623000
2014-06-23,531,535,526,526,200000,106084000
2014-06-20,534,537,529,530,249000,132522000
2014-06-19,534,535,532,534,192000,102424000
2014-06-18,540,540,531,532,139000,74197000
2014-06-17,535,538,533,535,132000,70653000
2014-06-16,547,547,533,538,184000,99020000
2014-06-13,535,547,535,545,185000,99939000
2014-06-12,538,546,533,545,152000,81703000
2014-06-11,533,540,532,538,165000,88541000
2014-06-10,550,555,533,536,337000,183647000
2014-06-09,548,556,541,544,264000,145067000
2014-06-06,547,549,543,546,96000,52468000
2014-06-05,548,549,542,544,105000,57295000
2014-06-04,546,549,540,549,114000,62037000
2014-06-03,546,546,540,545,126000,68387000
2014-06-02,538,545,535,541,186000,100475000
2014-05-30,550,550,531,536,120000,64486000
2014-05-29,547,549,537,544,95000,51743000
2014-05-28,540,553,533,546,217000,118054000
2014-05-27,548,548,535,537,145000,78448000
2014-05-26,536,541,530,541,162000,86902000
2014-05-23,527,530,518,530,168000,88285000
2014-05-22,517,531,508,520,241000,125267000
2014-05-21,507,510,503,507,163000,82630000
2014-05-20,511,519,511,512,153000,78629000
2014-05-19,523,525,509,511,202000,104020000
2014-05-16,536,536,520,528,133000,69836000
2014-05-15,534,543,533,536,121000,65023000
2014-05-14,538,548,528,546,211000,113330000
2014-05-13,526,540,522,538,449000,238567000
2014-05-12,544,545,526,531,504000,269764000
2014-05-09,545,562,544,549,223000,123479000
2014-05-08,563,563,552,554,221000,123150000
2014-05-07,577,579,562,564,231000,131368000
2014-05-02,579,586,573,580,219000,126960000
2014-05-01,566,580,564,577,232000,132678000
2014-04-30,553,567,553,567,221000,123523000
2014-04-28,560,565,550,554,197000,109692000
2014-04-25,559,570,559,568,273000,154586000
2014-04-24,558,572,558,563,229000,129260000
2014-04-23,551,559,549,558,187000,103632000
2014-04-22,571,571,549,551,269000,150878000
2014-04-21,567,580,564,566,317000,180711000
2014-04-18,552,568,552,567,248000,139341000
2014-04-17,540,556,535,552,556000,304429000
2014-04-16,530,538,523,531,673000,356948000
2014-04-15,501,541,492,537,642000,337583000
2014-04-14,493,502,490,497,31000,15330000
2014-04-11,495,499,491,493,85000,42008000
2014-04-10,510,513,503,503,50000,25369000
2014-04-09,505,508,501,504,65000,32775000
2014-04-08,527,529,511,512,101000,52470000
2014-04-07,531,534,527,531,62000,32935000
2014-04-04,533,540,533,539,48000,25766000
2014-04-03,542,543,537,537,75000,40469000
2014-04-02,549,549,542,542,91000,49619000
2014-04-01,536,543,528,543,165000,88787000
2014-03-31,538,540,526,531,128000,67918000
2014-03-28,543,545,527,528,127000,67436000
2014-03-27,530,542,516,541,96000,50805000
2014-03-26,537,537,523,528,104000,55008000
2014-03-25,541,554,527,529,189000,102128000
2014-03-24,498,533,498,526,175000,90846000
2014-03-20,510,516,498,498,163000,81940000
2014-03-19,512,518,505,506,65000,33089000
2014-03-18,516,522,501,507,102000,52240000
2014-03-17,522,525,500,508,97000,49693000
2014-03-14,528,528,518,519,108000,56578000
2014-03-13,541,544,533,534,68000,36656000
2014-03-12,548,548,541,541,44000,23888000
2014-03-11,548,558,547,550,74000,40875000
2014-03-10,545,552,542,547,78000,42655000
2014-03-07,543,547,538,541,56000,30364000
2014-03-06,536,543,534,539,71000,38153000
2014-03-05,538,541,535,537,78000,41951000
2014-03-04,516,527,515,525,101000,52734000
2014-03-03,526,529,518,525,98000,51251000
2014-02-28,536,538,533,536,143000,76611000
2014-02-27,551,551,537,538,246000,133249000
2014-02-26,555,560,553,554,74000,41095000
2014-02-25,556,566,556,561,127000,71268000
2014-02-24,561,572,556,559,109000,61191000
2014-02-21,564,571,562,568,53000,30019000
2014-02-20,573,575,556,558,94000,52921000
2014-02-19,576,590,571,579,124000,71979000
2014-02-18,570,583,566,575,77000,44182000
2014-02-17,571,577,560,567,101000,57383000
2014-02-14,593,593,564,578,172000,99133000
2014-02-13,588,603,582,586,177000,104712000
2014-02-12,593,609,579,583,234000,139576000
2014-02-10,591,594,582,588,154000,90689000
2014-02-07,599,599,580,589,157000,92271000
2014-02-06,565,594,565,585,260000,151651000
2014-02-05,541,563,541,560,158000,88024000
2014-02-04,540,555,529,537,302000,163652000
2014-02-03,589,590,565,570,191000,109990000
2014-01-31,596,615,591,600,148000,89176000
2014-01-30,595,610,594,596,154000,92295000
2014-01-29,596,617,593,615,211000,127217000
2014-01-28,589,592,582,582,134000,78502000
2014-01-27,593,596,582,588,219000,129136000
2014-01-24,614,619,606,607,181000,110915000
2014-01-23,613,631,613,625,438000,273529000
2014-01-22,619,619,589,606,202000,121688000
2014-01-21,603,621,603,619,335000,205628000
2014-01-20,600,603,592,601,55000,32910000
