1931-T,東証2部,日本電通,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,351,352,351,352,4000,1405000
2014-06-26,351,351,351,351,2000,702000
2014-06-25,347,347,347,347,1000,347000
2014-06-24,348,351,347,347,9000,3134000
2014-06-23,348,354,348,354,5000,1746000
2014-06-20,347,348,346,348,8000,2775000
2014-06-19,357,358,346,346,9000,3177000
2014-06-18,350,350,350,350,4000,1400000
2014-06-17,349,349,349,349,2000,698000
2014-06-16,350,350,349,349,2000,699000
2014-06-13,345,353,345,353,2000,698000
2014-06-12,345,345,345,345,2000,690000
2014-06-11,346,346,345,345,2000,691000
2014-06-10,-,-,-,-,0,0
2014-06-09,-,-,-,-,0,0
2014-06-06,349,352,349,352,2000,701000
2014-06-05,355,357,348,357,4000,1409000
2014-06-04,372,372,360,360,3000,1104000
2014-06-03,-,-,-,-,0,0
2014-06-02,348,348,348,348,1000,348000
2014-05-30,350,350,349,349,4000,1397000
2014-05-29,349,349,349,349,1000,349000
2014-05-28,358,358,349,349,4000,1422000
2014-05-27,350,358,350,358,7000,2461000
2014-05-26,-,-,-,-,0,0
2014-05-23,345,345,345,345,1000,345000
2014-05-22,-,-,-,-,0,0
2014-05-21,340,340,340,340,2000,680000
2014-05-20,340,340,340,340,4000,1360000
2014-05-19,340,340,340,340,2000,680000
2014-05-16,338,340,338,340,3000,1016000
2014-05-15,337,338,337,338,22000,7434000
2014-05-14,337,337,337,337,2000,674000
2014-05-13,347,347,337,337,8000,2747000
2014-05-12,-,-,-,-,0,0
2014-05-09,345,345,345,345,1000,345000
2014-05-08,339,339,335,335,4000,1346000
2014-05-07,338,338,338,338,1000,338000
2014-05-02,338,338,338,338,2000,676000
2014-05-01,-,-,-,-,0,0
2014-04-30,345,345,345,345,3000,1035000
2014-04-28,-,-,-,-,0,0
2014-04-25,-,-,-,-,0,0
2014-04-24,-,-,-,-,0,0
2014-04-23,-,-,-,-,0,0
2014-04-22,-,-,-,-,0,0
2014-04-21,345,345,345,345,2000,690000
2014-04-18,345,345,345,345,1000,345000
2014-04-17,348,348,340,340,3000,1036000
2014-04-16,-,-,-,-,0,0
2014-04-15,342,342,342,342,1000,342000
2014-04-14,-,-,-,-,0,0
2014-04-11,-,-,-,-,0,0
2014-04-10,-,-,-,-,0,0
2014-04-09,349,349,338,338,5000,1714000
2014-04-08,352,352,352,352,1000,352000
2014-04-07,360,360,354,354,2000,714000
2014-04-04,-,-,-,-,0,0
2014-04-03,365,365,360,360,3000,1085000
2014-04-02,358,358,358,358,1000,358000
2014-04-01,-,-,-,-,0,0
2014-03-31,354,354,352,352,4000,1414000
2014-03-28,-,-,-,-,0,0
2014-03-27,-,-,-,-,0,0
2014-03-26,-,-,-,-,0,0
2014-03-25,-,-,-,-,0,0
2014-03-24,362,362,362,362,1000,362000
2014-03-20,375,375,364,364,3000,1106000
2014-03-19,-,-,-,-,0,0
2014-03-18,-,-,-,-,0,0
2014-03-17,375,375,375,375,3000,1125000
2014-03-14,369,375,369,375,6000,2220000
2014-03-13,370,370,369,369,3000,1109000
2014-03-12,370,370,369,370,6000,2217000
2014-03-11,372,372,369,370,4000,1483000
2014-03-10,375,375,374,374,4000,1499000
2014-03-07,359,367,359,367,2000,726000
2014-03-06,-,-,-,-,0,0
2014-03-05,366,367,359,359,4000,1458000
2014-03-04,367,367,366,366,4000,1467000
2014-03-03,359,367,359,367,5000,1809000
2014-02-28,364,364,359,359,4000,1451000
2014-02-27,360,360,357,357,2000,717000
2014-02-26,-,-,-,-,0,0
2014-02-25,-,-,-,-,0,0
2014-02-24,-,-,-,-,0,0
2014-02-21,359,359,359,359,1000,359000
2014-02-20,363,363,363,363,2000,726000
2014-02-19,-,-,-,-,0,0
2014-02-18,363,363,363,363,2000,726000
2014-02-17,-,-,-,-,0,0
2014-02-14,372,372,357,357,7000,2533000
2014-02-13,-,-,-,-,0,0
2014-02-12,-,-,-,-,0,0
2014-02-10,356,356,356,356,1000,356000
