1944-T,東証1部,きんでん,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1002,1002,978,986,1145000,1130141000
2014-06-26,994,1001,984,992,946000,938639000
2014-06-25,982,987,978,984,755000,742973000
2014-06-24,982,987,968,979,1421000,1386310000
2014-06-23,974,980,969,975,900000,877042000
2014-06-20,972,980,959,976,1464000,1421484000
2014-06-19,960,990,959,984,2807000,2761581000
2014-06-18,938,946,931,939,931000,872528000
2014-06-17,941,946,936,943,828000,779286000
2014-06-16,954,959,943,945,639000,606587000
2014-06-13,939,958,937,956,1194000,1134726000
2014-06-12,942,956,939,949,1062000,1008907000
2014-06-11,950,958,946,952,1197000,1139384000
2014-06-10,962,976,947,952,2283000,2190478000
2014-06-09,946,958,938,955,1761000,1675418000
2014-06-06,921,944,917,932,1443000,1347319000
2014-06-05,906,931,902,923,2118000,1950963000
2014-06-04,891,904,891,902,1596000,1436441000
2014-06-03,904,910,877,882,2255000,2010981000
2014-06-02,879,897,879,895,1810000,1611058000
2014-05-30,896,907,872,874,13107000,11536949000
2014-05-29,883,903,880,900,1245000,1115272000
2014-05-28,885,913,885,892,1456000,1308044000
2014-05-27,889,904,889,897,857000,769867000
2014-05-26,889,904,886,895,937000,840379000
2014-05-23,890,895,881,884,1102000,977898000
2014-05-22,886,899,882,892,840000,749142000
2014-05-21,880,891,879,890,707000,625629000
2014-05-20,907,915,892,893,937000,844226000
2014-05-19,904,912,894,898,657000,592107000
2014-05-16,904,905,884,899,1585000,1416150000
2014-05-15,921,923,901,918,1506000,1373451000
2014-05-14,942,973,934,951,1014000,968914000
2014-05-13,926,937,912,927,836000,771900000
2014-05-12,942,947,913,923,874000,809731000
2014-05-09,930,945,925,939,683000,640769000
2014-05-08,916,939,916,933,914000,849881000
2014-05-07,942,942,910,913,837000,771009000
2014-05-02,949,957,943,957,476000,452883000
2014-05-01,953,959,942,950,590000,559853000
2014-04-30,959,967,936,940,1052000,995125000
2014-04-28,960,960,949,957,456000,434881000
2014-04-25,963,973,958,963,462000,445236000
