1961-T,東証1部,三機工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,761,825,756,772,904000,705657000
2014-06-26,723,724,715,720,86000,61973000
2014-06-25,721,725,721,723,171000,123591000
2014-06-24,690,718,686,715,213000,149309000
2014-06-23,685,690,685,687,80000,54977000
2014-06-20,672,683,672,680,85000,57633000
2014-06-19,658,669,658,667,101000,66988000
2014-06-18,670,671,662,664,131000,87222000
2014-06-17,660,670,660,666,70000,46501000
2014-06-16,670,670,662,666,58000,38635000
2014-06-13,661,670,656,669,156000,103341000
2014-06-12,657,663,653,656,44000,28965000
2014-06-11,664,669,660,667,53000,35221000
2014-06-10,666,666,660,664,46000,30525000
2014-06-09,669,670,662,667,41000,27301000
2014-06-06,669,670,664,670,73000,48770000
2014-06-05,663,669,658,667,87000,57875000
2014-06-04,655,660,647,653,62000,40402000
2014-06-03,660,661,655,655,48000,31507000
2014-06-02,659,665,658,664,53000,35097000
2014-05-30,655,660,652,658,59000,38742000
2014-05-29,653,656,652,653,50000,32683000
2014-05-28,655,662,655,660,63000,41595000
2014-05-27,659,663,657,658,43000,28382000
2014-05-26,654,660,650,658,50000,32822000
2014-05-23,642,655,642,651,53000,34366000
2014-05-22,645,650,641,649,43000,27755000
2014-05-21,642,648,635,638,56000,35907000
2014-05-20,655,655,648,650,34000,22160000
2014-05-19,654,658,640,645,37000,23984000
2014-05-16,661,661,653,659,90000,59226000
2014-05-15,669,671,665,667,130000,86857000
2014-05-14,647,673,645,672,244000,162199000
2014-05-13,630,631,622,627,33000,20675000
2014-05-12,627,641,625,630,55000,34855000
2014-05-09,633,642,633,637,34000,21682000
2014-05-08,640,645,624,633,63000,39863000
2014-05-07,642,645,628,640,97000,62043000
2014-05-02,647,647,635,645,62000,39862000
2014-05-01,629,639,628,638,53000,33519000
2014-04-30,626,628,621,628,43000,26913000
2014-04-28,617,622,611,616,57000,35083000
2014-04-25,617,629,617,625,61000,38023000
2014-04-24,621,623,615,623,37000,22900000
2014-04-23,614,622,614,621,31000,19187000
2014-04-22,618,620,612,613,35000,21542000
2014-04-21,625,628,616,618,40000,24843000
2014-04-18,611,621,610,621,50000,30700000
2014-04-17,618,618,607,611,110000,67165000
2014-04-16,604,610,601,610,102000,61611000
2014-04-15,607,617,605,614,33000,20207000
2014-04-14,596,615,596,609,36000,21864000
2014-04-11,604,611,603,605,37000,22464000
2014-04-10,620,626,614,616,99000,61314000
2014-04-09,622,623,615,618,79000,48971000
2014-04-08,646,650,635,639,70000,44964000
2014-04-07,652,654,648,652,103000,67014000
2014-04-04,648,653,646,651,95000,61620000
2014-04-03,668,668,646,654,175000,114508000
2014-04-02,667,668,658,664,69000,45807000
2014-04-01,654,668,654,668,86000,56881000
2014-03-31,652,660,639,654,191000,124268000
2014-03-28,657,662,649,662,218000,143338000
2014-03-27,655,670,647,667,342000,226552000
2014-03-26,617,644,617,642,180000,114820000
2014-03-25,620,638,611,624,172000,108248000
2014-03-24,599,622,599,617,244000,149746000
2014-03-20,585,593,581,581,204000,119197000
2014-03-19,599,599,589,592,80000,47518000
2014-03-18,604,605,592,598,67000,40071000
2014-03-17,597,597,582,584,58000,34278000
2014-03-14,598,604,591,594,254000,151910000
2014-03-13,604,605,597,599,77000,46225000
2014-03-12,604,604,597,600,62000,37175000
2014-03-11,606,608,600,606,65000,39281000
2014-03-10,608,608,598,600,73000,43887000
2014-03-07,606,608,599,608,84000,50818000
2014-03-06,583,597,583,592,95000,56203000
2014-03-05,589,591,577,583,85000,49795000
2014-03-04,570,581,567,579,108000,62114000
2014-03-03,579,579,562,570,59000,33558000
2014-02-28,579,582,570,573,161000,92728000
2014-02-27,591,603,584,585,122000,72058000
2014-02-26,605,608,595,601,103000,61889000
2014-02-25,587,607,584,605,141000,83916000
2014-02-24,585,595,573,576,163000,94869000
2014-02-21,584,590,574,575,143000,82587000
2014-02-20,580,588,576,580,107000,62169000
2014-02-19,580,581,576,580,98000,56761000
2014-02-18,578,589,578,583,134000,78397000
2014-02-17,586,588,572,588,79000,46017000
2014-02-14,577,584,568,576,159000,91556000
2014-02-13,585,595,574,577,251000,145830000
2014-02-12,611,624,611,615,70000,43195000
2014-02-10,618,623,604,615,108000,66142000
2014-02-07,611,614,604,611,70000,42649000
2014-02-06,598,612,593,597,125000,75017000
2014-02-05,588,602,587,599,241000,143208000
2014-02-04,614,630,584,584,250000,150642000
2014-02-03,625,635,621,624,100000,62727000
2014-01-31,630,639,627,632,82000,51853000
2014-01-30,619,628,617,620,126000,78172000
2014-01-29,621,649,621,639,56000,35615000
2014-01-28,637,639,616,619,167000,104297000
2014-01-27,638,650,633,637,139000,89206000
2014-01-24,645,655,645,650,99000,64322000
2014-01-23,664,669,653,658,99000,65174000
2014-01-22,665,674,665,668,127000,84819000
2014-01-21,668,674,658,659,119000,78983000
2014-01-20,680,680,671,672,28000,18893000
2014-01-17,671,677,669,674,49000,33026000
2014-01-16,692,693,668,670,168000,114545000
2014-01-15,672,691,672,686,149000,101941000
2014-01-14,670,679,668,675,148000,99967000
2014-01-10,679,681,661,673,139000,93457000
2014-01-09,676,684,672,676,147000,99362000
2014-01-08,670,675,668,675,80000,53744000
2014-01-07,669,674,661,665,94000,62687000
2014-01-06,671,671,662,670,123000,82264000
2013-12-30,650,664,650,661,95000,62683000
2013-12-27,649,655,645,654,91000,59242000
2013-12-26,643,654,636,651,88000,57210000
2013-12-25,648,650,642,646,130000,84111000
2013-12-24,639,649,639,647,127000,81942000
