1983-T,東証1部,東芝プラ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1520,1520,1483,1499,128300,192163600
2014-06-26,1525,1525,1507,1524,131200,199327600
2014-06-25,1487,1520,1480,1514,321000,483031700
2014-06-24,1444,1480,1444,1478,192900,282952200
2014-06-23,1468,1475,1445,1452,437400,636850200
2014-06-20,1502,1507,1476,1485,158200,235211400
2014-06-19,1491,1509,1486,1501,164100,246350600
2014-06-18,1500,1512,1483,1499,203500,304104500
2014-06-17,1466,1494,1461,1486,246300,365080000
2014-06-16,1497,1503,1461,1466,378600,558846800
2014-06-13,1482,1516,1482,1511,371400,557194800
2014-06-12,1528,1530,1505,1522,136700,207808200
2014-06-11,1528,1553,1528,1542,117100,180165800
2014-06-10,1548,1561,1538,1540,114400,176883600
2014-06-09,1558,1564,1546,1559,99300,154473600
2014-06-06,1535,1555,1535,1554,109300,169014200
2014-06-05,1529,1549,1513,1520,372900,568421600
2014-06-04,1568,1577,1542,1548,361100,561077200
2014-06-03,1566,1579,1557,1569,272800,427945300
2014-06-02,1529,1569,1529,1562,423300,656978300
2014-05-30,1520,1539,1512,1527,433700,662261900
2014-05-29,1532,1534,1501,1507,140200,212157400
2014-05-28,1538,1540,1523,1535,157800,242323600
2014-05-27,1530,1539,1518,1519,125200,191039200
2014-05-26,1520,1537,1515,1530,143000,218207900
2014-05-23,1508,1530,1507,1520,157900,239893000
2014-05-22,1518,1538,1501,1508,158600,240827400
2014-05-21,1509,1529,1502,1512,189600,286762000
2014-05-20,1514,1531,1509,1509,98800,149861900
2014-05-19,1508,1532,1503,1506,141800,214873500
2014-05-16,1506,1522,1487,1505,184000,276491700
2014-05-15,1485,1545,1483,1542,216200,330100400
2014-05-14,1493,1502,1482,1488,119200,177747000
2014-05-13,1501,1517,1485,1502,153700,231369900
2014-05-12,1490,1500,1476,1484,186800,277557500
2014-05-09,1471,1496,1471,1490,133200,197967800
2014-05-08,1488,1498,1474,1489,160800,239619400
2014-05-07,1494,1497,1463,1473,188500,277865100
2014-05-02,1512,1526,1499,1524,160500,243097500
2014-05-01,1500,1516,1490,1510,202000,303695400
2014-04-30,1490,1508,1469,1503,222100,332092000
