2032-T,東証,ハンセンベア,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,9940,9950,9900,9900,721,7163960
2014-06-26,9970,9970,9970,9970,1,9970
2014-06-25,-,-,-,-,0,0
2014-06-24,10070,10090,10070,10080,125,1259890
2014-06-23,9940,9940,9940,9940,1,9940
2014-06-20,-,-,-,-,0,0
2014-06-19,9930,9960,9920,9960,121,1201690
2014-06-18,10010,10010,9990,10000,218,2179180
2014-06-17,9980,10010,9980,10010,10,99940
2014-06-16,9900,9950,9890,9920,508,5037070
2014-06-13,10020,10020,9910,9940,356,3559740
2014-06-12,10000,10080,10000,10020,193,1939890
2014-06-11,10040,10060,10010,10030,49,491690
2014-06-10,10050,10050,10030,10030,2,20080
2014-06-09,10160,10160,10100,10110,252,2546110
2014-06-06,10130,10130,10130,10130,64,648320
2014-06-05,10140,10140,10120,10120,201,2037120
2014-06-04,10110,10150,10110,10150,203,2057340
2014-06-03,10100,10100,10040,10090,4,40270
2014-06-02,10100,10100,10100,10100,1,10100
2014-05-30,10030,10030,10030,10030,62,621860
2014-05-29,10110,10110,10040,10040,15,150820
2014-05-28,10110,10110,10060,10070,20,201720
2014-05-27,10200,10200,10200,10200,8,81600
2014-05-26,10190,10190,10190,10190,1,10190
2014-05-23,10100,10190,10100,10190,56,568300
2014-05-22,10120,10120,10120,10120,17,172040
2014-05-21,10260,10260,10200,10200,4,40950
2014-05-20,10230,10230,10230,10230,24,245520
2014-05-19,-,-,-,-,0,0
2014-05-16,10290,10350,10290,10340,62,641240
2014-05-15,10370,10370,10360,10370,138,1430050
2014-05-14,10520,10520,10400,10400,201,2114400
2014-05-13,-,-,-,-,0,0
2014-05-12,10560,10560,10560,10560,1,10560
2014-05-09,-,-,-,-,0,0
2014-05-08,10690,10790,10690,10710,1606,17168410
2014-05-07,-,-,-,-,0,0
2014-05-02,10640,10640,10610,10610,30,318360
2014-05-01,10690,10690,10690,10690,201,2148690
2014-04-30,10630,10630,10630,10630,20,212600
2014-04-28,10680,10700,10680,10700,153,1636320
2014-04-25,10640,10640,10620,10620,400,4254270
2014-04-24,-,-,-,-,0,0
2014-04-23,-,-,-,-,0,0
2014-04-22,-,-,-,-,0,0
2014-04-21,-,-,-,-,0,0
2014-04-18,-,-,-,-,0,0
2014-04-17,10340,10400,10340,10380,190,1967600
2014-04-16,10400,10410,10400,10410,25,260050
2014-04-15,10270,10400,10270,10400,173,1792810
2014-04-14,10310,10310,10280,10280,220,2261900
2014-04-11,10110,10250,10110,10230,40,409080
2014-04-10,10420,10420,10310,10310,290,3004470
2014-04-09,10500,10500,10310,10390,50,518830
2014-04-08,10710,10710,10590,10590,40,426900
2014-04-07,10680,10680,10550,10550,51,538580
2014-04-04,-,-,-,-,0,0
2014-04-03,-,-,-,-,0,0
2014-04-02,-,-,-,-,0,0
2014-04-01,-,-,-,-,0,0
2014-03-31,-,-,-,-,0,0
2014-03-28,10770,10770,10770,10770,2,21540
2014-03-27,-,-,-,-,0,0
2014-03-26,-,-,-,-,0,0
2014-03-25,10850,10900,10850,10900,26,282350
2014-03-24,10960,10990,10960,10980,74,811860
2014-03-20,11040,11190,11040,11190,146,1624140
2014-03-19,-,-,-,-,0,0
2014-03-18,11010,11010,10990,10990,200,2199300
2014-03-17,10940,10960,10940,10960,272,2981100
2014-03-14,11040,11040,10840,10980,2067,22661130
2014-03-13,10970,10970,10890,10890,32,349280
2014-03-12,10920,10920,10920,10920,3,32760
2014-03-11,10830,10850,10800,10820,126,1364110
2014-03-10,10750,10800,10750,10800,526,5660030
2014-03-07,10620,10620,10600,10600,50,530600
2014-03-06,10560,10580,10520,10520,1021,10742160
2014-03-05,10520,10520,10470,10520,134,1409030
2014-03-04,10520,10520,10520,10520,100,1052000
2014-03-03,10540,10540,10450,10460,133,1392700
2014-02-28,10520,10520,10410,10410,68,711020
2014-02-27,10700,10700,10530,10530,56,593240
2014-02-26,-,-,-,-,0,0
2014-02-25,10690,10690,10680,10680,200,2137000
2014-02-24,10650,10730,10600,10730,37,393980
2014-02-21,-,-,-,-,0,0
2014-02-20,10630,10690,10630,10670,20,213320
2014-02-19,10630,10630,10580,10580,230,2441630
2014-02-18,10530,10580,10530,10580,201,2116580
2014-02-17,10710,10710,10550,10600,2543,26865150
2014-02-14,10750,10770,10750,10750,30,322610
2014-02-13,10800,10800,10790,10800,401,4329780
2014-02-12,10890,10890,10850,10850,24,260440
2014-02-10,11060,11060,11060,11060,43,475580
2014-02-07,11070,11070,11010,11040,504,5558180
2014-02-06,11140,11140,11140,11140,109,1214260
2014-02-05,11020,11020,11020,11020,101,1113020
2014-02-04,11080,11080,11000,11030,572,6329660
2014-02-03,10860,11000,10860,11000,178,1942140
2014-01-31,-,-,-,-,0,0
2014-01-30,11230,11230,10880,10910,152,1687410
2014-01-29,10950,10950,10950,10950,100,1095000
2014-01-28,11040,11040,10890,10970,1101,12035620
2014-01-27,11010,11160,11010,11010,130,1431600
2014-01-24,10870,10870,10780,10790,45,488580
2014-01-23,10640,10640,10530,10530,9,95650
2014-01-22,10640,10640,10640,10640,1,10640
2014-01-21,-,-,-,-,0,0
2014-01-20,-,-,-,-,0,0
2014-01-17,-,-,-,-,0,0
2014-01-16,10700,10700,10700,10700,1,10700
2014-01-15,-,-,-,-,0,0
2014-01-14,-,-,-,-,0,0
2014-01-10,10800,10850,10740,10740,13,140390
2014-01-09,10770,10770,10740,10740,16,172280
2014-01-08,10760,10760,10760,10760,11,118360
2014-01-07,-,-,-,-,0,0
2014-01-06,10790,10870,10790,10870,43,466160
2013-12-30,10560,10560,10560,10560,6,63360
2013-12-27,10550,10550,10550,10550,15,158250
2013-12-26,10610,10610,10570,10570,3,31760
2013-12-25,10530,10530,10530,10530,21,221130
2013-12-24,10590,10650,10590,10650,10,106020
2013-12-20,10800,10800,10800,10800,10,108000
2013-12-19,-,-,-,-,0,0
2013-12-18,10450,10470,10450,10470,20,209360
2013-12-17,10380,10480,10380,10470,204,2136100
2013-12-16,10440,10500,10440,10460,2023,21160630
2013-12-13,10490,10570,10490,10570,6009,63159760
2013-12-12,10380,10400,10380,10380,2003,20791160
2013-12-11,10230,10230,10230,10230,20,204600
2013-12-10,10200,10250,10200,10250,1858,18951750
2013-12-09,10130,10210,10130,10170,4,40680
2013-12-06,10200,10200,10160,10160,303,3090480
2013-12-05,10200,10210,10200,10210,12,122460
2013-12-04,-,-,-,-,0,0
2013-12-03,10090,10210,10090,10190,24,242860
2013-12-02,10090,10090,10090,10090,2,20180
2013-11-29,-,-,-,-,0,0
2013-11-28,10110,10110,10040,10040,2,20150
2013-11-27,10040,10040,10040,10040,1,10040
2013-11-26,10040,10080,10040,10070,224,2255680
2013-11-25,10120,10120,10120,10120,2,20240
2013-11-22,10070,10070,10070,10070,6,60420
2013-11-21,9980,10050,9980,10050,11,110480
2013-11-20,9990,9990,9960,9960,6,59910
2013-11-19,9880,9930,9880,9930,24,238220
2013-11-18,10230,10230,10060,10060,231,2324930
2013-11-15,10430,10430,10280,10280,19,197870
2013-11-14,10400,10400,10380,10380,19,197280
2013-11-13,10260,10390,10260,10390,5150,53385410
2013-11-12,10250,10250,10220,10220,31,316850
2013-11-11,10400,10410,10310,10310,55,569300
2013-11-08,10110,10250,10110,10230,455,4656810
2013-11-07,-,-,-,-,0,0
2013-11-06,10100,10100,10090,10090,8,80780
2013-11-05,10130,10130,10130,10130,3,30390
2013-11-01,10060,10060,10060,10060,40,402400
2013-10-31,10130,10130,10130,10130,1,10130
2013-10-30,-,-,-,-,0,0
2013-10-29,-,-,-,-,0,0
2013-10-28,10230,10230,10160,10160,28,284830
2013-10-25,10130,10130,10130,10130,19,192470
2013-10-24,9940,10000,9940,10000,9,89760
2013-10-23,9940,10010,9920,9920,79,784670
2013-10-22,9990,9990,9930,9980,7,69820
2013-10-21,9900,9920,9900,9920,11,108920
2013-10-18,-,-,-,-,0,0
2013-10-17,10180,10180,9900,9900,106,1049870
