2124-T,JQスタンダード,JACR,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1275,1283,1210,1268,34100,42860000
2014-06-26,1274,1299,1270,1281,19200,24561400
2014-06-25,1315,1317,1294,1301,13900,18133300
2014-06-24,1300,1325,1272,1325,18200,23731100
2014-06-23,1300,1345,1298,1300,23900,31519000
2014-06-20,1310,1326,1290,1299,28300,36964800
2014-06-19,1344,1359,1321,1325,55500,74116500
2014-06-18,1268,1380,1257,1374,115900,154471400
2014-06-17,1223,1241,1205,1230,15900,19408900
2014-06-16,1269,1285,1220,1231,35900,45102300
2014-06-13,1197,1241,1192,1239,34600,42267200
2014-06-12,1160,1197,1150,1197,32500,38131400
2014-06-11,1156,1160,1139,1152,20000,23061400
2014-06-10,1173,1173,1111,1126,42300,48058400
2014-06-09,1180,1198,1155,1190,12000,14183500
2014-06-06,1156,1165,1145,1153,9200,10628800
2014-06-05,1181,1199,1070,1145,29500,33938400
2014-06-04,1170,1202,1170,1182,15900,18952400
2014-06-03,1161,1180,1135,1173,30200,35150400
2014-06-02,1176,1180,1148,1161,30200,35319000
2014-05-30,1105,1135,1092,1116,33400,37171700
2014-05-29,1097,1097,1061,1075,4500,4859100
2014-05-28,1095,1103,1068,1068,10000,10819100
2014-05-27,1127,1135,1066,1066,27800,30436400
2014-05-26,1097,1134,1066,1097,17500,19159300
2014-05-23,1035,1095,1035,1055,18300,19265300
2014-05-22,1020,1035,1006,1015,18300,18637900
2014-05-21,1010,1010,984,995,22400,22232300
2014-05-20,1000,1028,996,999,19900,20002700
2014-05-19,1049,1052,998,1000,16400,16634300
2014-05-16,1070,1081,1031,1032,16000,16812600
2014-05-15,1100,1100,1077,1099,8600,9347800
2014-05-14,1124,1140,1106,1119,6800,7656800
2014-05-13,1088,1117,1088,1104,6900,7566400
2014-05-12,1150,1150,1060,1088,20800,22733700
2014-05-09,1161,1177,1152,1152,7000,8143900
2014-05-08,1190,1198,1170,1170,7800,9197800
2014-05-07,1190,1199,1176,1177,11600,13734000
2014-05-02,1241,1241,1182,1213,14300,17304400
2014-05-01,1188,1206,1170,1206,10200,12174000
2014-04-30,1170,1235,1164,1188,19200,22844600
2014-04-28,1164,1183,1163,1180,6000,7032000
2014-04-25,1199,1204,1157,1184,27300,32226600
2014-04-24,1170,1175,1155,1157,7700,8962900
2014-04-23,1165,1174,1151,1153,9800,11369400
2014-04-22,1169,1183,1158,1171,13500,15771600
2014-04-21,1167,1171,1155,1165,6700,7779800
2014-04-18,1161,1182,1151,1167,11600,13532300
2014-04-17,1201,1214,1161,1170,24800,29614300
2014-04-16,1171,1205,1151,1182,14700,17281600
2014-04-15,1195,1205,1153,1163,15500,18098500
2014-04-14,1147,1230,1136,1196,53300,62855600
2014-04-11,1111,1147,1103,1129,25700,28944400
2014-04-10,1215,1263,1149,1150,42500,50835800
2014-04-09,1234,1249,1191,1205,15500,18891500
2014-04-08,1250,1260,1240,1240,700,872000
2014-04-07,1273,1278,1231,1255,6900,8677600
2014-04-04,1248,1290,1210,1288,29900,37959400
2014-04-03,1300,1306,1199,1248,28300,36096700
2014-04-02,1353,1353,1300,1301,5900,7790500
2014-04-01,1351,1353,1280,1313,24400,32189800
2014-03-31,1225,1291,1225,1291,30600,38647600
2014-03-28,1198,1212,1166,1195,24200,29001900
2014-03-27,1121,1144,1111,1122,11100,12507700
2014-03-26,1135,1184,1110,1121,20000,22876600
2014-03-25,1219,1219,1072,1125,46100,52181500
2014-03-24,1101,1220,1084,1220,27100,31138800
2014-03-20,1160,1170,1117,1120,15000,17059400
2014-03-19,1258,1266,1152,1152,32700,39190300
2014-03-18,1263,1270,1223,1228,19500,24258800
2014-03-17,1284,1316,1243,1262,28300,36439700
2014-03-14,1268,1450,1268,1315,62600,82782100
2014-03-13,1433,1433,1387,1388,15900,22153300
2014-03-12,1429,1440,1358,1430,27300,38396100
2014-03-11,1350,1435,1307,1428,232500,324012600
2014-03-10,1303,1359,1288,1324,30100,39714300
2014-03-07,1290,1340,1289,1303,34200,44627700
2014-03-06,1288,1288,1268,1276,11600,14779600
2014-03-05,1280,1292,1271,1288,20700,26527000
2014-03-04,1278,1278,1230,1268,29300,36996700
2014-03-03,1218,1269,1172,1244,26900,32966700
2014-02-28,1210,1230,1190,1200,14600,17623100
2014-02-27,1195,1226,1192,1226,12000,14503800
2014-02-26,1186,1203,1186,1193,6000,7185900
2014-02-25,1156,1198,1150,1186,7700,9023900
2014-02-24,1147,1202,1147,1156,13200,15549600
2014-02-21,1137,1160,1137,1143,8600,9857800
2014-02-20,1170,1170,1137,1141,8800,10061600
2014-02-19,1173,1189,1164,1170,10600,12428800
2014-02-18,1145,1169,1145,1160,10100,11729100
2014-02-17,1120,1170,1120,1150,7800,8916500
2014-02-14,1173,1173,1127,1128,12500,14206600
2014-02-13,1230,1234,1151,1173,38600,45710300
2014-02-12,1263,1270,1230,1260,47300,59450300
2014-02-10,1240,1277,1216,1263,44800,55970200
2014-02-07,1145,1212,1145,1210,81400,96507400
2014-02-06,1065,1165,1060,1159,72700,80863200
2014-02-05,1030,1107,1030,1095,116100,124192900
2014-02-04,968,1010,934,1000,128900,125781400
2014-02-03,1067,1067,954,983,163900,165319900
2014-01-31,1089,1189,1076,1111,170000,188929100
2014-01-30,1255,1256,1168,1209,112300,135385500
2014-01-29,1311,1361,1282,1285,50100,65598600
2014-01-28,1361,1389,1280,1281,31400,42068400
2014-01-27,1352,1399,1351,1355,27200,37224900
2014-01-24,1429,1445,1421,1434,22200,31752700
2014-01-23,1450,1493,1425,1459,47000,68694400
2014-01-22,1502,1529,1401,1418,131700,192067400
2014-01-21,1400,1422,1400,1412,27100,38204600
2014-01-20,1381,1384,1357,1384,22100,30340000
2014-01-17,1315,1351,1311,1351,24500,32469200
2014-01-16,1365,1369,1331,1337,31600,42457900
2014-01-15,1399,1400,1343,1355,31400,42669400
2014-01-14,1372,1419,1365,1380,36100,50093400
2014-01-10,1406,1438,1391,1432,30600,42968400
2014-01-09,1460,1460,1411,1415,19600,28232000
2014-01-08,1400,1434,1375,1400,28800,40327500
2014-01-07,1465,1465,1375,1410,15200,21687300
2014-01-06,1430,1445,1390,1435,37200,52708100
2013-12-30,1350,1550,1310,1440,101900,141320500
2013-12-27,1331,1350,1325,1331,15500,20714800
2013-12-26,1271,1349,1271,1349,27900,36639600
2013-12-25,3900,3900,3835,3855,22600,87604500
2013-12-24,3915,3935,3765,3855,16600,64096500
2013-12-20,3780,3855,3705,3750,12700,47696500
2013-12-19,3950,3975,3780,3825,13400,52113000
2013-12-18,3900,3965,3890,3920,6600,25918000
2013-12-17,4080,4080,3870,3885,9600,38010500
2013-12-16,4190,4245,4000,4000,7500,30684000
2013-12-13,4095,4290,3940,4140,18700,78090000
2013-12-12,4095,4115,4050,4095,6900,28191000
2013-12-11,4130,4155,4035,4140,8200,33651500
2013-12-10,4040,4110,4030,4105,11000,44817500
2013-12-09,4045,4145,3980,4045,7700,31167500
2013-12-06,3960,3960,3855,3905,8800,34411000
2013-12-05,4115,4135,3960,3980,16600,67239000
2013-12-04,4140,4170,4030,4045,26400,108013500
2013-12-03,4500,4500,4145,4225,24000,103650000
2013-12-02,4120,4420,4120,4400,36100,154037500
2013-11-29,3900,4050,3885,4050,20200,80193000
2013-11-28,3765,3860,3765,3860,16000,61086500
2013-11-27,3705,3750,3660,3725,9800,36379500
2013-11-26,3690,3725,3645,3695,5200,19187500
2013-11-25,3605,3755,3605,3725,13500,50150000
2013-11-22,3770,3770,3605,3615,14000,51717500
2013-11-21,3830,3830,3715,3720,16200,60894500
2013-11-20,3670,3885,3650,3830,72100,269479500
2013-11-19,3470,3470,3400,3420,4400,15032000
2013-11-18,3570,3570,3465,3470,9300,32527500
2013-11-15,3475,3540,3475,3520,7800,27398000
2013-11-14,3560,3560,3470,3470,5000,17606500
2013-11-13,3585,3585,3495,3560,10300,36536000
2013-11-12,3485,3580,3460,3560,15700,55391500
2013-11-11,3325,3455,3325,3450,27000,92254000
2013-11-08,3345,3365,3270,3320,6800,22539500
2013-11-07,3315,3390,3260,3380,12900,42680000
2013-11-06,3275,3300,3245,3300,18800,61667500
2013-11-05,3360,3365,3275,3290,7900,26135000
2013-11-01,3345,3395,3205,3360,15100,50055000
2013-10-31,3365,3460,3345,3345,6700,22677500
2013-10-30,3430,3465,3355,3370,8700,29682000
2013-10-29,3480,3480,3390,3400,8300,28358500
2013-10-28,3495,3495,3390,3410,11100,38031000
2013-10-25,3530,3530,3455,3495,12800,44829000
2013-10-24,3570,3570,3505,3530,22200,78312000
2013-10-23,3735,3735,3560,3575,18400,67083000
2013-10-22,3700,3730,3600,3700,20000,73893500
2013-10-21,3620,3700,3560,3560,27500,100427000
2013-10-18,3450,3510,3390,3510,19000,65561500
2013-10-17,3400,3410,3335,3410,13900,47093500
2013-10-16,3200,3330,3190,3330,11900,38823500
2013-10-15,3270,3285,3200,3200,11900,38403000
2013-10-11,3290,3330,3255,3260,7400,24354500
2013-10-10,3310,3360,3270,3280,4400,14589500
2013-10-09,3320,3340,3205,3340,8700,28498000
2013-10-08,3360,3360,3245,3320,8500,28106000
2013-10-07,3370,3425,3345,3395,20900,70945000
2013-10-04,3230,3305,3230,3305,8600,28135000
2013-10-03,3225,3280,3210,3280,13400,43405500
2013-10-02,3285,3285,3230,3255,12600,41082500
2013-10-01,3315,3350,3225,3225,19000,62114500
