2131-T,東証1部,アコーディア,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1340,1346,1325,1330,253300,337804900
2014-06-26,1339,1341,1325,1338,443100,591171300
2014-06-25,1348,1348,1330,1332,262000,350313600
2014-06-24,1325,1350,1325,1350,833600,1119375700
2014-06-23,1315,1327,1315,1325,363200,480143600
2014-06-20,1312,1318,1301,1314,457900,600104000
2014-06-19,1309,1312,1301,1312,317800,415451400
2014-06-18,1295,1308,1288,1307,359900,466648600
2014-06-17,1295,1299,1290,1297,567200,734662400
2014-06-16,1307,1307,1289,1295,447500,579814100
2014-06-13,1288,1310,1287,1307,479900,622303400
2014-06-12,1293,1305,1289,1300,302300,392139200
2014-06-11,1300,1308,1295,1300,368300,478614100
2014-06-10,1324,1324,1298,1300,406200,531711800
2014-06-09,1330,1330,1319,1321,253400,335230200
2014-06-06,1330,1332,1312,1326,409000,541244700
2014-06-05,1324,1330,1320,1327,503900,667967600
2014-06-04,1320,1322,1307,1320,450200,592379700
2014-06-03,1317,1320,1305,1318,486700,639830400
2014-06-02,1308,1317,1307,1312,523500,686321800
2014-05-30,1306,1312,1302,1303,739800,966555800
2014-05-29,1305,1312,1301,1306,411000,536772400
2014-05-28,1295,1311,1295,1305,495200,645790500
2014-05-27,1289,1296,1286,1293,395500,510885500
2014-05-26,1286,1290,1273,1289,377600,484621100
2014-05-23,1260,1277,1256,1269,455800,577337100
2014-05-22,1249,1255,1241,1253,412700,515317500
2014-05-21,1235,1248,1235,1241,265500,329294000
2014-05-20,1256,1256,1238,1244,280000,348772300
2014-05-19,1242,1265,1239,1240,373200,464945200
2014-05-16,1245,1245,1223,1241,426300,525093500
2014-05-15,1249,1253,1241,1250,257500,321355800
2014-05-14,1251,1260,1217,1256,1070000,1326993000
2014-05-13,1265,1267,1254,1259,302200,380622100
2014-05-12,1260,1263,1247,1255,831600,1043612600
2014-05-09,1273,1292,1266,1287,542300,694867300
2014-05-08,1287,1301,1280,1280,603800,779129300
2014-05-07,1278,1293,1277,1287,469400,603369500
2014-05-02,1290,1291,1278,1288,497300,638949500
2014-05-01,1309,1315,1279,1297,746500,964346700
2014-04-30,1299,1315,1270,1310,973000,1254482000
2014-04-28,1260,1330,1252,1317,1332000,1725637800
2014-04-25,1252,1300,1239,1268,792200,999055100
2014-04-24,1236,1252,1230,1250,614100,764143300
2014-04-23,1222,1236,1222,1236,731200,899588100
2014-04-22,1238,1240,1229,1235,579100,715245200
2014-04-21,1230,1243,1218,1236,692300,851836300
2014-04-18,1247,1247,1225,1231,585600,723898800
2014-04-17,1234,1245,1229,1241,1252600,1551510600
2014-04-16,1201,1235,1201,1234,1408900,1724161000
2014-04-15,1166,1204,1166,1201,2439500,2918514300
2014-04-14,1125,1182,1125,1159,1537400,1785343800
2014-04-11,1105,1127,1100,1125,802300,895695100
2014-04-10,1131,1143,1120,1123,672900,757825500
2014-04-09,1127,1131,1114,1123,777100,873023700
2014-04-08,1163,1167,1130,1131,1111800,1266265800
2014-04-07,1161,1177,1159,1168,678600,791329800
2014-04-04,1162,1173,1162,1167,772800,901636500
2014-04-03,1161,1177,1158,1158,1039000,1209526800
2014-04-02,1181,1185,1154,1166,1597200,1861562600
2014-04-01,1160,1187,1153,1187,2335700,2735724600
2014-03-31,1250,1254,1141,1160,4675700,5553721300
2014-03-28,1298,1350,1253,1277,3874500,5000939700
2014-03-27,1260,1480,1239,1343,2618000,3370030800
2014-03-26,1330,1337,1320,1333,1660000,2206310400
2014-03-25,1347,1349,1335,1338,899000,1205137800
2014-03-24,1300,1345,1298,1332,994900,1318463700
2014-03-20,1305,1311,1281,1289,780900,1008035600
2014-03-19,1306,1314,1292,1301,590000,769146600
2014-03-18,1293,1309,1276,1303,534400,689846500
2014-03-17,1287,1294,1272,1274,526800,675968300
2014-03-14,1300,1306,1278,1282,1354200,1752049200
2014-03-13,1327,1331,1313,1317,536400,707896800
2014-03-12,1353,1359,1325,1326,885100,1185790700
2014-03-11,1361,1369,1348,1355,390200,529774100
2014-03-10,1339,1360,1338,1359,527600,713926500
2014-03-07,1346,1354,1328,1335,849100,1135483700
2014-03-06,1329,1343,1328,1337,338400,452358100
2014-03-05,1336,1340,1325,1329,435500,579915600
2014-03-04,1311,1329,1308,1329,321500,425236400
2014-03-03,1320,1323,1294,1312,536600,702703600
2014-02-28,1339,1340,1313,1323,539500,714915000
2014-02-27,1338,1344,1327,1338,358000,478483000
2014-02-26,1332,1352,1326,1341,421500,565625600
2014-02-25,1301,1335,1301,1332,702200,927830800
2014-02-24,1311,1311,1285,1294,870800,1129699100
2014-02-21,1309,1327,1298,1301,1161300,1514778500
2014-02-20,1339,1340,1297,1302,932400,1222434500
2014-02-19,1347,1353,1334,1337,335800,449885500
2014-02-18,1338,1352,1331,1348,655300,879084000
2014-02-17,1360,1369,1335,1341,888500,1193703600
2014-02-14,1375,1382,1350,1359,578000,787168400
2014-02-13,1402,1403,1377,1378,416400,576683500
2014-02-12,1397,1406,1387,1399,530100,740928400
2014-02-10,1381,1392,1369,1384,413900,571645700
2014-02-07,1380,1385,1364,1378,310600,426448100
2014-02-06,1345,1378,1320,1366,538500,732194200
2014-02-05,1345,1355,1315,1329,719000,960258800
2014-02-04,1310,1355,1310,1324,965100,1284700000
2014-02-03,1345,1391,1344,1368,1396900,1926718500
2014-01-31,1340,1367,1333,1347,541900,731378100
2014-01-30,1334,1341,1307,1339,748500,992622100
2014-01-29,1343,1350,1325,1348,853600,1142456900
2014-01-28,1347,1358,1330,1330,607700,815338500
2014-01-27,1329,1349,1326,1335,948400,1267611600
2014-01-24,1380,1385,1364,1367,900500,1236459800
2014-01-23,1404,1412,1391,1392,545200,761342700
2014-01-22,1399,1407,1390,1403,549200,768216600
2014-01-21,1406,1410,1396,1399,399200,559296200
2014-01-20,1407,1413,1401,1411,365600,514945300
2014-01-17,1394,1405,1389,1401,668200,934446700
2014-01-16,1397,1410,1385,1388,786700,1096980900
2014-01-15,1431,1431,1385,1401,1076400,1510766500
2014-01-14,1381,1430,1361,1428,1347100,1897244100
2014-01-10,1365,1395,1360,1390,1224800,1695862100
2014-01-09,1347,1366,1344,1360,576000,782048800
2014-01-08,1334,1349,1332,1343,573600,769455400
2014-01-07,1335,1345,1327,1331,630500,841465700
2014-01-06,1334,1344,1320,1329,830800,1106103800
2013-12-30,1308,1337,1308,1326,860500,1141651500
2013-12-27,1277,1296,1276,1296,707000,910516600
2013-12-26,1255,1273,1252,1269,591100,748943400
2013-12-25,1241,1252,1240,1248,728800,909245800
2013-12-24,1244,1258,1236,1237,790600,984965800
2013-12-20,1228,1267,1227,1245,3302700,4129107000
2013-12-19,1249,1250,1214,1226,1441100,1767618500
2013-12-18,1248,1249,1237,1248,921200,1145360000
2013-12-17,1257,1264,1236,1247,890500,1107765400
2013-12-16,1237,1263,1235,1258,1673200,2093256900
2013-12-13,1223,1228,1218,1220,655700,801945900
2013-12-12,1220,1232,1218,1228,357500,438355700
2013-12-11,1231,1237,1221,1227,440800,542576100
2013-12-10,1221,1242,1220,1238,686800,847649100
2013-12-09,1225,1229,1213,1218,305500,372825000
2013-12-06,1225,1226,1197,1210,680000,821035800
2013-12-05,1245,1270,1213,1218,1369100,1697693600
2013-12-04,1227,1243,1220,1238,964300,1188249300
2013-12-03,1196,1240,1188,1236,1259000,1531582000
2013-12-02,1199,1205,1188,1198,629600,753349000
2013-11-29,1165,1203,1161,1198,1180000,1402054000
2013-11-28,1157,1174,1153,1168,773400,899896900
2013-11-27,1155,1161,1151,1157,516700,597314800
2013-11-26,1159,1161,1154,1158,460300,532663600
2013-11-25,1166,1169,1157,1162,376300,437181700
2013-11-22,1157,1164,1151,1164,562700,651577800
2013-11-21,1148,1159,1147,1156,611200,704678000
2013-11-20,1141,1147,1137,1144,425500,486286100
2013-11-19,1134,1144,1133,1141,271500,308922100
2013-11-18,1142,1144,1133,1137,301700,342805300
2013-11-15,1134,1140,1131,1139,499300,567263400
