2132-T,JQグロース,アイレップ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,476,482,424,455,225900,99448400
2014-06-26,486,486,468,481,37700,17948300
2014-06-25,500,503,460,488,75800,36749800
2014-06-24,509,509,497,501,48600,24460700
2014-06-23,500,512,500,504,69500,34996900
2014-06-20,513,514,485,498,80700,40771600
2014-06-19,509,513,503,511,58500,29674400
2014-06-18,505,507,492,504,47600,23878000
2014-06-17,483,507,482,492,53800,26423800
2014-06-16,471,496,468,480,79500,38351700
2014-06-13,451,461,450,461,42800,19482500
2014-06-12,430,455,426,453,48400,21294500
2014-06-11,450,450,429,433,67500,29417900
2014-06-10,455,456,427,450,57400,25578400
2014-06-09,460,465,446,447,70700,32177400
2014-06-06,435,458,429,455,70400,31112800
2014-06-05,430,440,423,434,80200,34514100
2014-06-04,425,431,421,424,48800,20771900
2014-06-03,425,432,418,426,50100,21289000
2014-06-02,418,426,413,417,34000,14284900
2014-05-30,420,423,410,413,19200,8003500
2014-05-29,421,421,410,413,35800,14864700
2014-05-28,406,421,406,413,78300,32400800
2014-05-27,388,417,384,406,149300,59678600
2014-05-26,382,388,376,382,22900,8753600
2014-05-23,362,373,355,370,37900,13836500
2014-05-22,354,365,350,354,23900,8475700
2014-05-21,342,352,337,350,33800,11623300
2014-05-20,354,354,343,345,28600,9950700
2014-05-19,371,372,340,340,41500,14671300
2014-05-16,381,382,368,372,29500,11020100
2014-05-15,382,391,380,386,11300,4356600
2014-05-14,370,398,367,385,40200,15393000
2014-05-13,370,379,362,368,35900,13383000
2014-05-12,386,387,365,371,33000,12379700
2014-05-09,375,385,370,375,32000,12064800
2014-05-08,390,393,368,375,68300,26012900
2014-05-07,399,400,385,386,55400,21772600
2014-05-02,397,405,395,405,106500,42483400
2014-05-01,416,418,389,401,372100,149795400
2014-04-30,482,486,457,461,36600,17222200
2014-04-28,495,496,473,475,17200,8251700
2014-04-25,470,490,470,487,33800,16326400
2014-04-24,469,477,465,472,11100,5210500
2014-04-23,457,470,457,466,19000,8817300
2014-04-22,480,488,458,459,34200,16060100
2014-04-21,478,488,478,479,32100,15472200
2014-04-18,474,480,467,478,19200,9092000
2014-04-17,474,488,455,466,51200,24027800
2014-04-16,447,467,447,458,38600,17683600
2014-04-15,450,459,445,447,30400,13701600
2014-04-14,441,460,440,452,45800,20609600
2014-04-11,454,459,437,449,69000,30785600
2014-04-10,480,482,460,464,51100,24016600
2014-04-09,480,490,470,473,66200,31466400
2014-04-08,491,495,484,484,47800,23341200
2014-04-07,508,515,495,498,41100,20535800
2014-04-04,525,525,516,516,35500,18480300
2014-04-03,533,536,522,524,34300,18112400
2014-04-02,525,528,521,526,52200,27366200
2014-04-01,521,531,518,522,35000,18287100
2014-03-31,533,549,521,531,38300,20278300
2014-03-28,503,545,502,538,69400,36577800
2014-03-27,489,520,466,495,118000,57617800
2014-03-26,460,542,460,482,362200,189088600
2014-03-25,473,473,455,462,66200,30696800
2014-03-24,466,500,461,473,76200,36514000
2014-03-20,500,500,467,472,89100,42776300
2014-03-19,501,514,500,500,93900,47483600
2014-03-18,524,524,497,500,137900,69882200
2014-03-17,545,545,505,514,95600,50160100
2014-03-14,550,555,535,542,79900,43681200
2014-03-13,580,580,565,568,53400,30649200
2014-03-12,585,585,576,577,31800,18456700
2014-03-11,595,595,580,585,89100,52294100
2014-03-10,599,606,594,597,27500,16455500
2014-03-07,596,599,591,595,19600,11651500
2014-03-06,602,603,590,590,35600,21120000
2014-03-05,600,603,588,599,21600,12878900
2014-03-04,576,593,576,590,32700,19119700
2014-03-03,600,600,568,585,65500,38152000
2014-02-28,610,622,607,609,27600,16922900
2014-02-27,634,634,610,620,25400,15757900
2014-02-26,646,646,627,637,28200,17954100
2014-02-25,634,647,630,646,42700,27281900
2014-02-24,645,651,610,633,54300,34418200
2014-02-21,628,645,625,637,50300,31843900
2014-02-20,647,647,615,630,105900,66714000
2014-02-19,603,675,600,663,380300,242983000
2014-02-18,607,612,581,602,76200,45550200
2014-02-17,585,600,563,577,58700,33992100
2014-02-14,602,610,578,589,50600,29910500
2014-02-13,623,623,601,603,53800,32924300
2014-02-12,637,641,621,622,63500,40198800
2014-02-10,615,669,610,630,194500,123551000
2014-02-07,667,671,595,596,180400,111604200
2014-02-06,600,675,598,654,167800,107210700
2014-02-05,586,614,541,597,92600,53897700
2014-02-04,578,600,548,569,319600,180412200
2014-02-03,700,703,641,648,142700,95769300
2014-01-31,750,755,678,735,99000,70497600
2014-01-30,740,748,716,743,48900,35912600
2014-01-29,755,760,735,747,65800,49061400
2014-01-28,750,794,705,710,118900,87576800
2014-01-27,774,799,758,758,97700,75956000
2014-01-24,788,829,786,819,82600,66462900
2014-01-23,820,839,791,800,185100,151065500
2014-01-22,795,825,788,800,234300,189029400
2014-01-21,786,800,782,787,62000,48997100
2014-01-20,780,790,773,786,52500,41017000
2014-01-17,768,789,763,772,50500,39021100
2014-01-16,803,827,750,773,189700,150682400
2014-01-15,805,815,777,788,164400,131051000
2014-01-14,725,817,723,780,301600,232772200
2014-01-10,745,759,735,740,77400,57742700
2014-01-09,777,788,744,746,100200,76328400
2014-01-08,707,767,707,765,212300,158624600
2014-01-07,718,720,703,706,80400,56998300
2014-01-06,735,735,705,724,112200,81146600
2013-12-30,705,735,697,733,135400,96703800
2013-12-27,700,711,676,704,100100,69786500
