2175-T,東証1部,SMS,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2950,2997,2858,2901,119000,346447800
2014-06-26,2940,3010,2900,2986,97900,288786400
2014-06-25,3055,3055,2906,2926,121800,360878500
2014-06-24,2847,3060,2841,3030,286000,856606800
2014-06-23,2750,2849,2745,2847,139100,391056400
2014-06-20,2810,2810,2724,2745,143800,396551300
2014-06-19,2840,2860,2761,2812,124600,349320300
2014-06-18,2765,2848,2747,2844,125700,352117500
2014-06-17,2708,2788,2679,2783,102900,281896200
2014-06-16,2730,2769,2696,2709,86600,235658400
2014-06-13,2600,2749,2598,2730,112700,301192100
2014-06-12,2666,2681,2624,2657,64100,170000800
2014-06-11,2701,2767,2652,2680,129300,348459400
2014-06-10,2829,2844,2722,2733,197900,547453300
2014-06-09,2909,3080,2821,2879,277700,813418300
2014-06-06,2746,2914,2721,2912,194900,553558200
2014-06-05,2717,2766,2701,2759,153100,417795800
2014-06-04,2625,2720,2615,2700,193600,516198200
2014-06-03,2590,2638,2581,2615,225300,589417300
2014-06-02,2595,2600,2518,2570,143500,366277000
2014-05-30,2436,2564,2436,2564,160900,406860100
2014-05-29,2387,2470,2387,2461,110300,269691400
2014-05-28,2313,2444,2313,2425,141800,341053500
2014-05-27,2300,2375,2300,2344,108500,254353600
2014-05-26,2263,2310,2263,2297,60700,138873000
2014-05-23,2240,2271,2210,2263,88100,198289800
2014-05-22,2150,2238,2145,2234,153400,337650400
2014-05-21,2166,2177,2079,2124,109100,230145100
2014-05-20,2164,2217,2139,2211,99600,216698600
2014-05-19,2225,2248,2187,2214,253000,559263000
2014-05-16,2190,2258,2183,2253,223600,498239600
2014-05-15,2147,2164,2123,2160,95500,205118300
2014-05-14,2140,2213,2111,2191,102000,222039400
2014-05-13,2102,2143,2102,2128,69600,147900400
2014-05-12,2141,2200,2073,2102,111200,236990200
2014-05-09,2100,2131,2085,2125,87200,184162900
2014-05-08,2149,2158,2110,2122,99000,210477000
2014-05-07,2145,2150,2035,2128,148700,314783700
2014-05-02,2165,2240,2159,2195,123600,271588300
2014-05-01,2150,2210,2124,2200,136200,297538800
2014-04-30,2150,2200,2120,2181,238600,517539200
2014-04-28,2031,2214,2000,2180,560100,1206110100
2014-04-25,1983,2020,1970,1991,161600,321358800
2014-04-24,1950,1980,1950,1973,79500,156530400
2014-04-23,1942,1978,1929,1975,99000,193625600
2014-04-22,1980,1990,1936,1957,123000,241173600
2014-04-21,1959,1984,1942,1970,127700,251146800
2014-04-18,1942,1967,1937,1961,112800,220452600
2014-04-17,1924,1959,1915,1937,206800,401629600
2014-04-16,1846,1909,1831,1909,134900,254891800
2014-04-15,1840,1854,1820,1831,133800,245226100
2014-04-14,1773,1836,1772,1811,138500,250943000
2014-04-11,1786,1823,1760,1794,116000,206947900
2014-04-10,1847,1899,1818,1826,123700,227802400
2014-04-09,1802,1847,1792,1818,130300,237157500
2014-04-08,1840,1853,1805,1810,165800,301981400
2014-04-07,1881,1881,1845,1866,206100,383307000
2014-04-04,1934,1934,1865,1894,270100,510668900
2014-04-03,2045,2063,1935,1943,295300,579636500
2014-04-02,2020,2086,2019,2041,174000,355862800
2014-04-01,2050,2120,1988,2024,225800,464424300
2014-03-31,2040,2068,1980,2014,183900,370066300
