2185-T,JQスタンダード,シイエム･シイ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2670,2670,2614,2614,3200,8450400
2014-06-26,2670,2670,2670,2670,400,1068000
2014-06-25,2660,2660,2626,2626,400,1058400
2014-06-24,2614,2665,2590,2665,2400,6287100
2014-06-23,2656,2700,2630,2640,4400,11741500
2014-06-20,2671,2683,2636,2655,3800,10111200
2014-06-19,2660,2695,2660,2695,700,1872500
2014-06-18,2695,2698,2665,2677,3500,9387700
2014-06-17,2666,2666,2665,2665,1500,3998900
2014-06-16,2674,2677,2670,2670,700,1870900
2014-06-13,2638,2658,2637,2658,2500,6604600
2014-06-12,2638,2638,2600,2638,1400,3685600
2014-06-11,2620,2645,2615,2638,2100,5522800
2014-06-10,2641,2641,2638,2638,300,791700
2014-06-09,2620,2639,2611,2632,2000,5249700
2014-06-06,2636,2640,2610,2628,1800,4713600
2014-06-05,2639,2643,2620,2630,1300,3427700
2014-06-04,2600,2640,2600,2635,1700,4468600
2014-06-03,2561,2606,2561,2600,5800,15009600
2014-06-02,2533,2581,2531,2560,1800,4603500
2014-05-30,2502,2525,2500,2510,1800,4510900
2014-05-29,2501,2507,2500,2500,1400,3501200
2014-05-28,2512,2525,2504,2518,2700,6779600
2014-05-27,2546,2546,2512,2512,2800,7101300
2014-05-26,2472,2480,2472,2480,1500,3712000
2014-05-23,2460,2483,2460,2470,1800,4443900
2014-05-22,2448,2460,2446,2460,2000,4906500
2014-05-21,2400,2449,2399,2448,2100,5053900
2014-05-20,2465,2465,2405,2459,3300,8106000
2014-05-19,2465,2482,2465,2466,2700,6667800
2014-05-16,2455,2461,2450,2460,2100,5161500
2014-05-15,2460,2460,2450,2455,1200,2947600
2014-05-14,2460,2460,2440,2456,1200,2936500
2014-05-13,2406,2465,2406,2440,4800,11688300
2014-05-12,2423,2555,2402,2406,14400,35364900
2014-05-09,2301,2353,2301,2335,1800,4187500
2014-05-08,2400,2400,2325,2351,3900,9284500
2014-05-07,2390,2390,2247,2350,1700,3935900
2014-05-02,2390,2439,2379,2390,700,1682100
2014-05-01,2380,2440,2380,2440,1800,4335500
2014-04-30,2450,2450,2425,2425,300,730000
2014-04-28,2401,2401,2400,2400,300,720100
2014-04-25,2446,2446,2415,2415,1800,4373100
2014-04-24,2432,2432,2432,2432,100,243200
2014-04-23,2430,2430,2420,2430,400,970000
2014-04-22,2432,2448,2416,2429,1300,3166200
2014-04-21,2400,2431,2400,2431,1000,2407900
2014-04-18,2400,2434,2400,2432,1300,3141300
2014-04-17,2397,2397,2390,2390,600,1435300
2014-04-16,2395,2398,2378,2398,600,1435600
2014-04-15,2371,2396,2365,2391,1200,2852700
2014-04-14,2419,2419,2370,2371,2300,5493100
2014-04-11,2390,2428,2378,2419,800,1915500
2014-04-10,2410,2430,2391,2410,2000,4819100
2014-04-09,2433,2438,2410,2412,2500,6069200
2014-04-08,-,-,-,-,0,0
2014-04-07,2452,2502,2436,2484,600,1476200
2014-04-04,2500,2500,2500,2500,100,250000
2014-04-03,2500,2500,2455,2455,300,745500
2014-04-02,2500,2500,2480,2480,500,1248000
2014-04-01,2460,2460,2450,2450,700,1716200
2014-03-31,2400,2451,2400,2440,400,969200
2014-03-28,2450,2450,2450,2450,100,245000
2014-03-27,2382,2430,2345,2430,1800,4317900
2014-03-26,2331,2332,2331,2332,1200,2797500
2014-03-25,2338,2352,2330,2331,3000,7015400
2014-03-24,2345,2352,2345,2352,300,704800
2014-03-20,2357,2357,2307,2357,700,1644800
2014-03-19,2374,2380,2365,2365,800,1895300
2014-03-18,2430,2450,2362,2364,1300,3143100
2014-03-17,2410,2411,2330,2330,3400,8107100
2014-03-14,2432,2435,2384,2435,1800,4352800
2014-03-13,2440,2450,2440,2443,600,1465400
2014-03-12,2432,2442,2432,2441,500,1217900
2014-03-11,2476,2476,2470,2470,600,1484400
2014-03-10,2497,2497,2476,2476,200,497300
2014-03-07,2460,2500,2460,2467,2700,6676800
2014-03-06,2499,2500,2449,2500,500,1244600
2014-03-05,2588,2588,2462,2462,1800,4596300
2014-03-04,2440,2500,2430,2450,900,2215000
2014-03-03,2432,2479,2430,2435,700,1707300
2014-02-28,2496,2496,2482,2482,800,1989800
2014-02-27,2548,2548,2545,2545,1200,3056300
2014-02-26,2470,2500,2470,2500,800,1990600
2014-02-25,2460,2499,2460,2470,600,1487400
2014-02-24,2431,2443,2431,2431,2000,4874600
2014-02-21,2431,2436,2425,2425,1200,2916700
2014-02-20,2442,2443,2421,2421,1200,2922300
2014-02-19,2465,2470,2451,2451,1400,3444800
2014-02-18,2498,2500,2490,2500,700,1746400
2014-02-17,2460,2465,2433,2465,1200,2942000
2014-02-14,2512,2513,2449,2452,1600,3987000
2014-02-13,2544,2569,2520,2530,1700,4314800
2014-02-12,2550,2550,2538,2538,2500,6362800
2014-02-10,2570,2599,2522,2533,2400,6114800
2014-02-07,2567,2578,2510,2520,1300,3301300
2014-02-06,2431,2490,2431,2490,1000,2463800
2014-02-05,2500,2500,2360,2405,2600,6337300
2014-02-04,2402,2500,2355,2427,4500,10931300
2014-02-03,2648,2660,2513,2529,8200,21549900
2014-01-31,2572,2632,2570,2570,5400,13935900
2014-01-30,2588,2591,2555,2570,3300,8489100
2014-01-29,2620,2678,2619,2635,3000,7912200
2014-01-28,2620,2669,2599,2622,2800,7352700
2014-01-27,2698,2704,2654,2670,5900,15815500
2014-01-24,2812,2817,2750,2817,2800,7803500
2014-01-23,2900,2900,2800,2831,7100,20173700
2014-01-22,2930,2930,2898,2900,2400,7005200
2014-01-21,2900,2925,2853,2920,3200,9287800
2014-01-20,2948,2948,2851,2901,8100,23670700
2014-01-17,2700,2989,2690,2848,15100,42426100
2014-01-16,2650,2655,2642,2650,4100,10866300
2014-01-15,2640,2640,2630,2637,1500,3955500
2014-01-14,2675,2675,2640,2640,3800,10091100
2014-01-10,2625,2630,2620,2625,2600,6822000
2014-01-09,2627,2634,2625,2625,1400,3679000
2014-01-08,2610,2631,2602,2626,1800,4715400
2014-01-07,2608,2612,2605,2608,1300,3390400
2014-01-06,2624,2666,2602,2608,5800,15226800
2013-12-30,2619,2674,2612,2674,4500,11885600
2013-12-27,2674,2674,2606,2610,3100,8222400
2013-12-26,2515,2624,2515,2624,4200,10823700
2013-12-25,2495,2500,2480,2481,5800,14429900
2013-12-24,2500,2510,2481,2495,21600,53957900
2013-12-20,2430,2525,2430,2523,6000,14705100
2013-12-19,2454,2458,2427,2430,7100,17303900
2013-12-18,2450,2480,2426,2454,9000,22054900
2013-12-17,2490,2500,2434,2499,6700,16554500
2013-12-16,2564,2570,2420,2495,10200,25590000
2013-12-13,2532,2565,2530,2564,2200,5606200
2013-12-12,2552,2552,2485,2510,5700,14343400
2013-12-11,2607,2630,2565,2570,9800,25419900
2013-12-10,2580,2690,2580,2594,22800,59500400
2013-12-09,2470,2568,2453,2568,16300,40993100
2013-12-06,2390,2449,2355,2449,5600,13434000
2013-12-05,2351,2388,2351,2387,900,2135600
2013-12-04,2350,2360,2350,2350,1200,2821000
2013-12-03,2390,2400,2352,2400,4800,11451800
2013-12-02,2330,2397,2330,2379,3500,8284300
2013-11-29,2370,2370,2306,2318,11200,26099000
2013-11-28,2420,2425,2390,2395,2900,6982200
2013-11-27,2500,2500,2400,2415,5400,13153400
2013-11-26,2552,2552,2373,2535,13200,32494700
2013-11-25,2447,2580,2447,2552,16400,41122800
2013-11-22,2400,2500,2400,2410,22200,54519400
2013-11-21,2325,2340,2303,2340,8900,20650100
2013-11-20,2234,2350,2234,2324,13900,31653700
2013-11-19,2240,2250,2210,2234,7000,15661400
2013-11-18,2225,2247,2200,2220,10600,23513000
2013-11-15,2210,2241,2210,2210,5100,11286600
2013-11-14,2241,2259,2200,2201,9100,20209400
2013-11-13,2294,2294,2235,2250,9100,20566100
2013-11-12,2240,2400,2221,2299,59000,134649900
2013-11-11,2290,2290,2290,2290,12900,29541000
2013-11-08,1841,1890,1841,1890,400,746200
2013-11-07,1851,1853,1851,1853,1500,2777100
2013-11-06,1880,1900,1845,1849,3200,6015300
2013-11-05,1850,1850,1840,1840,400,738000
2013-11-01,1853,1855,1840,1850,2500,4616100
2013-10-31,-,-,-,-,0,0
2013-10-30,1867,1869,1865,1869,1400,2614200
2013-10-29,1848,1855,1848,1855,1600,2962200
2013-10-28,1868,1868,1857,1857,1900,3544600
2013-10-25,1850,1867,1850,1850,1500,2783200
2013-10-24,1820,1848,1820,1840,700,1282800
2013-10-23,1850,1850,1807,1820,3200,5809800
2013-10-22,1836,1850,1836,1850,2400,4415300
2013-10-21,1831,1850,1820,1825,3000,5527600
2013-10-18,1876,1876,1810,1813,1900,3495900
2013-10-17,-,-,-,-,0,0
2013-10-16,-,-,-,-,0,0
2013-10-15,1841,1850,1840,1849,2800,5158700
2013-10-11,1850,1855,1850,1850,1200,2222200
2013-10-10,-,-,-,-,0,0
2013-10-09,1820,1820,1820,1820,1000,1820000
2013-10-08,1845,1845,1820,1821,1400,2560700
2013-10-07,1850,1850,1845,1845,1400,2583900
2013-10-04,1867,1868,1847,1847,1800,3350800
2013-10-03,1900,1900,1875,1875,700,1318000
2013-10-02,1870,1909,1870,1909,600,1130800
2013-10-01,1889,1900,1871,1871,1100,2078800
2013-09-30,1900,1919,1900,1918,600,1143700
2013-09-27,1905,1935,1881,1900,1300,2483700
2013-09-26,1905,1940,1878,1905,6000,11403600
2013-09-25,2011,2014,2000,2012,7000,14061400
2013-09-24,1980,2014,1979,2000,6100,12186100
2013-09-20,1930,1999,1930,1999,6500,12763000
2013-09-19,1925,1966,1925,1966,9600,18657600
2013-09-18,1940,1945,1920,1922,2100,4063900
2013-09-17,1930,1937,1900,1928,5200,9985100
2013-09-13,1890,1910,1890,1910,1200,2274300
2013-09-12,1888,1888,1888,1888,200,377600
2013-09-11,1927,1927,1879,1883,500,946900
2013-09-10,1897,1900,1886,1900,3000,5688900
2013-09-09,1869,1870,1869,1870,1600,2990900
2013-09-06,1860,1860,1855,1860,1300,2416600
2013-09-05,1865,1869,1863,1869,700,1306700
2013-09-04,1850,1850,1850,1850,200,370000
2013-09-03,1838,1852,1820,1835,2300,4215800
2013-09-02,1840,1840,1840,1840,100,184000
2013-08-30,1820,1830,1820,1830,800,1462000
2013-08-29,1840,1849,1831,1831,1000,1841000
2013-08-28,1843,1844,1826,1844,2000,3672100
2013-08-27,1848,1848,1835,1835,300,553100
2013-08-26,1836,1836,1836,1836,1400,2570400
2013-08-23,1809,1837,1809,1836,1200,2181800
2013-08-22,1858,1858,1821,1821,700,1282100
2013-08-21,1839,1839,1821,1821,1200,2199900
2013-08-20,1890,1890,1832,1836,1900,3519600
2013-08-19,1845,1845,1832,1832,900,1657300
2013-08-16,1919,1919,1842,1845,700,1309100
2013-08-15,-,-,-,-,0,0
2013-08-14,1884,1920,1884,1920,300,570400
2013-08-13,1840,1902,1840,1844,2200,4105100
2013-08-12,1840,1840,1840,1840,300,552000
2013-08-09,1858,1858,1840,1840,1400,2589000
2013-08-08,1862,1862,1861,1861,500,930600
2013-08-07,1870,1870,1868,1868,600,1121300
2013-08-06,1897,1897,1871,1871,600,1125300
2013-08-05,1872,1872,1871,1871,700,1309800
2013-08-02,1870,1885,1860,1885,1000,1871500
2013-08-01,-,-,-,-,0,0
2013-07-31,-,-,-,-,0,0
2013-07-30,1863,1870,1863,1870,300,559600
2013-07-29,1876,1876,1822,1823,3800,7006700
2013-07-26,1920,1920,1901,1901,1500,2864200
2013-07-25,1900,1910,1900,1910,800,1524100
2013-07-24,1895,1910,1887,1909,900,1705400
2013-07-23,1885,1895,1885,1895,600,1132700
2013-07-22,1933,1933,1880,1890,1200,2269900
2013-07-19,1975,1975,1895,1934,2600,5056200
2013-07-18,1938,1970,1938,1970,1000,1954000
2013-07-17,1886,1886,1886,1886,400,754400
2013-07-16,1900,2020,1880,1886,5000,9677500
