2201-T,東証1部,森永菓,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,219,220,218,219,226000,49471000
2014-06-26,220,221,218,218,275000,60305000
2014-06-25,220,221,220,220,174000,38330000
2014-06-24,220,221,219,221,236000,51991000
2014-06-23,221,222,219,220,421000,92681000
2014-06-20,221,221,220,221,493000,108875000
2014-06-19,220,221,220,220,340000,74917000
2014-06-18,219,220,218,220,213000,46698000
2014-06-17,218,219,218,219,156000,34102000
2014-06-16,219,219,217,218,183000,39906000
2014-06-13,219,220,217,219,540000,118106000
2014-06-12,218,219,217,219,158000,34500000
2014-06-11,218,219,217,218,207000,45070000
2014-06-10,219,220,218,218,216000,47277000
2014-06-09,218,219,217,219,263000,57445000
2014-06-06,216,217,216,217,162000,35112000
2014-06-05,216,217,215,215,103000,22227000
2014-06-04,216,217,215,217,84000,18181000
2014-06-03,218,218,216,216,388000,84023000
2014-06-02,216,217,215,217,146000,31598000
2014-05-30,215,216,215,215,136000,29262000
2014-05-29,215,216,214,216,139000,29900000
2014-05-28,216,216,215,216,102000,22009000
2014-05-27,216,217,215,216,96000,20725000
2014-05-26,216,217,215,217,221000,47738000
2014-05-23,214,215,213,215,338000,72465000
2014-05-22,210,212,209,212,204000,42983000
2014-05-21,208,209,208,209,106000,22094000
2014-05-20,210,210,208,209,246000,51490000
2014-05-19,212,213,208,208,341000,71729000
2014-05-16,215,215,211,212,373000,79416000
2014-05-15,219,219,215,216,477000,103315000
2014-05-14,218,219,218,218,106000,23173000
2014-05-13,218,219,217,219,213000,46464000
2014-05-12,219,219,217,217,144000,31408000
2014-05-09,216,219,216,218,145000,31545000
2014-05-08,216,218,216,216,193000,41818000
2014-05-07,220,220,215,215,526000,114165000
2014-05-02,222,222,216,220,805000,176913000
2014-05-01,225,227,223,225,508000,114005000
2014-04-30,226,227,224,225,148000,33372000
2014-04-28,226,226,224,226,135000,30437000
2014-04-25,226,227,225,227,190000,42943000
2014-04-24,226,226,224,226,144000,32471000
2014-04-23,224,227,224,226,230000,51914000
2014-04-22,225,226,223,224,216000,48456000
2014-04-21,224,226,224,225,121000,27172000
2014-04-18,225,225,223,225,104000,23308000
2014-04-17,225,225,223,225,151000,33888000
2014-04-16,224,225,223,225,202000,45306000
2014-04-15,223,224,222,224,260000,57997000
2014-04-14,220,222,220,221,193000,42584000
2014-04-11,221,222,220,220,272000,60091000
2014-04-10,223,224,221,222,262000,58357000
2014-04-09,221,223,220,222,583000,129251000
2014-04-08,225,225,222,222,319000,71245000
2014-04-07,225,227,224,227,351000,79112000
2014-04-04,227,228,225,227,224000,50766000
2014-04-03,228,229,227,228,454000,103533000
2014-04-02,227,229,226,228,524000,119205000
2014-04-01,226,228,226,228,436000,98994000
2014-03-31,225,227,223,226,656000,147517000
2014-03-28,223,227,223,225,831000,186685000
2014-03-27,218,224,218,223,809000,178677000
2014-03-26,230,230,228,229,910000,208639000
2014-03-25,225,229,225,227,893000,202840000
2014-03-24,220,225,219,224,585000,130623000
2014-03-20,222,224,218,218,544000,119834000
2014-03-19,221,223,220,221,367000,81227000
2014-03-18,221,222,220,221,201000,44453000
2014-03-17,222,222,219,219,289000,63708000
2014-03-14,224,224,221,221,993000,221544000
2014-03-13,223,225,222,225,382000,85651000
2014-03-12,224,224,222,222,269000,59897000
2014-03-11,225,225,222,225,479000,106906000
2014-03-10,225,225,223,223,314000,70310000
2014-03-07,225,225,222,225,518000,115776000
2014-03-06,225,225,221,225,489000,109074000
2014-03-05,224,225,223,225,290000,65087000
2014-03-04,221,225,220,224,524000,116367000
2014-03-03,223,223,220,222,413000,91451000
2014-02-28,224,224,221,224,386000,85929000
2014-02-27,223,225,222,223,341000,76224000
2014-02-26,224,227,223,223,423000,95027000
2014-02-25,225,225,223,225,438000,98222000
2014-02-24,224,226,223,225,240000,53826000
2014-02-21,223,224,222,224,229000,51121000
2014-02-20,223,224,221,221,243000,54009000
2014-02-19,224,225,223,223,215000,48153000
2014-02-18,223,225,222,225,313000,69983000
2014-02-17,222,225,220,224,320000,71077000
2014-02-14,225,225,220,221,526000,117209000
2014-02-13,223,225,222,224,350000,78310000
2014-02-12,224,225,222,224,591000,132331000
2014-02-10,223,225,221,223,451000,100658000
2014-02-07,219,222,219,221,458000,101057000
2014-02-06,219,221,218,219,315000,69179000
2014-02-05,220,222,215,217,649000,141845000
2014-02-04,217,217,212,213,1233000,264640000
2014-02-03,220,223,218,222,479000,105755000
2014-01-31,224,225,217,220,534000,117706000
2014-01-30,221,226,218,224,1202000,266630000
2014-01-29,221,226,221,226,462000,103161000
2014-01-28,216,220,216,218,532000,116138000
2014-01-27,217,219,215,215,602000,130408000
2014-01-24,222,223,220,220,688000,152102000
2014-01-23,229,229,220,223,1075000,240047000
2014-01-22,228,230,225,227,550000,124837000
2014-01-21,230,233,226,228,913000,210466000
2014-01-20,220,231,220,229,1325000,300940000
2014-01-17,220,221,219,219,391000,85944000
2014-01-16,221,222,219,220,468000,103015000
2014-01-15,220,221,218,221,636000,139627000
2014-01-14,220,221,218,219,534000,117260000
2014-01-10,219,220,218,220,255000,55891000
2014-01-09,219,219,217,219,297000,64823000
2014-01-08,219,222,218,219,543000,119441000
2014-01-07,220,221,217,218,489000,107169000
2014-01-06,217,221,213,219,940000,204518000
2013-12-30,215,217,213,216,676000,145427000
2013-12-27,211,214,210,213,667000,141407000
2013-12-26,208,210,207,209,416000,87010000
2013-12-25,208,209,207,207,602000,124932000
2013-12-24,209,210,208,208,465000,97046000
2013-12-20,208,209,208,209,378000,78881000
2013-12-19,210,211,208,209,692000,144993000
2013-12-18,210,210,209,210,417000,87423000
2013-12-17,209,210,209,210,332000,69552000
2013-12-16,209,210,207,208,406000,84560000
