2344-T,JQスタンダード,平安レイ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,712,713,704,704,3500,2481900
2014-06-26,712,714,708,713,2400,1708300
2014-06-25,701,712,701,712,10900,7693100
2014-06-24,693,708,690,701,6800,4750400
2014-06-23,697,697,693,693,2800,1949200
2014-06-20,693,694,693,694,3400,2356900
2014-06-19,690,694,685,693,7800,5378700
2014-06-18,684,690,684,690,3100,2127000
2014-06-17,690,690,684,684,500,343200
2014-06-16,689,689,684,689,1700,1168600
2014-06-13,681,681,681,681,200,136200
2014-06-12,685,687,681,681,6300,4316800
2014-06-11,679,685,679,685,1000,683500
2014-06-10,684,685,679,679,2600,1778300
2014-06-09,680,684,679,684,2500,1702500
2014-06-06,690,690,670,686,11400,7686600
2014-06-05,686,690,680,690,900,616100
2014-06-04,679,691,679,686,1600,1099800
2014-06-03,685,691,683,686,4200,2879600
2014-06-02,692,698,683,691,3700,2558400
2014-05-30,673,685,669,682,4500,3042300
2014-05-29,673,673,667,672,1300,872200
2014-05-28,673,673,667,668,1900,1271500
2014-05-27,673,674,664,673,3500,2347000
2014-05-26,672,673,667,673,1200,804400
2014-05-23,670,672,662,671,2400,1606900
2014-05-22,666,669,660,669,9100,6031400
2014-05-21,669,669,667,669,3300,2203900
2014-05-20,669,672,668,669,2100,1406700
2014-05-19,671,672,668,670,2000,1341300
2014-05-16,678,678,672,672,2600,1760500
2014-05-15,669,677,669,677,2800,1879800
2014-05-14,670,689,670,676,1300,885000
2014-05-13,671,675,669,670,2100,1409700
2014-05-12,685,690,676,678,5000,3419300
2014-05-09,669,675,669,675,700,470500
2014-05-08,669,677,669,669,2500,1678000
2014-05-07,675,675,670,670,1700,1146300
2014-05-02,675,675,675,675,100,67500
2014-05-01,668,668,668,668,100,66800
2014-04-30,668,668,668,668,200,133600
2014-04-28,678,678,668,668,500,337100
2014-04-25,-,-,-,-,0,0
2014-04-24,668,668,668,668,500,334000
2014-04-23,668,668,668,668,1000,668000
2014-04-22,-,-,-,-,0,0
2014-04-21,669,670,668,668,2900,1940000
2014-04-18,680,680,675,679,1400,950900
2014-04-17,669,669,669,669,200,133800
2014-04-16,680,680,677,679,500,339500
2014-04-15,680,680,667,667,1300,881400
2014-04-14,674,674,674,674,1800,1213200
2014-04-11,664,676,662,675,1700,1131900
2014-04-10,669,673,669,669,700,468700
2014-04-09,678,678,668,668,2100,1416900
2014-04-08,673,673,673,673,400,269200
2014-04-07,670,672,670,670,700,469200
2014-04-04,679,679,671,675,1400,945400
2014-04-03,678,679,675,679,2900,1968100
2014-04-02,679,679,678,679,3600,2444300
2014-04-01,671,672,670,670,1500,1006600
2014-03-31,671,673,668,670,1700,1141100
2014-03-28,670,679,670,674,1400,942300
2014-03-27,654,669,651,666,2700,1772400
2014-03-26,688,700,674,674,3100,2119900
2014-03-25,688,690,684,684,3900,2673900
2014-03-24,689,689,680,687,2500,1713100
2014-03-20,686,686,676,686,1300,885400
2014-03-19,680,686,680,686,3600,2459500
2014-03-18,671,684,671,684,2000,1359600
2014-03-17,678,678,670,671,5000,3378200
2014-03-14,679,680,673,680,14000,9490500
2014-03-13,670,680,670,680,500,338000
2014-03-12,683,684,676,682,2500,1702400
2014-03-11,679,680,675,680,2500,1694900
2014-03-10,671,680,668,678,2600,1751500
2014-03-07,671,675,671,675,1300,874500
2014-03-06,680,681,671,676,15400,10462500
2014-03-05,665,668,657,660,6200,4127000
2014-03-04,661,661,661,661,100,66100
2014-03-03,665,666,663,663,2500,1661900
2014-02-28,665,669,665,667,4700,3128200
2014-02-27,665,666,665,665,800,532100
2014-02-26,654,665,652,652,1300,852800
2014-02-25,654,654,654,654,100,65400
2014-02-24,661,661,661,661,1000,661000
2014-02-21,658,661,652,661,700,458500
2014-02-20,651,656,651,656,1200,783700
2014-02-19,650,653,649,653,3400,2210500
2014-02-18,650,651,650,651,3200,2080100
2014-02-17,646,651,646,650,3000,1944900
2014-02-14,648,648,648,648,200,129600
2014-02-13,652,652,647,652,1200,780700
2014-02-12,662,662,652,652,2500,1644900
2014-02-10,645,670,645,652,6000,3919400
2014-02-07,637,648,635,640,16800,10717000
2014-02-06,635,645,634,635,2800,1783100
2014-02-05,650,654,635,635,8200,5252400
2014-02-04,663,663,637,645,15900,10351800
2014-02-03,665,669,663,669,3400,2265000
2014-01-31,682,682,666,666,4000,2684600
2014-01-30,671,675,671,672,1800,1210700
2014-01-29,667,700,667,686,4100,2814500
2014-01-28,664,680,664,674,5400,3611600
2014-01-27,675,675,662,664,12700,8504200
2014-01-24,688,689,677,677,3800,2601500
2014-01-23,699,699,684,684,4400,3043700
2014-01-22,696,699,688,699,3300,2287500
2014-01-21,684,702,684,688,7400,5137900
2014-01-20,689,689,684,684,3200,2196100
2014-01-17,675,688,675,688,9400,6389200
2014-01-16,669,678,669,673,4400,2957300
2014-01-15,667,674,667,674,2800,1874900
2014-01-14,672,673,666,671,9100,6106100
2014-01-10,672,674,670,671,5300,3555700
2014-01-09,674,675,671,672,4300,2894600
2014-01-08,671,684,671,679,23900,16059000
2014-01-07,667,671,667,671,3100,2074300
2014-01-06,663,672,663,670,9600,6388700
2013-12-30,668,673,666,672,5200,3487200
2013-12-27,662,669,662,667,7900,5238600
2013-12-26,661,670,661,665,2500,1660300
2013-12-25,660,663,660,662,3600,2380700
2013-12-24,661,663,660,660,9100,6016100
2013-12-20,661,663,661,661,6100,4033200
2013-12-19,668,669,660,661,9400,6248500
2013-12-18,669,670,663,664,6300,4202400
2013-12-17,668,668,668,668,1000,668000
2013-12-16,678,678,668,668,5700,3830700
2013-12-13,670,670,666,668,1400,935800
2013-12-12,674,674,672,673,3500,2358700
2013-12-11,673,674,666,666,4000,2686300
2013-12-10,665,672,662,668,5800,3864000
2013-12-09,663,670,663,670,2900,1936600
2013-12-06,666,666,663,665,2500,1662200
2013-12-05,-,-,-,-,0,0
2013-12-04,670,670,665,665,2000,1332900
2013-12-03,667,673,665,670,6500,4348900
2013-12-02,663,665,661,662,8000,5302600
2013-11-29,669,669,663,665,9800,6515800
2013-11-28,674,674,663,663,7100,4734500
2013-11-27,664,671,664,667,3000,2007200
2013-11-26,664,677,664,670,7400,4966900
2013-11-25,662,667,662,664,4400,2921000
2013-11-22,663,667,661,661,3400,2257400
2013-11-21,666,667,661,663,3400,2257400
2013-11-20,668,669,666,667,3200,2136400
2013-11-19,670,670,668,668,1500,1003400
2013-11-18,667,671,667,668,3200,2141900
2013-11-15,669,677,667,670,6800,4551700
2013-11-14,670,671,666,668,2500,1672800
2013-11-13,669,681,666,670,3100,2086300
2013-11-12,678,678,669,669,6300,4269400
2013-11-11,670,677,669,676,5800,3890900
2013-11-08,684,684,671,678,4200,2831100
2013-11-07,682,691,681,688,3100,2122700
2013-11-06,683,683,682,682,600,409500
2013-11-05,683,683,681,681,900,614000
2013-11-01,682,683,682,683,700,477800
2013-10-31,682,689,682,689,200,137100
2013-10-30,686,686,683,683,1300,889600
2013-10-29,687,687,685,686,3100,2127800
2013-10-28,690,690,687,688,1000,688700
2013-10-25,699,699,687,690,2100,1451000
2013-10-24,700,700,681,687,7100,4860300
2013-10-23,699,708,686,707,11900,8366900
2013-10-22,674,709,674,709,9900,6779500
2013-10-21,670,671,669,670,17600,11792200
2013-10-18,671,677,669,670,23100,15493500
2013-10-17,669,683,669,681,10000,6768700
2013-10-16,673,675,671,672,1400,941700
2013-10-15,676,676,668,670,2400,1616000
2013-10-11,665,676,665,673,3800,2550300
2013-10-10,663,665,660,660,4800,3176700
2013-10-09,661,667,660,662,4400,2916200
2013-10-08,663,668,661,661,500,332100
2013-10-07,668,668,662,667,4200,2793500
2013-10-04,672,672,665,672,5300,3534000
