2349-T,JQスタンダード,エヌアイデイ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1821,1822,1792,1792,3400,6166400
2014-06-26,1820,1826,1820,1823,2200,4011000
2014-06-25,1849,1849,1812,1812,3700,6811600
2014-06-24,1849,1870,1835,1850,10900,20167000
2014-06-23,1747,1830,1740,1830,27300,48361700
2014-06-20,1735,1744,1720,1744,4300,7435900
2014-06-19,1730,1756,1730,1747,14800,25696600
2014-06-18,1710,1726,1710,1726,2100,3595600
2014-06-17,1714,1729,1714,1719,2500,4302700
2014-06-16,1740,1750,1706,1725,10100,17488400
2014-06-13,1648,1705,1648,1700,7100,12026400
2014-06-12,1704,1704,1635,1642,11600,19361000
2014-06-11,1620,1635,1620,1624,1000,1628600
2014-06-10,1640,1641,1628,1637,3300,5403900
2014-06-09,1632,1650,1632,1642,5800,9535800
2014-06-06,1624,1631,1624,1631,900,1466500
2014-06-05,1611,1619,1611,1619,700,1130400
2014-06-04,1612,1613,1612,1613,400,645100
2014-06-03,1610,1620,1606,1613,500,806000
2014-06-02,1603,1624,1603,1624,1600,2575600
2014-05-30,1620,1648,1619,1623,3700,6006800
2014-05-29,1619,1619,1619,1619,100,161900
2014-05-28,1612,1619,1609,1619,2500,4030100
2014-05-27,1615,1620,1612,1618,1100,1778300
2014-05-26,1610,1620,1607,1609,4400,7084100
2014-05-23,1619,1619,1610,1611,1300,2095200
2014-05-22,1606,1613,1606,1613,1200,1931100
2014-05-21,1598,1600,1598,1600,200,319800
2014-05-20,1618,1618,1604,1610,1300,2093500
2014-05-19,1621,1622,1598,1598,900,1448400
2014-05-16,1603,1603,1603,1603,100,160300
2014-05-15,1608,1620,1595,1603,8300,13337800
2014-05-14,1545,1561,1545,1554,1300,2019300
2014-05-13,1594,1594,1560,1560,1300,2046900
2014-05-12,1568,1572,1564,1565,1500,2350800
2014-05-09,1585,1585,1581,1581,600,949700
2014-05-08,1570,1590,1570,1583,1200,1898500
2014-05-07,1575,1580,1574,1574,2200,3470400
2014-05-02,1614,1614,1580,1597,17500,28047600
2014-05-01,1545,1565,1545,1565,900,1399100
2014-04-30,-,-,-,-,0,0
2014-04-28,1594,1594,1526,1540,2200,3451300
2014-04-25,1559,1559,1510,1554,5400,8367500
2014-04-24,1565,1565,1553,1555,700,1091500
2014-04-23,1560,1570,1555,1569,800,1250400
2014-04-22,1542,1550,1542,1550,11700,18044100
2014-04-21,1540,1542,1540,1542,400,616500
2014-04-18,1548,1548,1526,1529,500,767900
2014-04-17,1546,1546,1546,1546,100,154600
2014-04-16,1516,1522,1516,1522,700,1061800
2014-04-15,1525,1539,1525,1539,800,1223400
2014-04-14,1522,1536,1522,1536,200,305800
2014-04-11,1521,1549,1516,1537,1300,1985000
2014-04-10,1537,1537,1537,1537,500,768500
2014-04-09,1532,1573,1527,1527,1400,2151400
2014-04-08,-,-,-,-,0,0
2014-04-07,1570,1570,1570,1570,100,157000
2014-04-04,1577,1577,1554,1575,700,1099000
2014-04-03,1578,1578,1560,1567,700,1099200
2014-04-02,1541,1542,1541,1542,500,770600
2014-04-01,1545,1570,1545,1564,1300,2024800
2014-03-31,1538,1550,1507,1525,17200,26464200
2014-03-28,1560,1570,1533,1538,5000,7770100
2014-03-27,1494,1541,1486,1541,2400,3604800
2014-03-26,1579,1579,1579,1579,100,157900
2014-03-25,1555,1565,1551,1551,3600,5601800
2014-03-24,1565,1570,1545,1559,2400,3727000
2014-03-20,1580,1580,1541,1544,2900,4534400
2014-03-19,1587,1587,1580,1580,700,1107200
2014-03-18,1565,1585,1565,1585,3700,5841900
2014-03-17,1558,1567,1557,1557,1700,2653400
2014-03-14,1562,1562,1543,1543,1500,2330500
2014-03-13,1568,1569,1563,1563,700,1096200
2014-03-12,1570,1570,1567,1570,1300,2040300
2014-03-11,1570,1577,1570,1577,1500,2363900
2014-03-10,1577,1577,1565,1566,1000,1570900
2014-03-07,1585,1586,1577,1577,3700,5864700
2014-03-06,1580,1584,1567,1580,2400,3779900
2014-03-05,1578,1584,1578,1582,1000,1580200
2014-03-04,1575,1575,1573,1573,2200,3464800
2014-03-03,1600,1600,1556,1570,1100,1728100
2014-02-28,1614,1614,1592,1592,1500,2412700
2014-02-27,1619,1619,1583,1602,700,1116500
2014-02-26,1624,1625,1600,1600,3600,5827200
2014-02-25,1642,1642,1618,1620,3900,6381400
2014-02-24,1610,1611,1591,1602,2500,4007300
2014-02-21,1579,1599,1579,1587,1500,2384700
2014-02-20,1566,1568,1566,1566,700,1097200
2014-02-19,1600,1600,1560,1576,8800,13978900
2014-02-18,1593,1595,1592,1594,2000,3186900
2014-02-17,1615,1615,1593,1593,1600,2566800
2014-02-14,1601,1606,1600,1600,4900,7843800
2014-02-13,1656,1656,1612,1616,2600,4213300
2014-02-12,1638,1676,1621,1676,1400,2307600
2014-02-10,1620,1623,1594,1608,4400,7090900
2014-02-07,1533,1570,1533,1570,3500,5411500
2014-02-06,1515,1530,1515,1530,1800,2728500
2014-02-05,1521,1566,1507,1515,4400,6724100
2014-02-04,1536,1551,1452,1500,13100,19969800
2014-02-03,1617,1619,1560,1560,9200,14556300
2014-01-31,1638,1651,1630,1630,1900,3118900
2014-01-30,1658,1658,1625,1636,4200,6871400
2014-01-29,1698,1698,1658,1688,2700,4549600
2014-01-28,1685,1685,1632,1676,3100,5156000
2014-01-27,1666,1668,1607,1645,14300,23593900
2014-01-24,1700,1728,1690,1719,7200,12256200
2014-01-23,1715,1720,1701,1707,2700,4631900
2014-01-22,1719,1719,1689,1709,2100,3569700
2014-01-21,1700,1723,1688,1688,2900,4925800
2014-01-20,1725,1730,1680,1698,3800,6501500
2014-01-17,1728,1728,1677,1718,4800,8229100
2014-01-16,1655,1728,1655,1728,6400,10741800
2014-01-15,1651,1651,1630,1630,4600,7522100
2014-01-14,1650,1675,1611,1650,13400,21952300
2014-01-10,1701,1701,1652,1682,5200,8668200
2014-01-09,1672,1715,1672,1701,6600,11189700
2014-01-08,1632,1664,1631,1664,7200,11874500
2014-01-07,1617,1645,1616,1630,4600,7490800
2014-01-06,1644,1644,1609,1609,5700,9278200
2013-12-30,1620,1649,1609,1628,11100,17995800
2013-12-27,1610,1627,1580,1607,7700,12329500
2013-12-26,1575,1650,1565,1610,34300,55041000
2013-12-25,1553,1580,1548,1552,24200,37657800
2013-12-24,1557,1557,1542,1545,6800,10552300
2013-12-20,1550,1555,1546,1548,6500,10072700
2013-12-19,1550,1560,1529,1558,18600,28737200
2013-12-18,1550,1560,1520,1550,46500,71760100
2013-12-17,1538,1580,1527,1530,48900,75901300
2013-12-16,1515,1516,1511,1511,11100,16811400
2013-12-13,1515,1528,1513,1515,8500,12897800
2013-12-12,1520,1520,1512,1515,9200,13955200
2013-12-11,1515,1520,1510,1520,13400,20301100
2013-12-10,1507,1510,1505,1510,1600,2410900
2013-12-09,1509,1510,1503,1503,2200,3312300
2013-12-06,1505,1509,1504,1505,3100,4668300
2013-12-05,1506,1512,1506,1507,2800,4219600
2013-12-04,1515,1515,1504,1507,5400,8146900
2013-12-03,1519,1530,1509,1513,9700,14717000
2013-12-02,1514,1520,1513,1515,6700,10159500
2013-11-29,1515,1515,1510,1513,4200,6352200
2013-11-28,1515,1520,1507,1519,18400,27869400
2013-11-27,1520,1570,1509,1520,61000,93142100
2013-11-26,1520,1525,1500,1514,10800,16355500
2013-11-25,1522,1525,1498,1520,11700,17764600
2013-11-22,1515,1565,1507,1521,6900,10606900
2013-11-21,1508,1515,1503,1503,2300,3467200
2013-11-20,1506,1506,1503,1506,1200,1805800
2013-11-19,1517,1517,1505,1506,500,753900
2013-11-18,1519,1519,1500,1505,2100,3161200
2013-11-15,1520,1520,1519,1519,300,455900
2013-11-14,1501,1520,1501,1520,3400,5165700
2013-11-13,1515,1515,1501,1501,1200,1810200
2013-11-12,1512,1520,1512,1520,400,606400
2013-11-11,1526,1530,1510,1510,900,1366100
2013-11-08,1520,1530,1496,1530,1200,1816400
2013-11-07,1550,1550,1520,1525,2000,3081000
2013-11-06,1519,1522,1480,1522,5300,7927700
2013-11-05,1501,1650,1501,1522,7300,11439600
2013-11-01,1502,1502,1497,1497,800,1200600
2013-10-31,1501,1505,1487,1501,600,899600
2013-10-30,1518,1541,1518,1541,200,305900
2013-10-29,1548,1548,1548,1548,100,154800
2013-10-28,1545,1545,1525,1525,1600,2470000
2013-10-25,1549,1549,1535,1545,4500,6967300
2013-10-24,-,-,-,-,0,0
2013-10-23,1522,1548,1511,1511,2500,3830800
2013-10-22,1517,1523,1517,1523,1100,1670500
2013-10-21,1515,1518,1510,1515,2100,3179600
2013-10-18,1510,1550,1506,1511,1700,2609500
2013-10-17,1510,1510,1490,1490,700,1049100
2013-10-16,1493,1500,1493,1500,1700,2546500
2013-10-15,1490,1499,1490,1490,900,1342000
2013-10-11,1485,1504,1485,1486,300,447500
2013-10-10,1505,1505,1505,1505,500,752500
2013-10-09,1481,1481,1481,1481,400,592400
2013-10-08,1504,1504,1490,1490,1000,1495500
2013-10-07,1520,1520,1515,1515,1400,2125300
2013-10-04,1521,1533,1516,1520,3800,5810000
2013-10-03,-,-,-,-,0,0
2013-10-02,1548,1548,1521,1521,400,616500
2013-10-01,1519,1520,1516,1520,1800,2733900
2013-09-30,1518,1518,1511,1515,2500,3789700
2013-09-27,1514,1515,1514,1515,1300,1969100
2013-09-26,1514,1514,1490,1510,300,451400
2013-09-25,1519,1519,1499,1499,3100,4705400
2013-09-24,1502,1505,1491,1504,1800,2701700
2013-09-20,1479,1502,1479,1502,1300,1944800
2013-09-19,1500,1504,1436,1485,3000,4443500
2013-09-18,1509,1509,1509,1509,200,301800
2013-09-17,1493,1510,1493,1510,500,751600
2013-09-13,1520,1520,1520,1520,1500,2280000
2013-09-12,-,-,-,-,0,0
2013-09-11,1490,1490,1490,1490,1000,1490000
2013-09-10,1514,1520,1514,1515,700,1061900
2013-09-09,1500,1505,1480,1505,900,1351000
2013-09-06,1499,1500,1489,1500,2800,4193300
2013-09-05,1500,1500,1500,1500,1800,2700000
2013-09-04,-,-,-,-,0,0
2013-09-03,1461,1461,1461,1461,600,876600
2013-09-02,1458,1458,1458,1458,1000,1458000
2013-08-30,1468,1468,1458,1458,1100,1611000
2013-08-29,-,-,-,-,0,0
2013-08-28,1498,1498,1487,1487,1500,2244000
2013-08-27,1498,1498,1496,1498,1100,1646600
2013-08-26,1499,1510,1491,1491,5700,8553900
2013-08-23,1496,1503,1496,1503,2000,2998500
2013-08-22,1481,1496,1450,1496,3600,5280700
2013-08-21,1480,1485,1474,1485,800,1183400
2013-08-20,1498,1498,1480,1480,300,447600
2013-08-19,1492,1492,1492,1492,200,298400
2013-08-16,1461,1470,1460,1470,1100,1607400
2013-08-15,1456,1460,1456,1460,400,583200
2013-08-14,1465,1465,1465,1465,100,146500
2013-08-13,1499,1499,1460,1470,700,1030200
2013-08-12,1466,1499,1452,1499,800,1176600
2013-08-09,1494,1495,1490,1490,1000,1493300
2013-08-08,-,-,-,-,0,0
2013-08-07,1490,1490,1482,1490,700,1040700
2013-08-06,1484,1484,1484,1484,100,148400
2013-08-05,1500,1500,1484,1484,300,447000
2013-08-02,1482,1498,1482,1483,400,594600
2013-08-01,1498,1500,1482,1482,300,448000
2013-07-31,-,-,-,-,0,0
2013-07-30,1490,1490,1475,1475,200,296500
2013-07-29,1515,1515,1471,1500,4000,6014800
2013-07-26,1495,1499,1477,1499,1300,1934900
2013-07-25,1514,1514,1471,1496,15100,22808400
2013-07-24,1520,1524,1500,1524,3900,5924900
2013-07-23,1487,1490,1487,1490,1100,1637200
2013-07-22,1484,1500,1479,1500,2100,3119000
2013-07-19,1490,1490,1480,1480,900,1338600
2013-07-18,1461,1495,1461,1494,1600,2361700
2013-07-17,1500,1500,1450,1450,12300,18084200
2013-07-16,1521,1572,1500,1572,1000,1510900
