2370-T,東証マザーズ,MDNT,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,307,307,296,299,880500,264996600
2014-06-26,307,310,303,308,721800,220644300
2014-06-25,326,330,305,306,2929800,932822700
2014-06-24,305,333,300,321,6524900,2098660200
2014-06-23,305,305,296,298,857800,257771100
2014-06-20,308,308,298,301,971200,295110700
2014-06-19,307,317,307,309,1536100,477702600
2014-06-18,308,314,305,306,1175900,363359600
2014-06-17,324,325,308,309,2505200,787768700
2014-06-16,304,332,301,327,7668200,2449137400
2014-06-13,287,298,286,297,2476400,727767600
2014-06-12,277,307,276,293,2755400,810641600
2014-06-11,280,284,275,281,733500,205332600
2014-06-10,296,297,280,281,855000,244799400
2014-06-09,291,295,290,292,608200,177740000
2014-06-06,289,293,285,290,688600,199080400
2014-06-05,296,299,285,288,986700,286376200
2014-06-04,310,312,294,299,1859000,563465100
2014-06-03,301,314,296,297,1780000,540989200
2014-06-02,300,310,285,293,2524100,750419800
2014-05-30,312,317,288,297,2652400,805368200
2014-05-29,324,325,302,305,8181600,2583127900
2014-05-28,272,272,256,260,1328500,348999300
2014-05-27,233,283,232,260,4988800,1300829500
2014-05-26,221,228,221,226,709300,159215000
2014-05-23,207,225,207,219,949300,205900100
2014-05-22,199,208,199,208,894000,182410100
2014-05-21,193,198,193,197,522000,102027000
2014-05-20,197,204,197,198,515200,102489300
2014-05-19,204,204,197,197,616500,123054200
2014-05-16,209,210,203,206,627400,129224400
2014-05-15,215,218,212,213,548100,117678100
2014-05-14,219,227,216,222,1125000,248237500
2014-05-13,210,245,209,226,7255700,1698410200
2014-05-12,212,215,197,199,845600,171654800
2014-05-09,218,219,213,216,599800,129564300
2014-05-08,231,232,220,220,457900,103069100
2014-05-07,225,233,221,231,471700,107055900
2014-05-02,225,232,222,228,475700,108541100
2014-05-01,215,227,212,227,931200,205066800
2014-04-30,228,230,216,217,616200,137353700
2014-04-28,232,233,228,229,504100,115784300
2014-04-25,237,245,234,234,470000,112090500
2014-04-24,233,238,233,233,243500,57137400
2014-04-23,237,238,233,236,328400,77222200
2014-04-22,243,245,233,235,598500,142040000
2014-04-21,248,251,241,243,360600,88646500
2014-04-18,250,251,243,247,289900,71600300
2014-04-17,250,253,244,246,479000,118995800
2014-04-16,233,255,232,249,750600,184646800
2014-04-15,241,244,233,234,393400,93581900
2014-04-14,233,241,230,236,476800,112390800
2014-04-11,242,243,234,238,1019400,241566800
2014-04-10,260,260,250,250,545800,138587100
2014-04-09,257,261,252,253,628000,161061800
2014-04-08,267,269,259,265,790700,208377200
2014-04-07,278,279,270,271,564800,155018200
2014-04-04,286,292,281,284,407100,116302800
2014-04-03,296,303,290,291,752000,223295600
2014-04-02,285,295,278,293,888800,257203500
2014-04-01,277,288,276,282,680700,191949500
2014-03-31,285,286,269,277,542400,150334200
2014-03-28,255,280,254,278,825100,225204600
2014-03-27,250,262,242,256,655300,164485900
2014-03-26,26400,27190,26350,26360,7947,212066470
2014-03-25,27800,28190,26540,26900,7265,198747680
2014-03-24,27110,28500,27100,28220,8177,226861110
2014-03-20,29700,29840,28100,28110,11456,328021600
2014-03-19,30500,30700,29360,29740,7740,231167150
2014-03-18,29750,30400,29750,30050,6271,188412050
2014-03-17,29390,30150,29160,29250,8755,258386280
