2404-T,東証マザーズ,鉄人化,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,487,490,485,490,9000,4382700
2014-06-26,488,488,485,487,5900,2875600
2014-06-25,479,485,478,485,6100,2936200
2014-06-24,480,480,477,478,6300,3018300
2014-06-23,474,479,474,475,6100,2903100
2014-06-20,472,474,470,474,2600,1227300
2014-06-19,473,473,471,472,1300,613600
2014-06-18,469,473,469,470,6000,2822100
2014-06-17,467,469,465,468,3800,1773400
2014-06-16,468,469,465,466,5900,2756700
2014-06-13,464,467,464,467,6200,2887500
2014-06-12,465,465,464,465,3300,1533700
2014-06-11,464,465,464,465,2600,1207800
2014-06-10,462,465,462,463,2500,1158300
2014-06-09,463,464,461,462,2200,1018400
2014-06-06,463,463,459,461,4000,1844900
2014-06-05,462,462,459,462,3600,1659200
2014-06-04,463,463,461,462,1600,739300
2014-06-03,463,463,461,462,2700,1247900
2014-06-02,461,462,460,462,6500,2998900
2014-05-30,460,460,456,456,4400,2018700
2014-05-29,460,462,459,461,2200,1013000
2014-05-28,463,463,453,460,6000,2742000
2014-05-27,464,465,462,464,5500,2551000
2014-05-26,460,465,458,465,6900,3183600
2014-05-23,458,459,457,459,3000,1373400
2014-05-22,458,458,457,458,800,366100
2014-05-21,458,458,455,458,2500,1141500
2014-05-20,458,458,457,457,3100,1419000
2014-05-19,456,458,456,457,2000,913300
2014-05-16,454,457,454,455,1700,773600
2014-05-15,453,455,452,452,3900,1770000
2014-05-14,455,456,452,452,2500,1136600
2014-05-13,453,453,452,452,300,135700
2014-05-12,457,458,452,452,4000,1826400
2014-05-09,448,450,447,447,1600,716600
2014-05-08,458,458,447,447,4600,2083100
2014-05-07,454,460,453,453,11900,5411600
2014-05-02,445,447,444,447,2100,934700
2014-05-01,445,445,444,445,2700,1201100
2014-04-30,445,445,443,445,3500,1555600
2014-04-28,444,447,443,447,3400,1510400
2014-04-25,445,445,443,445,2600,1155500
2014-04-24,444,445,444,444,600,266600
2014-04-23,443,445,443,444,2300,1020500
2014-04-22,448,448,443,443,1400,623100
2014-04-21,443,448,443,448,4100,1822700
2014-04-18,442,443,441,443,4200,1856100
2014-04-17,443,447,442,444,3900,1728100
2014-04-16,445,448,441,443,10100,4482400
2014-04-15,445,448,442,448,14000,6231200
2014-04-14,458,458,456,456,900,411200
2014-04-11,458,458,455,458,1900,868100
2014-04-10,457,458,456,458,1800,822000
2014-04-09,456,458,453,455,2800,1274500
2014-04-08,458,458,456,457,2700,1235100
2014-04-07,456,458,455,456,3500,1599200
2014-04-04,455,456,454,456,1400,636900
2014-04-03,455,455,451,455,3000,1363200
2014-04-02,450,455,450,454,2300,1039000
2014-04-01,447,454,447,452,7200,3234100
2014-03-31,452,454,451,454,3700,1673600
2014-03-28,450,450,448,448,1900,854100
2014-03-27,441,447,441,447,900,399500
2014-03-26,444,448,440,440,4700,2081300
2014-03-25,443,445,441,442,2000,887000
2014-03-24,448,450,442,443,2300,1024700
2014-03-20,447,450,443,445,5000,2228700
2014-03-19,452,452,447,447,1200,538700
2014-03-18,452,452,446,446,1900,852100
2014-03-17,450,453,448,452,3300,1486900
2014-03-14,450,452,450,450,2700,1215800
2014-03-13,452,454,451,453,1400,633600
2014-03-12,452,453,450,452,2100,949300
2014-03-11,453,454,451,452,1800,815000
2014-03-10,453,453,447,449,2800,1261600
2014-03-07,450,453,445,452,4200,1878200
2014-03-06,448,451,448,448,3400,1528800
2014-03-05,449,450,446,447,2000,895200
2014-03-04,445,450,445,446,1400,625400
2014-03-03,449,450,445,445,4400,1972400
2014-02-28,449,450,447,449,1900,851700
2014-02-27,448,449,447,448,1600,717300
2014-02-26,440,449,440,445,5900,2604100
2014-02-25,455,455,451,451,4000,1812400
2014-02-24,455,456,450,456,5100,2318200
2014-02-21,449,452,445,452,3900,1743900
2014-02-20,445,450,445,449,1000,447600
2014-02-19,449,449,445,445,1200,537000
2014-02-18,449,449,438,448,1900,844600
2014-02-17,446,449,438,442,3200,1417100
2014-02-14,452,453,435,439,6800,3000800
2014-02-13,453,455,435,451,6200,2760800
2014-02-12,457,458,455,455,1600,729900
2014-02-10,456,458,454,454,3000,1368800
2014-02-07,451,459,451,454,3800,1726100
2014-02-06,445,449,441,449,3900,1744600
2014-02-05,437,447,437,437,3700,1624400
2014-02-04,446,448,432,432,13500,5973900
2014-02-03,456,456,447,454,7800,3529400
2014-01-31,458,458,449,452,6500,2943000
2014-01-30,458,458,453,455,2700,1228800
2014-01-29,451,459,451,458,6500,2966800
2014-01-28,456,456,451,456,4600,2086000
2014-01-27,450,453,449,453,5900,2656800
2014-01-24,453,457,450,450,5600,2531800
2014-01-23,456,459,454,454,3300,1508800
2014-01-22,457,459,454,456,5600,2555900
2014-01-21,455,457,455,456,2400,1095400
2014-01-20,453,457,452,455,3000,1360600
2014-01-17,457,457,446,452,7600,3425700
2014-01-16,452,456,452,456,3000,1360600
2014-01-15,446,458,446,450,4200,1903300
2014-01-14,450,460,441,441,20600,9281400
2014-01-10,455,455,451,453,4700,2128500
2014-01-09,454,454,451,452,5500,2490300
2014-01-08,448,453,448,453,7200,3246500
2014-01-07,445,449,445,447,4000,1788200
2014-01-06,444,446,443,444,5400,2398300
2013-12-30,441,443,440,442,4800,2117500
2013-12-27,441,441,439,440,3300,1454200
2013-12-26,430,439,430,439,5200,2260300
2013-12-25,426,428,425,425,67800,28945600
2013-12-24,436,438,427,427,15600,6746800
2013-12-20,437,438,435,436,4400,1920300
2013-12-19,441,441,436,439,7100,3110600
2013-12-18,439,441,438,440,3800,1667000
2013-12-17,439,442,439,439,1800,791800
2013-12-16,445,445,438,439,8100,3576900
2013-12-13,440,447,440,445,3300,1456300
2013-12-12,448,448,443,445,5000,2229600
2013-12-11,445,448,437,448,5800,2573500
2013-12-10,447,447,436,447,9600,4244200
2013-12-09,436,452,436,447,19500,8650000
2013-12-06,438,439,437,439,2000,876700
2013-12-05,439,440,438,439,1900,834100
2013-12-04,436,440,436,438,3700,1619300
2013-12-03,440,441,435,441,5600,2449700
2013-12-02,441,441,438,440,7000,3080900
2013-11-29,441,441,434,440,3900,1714500
2013-11-28,442,445,429,433,29500,12857600
2013-11-27,442,445,440,441,9300,4110400
2013-11-26,445,445,442,442,7200,3192500
2013-11-25,445,445,443,444,5300,2354700
2013-11-22,446,446,443,443,3600,1602600
2013-11-21,442,446,441,443,5900,2612700
2013-11-20,445,445,442,444,2100,930800
2013-11-19,445,447,443,445,5400,2407100
2013-11-18,448,450,440,444,11700,5208200
2013-11-15,445,447,442,444,4000,1777200
2013-11-14,445,450,444,445,4400,1962900
2013-11-13,448,448,443,444,2000,889400
2013-11-12,445,449,444,445,3300,1475000
2013-11-11,443,449,442,449,4100,1818900
2013-11-08,446,450,442,448,1000,447100
2013-11-07,446,450,443,449,3500,1561100
2013-11-06,445,445,443,444,2700,1200800
2013-11-05,450,450,445,445,1400,625800
2013-11-01,450,452,441,450,7600,3394800
2013-10-31,452,452,450,450,2200,992400
2013-10-30,450,452,450,450,2600,1173800
2013-10-29,450,452,446,448,4700,2110400
2013-10-28,452,452,445,449,4000,1801500
2013-10-25,447,451,444,447,4100,1838300
2013-10-24,445,445,442,443,4000,1776500
2013-10-23,449,450,444,446,5800,2585100
2013-10-22,443,449,443,449,3600,1599600
2013-10-21,444,450,444,444,7300,3258600
2013-10-18,442,444,440,443,4900,2169800
2013-10-17,440,443,440,443,5400,2385000
2013-10-16,428,443,428,438,8500,3669500
2013-10-15,430,443,430,443,4500,1960800
2013-10-11,431,431,424,428,2000,857400
2013-10-10,429,431,423,427,4700,2003900
2013-10-09,424,429,422,429,3100,1318000
2013-10-08,428,428,422,422,5300,2245400
2013-10-07,432,435,427,428,4100,1763200
2013-10-04,433,443,433,435,1400,609200
2013-10-03,434,446,430,446,2700,1180800
2013-10-02,444,444,434,434,5200,2277500
2013-10-01,454,455,444,444,7300,3293500
2013-09-30,450,453,442,450,12500,5606200
2013-09-27,443,450,439,450,4300,1914200
2013-09-26,440,440,435,439,2900,1271400
2013-09-25,433,433,430,431,2500,1080000
2013-09-24,429,435,428,433,5800,2496700
2013-09-20,438,438,434,436,3900,1704100
2013-09-19,433,438,433,438,4000,1741400
2013-09-18,423,430,423,430,2900,1235900
2013-09-17,423,426,421,422,5900,2499900
2013-09-13,422,425,420,420,5900,2486500
2013-09-12,427,428,421,422,3500,1480700
2013-09-11,426,429,424,424,3300,1406500
2013-09-10,426,430,422,426,5400,2303400
2013-09-09,425,427,423,424,4800,2041600
2013-09-06,427,427,421,422,3500,1484000
2013-09-05,430,433,426,428,9200,3947900
2013-09-04,430,431,424,426,4000,1711900
2013-09-03,424,430,424,430,7500,3204900
2013-09-02,418,424,418,423,10200,4282800
2013-08-30,425,425,416,419,11800,4955500
2013-08-29,442,442,419,422,34500,14956900
2013-08-28,450,450,434,450,53300,23769600
2013-08-27,475,480,474,475,65700,31284200
2013-08-26,481,484,480,481,15600,7507300
2013-08-23,491,491,485,485,6600,3217400
2013-08-22,484,492,484,487,9700,4727500
2013-08-21,485,486,481,484,9100,4403900
2013-08-20,483,487,483,484,7500,3632400
2013-08-19,485,488,483,484,6700,3246600
2013-08-16,485,486,484,484,5400,2617600
2013-08-15,489,489,484,486,7000,3403500
2013-08-14,485,494,480,481,9400,4563700
2013-08-13,477,500,475,483,15200,7449800
2013-08-12,497,497,473,478,16500,7978800
2013-08-09,495,505,476,489,28700,13977200
2013-08-08,476,554,474,505,80300,40114700
2013-08-07,459,484,455,475,73400,34017500
2013-08-06,453,453,443,443,18400,8237900
2013-08-05,450,450,446,450,6000,2694600
2013-08-02,445,451,445,450,9000,4024900
2013-08-01,451,452,448,451,9900,4459000
2013-07-31,458,459,453,455,3500,1595600
2013-07-30,453,459,450,458,5700,2585400
2013-07-29,458,461,451,453,9300,4245100
2013-07-26,459,459,455,458,4800,2195900
2013-07-25,457,458,453,457,3700,1686000
2013-07-24,452,457,451,455,4000,1813000
