2418-T,東証1部,ベストB,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,638,643,637,640,34500,22044800
2014-06-26,640,645,639,641,109300,70053100
2014-06-25,645,647,640,645,201900,130119000
2014-06-24,647,648,645,648,48600,31456700
2014-06-23,647,649,647,648,31600,20475500
2014-06-20,646,647,644,647,25500,16458500
2014-06-19,644,645,643,645,19400,12494400
2014-06-18,641,644,638,643,23300,14948300
2014-06-17,636,642,635,641,36300,23148600
2014-06-16,638,638,634,635,22900,14563200
2014-06-13,636,638,635,637,41000,26094800
2014-06-12,631,635,630,635,15500,9813500
2014-06-11,630,632,629,630,17500,11029400
2014-06-10,637,637,630,632,21500,13621900
2014-06-09,637,638,633,636,28400,18039800
2014-06-06,635,635,628,635,54000,34215700
2014-06-05,619,629,617,629,33300,20735100
2014-06-04,616,617,611,615,51400,31578700
2014-06-03,614,617,613,616,18300,11250900
2014-06-02,606,611,606,611,27300,16621800
2014-05-30,606,606,604,606,23100,13981800
2014-05-29,601,604,599,602,33600,20217000
2014-05-28,601,604,599,600,27300,16402700
2014-05-27,597,602,597,599,31500,18860200
2014-05-26,593,597,589,597,16100,9552800
2014-05-23,586,587,580,586,42000,24477200
2014-05-22,587,587,562,585,37000,21441000
2014-05-21,581,585,575,581,26500,15358300
2014-05-20,594,594,579,584,36100,21147900
2014-05-19,600,600,587,588,23300,13811200
2014-05-16,600,602,592,593,37500,22336000
2014-05-15,605,605,600,603,9600,5785600
2014-05-14,607,609,606,607,8400,5101500
2014-05-13,604,609,599,606,21600,13028900
2014-05-12,605,609,601,604,32500,19624000
2014-05-09,610,615,608,609,7400,4518300
2014-05-08,607,615,607,609,14600,8912600
2014-05-07,611,617,607,607,32200,19700700
2014-05-02,607,612,607,611,29300,17865300
2014-05-01,603,612,603,611,30300,18413500
2014-04-30,607,612,605,608,36900,22438200
2014-04-28,602,608,601,607,18300,11062500
2014-04-25,598,605,594,601,34000,20374500
2014-04-24,594,597,591,596,26200,15584400
2014-04-23,590,594,590,592,25500,15089500
2014-04-22,596,596,587,587,24200,14301600
2014-04-21,590,596,590,594,24300,14417900
2014-04-18,594,594,587,590,21400,12627000
2014-04-17,590,592,586,589,34100,20104000
2014-04-16,590,594,580,590,54800,32209700
2014-04-15,592,593,581,583,25900,15193300
2014-04-14,593,597,590,592,14600,8668800
2014-04-11,594,599,587,594,17900,10627100
2014-04-10,605,609,597,597,15600,9373000
2014-04-09,607,608,600,601,19500,11754100
2014-04-08,609,617,607,608,19100,11662300
2014-04-07,620,621,613,613,16300,10061900
2014-04-04,619,622,615,621,25800,15956900
2014-04-03,620,620,613,619,34600,21381500
2014-04-02,609,617,609,614,35700,21914000
2014-04-01,598,608,588,608,40700,24370100
2014-03-31,598,608,597,600,39300,23621400
2014-03-28,572,588,572,588,35200,20378700
2014-03-27,575,575,557,573,33800,19139500
2014-03-26,578,579,558,574,53400,30299900
2014-03-25,580,580,566,571,37800,21614700
2014-03-24,564,577,564,572,30700,17512500
2014-03-20,579,579,564,564,27600,15734100
2014-03-19,579,582,573,579,28700,16600700
2014-03-18,587,587,576,579,29400,17030800
2014-03-17,591,593,577,577,30600,17814300
2014-03-14,593,604,590,590,62800,37398700
2014-03-13,602,606,598,604,28700,17316200
2014-03-12,615,620,606,608,31600,19335800
2014-03-11,621,624,615,624,22700,14052700
2014-03-10,618,622,615,620,18600,11514400
2014-03-07,627,628,621,623,10900,6795100
2014-03-06,618,624,612,622,39500,24433700
2014-03-05,628,630,624,626,14900,9340800
2014-03-04,615,626,615,618,30000,18607800
2014-03-03,635,636,608,625,29700,18539700
2014-02-28,636,638,635,635,22000,13980600
2014-02-27,640,646,636,636,16600,10615900
2014-02-26,650,650,642,646,10800,6970400
2014-02-25,655,655,645,648,26600,17314400
2014-02-24,652,652,635,645,48200,31103600
2014-02-21,650,650,639,642,52200,33664200
2014-02-20,648,651,626,629,112600,72404500
2014-02-19,620,653,620,648,104600,66355900
2014-02-18,624,624,603,618,21700,13339800
2014-02-17,586,623,586,620,64100,38714000
2014-02-14,585,602,582,585,33800,19977800
2014-02-13,598,601,589,589,14900,8853700
2014-02-12,606,607,593,599,20700,12412100
2014-02-10,609,610,595,598,22800,13695000
2014-02-07,587,601,587,599,40700,24232100
2014-02-06,565,595,558,593,40900,23777400
2014-02-05,565,578,562,564,31300,17782500
2014-02-04,574,574,556,556,66800,37847300
2014-02-03,610,610,597,597,32400,19603500
2014-01-31,612,621,604,613,44400,27157200
2014-01-30,615,618,609,618,31300,19184400
2014-01-29,618,623,618,621,20000,12408900
2014-01-28,618,619,611,612,31700,19490100
2014-01-27,625,625,587,614,100100,60765700
2014-01-24,643,643,633,633,44500,28365600
2014-01-23,649,651,645,645,32800,21249400
2014-01-22,650,651,646,649,46200,29975700
2014-01-21,650,651,647,648,69100,44863600
2014-01-20,650,653,649,651,95600,62169200
2014-01-17,647,651,646,650,33900,21984100
2014-01-16,650,651,647,648,42200,27406400
2014-01-15,651,653,646,652,32400,21012100
2014-01-14,655,656,649,649,42800,27891100
2014-01-10,657,660,651,659,35500,23269700
2014-01-09,663,663,656,660,24400,16067500
2014-01-08,663,663,657,662,40300,26580400
2014-01-07,657,666,657,662,54200,35893100
2014-01-06,661,663,656,656,54900,36199500
2013-12-30,660,667,650,664,75800,50040700
2013-12-27,650,662,650,660,63500,41786200
2013-12-26,644,657,640,653,71100,46112300
2013-12-25,659,664,658,660,75100,49608300
2013-12-24,660,660,655,658,76400,50330300
2013-12-20,661,661,656,657,38900,25580600
2013-12-19,660,663,656,657,59000,38897900
2013-12-18,660,660,652,657,36300,23789100
2013-12-17,656,659,649,658,48000,31364900
2013-12-16,669,672,655,656,50700,33551200
2013-12-13,665,672,660,669,81400,54175100
2013-12-12,675,675,666,672,47000,31521500
2013-12-11,671,674,667,669,40300,26993500
2013-12-10,680,680,668,670,44000,29599500
2013-12-09,674,681,668,677,37000,24934300
2013-12-06,673,673,662,667,59100,39459700
2013-12-05,680,685,674,674,57500,38962400
2013-12-04,683,688,681,682,51400,35142000
2013-12-03,689,699,685,687,63800,43980800
2013-12-02,699,699,685,689,81400,56153700
2013-11-29,690,690,680,682,44800,30694300
2013-11-28,678,686,677,684,51600,35201200
2013-11-27,677,679,670,677,45300,30557000
2013-11-26,669,677,666,677,60000,40256100
2013-11-25,661,664,659,663,40200,26574500
2013-11-22,664,668,657,657,45000,29717300
2013-11-21,663,666,658,663,45200,29858400
2013-11-20,658,665,654,662,90500,59587200
2013-11-19,671,673,655,657,76600,50730400
2013-11-18,684,689,679,680,35900,24600200
2013-11-15,668,682,668,674,46900,31652800
2013-11-14,668,675,667,668,61100,40979600
2013-11-13,677,679,667,671,27600,18615100
2013-11-12,661,676,656,676,44400,29552500
2013-11-11,670,675,659,665,82300,54878300
2013-11-08,685,685,671,677,29800,20201800
2013-11-07,682,690,675,681,37500,25546000
2013-11-06,675,688,675,682,20800,14207100
2013-11-05,676,685,670,675,38100,25809100
2013-11-01,686,687,670,676,47000,31864400
2013-10-31,695,705,686,691,48700,33913200
2013-10-30,692,697,689,692,37200,25758600
2013-10-29,703,703,687,694,27000,18725300
2013-10-28,704,704,691,694,24700,17173800
2013-10-25,700,703,694,700,38200,26670300
2013-10-24,687,701,677,700,37700,25896800
2013-10-23,694,700,687,689,32700,22678800
2013-10-22,699,699,691,692,28700,19931900
2013-10-21,690,697,688,690,34200,23681100
2013-10-18,701,702,683,687,61200,42211700
2013-10-17,705,711,705,707,31100,21994700
2013-10-16,709,709,703,706,38400,27109600
2013-10-15,704,710,701,710,26700,18842000
2013-10-11,710,711,700,704,16400,11562900
2013-10-10,697,713,693,701,30200,21280500
2013-10-09,679,689,672,689,19300,13126800
2013-10-08,676,685,672,681,18800,12782000
2013-10-07,699,709,673,686,45900,31647300
2013-10-04,727,730,699,699,56000,39681600
2013-10-03,718,743,715,735,40600,29724800
2013-10-02,750,750,720,721,58500,42750000
2013-10-01,740,754,733,750,70100,52133200
2013-09-30,725,738,719,733,70000,50927600
2013-09-27,703,731,703,726,69200,49845000
2013-09-26,701,703,691,702,65400,45571900
2013-09-25,695,699,689,697,31900,22080900
2013-09-24,686,697,684,695,45000,31106700
2013-09-20,684,699,682,687,52200,35819200
2013-09-19,667,682,667,682,39100,26378700
2013-09-18,671,684,665,666,29400,19794200
2013-09-17,680,682,661,665,42500,28515900
2013-09-13,684,684,671,674,44800,30430100
2013-09-12,670,674,650,671,37300,24819100
2013-09-11,673,684,664,670,60800,41021700
2013-09-10,636,671,636,661,72700,47709300
2013-09-09,647,649,631,634,58600,37432200
2013-09-06,648,655,630,635,72700,46741000
2013-09-05,661,661,636,644,87500,56759800
2013-09-04,658,666,655,661,88100,58185600
2013-09-03,680,680,661,671,27800,18626700
2013-09-02,682,682,659,660,30700,20539000
2013-08-30,686,688,651,662,61000,40514800
2013-08-29,699,699,673,686,39900,27425300
2013-08-28,706,708,686,693,48100,33551700
2013-08-27,750,751,734,736,20900,15483600
2013-08-26,751,756,746,756,6900,5194200
2013-08-23,747,749,738,742,14900,11087700
2013-08-22,742,745,725,739,29800,21830000
2013-08-21,736,752,736,742,20000,14877500
2013-08-20,745,757,742,743,26100,19549800
2013-08-19,743,757,740,755,29200,21869500
2013-08-16,759,759,745,749,64500,48445700
2013-08-15,800,800,764,766,53900,41704500
2013-08-14,805,810,782,800,25700,20431000
2013-08-13,795,795,781,790,67300,53079700
2013-08-12,868,868,785,794,89500,73894500
2013-08-09,879,891,856,856,41700,36503600
2013-08-08,880,900,875,878,67400,60212200
2013-08-07,894,898,861,892,38000,33775400
2013-08-06,880,910,880,907,81500,73123700
2013-08-05,851,880,851,874,36500,31760600
2013-08-02,843,861,825,848,38700,32854600
2013-08-01,850,853,768,843,76400,63087200
2013-07-31,864,864,855,857,49800,42827800
2013-07-30,857,871,850,865,73100,63107200
2013-07-29,860,867,849,858,76700,65748800
2013-07-26,805,885,792,871,155800,132231800
2013-07-25,810,817,806,811,66300,53814700
2013-07-24,797,815,795,809,70000,56416000
2013-07-23,792,797,788,791,37900,29986900
2013-07-22,756,794,756,791,84700,65800100
2013-07-19,782,786,755,761,75900,58151700
2013-07-18,763,769,758,767,59800,45668200
2013-07-17,766,770,751,763,36800,28009300
2013-07-16,756,757,749,750,19400,14589500
2013-07-12,752,755,742,746,17800,13319100
2013-07-11,768,768,754,756,9600,7284500
2013-07-10,775,775,754,768,20100,15359200
2013-07-09,770,785,757,765,32700,25085400
2013-07-08,796,800,763,772,19900,15606600
2013-07-05,779,786,770,780,20100,15650800
2013-07-04,777,796,747,778,30600,23693500
2013-07-03,798,799,770,778,35800,28125500
2013-07-02,770,789,760,789,34300,26522500
2013-07-01,772,778,754,770,39100,29969800
2013-06-28,735,770,733,770,65500,49245200
2013-06-27,733,745,727,733,41300,30315200
2013-06-26,759,771,703,738,60200,44543300
2013-06-25,157700,158900,155100,158700,255,40143300
2013-06-24,155300,160800,155300,159000,536,85011500
2013-06-21,154500,159300,152800,159100,313,48900700
