2435-T,JQスタンダード,シダー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,212,213,209,209,1900,400000
2014-06-26,209,212,209,209,300,63000
2014-06-25,209,209,209,209,2700,564300
2014-06-24,208,209,208,209,500,104100
2014-06-23,207,214,207,208,2000,417100
2014-06-20,211,211,210,211,700,147600
2014-06-19,214,214,211,211,300,63900
2014-06-18,218,218,211,211,1500,323500
2014-06-17,-,-,-,-,0,0
2014-06-16,211,215,211,211,6200,1315000
2014-06-13,210,214,209,214,2600,548600
2014-06-12,210,210,210,210,300,63000
2014-06-11,210,210,205,210,3600,747900
2014-06-10,-,-,-,-,0,0
2014-06-09,203,210,203,210,5800,1194200
2014-06-06,205,209,205,209,1400,289400
2014-06-05,206,206,204,205,2300,471500
2014-06-04,203,206,203,206,1000,203700
2014-06-03,203,203,200,203,3400,682500
2014-06-02,204,205,201,204,2500,508800
2014-05-30,203,206,203,206,2500,509400
2014-05-29,210,210,209,209,600,125900
2014-05-28,203,203,203,203,100,20300
2014-05-27,203,206,203,203,7700,1570100
2014-05-26,203,203,203,203,100,20300
2014-05-23,-,-,-,-,0,0
2014-05-22,201,201,201,201,100,20100
2014-05-21,199,199,199,199,500,99500
2014-05-20,199,202,199,202,300,60200
2014-05-19,201,201,200,200,700,140200
2014-05-16,204,204,204,204,300,61200
2014-05-15,213,213,202,204,9900,2078500
2014-05-14,199,205,199,205,800,161800
2014-05-13,202,202,196,197,3500,698500
2014-05-12,202,202,202,202,600,121200
2014-05-09,202,202,200,200,1600,320700
2014-05-08,203,207,201,201,4200,853800
2014-05-07,210,210,208,208,900,187800
2014-05-02,213,216,210,210,700,148800
2014-05-01,210,214,210,214,1200,252900
2014-04-30,213,215,213,213,2300,491100
2014-04-28,213,215,213,213,1000,213300
2014-04-25,213,213,213,213,200,42600
2014-04-24,213,213,212,212,1400,297900
2014-04-23,215,218,212,213,1700,364300
2014-04-22,218,218,218,218,100,21800
2014-04-21,219,219,217,217,1000,217800
2014-04-18,219,220,219,219,400,87700
2014-04-17,218,219,218,219,300,65600
2014-04-16,226,226,219,219,1700,378400
2014-04-15,223,227,223,227,5300,1185000
2014-04-14,215,218,215,218,1500,325000
2014-04-11,213,213,213,213,300,63900
2014-04-10,211,213,211,213,1100,232600
2014-04-09,214,214,210,210,2000,422700
2014-04-08,214,214,213,213,900,191900
2014-04-07,217,217,214,214,500,107900
2014-04-04,220,220,220,220,300,66000
2014-04-03,216,216,216,216,300,64800
2014-04-02,220,220,220,220,300,66000
2014-04-01,222,222,219,220,1200,264700
2014-03-31,211,217,211,215,2500,529000
2014-03-28,212,214,210,214,1100,232900
2014-03-27,213,215,206,212,6300,1316700
2014-03-26,220,220,213,213,600,130500
2014-03-25,218,218,218,218,500,109000
2014-03-24,218,219,218,218,1000,218100
2014-03-20,228,230,215,217,5000,1117700
2014-03-19,220,242,212,228,14300,3233100
2014-03-18,216,225,213,213,3500,757900
2014-03-17,224,226,220,220,7100,1589200
2014-03-14,220,221,218,220,3300,725800
2014-03-13,220,222,219,221,5400,1188800
2014-03-12,220,220,217,220,3800,834500
2014-03-11,218,221,218,218,2100,459900
2014-03-10,218,218,217,218,1900,413700
2014-03-07,216,218,215,218,1100,238100
2014-03-06,212,217,212,217,1200,255000
2014-03-05,213,218,213,218,1100,237400
2014-03-04,218,218,212,216,1000,214900
2014-03-03,220,220,210,210,4800,1022800
2014-02-28,219,220,212,220,2900,633300
