2462-T,東証1部,ジェイコムHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,741,741,732,732,13000,9542700
2014-06-26,740,743,738,740,10900,8077600
2014-06-25,740,743,730,741,28800,21279200
2014-06-24,735,743,735,739,20800,15356200
2014-06-23,735,743,732,743,30800,22689300
2014-06-20,736,740,732,732,21600,15900700
2014-06-19,733,736,731,734,27700,20326800
2014-06-18,734,736,731,734,15700,11509200
2014-06-17,729,731,726,730,25900,18872000
2014-06-16,727,727,724,726,28900,20970100
2014-06-13,726,726,723,724,26100,18916900
2014-06-12,723,725,722,725,16100,11650000
2014-06-11,724,724,722,722,20300,14676800
2014-06-10,724,725,721,722,23800,17214500
2014-06-09,724,724,722,723,18300,13233400
2014-06-06,724,724,721,723,10100,7299800
2014-06-05,721,722,720,722,13200,9520200
2014-06-04,724,725,721,721,36000,25996300
2014-06-03,727,727,723,726,23200,16818800
2014-06-02,727,727,722,725,21000,15199100
2014-05-30,722,727,720,721,36600,26452600
2014-05-29,727,730,721,724,42300,30655400
2014-05-28,732,739,724,730,128600,94195500
2014-05-27,756,762,756,762,127000,96373100
2014-05-26,756,759,752,759,58300,44075300
2014-05-23,757,758,753,756,24100,18233900
2014-05-22,750,759,750,757,49300,37157400
2014-05-21,757,759,751,752,29000,21889900
2014-05-20,752,759,752,757,50700,38331200
2014-05-19,756,757,752,752,22300,16840600
2014-05-16,760,760,756,759,23000,17438000
2014-05-15,757,759,755,757,18000,13628300
2014-05-14,759,761,755,758,22800,17305800
2014-05-13,759,760,754,757,14500,10962600
2014-05-12,755,760,754,758,33400,25298100
2014-05-09,755,756,750,755,26300,19809100
2014-05-08,759,761,757,757,11900,9027100
2014-05-07,760,760,753,758,31900,24177900
2014-05-02,758,759,750,759,38900,29427200
2014-05-01,741,749,740,749,22900,17082800
2014-04-30,746,749,745,745,21800,16279400
2014-04-28,745,747,744,745,24600,18327200
2014-04-25,733,747,733,743,26400,19523000
2014-04-24,730,734,728,733,12300,9000400
2014-04-23,728,731,724,729,27900,20316200
2014-04-22,722,727,722,724,25100,18187400
2014-04-21,721,727,721,722,23700,17167600
2014-04-18,727,727,718,721,23600,17030400
2014-04-17,718,725,718,721,46500,33510300
2014-04-16,717,731,717,717,143400,103354600
2014-04-15,746,752,742,747,8800,6579400
2014-04-14,741,747,738,746,11100,8228000
2014-04-11,750,750,738,739,38800,28839200
2014-04-10,761,761,750,751,15500,11669400
2014-04-09,757,759,751,751,20900,15775700
2014-04-08,759,768,756,759,27700,21043900
2014-04-07,757,767,750,765,60000,45434200
2014-04-04,762,771,761,767,41600,31890800
2014-04-03,770,770,766,768,25100,19298300
2014-04-02,768,770,767,767,29200,22440300
2014-04-01,770,770,762,769,42200,32345000
2014-03-31,748,761,745,761,37800,28463800
2014-03-28,742,742,738,742,18300,13551500
2014-03-27,737,739,735,737,14900,10986100
2014-03-26,737,739,734,737,11900,8764100
2014-03-25,738,738,727,733,16000,11710200
2014-03-24,715,737,715,726,22100,16031300
2014-03-20,720,722,711,713,18300,13099300
2014-03-19,731,731,718,718,25200,18175800
2014-03-18,723,731,723,726,6200,4521500
2014-03-17,728,731,719,719,24100,17478100
2014-03-14,730,734,725,725,32600,23771000
2014-03-13,740,743,737,737,14100,10423400
2014-03-12,740,742,737,740,14400,10648900
2014-03-11,740,745,739,740,13700,10165600
2014-03-10,755,755,735,740,30100,22506100
2014-03-07,725,731,725,726,13000,9461100
