2471-T,JQスタンダード,エスプール,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,985,985,952,963,11700,11345300
2014-06-26,1000,1000,970,985,11700,11495800
2014-06-25,983,1000,963,990,19700,19359000
2014-06-24,1019,1035,990,998,22300,22603000
2014-06-23,998,1012,994,1011,24600,24729600
2014-06-20,965,996,965,980,18300,17895600
2014-06-19,975,975,956,965,5100,4938300
2014-06-18,975,975,939,975,12400,11929500
2014-06-17,930,975,920,975,10000,9481600
2014-06-16,948,975,929,939,20100,19161500
2014-06-13,873,970,863,941,23500,21926800
2014-06-12,888,888,865,888,3100,2722500
2014-06-11,858,885,855,879,6400,5548800
2014-06-10,915,915,881,881,5700,5093100
2014-06-09,920,933,901,915,8000,7347000
2014-06-06,870,919,870,919,13500,12045100
2014-06-05,893,893,866,874,2200,1919600
2014-06-04,883,895,868,893,12600,11116100
2014-06-03,922,925,843,898,13400,12007300
2014-06-02,909,919,894,913,9700,8809800
2014-05-30,894,896,875,894,13200,11686800
2014-05-29,892,893,851,890,15100,13249400
2014-05-28,845,887,840,887,20100,17315900
2014-05-27,822,830,808,830,9200,7587700
2014-05-26,795,802,782,800,13400,10663300
2014-05-23,780,780,763,780,5400,4183500
2014-05-22,770,793,764,765,5200,4049100
2014-05-21,725,755,725,755,5900,4350600
2014-05-20,790,790,731,770,11600,8762500
2014-05-19,779,825,764,779,5400,4294500
2014-05-16,774,798,774,780,4500,3559800
2014-05-15,790,790,774,790,2500,1961300
2014-05-14,789,800,772,789,2200,1733300
2014-05-13,785,796,780,781,1100,865900
2014-05-12,808,810,765,797,3300,2617300
2014-05-09,790,811,790,793,3200,2564500
2014-05-08,800,829,790,790,7700,6194800
2014-05-07,780,835,780,795,10100,8124800
2014-05-02,773,783,750,780,5400,4169400
2014-05-01,745,790,745,745,6700,5162400
2014-04-30,774,789,735,735,11500,8702000
2014-04-28,760,791,758,774,5900,4585800
2014-04-25,756,785,756,757,8400,6398100
2014-04-24,780,780,755,756,2700,2081500
2014-04-23,763,779,763,766,1900,1455100
2014-04-22,797,797,751,773,9500,7298400
2014-04-21,782,808,776,782,6700,5249100
2014-04-18,800,800,760,792,5200,4058300
2014-04-17,770,797,764,797,5200,4042800
2014-04-16,771,785,743,756,7200,5453600
2014-04-15,767,789,767,774,1700,1314600
2014-04-14,769,790,755,771,8400,6459800
2014-04-11,770,800,760,794,9100,7129600
2014-04-10,834,854,785,815,13500,11053400
2014-04-09,851,860,838,849,7700,6528700
2014-04-08,850,888,840,843,18500,15799000
2014-04-07,854,880,830,880,21500,18225900
2014-04-04,841,929,836,869,34200,29640800
2014-04-03,849,850,826,837,5700,4800900
2014-04-02,840,867,840,842,5500,4646900
2014-04-01,895,895,841,854,9700,8453800
2014-03-31,830,844,813,844,10600,8758900
2014-03-28,795,805,782,802,6600,5267000
2014-03-27,775,788,730,780,11400,8636300
2014-03-26,806,808,770,790,7200,5659400
2014-03-25,810,820,776,791,18200,14611400
2014-03-24,820,835,809,835,4000,3272100
2014-03-20,855,855,800,819,11700,9603200
2014-03-19,849,850,809,840,11400,9419800
2014-03-18,834,877,819,839,12600,10716000
2014-03-17,848,880,816,819,16000,13573700
2014-03-14,785,819,776,809,13700,10884400
2014-03-13,837,856,830,845,6700,5627300
2014-03-12,856,871,836,840,9700,8245500
2014-03-11,884,896,836,871,15600,13532400
2014-03-10,885,915,852,874,102200,90052700
2014-03-07,787,922,782,922,56300,50271500
2014-03-06,774,774,753,772,4700,3594100
2014-03-05,817,817,742,767,11300,8711800
2014-03-04,733,790,733,764,11600,8791900
2014-03-03,778,779,737,762,5200,3927000
2014-02-28,817,817,772,793,6600,5233200
2014-02-27,810,818,795,802,6100,4936800
2014-02-26,795,809,791,795,10300,8190200
2014-02-25,835,835,786,797,18100,14689900
2014-02-24,805,835,790,821,9300,7538800
2014-02-21,780,807,780,790,1600,1269600
2014-02-20,830,830,780,780,8000,6483900
2014-02-19,827,827,788,809,8800,7196900
2014-02-18,757,810,735,806,6500,5097800
2014-02-17,750,751,733,742,4700,3502300
2014-02-14,776,776,730,750,7200,5345400
2014-02-13,780,795,764,771,8800,6831700
2014-02-12,805,827,805,812,13700,11164600
2014-02-10,780,827,773,820,14100,11295600
2014-02-07,765,782,748,760,16100,12317900
2014-02-06,800,810,731,767,23300,18262700
2014-02-05,766,766,701,707,27100,19975600
2014-02-04,690,759,690,691,57200,40802000
2014-02-03,908,908,839,840,55100,48641900
2014-01-31,984,984,921,923,10500,10019300
2014-01-30,950,950,900,930,37800,34412200
2014-01-29,995,995,949,982,12800,12448700
2014-01-28,961,996,943,947,19000,18626500
2014-01-27,941,965,935,946,30200,28616200
2014-01-24,1040,1040,1005,1016,23400,23890300
2014-01-23,1091,1092,1005,1046,64100,67754800
2014-01-22,1099,1120,1075,1075,39600,43299300
2014-01-21,1110,1140,1073,1110,90200,98944900
2014-01-20,1200,1296,1133,1140,148300,179302900
2014-01-17,1229,1257,1174,1180,258300,310160300
2014-01-16,1220,1349,1105,1349,603700,772898900
2014-01-15,1010,1049,1002,1049,57500,58904100
2014-01-14,939,1003,939,1003,24800,24560000
2014-01-10,950,987,931,950,7000,6626700
2014-01-09,965,965,926,950,12700,12107100
2014-01-08,1000,1000,955,955,20700,20287800
2014-01-07,997,1000,960,986,22300,21995700
2014-01-06,967,997,952,983,15500,15176900
2013-12-30,948,994,945,982,20200,19647000
2013-12-27,946,950,930,944,10400,9818900
2013-12-26,901,945,900,934,15700,14449800
2013-12-25,990,990,900,917,34100,31951000
2013-12-24,950,995,915,978,73200,70278600
2013-12-20,900,907,882,897,16800,15096300
2013-12-19,904,916,850,861,13500,11965500
2013-12-18,832,859,832,859,14400,12156100
2013-12-17,802,830,800,802,8700,7044600
2013-12-16,870,873,800,800,21800,17826700
2013-12-13,863,873,844,855,13700,11708300
2013-12-12,853,879,853,865,8200,7095500
2013-12-11,857,879,856,871,3200,2777900
2013-12-10,870,879,850,852,13700,11825100
2013-12-09,875,895,862,883,8300,7240100
2013-12-06,900,920,860,876,22500,20076700
2013-12-05,901,915,899,899,9000,8118300
2013-12-04,904,907,897,900,6400,5768700
2013-12-03,911,911,892,908,6800,6125900
2013-12-02,920,923,891,911,10100,9175500
2013-11-29,914,914,890,896,22300,20061500
2013-11-28,945,949,928,928,13200,12362200
2013-11-27,950,967,945,950,13000,12375700
2013-11-26,994,1010,950,988,24200,23320900
2013-11-25,1070,1238,1000,1024,249200,283030000
2013-11-22,901,1051,895,1051,71900,74084700
2013-11-21,898,906,883,901,6100,5460700
2013-11-20,895,910,875,892,16700,14888900
2013-11-19,929,929,908,910,5300,4867300
2013-11-18,915,925,892,908,11200,10170100
2013-11-15,941,941,900,905,6300,5745100
2013-11-14,927,969,926,926,8100,7675400
2013-11-13,920,955,916,925,5900,5457800
2013-11-12,889,935,889,926,9900,9085600
2013-11-11,975,978,880,880,19900,18792500
2013-11-08,928,1042,926,990,23600,23507300
2013-11-07,918,1010,911,955,27900,27002700
2013-11-06,945,950,902,941,23700,22072200
2013-11-05,1000,1001,880,900,47700,43670900
2013-11-01,1024,1051,990,994,13400,13477800
2013-10-31,1062,1088,1039,1041,17400,18381500
2013-10-30,1090,1091,1032,1032,21000,22191000
2013-10-29,1208,1208,1090,1101,52300,59107200
2013-10-28,1210,1240,1140,1178,24200,28807900
2013-10-25,1218,1272,1175,1200,34500,42349300
2013-10-24,1230,1250,1200,1215,19000,23040700
2013-10-23,1312,1393,1182,1251,120100,155307500
2013-10-22,1080,1370,1080,1312,208300,257608000
2013-10-21,1050,1080,1038,1076,51800,54994500
2013-10-18,980,1027,974,1014,35200,35242900
2013-10-17,1080,1081,1001,1006,90900,95009900
2013-10-16,974,974,950,972,35600,34147200
2013-10-15,1002,1011,971,985,32600,32386600
2013-10-11,1025,1106,1010,1010,50300,52666400
2013-10-10,1052,1087,1045,1045,48900,52006800
2013-10-09,1006,1044,1000,1010,47200,47943100
2013-10-08,1000,1007,941,1000,112600,110311900
2013-10-07,1100,1134,1010,1010,120900,128557500
2013-10-04,1266,1356,1204,1310,57400,74145900
2013-10-03,1270,1298,1256,1296,27100,34504300
2013-10-02,1298,1331,1280,1282,35400,45759900
2013-10-01,1320,1359,1300,1310,36200,47753000
2013-09-30,1326,1441,1260,1350,72100,97316800
2013-09-27,1385,1488,1274,1297,121700,167752100
2013-09-26,1505,1569,1303,1345,130800,183235100
2013-09-25,1423,1689,1406,1464,375500,575148700
2013-09-24,1285,1523,1250,1523,606900,876592500
2013-09-20,1325,1330,1223,1223,73300,93429400
