2479-T,JQグロース,ジェイテック,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,211,212,207,211,29800,6252200
2014-06-26,212,213,210,211,13300,2809100
2014-06-25,211,215,211,211,18700,3999100
2014-06-24,213,213,210,210,57600,12160700
2014-06-23,215,217,213,214,18900,4063500
2014-06-20,218,218,213,215,20500,4403100
2014-06-19,221,221,215,215,19800,4289700
2014-06-18,214,229,213,220,73700,16126800
2014-06-17,214,214,212,213,4700,1001800
2014-06-16,215,217,211,213,37500,8020400
2014-06-13,210,213,210,211,18900,3976400
2014-06-12,210,215,209,212,17200,3639700
2014-06-11,210,211,207,209,7100,1485300
2014-06-10,211,213,207,208,16300,3414000
2014-06-09,214,214,211,211,16500,3513600
2014-06-06,212,215,212,213,9400,1998400
2014-06-05,216,225,212,213,56700,12342700
2014-06-04,214,216,212,215,15600,3336600
2014-06-03,215,215,210,212,14800,3149700
2014-06-02,208,214,207,210,7800,1631400
2014-05-30,210,212,204,207,19200,3989200
2014-05-29,207,215,207,210,21600,4555700
2014-05-28,205,208,204,206,21300,4383400
2014-05-27,204,210,204,207,18000,3744300
2014-05-26,202,208,202,203,7800,1599500
2014-05-23,198,201,198,201,15700,3138500
2014-05-22,202,202,194,196,24400,4825400
2014-05-21,199,202,198,200,18700,3725900
2014-05-20,198,203,198,203,9900,1982900
2014-05-19,205,208,198,198,22000,4450600
2014-05-16,211,211,206,207,4500,936000
2014-05-15,207,212,206,208,9200,1920600
2014-05-14,208,212,207,211,11000,2301000
2014-05-13,207,212,205,210,15200,3162100
2014-05-12,223,223,205,205,31400,6653300
2014-05-09,215,222,215,218,24100,5277200
2014-05-08,226,228,215,215,37400,8290200
2014-05-07,230,235,227,232,36700,8448600
2014-05-02,230,230,221,230,69600,15886700
2014-05-01,217,244,214,229,325100,74014300
2014-04-30,210,215,210,211,11900,2524800
2014-04-28,212,215,209,209,10700,2254200
2014-04-25,214,218,205,216,47100,10001500
2014-04-24,214,217,210,211,25600,5467000
2014-04-23,210,214,208,213,15700,3288100
2014-04-22,215,215,210,210,8100,1716300
2014-04-21,214,215,210,212,22600,4809200
2014-04-18,216,216,210,213,21700,4606400
2014-04-17,217,217,213,215,13400,2881900
2014-04-16,210,221,205,217,55700,11900800
