2483-T,JQスタンダード,翻訳センター,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,3600,3600,3515,3570,11000,39256000
2014-06-26,3670,3670,3565,3615,12000,43362000
2014-06-25,3710,3730,3610,3645,27500,100817500
2014-06-24,3570,3765,3560,3700,39500,145026000
2014-06-23,3530,3560,3520,3535,4100,14492500
2014-06-20,3615,3615,3530,3535,12400,44233500
2014-06-19,3620,3640,3595,3615,11000,39774000
2014-06-18,3610,3630,3580,3585,14000,50471000
2014-06-17,3645,3650,3560,3630,14200,51277500
2014-06-16,3495,3645,3495,3620,24800,88742000
2014-06-13,3330,3475,3330,3475,13100,44780000
2014-06-12,3340,3360,3300,3325,7300,24246500
2014-06-11,3300,3400,3280,3370,6300,21150000
2014-06-10,3415,3440,3310,3320,10900,36774000
2014-06-09,3340,3430,3310,3405,12600,42393500
2014-06-06,3155,3250,3150,3225,8100,25844000
2014-06-05,3245,3250,3150,3185,6300,20124500
2014-06-04,3330,3330,3200,3245,9400,30576000
2014-06-03,3305,3325,3290,3320,7900,26146500
2014-06-02,3280,3290,3220,3270,8300,26999500
2014-05-30,3155,3275,3155,3210,9500,30431000
2014-05-29,3125,3160,3100,3115,3300,10350000
2014-05-28,3100,3145,3065,3105,6000,18620500
2014-05-27,3100,3150,3090,3130,10300,32194500
2014-05-26,3080,3100,3000,3075,7000,21347000
2014-05-23,2929,3025,2926,2988,4600,13673300
2014-05-22,2880,2935,2860,2885,3700,10676100
2014-05-21,2830,2869,2810,2851,3800,10753500
2014-05-20,2900,2912,2832,2856,10200,29304700
2014-05-19,3100,3100,2908,2912,6400,19129900
2014-05-16,3090,3090,3025,3030,2700,8244000
2014-05-15,3040,3110,3040,3090,4800,14769500
2014-05-14,2990,3025,2988,2996,2500,7500000
2014-05-13,2995,3030,2976,2981,3600,10785900
2014-05-12,3065,3095,2950,2950,11000,33403300
2014-05-09,3050,3070,3010,3020,10700,32390000
2014-05-08,3130,3140,3070,3070,3000,9331500
2014-05-07,3100,3145,3055,3060,5900,18199500
2014-05-02,3035,3200,3035,3135,6000,18664500
2014-05-01,3015,3070,3010,3030,7600,23090000
2014-04-30,3130,3160,3000,3050,5900,17943500
2014-04-28,3210,3250,3090,3150,6300,19945000
2014-04-25,3235,3270,3180,3180,8500,27361000
2014-04-24,3340,3340,3210,3220,7900,25649500
2014-04-23,3325,3330,3240,3330,3300,10880000
2014-04-22,3335,3355,3250,3310,4800,15847000
2014-04-21,3400,3440,3330,3330,3500,11840500
2014-04-18,3340,3400,3270,3400,6400,21398500
2014-04-17,3365,3390,3305,3340,3600,12023500
2014-04-16,3380,3380,3320,3365,2200,7358000
2014-04-15,3380,3380,3320,3320,4500,15062000
2014-04-14,3275,3320,3240,3305,2900,9501000
2014-04-11,3200,3310,3195,3205,14000,45118500
2014-04-10,3460,3495,3340,3355,9700,33092000
