2484-T,JQスタンダード,夢の街,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,828,859,765,773,1039300,839528800
2014-06-26,790,825,787,821,291400,235113700
2014-06-25,790,794,781,783,186500,146880600
2014-06-24,803,807,793,802,190300,152200700
2014-06-23,804,813,803,806,144000,116251600
2014-06-20,820,820,802,808,172400,139365900
2014-06-19,825,828,811,819,159900,130788100
2014-06-18,830,835,823,830,231700,191907600
2014-06-17,847,849,825,838,248600,208071200
2014-06-16,834,878,829,841,370500,314714800
2014-06-13,836,836,812,829,399000,329326600
2014-06-12,827,855,824,836,536300,449359400
2014-06-11,816,867,810,842,806200,677707400
2014-06-10,812,814,785,795,370200,296334200
2014-06-09,812,821,792,804,589600,476560100
2014-06-06,836,849,799,804,1109000,911908900
2014-06-05,765,852,750,824,3582800,2872912300
2014-06-04,1025,1026,730,750,1200700,1049756200
2014-06-03,1032,1045,987,1020,228500,230531200
2014-06-02,1083,1147,1012,1028,276400,292279700
2014-05-30,1177,1180,1077,1085,161300,182572400
2014-05-29,1186,1186,1171,1172,44300,52171600
2014-05-28,1186,1190,1152,1186,110300,129322200
2014-05-27,1190,1192,1175,1190,49700,58864400
2014-05-26,1191,1201,1180,1190,60900,72650000
2014-05-23,1180,1196,1160,1190,74100,87681900
2014-05-22,1190,1205,1177,1196,50500,60350900
2014-05-21,1191,1198,1160,1195,82600,97609200
2014-05-20,1197,1207,1153,1190,62700,74281000
2014-05-19,1210,1216,1183,1197,66700,79927000
2014-05-16,1223,1232,1200,1209,28400,34400900
2014-05-15,1218,1240,1210,1223,29900,36522300
2014-05-14,1210,1218,1207,1214,39600,47958400
2014-05-13,1219,1219,1168,1210,93000,111242600
2014-05-12,1209,1220,1193,1211,35800,43067300
2014-05-09,1200,1222,1190,1203,33300,40081400
2014-05-08,1190,1203,1130,1200,85900,101098900
2014-05-07,1200,1209,1150,1197,87400,103254400
2014-05-02,1185,1209,1171,1195,56700,67691000
2014-05-01,1185,1190,1122,1184,99400,115620000
2014-04-30,1180,1190,1068,1189,194300,217312100
2014-04-28,1186,1206,1135,1195,129100,151098600
2014-04-25,1220,1238,1168,1217,69200,83772000
2014-04-24,1264,1264,1215,1230,36500,45144700
2014-04-23,1220,1265,1200,1242,135500,167693700
2014-04-22,1380,1380,1165,1190,368600,461540600
2014-04-21,1250,1306,1234,1305,135200,172843100
2014-04-18,1200,1227,1133,1225,112200,131475500
2014-04-17,1200,1222,1182,1192,99000,118620900
2014-04-16,1260,1273,1198,1210,98400,119478700
2014-04-15,2554,2591,2544,2544,46300,118993600
2014-04-14,2488,2559,2488,2550,48800,123084600
2014-04-11,2404,2538,2355,2538,77900,192378200
2014-04-10,2610,2629,2532,2554,103700,267858900
2014-04-09,2650,2650,2585,2606,77500,202966700
2014-04-08,2673,2702,2641,2675,46600,124487000
2014-04-07,2676,2697,2615,2697,47300,126084500
2014-04-04,2687,2699,2655,2699,34600,92834500
2014-04-03,2737,2737,2612,2695,60000,160511400
2014-04-02,2735,2739,2683,2687,67400,183013800
2014-04-01,2750,2827,2730,2753,144400,400217500
2014-03-31,2719,2719,2581,2660,67700,179301400
2014-03-28,2745,2749,2638,2701,51000,138014400
2014-03-27,2741,2741,2593,2721,69500,186543100
2014-03-26,2796,2798,2701,2732,83300,230032800
2014-03-25,2700,2747,2610,2695,122800,327728600
2014-03-24,2740,2850,2739,2821,148500,416689300
