2599-T,東証1部,ジャパンF,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1209,1211,1201,1204,5300,6390600
2014-06-26,1204,1205,1201,1203,7400,8903200
2014-06-25,1212,1212,1203,1203,4400,5304100
2014-06-24,1213,1213,1207,1211,3100,3749000
2014-06-23,1219,1219,1200,1212,11100,13399100
2014-06-20,1212,1212,1205,1207,3900,4715800
2014-06-19,1214,1218,1205,1212,8200,9940700
2014-06-18,1203,1213,1202,1206,6100,7371900
2014-06-17,1195,1200,1194,1200,6500,7784500
2014-06-16,1195,1197,1184,1189,13000,15492100
2014-06-13,1194,1194,1185,1191,9400,11187200
2014-06-12,1194,1194,1186,1188,3900,4639400
2014-06-11,1187,1195,1185,1191,4300,5116600
2014-06-10,1181,1186,1181,1184,6100,7223200
2014-06-09,1185,1185,1179,1181,5100,6024400
2014-06-06,1183,1185,1174,1178,11500,13548300
2014-06-05,1181,1183,1178,1183,4700,5548600
2014-06-04,1170,1181,1168,1179,11700,13741100
2014-06-03,1183,1188,1164,1167,30900,36189100
2014-06-02,1185,1188,1177,1180,24600,29108700
2014-05-30,1185,1196,1180,1185,5800,6887100
2014-05-29,1191,1191,1181,1184,4300,5093000
2014-05-28,1198,1199,1184,1186,3200,3798000
2014-05-27,1185,1196,1184,1195,8700,10351600
2014-05-26,1193,1193,1163,1179,9600,11302100
2014-05-23,1187,1187,1170,1173,3600,4227200
2014-05-22,1158,1197,1152,1169,7700,8978600
2014-05-21,1152,1158,1145,1147,12000,13805600
2014-05-20,1186,1186,1158,1160,15600,18190200
2014-05-19,1207,1207,1183,1185,11900,14193300
2014-05-16,1229,1229,1202,1206,8800,10642200
2014-05-15,1240,1240,1220,1231,10900,13391100
2014-05-14,1245,1245,1237,1239,2600,3222700
2014-05-13,1241,1250,1235,1236,3000,3719100
2014-05-12,1258,1258,1229,1241,5000,6220200
2014-05-09,1240,1254,1229,1240,7300,9034600
2014-05-08,1240,1258,1240,1250,4100,5131900
2014-05-07,1250,1252,1238,1238,9500,11845300
2014-05-02,1270,1274,1267,1268,6100,7747900
2014-05-01,1287,1287,1266,1271,2200,2803500
2014-04-30,1290,1290,1266,1267,2500,3182900
2014-04-28,1280,1294,1280,1284,7900,10159400
2014-04-25,1329,1329,1298,1300,21400,28035800
2014-04-24,1300,1348,1255,1288,37300,48753400
2014-04-23,1286,1287,1272,1284,5100,6549200
2014-04-22,1278,1286,1271,1271,3200,4091600
2014-04-21,1282,1289,1269,1277,4700,6024400
2014-04-18,1277,1285,1277,1283,3800,4867500
2014-04-17,1269,1290,1267,1277,15100,19325400
2014-04-16,1255,1267,1255,1267,3700,4666700
2014-04-15,1250,1255,1246,1246,4000,5002300
2014-04-14,1237,1255,1237,1250,4600,5726000
2014-04-11,1239,1249,1235,1237,5900,7335100
2014-04-10,1241,1267,1241,1245,5500,6922700
2014-04-09,1267,1267,1232,1233,6500,8072200
2014-04-08,1260,1270,1254,1254,5400,6808000
2014-04-07,1267,1270,1260,1269,4400,5573800
2014-04-04,1269,1272,1250,1267,4800,6073700
2014-04-03,1266,1272,1264,1269,5300,6724100
2014-04-02,1265,1272,1242,1252,7600,9571800
2014-04-01,1256,1263,1241,1262,5300,6673200
2014-03-31,1250,1257,1237,1254,6500,8116000
2014-03-28,1240,1250,1234,1246,6400,7972000
2014-03-27,1222,1246,1212,1244,16800,20685300
2014-03-26,1277,1281,1258,1273,42700,54468400
2014-03-25,1278,1278,1269,1277,8700,11097300
2014-03-24,1260,1280,1260,1266,6400,8137000
2014-03-20,1260,1270,1258,1258,3800,4797700
2014-03-19,1268,1280,1261,1262,5100,6488200
2014-03-18,1257,1270,1257,1268,2200,2783300
2014-03-17,1283,1283,1251,1255,6000,7601200
2014-03-14,1287,1289,1265,1268,14400,18442100
2014-03-13,1280,1287,1276,1282,5100,6543400
2014-03-12,1283,1285,1276,1277,8100,10369900
2014-03-11,1262,1284,1260,1283,15900,20262000
2014-03-10,1257,1268,1250,1262,6200,7801600
2014-03-07,1252,1258,1249,1249,5200,6507300
2014-03-06,1250,1259,1239,1250,6500,8128900
2014-03-05,1255,1255,1242,1245,6700,8359900
2014-03-04,1227,1252,1227,1250,8600,10680500
2014-03-03,1235,1238,1218,1230,7500,9210500
2014-02-28,1244,1244,1231,1232,4700,5802400
2014-02-27,1244,1244,1237,1238,4100,5084200
2014-02-26,1247,1247,1237,1244,5300,6591100
2014-02-25,1248,1249,1238,1249,5300,6595500
2014-02-24,1244,1245,1233,1245,8700,10773400
2014-02-21,1229,1238,1229,1235,4100,5054700
2014-02-20,1245,1245,1213,1229,6000,7339100
2014-02-19,1229,1239,1229,1230,5800,7154700
2014-02-18,1220,1230,1212,1229,6900,8440300
2014-02-17,1219,1233,1215,1222,10800,13173800
2014-02-14,1245,1245,1205,1207,28800,35127300
2014-02-13,1254,1270,1242,1245,10500,13153800
2014-02-12,1250,1255,1240,1244,8500,10604200
2014-02-10,1248,1250,1224,1250,12900,15913500
2014-02-07,1235,1235,1219,1231,13300,16295400
2014-02-06,1257,1257,1213,1226,10300,12645500
2014-02-05,1215,1241,1209,1238,10500,12809300
2014-02-04,1230,1230,1209,1209,21800,26557100
2014-02-03,1253,1262,1246,1254,12000,15042000
2014-01-31,1257,1260,1253,1260,8200,10297500
2014-01-30,1253,1262,1244,1260,15000,18808500
2014-01-29,1274,1319,1257,1279,37900,48739800
2014-01-28,1246,1255,1233,1233,8800,10967400
2014-01-27,1254,1254,1235,1235,13900,17302100
2014-01-24,1267,1269,1255,1269,11100,14007900
2014-01-23,1292,1292,1272,1273,14500,18594700
2014-01-22,1290,1294,1287,1290,8500,10968600
2014-01-21,1294,1295,1283,1291,11200,14463500
2014-01-20,1285,1296,1280,1289,13300,17112600
2014-01-17,1275,1284,1275,1283,8300,10630400
2014-01-16,1270,1279,1267,1275,5700,7256500
2014-01-15,1268,1269,1265,1269,4300,5449000
2014-01-14,1261,1267,1257,1258,8500,10713900
2014-01-10,1259,1269,1256,1264,10700,13500000
2014-01-09,1256,1262,1256,1259,3500,4403600
2014-01-08,1257,1260,1252,1259,5500,6912500
2014-01-07,1265,1265,1250,1254,9800,12301300
2014-01-06,1258,1259,1235,1259,17500,21899600
2013-12-30,1260,1266,1247,1259,10700,13470300
2013-12-27,1222,1285,1222,1252,27400,34297000
2013-12-26,1210,1227,1210,1225,8100,9883700
2013-12-25,1202,1206,1202,1206,12100,14571200
2013-12-24,1203,1209,1203,1204,10000,12053800
2013-12-20,1205,1210,1201,1201,16000,19250500
2013-12-19,1208,1220,1205,1206,9000,10880200
2013-12-18,1205,1207,1199,1205,12800,15398300
2013-12-17,1205,1216,1205,1210,6400,7734500
2013-12-16,1212,1216,1205,1206,6800,8232700
2013-12-13,1221,1221,1205,1212,11600,14105400
2013-12-12,1227,1228,1211,1219,10300,12561900
2013-12-11,1227,1227,1223,1223,5500,6736300
2013-12-10,1225,1236,1225,1228,6100,7499000
2013-12-09,1240,1240,1224,1232,7000,8646800
2013-12-06,1223,1228,1222,1224,4200,5146700
2013-12-05,1226,1232,1223,1223,8400,10297500
2013-12-04,1227,1237,1225,1225,7000,8600700
2013-12-03,1232,1235,1226,1227,12700,15619300
2013-12-02,1228,1240,1228,1230,6000,7395700
2013-11-29,1242,1246,1223,1232,18800,23206200
2013-11-28,1245,1246,1237,1241,9000,11192700
2013-11-27,1252,1261,1246,1247,2100,2627000
2013-11-26,1255,1256,1240,1250,4800,5995000
2013-11-25,1250,1258,1235,1256,10800,13455300
2013-11-22,1265,1268,1246,1246,17100,21546000
2013-11-21,1244,1253,1243,1252,5100,6361100
2013-11-20,1251,1251,1230,1243,9000,11156000
2013-11-19,1237,1255,1235,1249,13700,17036000
2013-11-18,1234,1241,1230,1230,11600,14326800
2013-11-15,1233,1238,1230,1235,7600,9385200
2013-11-14,1237,1237,1219,1227,13200,16164000
2013-11-13,1233,1237,1220,1224,7800,9573900
2013-11-12,1230,1238,1230,1233,11500,14194100
2013-11-11,1220,1234,1218,1229,8300,10176000
2013-11-08,1219,1234,1215,1216,17000,20812300
2013-11-07,1226,1231,1220,1227,5400,6600000
2013-11-06,1227,1233,1222,1222,6300,7732000
2013-11-05,1232,1242,1227,1227,10600,13074900
2013-11-01,1232,1232,1221,1224,10700,13116800
2013-10-31,1232,1242,1232,1232,6000,7415900
2013-10-30,1240,1244,1235,1236,12100,14992500
2013-10-29,1232,1242,1229,1231,21800,26894500
2013-10-28,1233,1234,1222,1223,13300,16350100
2013-10-25,1234,1237,1215,1220,34200,41821100
2013-10-24,1246,1248,1225,1236,57800,71460700
2013-10-23,1348,1375,1249,1260,110800,142695500
2013-10-22,1314,1347,1312,1345,22700,30266500
2013-10-21,1296,1312,1296,1309,14800,19325900
2013-10-18,1288,1294,1280,1287,6300,8105400
2013-10-17,1282,1288,1274,1278,6900,8843700
2013-10-16,1276,1282,1261,1267,6100,7752100
2013-10-15,1257,1276,1256,1276,9900,12532900
2013-10-11,1278,1285,1252,1269,10600,13516000
2013-10-10,1263,1277,1245,1268,8200,10360100
2013-10-09,1247,1267,1247,1262,3100,3906700
2013-10-08,1259,1259,1245,1253,6800,8503100
2013-10-07,1270,1270,1253,1261,9900,12496900
2013-10-04,1263,1270,1252,1253,9000,11343200
2013-10-03,1255,1280,1255,1262,7000,8877100
2013-10-02,1273,1273,1258,1259,6700,8462700
2013-10-01,1274,1278,1267,1267,8600,10961000
2013-09-30,1288,1288,1252,1274,6300,8049100
2013-09-27,1309,1309,1288,1294,5700,7391400
2013-09-26,1308,1308,1291,1304,4200,5465900
2013-09-25,1313,1313,1290,1305,6700,8734800
2013-09-24,1316,1316,1305,1312,8600,11268700
2013-09-20,1324,1327,1305,1316,8000,10516300
2013-09-19,1306,1325,1306,1323,10100,13334600
2013-09-18,1292,1304,1292,1300,18700,24262700
2013-09-17,1251,1290,1251,1277,13100,16690200
2013-09-13,1225,1244,1225,1244,9300,11471600
2013-09-12,1230,1249,1224,1239,6100,7530500
2013-09-11,1220,1234,1220,1226,8700,10669900
2013-09-10,1227,1228,1216,1226,6000,7333100
2013-09-09,1230,1232,1212,1218,5000,6107900
2013-09-06,1222,1225,1206,1210,5900,7172000
2013-09-05,1205,1237,1192,1236,10300,12433200
2013-09-04,1205,1205,1196,1201,4700,5649500
2013-09-03,1185,1200,1185,1196,5500,6559300
2013-09-02,1179,1190,1171,1185,7600,8954600
2013-08-30,1177,1181,1170,1178,12900,15167400
2013-08-29,1200,1200,1167,1181,20800,24534000
2013-08-28,1225,1225,1188,1205,12700,15300800
2013-08-27,1230,1234,1225,1228,6200,7613700
2013-08-26,1243,1243,1230,1230,6400,7924700
2013-08-23,1254,1269,1235,1236,11300,14052200
2013-08-22,1235,1238,1224,1233,11800,14540800
2013-08-21,1269,1269,1230,1237,15900,19792800
2013-08-20,1288,1291,1242,1276,22600,28570200
2013-08-19,1315,1315,1282,1287,8500,11019400
2013-08-16,1312,1314,1300,1303,13800,18023400
2013-08-15,1342,1344,1313,1314,12400,16415000
2013-08-14,1324,1358,1315,1342,24000,32069400
2013-08-13,1314,1324,1305,1315,26400,34606000
2013-08-12,1331,1337,1310,1318,7000,9267000
2013-08-09,1310,1334,1310,1332,10200,13449400
2013-08-08,1313,1324,1311,1311,9200,12108600
2013-08-07,1346,1348,1310,1325,17200,22894100
2013-08-06,1342,1366,1341,1346,20000,27056800
2013-08-05,1338,1355,1331,1342,18100,24281500
2013-08-02,1317,1343,1317,1337,17200,22933400
2013-08-01,1301,1313,1300,1312,12100,15798800
2013-07-31,1337,1344,1311,1311,14600,19273900
2013-07-30,1317,1359,1315,1340,10100,13536700
2013-07-29,1350,1351,1309,1317,34400,45594300
2013-07-26,1384,1451,1375,1382,87000,120897300
2013-07-25,1535,1550,1376,1381,139900,201873200
2013-07-24,1529,1534,1501,1518,28500,43258100
2013-07-23,1466,1520,1456,1514,26500,39673400
2013-07-22,1457,1474,1429,1466,36200,52441900
2013-07-19,1493,1499,1455,1487,18800,27909800
2013-07-18,1486,1512,1486,1492,23100,34538900
2013-07-17,1549,1562,1480,1532,31400,47695100
2013-07-16,1590,1595,1556,1571,35400,55934400
2013-07-12,1575,1600,1509,1596,90700,141306900
2013-07-11,1421,1600,1420,1548,129500,196325800
2013-07-10,1393,1428,1393,1420,23700,33449400
2013-07-09,1363,1385,1363,1382,7900,10855700
2013-07-08,1366,1378,1361,1362,8300,11341200
2013-07-05,1360,1361,1348,1361,6800,9229700
2013-07-04,1350,1379,1345,1359,7200,9775200
2013-07-03,1390,1390,1360,1360,8200,11325600
2013-07-02,1392,1405,1388,1399,13100,18311200
2013-07-01,1390,1390,1370,1389,9900,13734000
2013-06-28,1335,1358,1298,1358,10300,13815200
2013-06-27,1320,1348,1300,1334,3400,4507300
2013-06-26,1352,1352,1300,1325,8700,11586900
2013-06-25,1346,1346,1304,1322,8500,11230400
2013-06-24,1333,1378,1333,1346,3700,5003600
2013-06-21,1325,1350,1319,1338,4600,6132500
