2669-T,JQスタンダード,カネ美食品,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,3015,3020,3005,3005,1400,4219500
2014-06-26,3005,3015,2999,3015,1000,3008200
2014-06-25,3010,3010,3005,3005,2700,8124000
2014-06-24,3000,3000,2995,2999,1100,3298400
2014-06-23,3000,3005,2995,3000,2100,6299000
2014-06-20,2995,2998,2995,2995,400,1198300
2014-06-19,3000,3000,2990,2995,600,1796400
2014-06-18,2990,2997,2985,2991,800,2392000
2014-06-17,2990,2990,2971,2984,1000,2980100
2014-06-16,2970,2971,2970,2971,200,594100
2014-06-13,2989,2990,2985,2985,900,2688500
2014-06-12,2989,2990,2987,2990,700,2092000
2014-06-11,2965,2988,2965,2988,600,1781300
2014-06-10,2979,2980,2975,2975,700,2085200
2014-06-09,2966,2975,2966,2970,1200,3565100
2014-06-06,2970,2970,2966,2966,900,2670800
2014-06-05,2958,2970,2958,2970,900,2668300
2014-06-04,2966,2980,2958,2958,1200,3565500
2014-06-03,2980,2985,2965,2965,1800,5361600
2014-06-02,2991,2994,2990,2990,800,2393000
2014-05-30,2985,2985,2981,2985,1000,2983900
2014-05-29,2979,2984,2979,2984,1200,3576400
2014-05-28,2950,2978,2950,2952,1400,4146000
2014-05-27,2945,2950,2940,2945,1100,3240000
2014-05-26,2940,2940,2939,2940,700,2057900
2014-05-23,2921,2939,2905,2920,2500,7269400
2014-05-22,-,-,-,-,0,0
2014-05-21,2958,2958,2921,2921,500,1465200
2014-05-20,2936,2940,2920,2940,1100,3227400
2014-05-19,2959,2960,2936,2936,400,1181400
2014-05-16,2959,2959,2959,2959,300,887700
2014-05-15,2924,2966,2924,2963,500,1474100
2014-05-14,2924,2924,2924,2924,100,292400
2014-05-13,2994,2994,2923,2923,2900,8588600
2014-05-12,2930,2930,2925,2930,800,2343000
2014-05-09,2920,2945,2920,2945,600,1762200
2014-05-08,2945,2982,2918,2918,1900,5576000
2014-05-07,2950,2951,2935,2935,900,2649500
2014-05-02,2940,2940,2930,2940,800,2351000
2014-05-01,2950,2950,2912,2912,1600,4702200
2014-04-30,2950,2950,2940,2950,1200,3538700
2014-04-28,2930,2940,2928,2940,900,2640800
2014-04-25,2930,2930,2911,2923,1900,5543000
2014-04-24,2920,2925,2918,2924,700,2045400
2014-04-23,2930,2930,2915,2926,900,2631600
2014-04-22,2930,2930,2928,2929,500,1464400
2014-04-21,2933,2933,2921,2921,400,1170100
2014-04-18,2914,2925,2914,2915,2500,7288600
2014-04-17,2925,2949,2925,2926,400,1173900
2014-04-16,2921,2925,2921,2925,800,2339000
2014-04-15,2922,2922,2920,2922,600,1753000
2014-04-14,2931,2931,2920,2922,1400,4099300
2014-04-11,2942,2950,2942,2942,1500,4418900
2014-04-10,2950,2953,2947,2947,1100,3245200
2014-04-09,2952,2952,2942,2942,1800,5308000
2014-04-08,2956,2976,2956,2960,800,2370600
2014-04-07,2964,2964,2956,2956,1000,2960800
2014-04-04,2962,2965,2962,2964,700,2074700
2014-04-03,2962,2964,2962,2962,800,2369900
2014-04-02,2974,2974,2960,2962,800,2371600
2014-04-01,2951,2975,2951,2975,1200,3550100
2014-03-31,2950,2978,2950,2978,1300,3856100
2014-03-28,2941,2983,2941,2950,2100,6198500
2014-03-27,2895,2990,2880,2951,6000,17526100
2014-03-26,3005,3025,3005,3020,13400,40356500
2014-03-25,3020,3030,3010,3020,5400,16311000
2014-03-24,3010,3015,3005,3015,2900,8731500
2014-03-20,3010,3015,3010,3010,3000,9032000
2014-03-19,3010,3010,3005,3010,1000,3009500
2014-03-18,3005,3010,3005,3005,2100,6318000
2014-03-17,3010,3010,3005,3010,1200,3610000
2014-03-14,3010,3015,3010,3010,700,2108500
2014-03-13,3020,3020,3015,3015,1000,3018000
2014-03-12,3020,3020,3020,3020,1600,4832000
2014-03-11,3010,3020,3010,3020,2000,6029500
2014-03-10,3030,3030,3020,3030,2000,6052500
2014-03-07,3030,3030,3020,3030,900,2724500
2014-03-06,3020,3020,3020,3020,2000,6040000
2014-03-05,3030,3030,3005,3030,2300,6946000
2014-03-04,3040,3040,3030,3030,1100,3337000
2014-03-03,3030,3040,3025,3040,2400,7273500
2014-02-28,3040,3040,3020,3020,1500,4553000
2014-02-27,3040,3040,3030,3035,1000,3036000
2014-02-26,3035,3035,3035,3035,700,2124500
2014-02-25,3035,3035,3030,3035,1200,3639500
2014-02-24,3040,3040,3015,3035,1100,3330500
2014-02-21,3025,3025,3025,3025,400,1210000
2014-02-20,3025,3025,3015,3015,500,1510500
2014-02-19,3030,3030,3010,3010,400,1209500
2014-02-18,2990,3005,2990,3000,1100,3299000
2014-02-17,3015,3015,2990,2990,1300,3902100
2014-02-14,3015,3015,3000,3015,1200,3613500
2014-02-13,3025,3025,3015,3015,300,906500
2014-02-12,3050,3050,3030,3035,600,1824500
2014-02-10,3030,3040,3030,3030,700,2125000
2014-02-07,3020,3020,3000,3020,1700,5118500
2014-02-06,3015,3020,3010,3015,1400,4221000
2014-02-05,2992,3015,2980,3010,1200,3593700
2014-02-04,3015,3015,2986,3015,3200,9603600
2014-02-03,3020,3020,3015,3015,700,2113000
2014-01-31,3020,3020,3020,3020,200,604000
2014-01-30,3010,3020,3005,3010,400,1204500
2014-01-29,3010,3040,3000,3010,4900,14773500
2014-01-28,3015,3025,3005,3020,3000,9049000
2014-01-27,3010,3020,3000,3015,2400,7232500
2014-01-24,3030,3030,3000,3020,2200,6641500
2014-01-23,3040,3040,3030,3035,1600,4857000
2014-01-22,3040,3040,3035,3040,1800,5471000
2014-01-21,3035,3040,3030,3040,1000,3036000
2014-01-20,3040,3040,3030,3035,1200,3637500
2014-01-17,3030,3035,3030,3030,900,2727500
2014-01-16,3030,3035,3030,3030,1100,3333500
2014-01-15,3035,3040,3030,3030,1600,4854000
2014-01-14,3035,3040,3025,3035,1900,5762500
2014-01-10,3040,3040,3030,3035,1000,3036000
2014-01-09,3030,3035,3030,3035,600,1820500
2014-01-08,3040,3045,3030,3035,2100,6383500
2014-01-07,3045,3050,3040,3040,1000,3045000
2014-01-06,3035,3050,3030,3030,3200,9727000
2013-12-30,3005,3030,3005,3030,2100,6347000
2013-12-27,2990,3010,2967,3010,1900,5690700
2013-12-26,2950,2980,2950,2951,1700,5028200
2013-12-25,2934,2945,2932,2941,4900,14403300
2013-12-24,2934,2936,2932,2934,2500,7336300
2013-12-20,2929,2936,2926,2936,3000,8788400
2013-12-19,2936,2943,2936,2942,2700,7934400
2013-12-18,2952,2955,2950,2950,2000,5903400
2013-12-17,2964,2964,2952,2952,1300,3845400
2013-12-16,2964,2964,2959,2959,700,2073900
2013-12-13,2960,2964,2958,2958,800,2368200
2013-12-12,2963,2963,2955,2958,900,2662000
2013-12-11,2960,2963,2955,2955,1000,2959300
2013-12-10,2965,2965,2951,2960,1500,4440800
2013-12-09,2968,2969,2961,2965,1100,3261100
2013-12-06,2964,2965,2962,2965,1400,4149800
2013-12-05,2979,2980,2963,2964,1100,3269000
2013-12-04,2976,2979,2961,2962,1700,5053100
2013-12-03,3000,3000,2972,2976,2100,6273800
2013-12-02,2977,2980,2970,2980,3400,10124200
2013-11-29,2941,2945,2940,2941,1200,3531200
2013-11-28,2940,2944,2940,2940,1000,2940700
2013-11-27,2935,2940,2910,2940,1800,5265500
2013-11-26,2929,2930,2919,2919,400,1170700
2013-11-25,2925,2930,2920,2929,1200,3512200
2013-11-22,2907,2923,2907,2911,1200,3497200
2013-11-21,2926,2929,2900,2900,10800,31521200
2013-11-20,2930,2930,2925,2929,1300,3807900
2013-11-19,2931,2931,2925,2926,1400,4098200
2013-11-18,2926,2931,2925,2925,1600,4685400
2013-11-15,2920,2925,2919,2920,2900,8468700
2013-11-14,2930,2930,2925,2929,400,1170900
2013-11-13,2930,2930,2930,2930,100,293000
2013-11-12,2920,2925,2920,2925,400,1168500
2013-11-11,2929,2930,2921,2930,1100,3218200
2013-11-08,2939,2940,2926,2940,600,1761000
2013-11-07,2940,2940,2920,2920,800,2346000
2013-11-06,2919,2925,2916,2920,900,2628900
2013-11-05,2920,2925,2920,2920,800,2337500
2013-11-01,2942,2945,2911,2917,3700,10844000
2013-10-31,2946,2950,2946,2947,900,2654000
2013-10-30,2941,2950,2940,2948,1600,4712200
2013-10-29,2940,2952,2940,2952,1500,4416500
2013-10-28,2935,2940,2934,2940,1500,4404000
2013-10-25,2936,2940,2935,2935,800,2350600
2013-10-24,2938,2940,2936,2936,1200,3526800
2013-10-23,2935,2940,2935,2940,800,2351200
2013-10-22,2935,2938,2935,2937,1100,3230700
2013-10-21,2938,2938,2935,2936,1200,3523400
2013-10-18,2937,2937,2936,2936,400,1174500
2013-10-17,2941,2941,2932,2937,700,2055500
2013-10-16,2945,2948,2940,2940,1200,3531500
2013-10-15,2963,2967,2950,2950,1500,4434300
2013-10-11,2962,2968,2961,2962,1300,3851900
2013-10-10,2961,2965,2961,2963,300,888900
2013-10-09,2975,2975,2941,2960,300,887600
2013-10-08,2971,2971,2970,2970,200,594100
2013-10-07,2971,2975,2971,2975,400,1189200
2013-10-04,2985,2985,2971,2980,1200,3577500
2013-10-03,2990,2990,2989,2990,700,2092900
2013-10-02,3000,3000,2990,2990,1000,2996400
2013-10-01,2998,3010,2998,3000,2200,6610800
2013-09-30,3015,3020,2996,3015,1500,4507000
2013-09-27,2990,3020,2985,3020,3300,9914000
2013-09-26,3010,3010,2980,2991,13000,39085500
2013-09-25,3030,3045,3025,3025,32300,97908500
2013-09-24,3010,3040,3010,3040,7300,22095000
2013-09-20,3050,3060,3000,3010,6300,19100500
2013-09-19,3060,3060,3050,3050,2200,6720500
2013-09-18,3050,3050,3040,3050,1100,3351500
2013-09-17,3025,3050,3025,3050,2600,7898500
2013-09-13,3020,3025,3015,3025,2000,6041500
2013-09-12,3020,3035,3020,3020,900,2722000
2013-09-11,3020,3025,3015,3020,1400,4230500
2013-09-10,3015,3020,3015,3020,800,2412500
2013-09-09,3010,3015,3010,3015,1300,3916500
2013-09-06,3010,3010,3010,3010,600,1806000
2013-09-05,2981,3000,2981,2995,1700,5078500
2013-09-04,3000,3000,2995,2999,800,2399400
2013-09-03,3005,3020,3000,3000,2500,7529000
2013-09-02,3000,3010,3000,3010,900,2705000
2013-08-30,3010,3015,3000,3015,600,1804500
2013-08-29,3010,3020,3010,3020,1000,3013500
2013-08-28,3005,3030,3000,3010,2200,6624500
2013-08-27,3010,3040,3005,3010,1100,3333500
2013-08-26,3010,3040,3010,3040,1200,3631500
2013-08-23,3015,3025,3010,3010,900,2712000
2013-08-22,3020,3040,3005,3025,1000,3022500
2013-08-21,3025,3040,3020,3020,1600,4847500
2013-08-20,3040,3040,3035,3040,2200,6685500
2013-08-19,3020,3040,3020,3040,2100,6354500
2013-08-16,3025,3030,3020,3020,1400,4237500
2013-08-15,3020,3025,3020,3025,600,1812500
2013-08-14,3020,3020,3015,3015,1500,4527500
2013-08-13,3010,3015,3010,3015,700,2109000
2013-08-12,3000,3010,3000,3010,900,2704000
2013-08-09,3000,3000,3000,3000,100,300000
2013-08-08,3010,3010,3000,3000,1700,5113000
2013-08-07,3005,3015,3005,3015,1200,3611000
2013-08-06,3010,3010,3005,3005,1300,3908500
2013-08-05,3000,3015,2995,3015,2200,6611500
2013-08-02,3000,3000,2991,3000,2400,7196400
2013-08-01,2998,2998,2980,2998,2400,7159200
2013-07-31,2995,2998,2985,2998,1700,5092400
2013-07-30,2990,2995,2990,2995,1700,5086800
2013-07-29,2995,2995,2980,2980,3200,9557500
2013-07-26,2989,2989,2972,2975,1700,5066800
2013-07-25,2985,2990,2983,2983,900,2687800
2013-07-24,2981,2998,2981,2985,800,2388700
2013-07-23,2980,2983,2968,2983,800,2381100
2013-07-22,2990,2990,2980,2980,500,1492000
2013-07-19,2990,2990,2963,2963,600,1790300
2013-07-18,2960,3000,2960,2990,1300,3887200
2013-07-17,2960,2970,2960,2960,1300,3852000
2013-07-16,2965,2985,2961,2962,1600,4748300
