2685-T,東証1部,アダストリアH,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2395,2424,2342,2406,306000,734536000
2014-06-26,2385,2428,2380,2388,231300,555822600
2014-06-25,2345,2397,2335,2387,232100,553299300
2014-06-24,2324,2345,2312,2331,128900,300597800
2014-06-23,2331,2350,2308,2314,153100,355757600
2014-06-20,2370,2392,2330,2331,171300,402586400
2014-06-19,2352,2358,2329,2353,120600,283033300
2014-06-18,2331,2343,2312,2332,113300,263791600
2014-06-17,2325,2342,2312,2331,121500,283083300
2014-06-16,2365,2371,2303,2315,296000,687047700
2014-06-13,2359,2394,2349,2390,164600,390491400
2014-06-12,2396,2400,2329,2365,248400,585771300
2014-06-11,2420,2468,2391,2414,190100,459373200
2014-06-10,2482,2495,2437,2444,183900,451705100
2014-06-09,2495,2518,2486,2488,90300,225700000
2014-06-06,2484,2495,2465,2485,196800,487998100
2014-06-05,2430,2492,2410,2482,182300,448420100
2014-06-04,2395,2468,2386,2424,177300,430826100
2014-06-03,2419,2488,2395,2406,266900,651956600
2014-06-02,2351,2405,2351,2395,133500,318684200
2014-05-30,2313,2342,2299,2324,82800,192179800
2014-05-29,2280,2305,2260,2291,72800,166593300
2014-05-28,2290,2299,2257,2279,116100,264197000
2014-05-27,2280,2295,2255,2263,93700,213046200
2014-05-26,2255,2278,2235,2275,84700,191077200
2014-05-23,2291,2295,2226,2242,221600,497487800
2014-05-22,2264,2290,2234,2272,157700,356934800
2014-05-21,2358,2358,2250,2276,247800,563063800
2014-05-20,2377,2398,2355,2376,104400,248796700
2014-05-19,2330,2391,2327,2364,183500,435291300
2014-05-16,2328,2328,2285,2316,88000,202912200
2014-05-15,2330,2340,2271,2338,89500,207417700
2014-05-14,2340,2378,2313,2326,108300,252686100
2014-05-13,2250,2385,2246,2361,246400,577420400
2014-05-12,2240,2258,2219,2231,139600,312617900
2014-05-09,2223,2260,2223,2249,127000,285796800
2014-05-08,2215,2261,2207,2251,89000,199655900
2014-05-07,2220,2230,2197,2211,187200,414186600
2014-05-02,2228,2253,2223,2248,141600,317265600
2014-05-01,2218,2247,2208,2245,171800,382560800
2014-04-30,2228,2263,2212,2221,124600,277843900
2014-04-28,2253,2260,2212,2228,128600,286553100
2014-04-25,2243,2279,2231,2254,119300,268672900
2014-04-24,2232,2298,2222,2263,160500,363367600
2014-04-23,2236,2275,2201,2242,154600,345283500
2014-04-22,2247,2260,2190,2216,199200,441514600
2014-04-21,2244,2267,2221,2247,178800,401525600
2014-04-18,2236,2245,2196,2239,121500,269867600
2014-04-17,2231,2248,2209,2226,137500,306436300
2014-04-16,2200,2235,2185,2234,147800,326899300
2014-04-15,2233,2249,2181,2185,130500,288716000
2014-04-14,2208,2255,2200,2201,106500,237002400
2014-04-11,2200,2236,2180,2210,265100,585166800
2014-04-10,2280,2290,2210,2232,323700,726706100
2014-04-09,2290,2296,2260,2278,233900,532689500
2014-04-08,2371,2380,2294,2304,426400,988395800
2014-04-07,2421,2450,2360,2380,447000,1069730700
2014-04-04,2429,2488,2429,2484,110900,273175500
2014-04-03,2471,2479,2425,2429,376500,919644800
2014-04-02,2550,2550,2476,2484,305000,764076000
2014-04-01,2550,2561,2513,2555,274700,698667800
2014-03-31,2574,2575,2511,2574,179900,459371400
2014-03-28,2497,2574,2480,2564,278100,706485100
2014-03-27,2430,2493,2416,2488,148200,364972400
2014-03-26,2447,2495,2412,2432,184400,450433400
2014-03-25,2427,2477,2400,2416,195600,477389300
2014-03-24,2300,2486,2300,2459,341000,826932500
2014-03-20,2378,2391,2303,2313,533600,1237764300
2014-03-19,2261,2396,2261,2378,393400,925075700
