2715-T,東証1部,エレマテック,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1892,1919,1879,1915,11300,21407900
2014-06-26,1901,1911,1891,1892,8000,15179800
2014-06-25,1918,1929,1896,1896,17600,33645300
2014-06-24,1933,1939,1910,1938,12600,24268100
2014-06-23,1927,1939,1910,1933,18000,34646300
2014-06-20,1901,1948,1901,1908,44800,85935900
2014-06-19,1925,1936,1893,1896,21300,40863700
2014-06-18,1906,1931,1905,1920,21500,41177400
2014-06-17,1895,1919,1895,1910,16300,31132100
2014-06-16,1920,1920,1882,1888,10600,20090400
2014-06-13,1912,1912,1887,1905,35900,68429000
2014-06-12,1871,1895,1851,1872,23300,43589100
2014-06-11,1870,1915,1870,1911,26300,49824800
2014-06-10,1840,1870,1840,1865,19500,36233800
2014-06-09,1839,1863,1839,1840,13000,24060100
2014-06-06,1824,1849,1818,1839,19300,35455300
2014-06-05,1834,1843,1819,1825,11500,21018200
2014-06-04,1815,1849,1815,1822,15300,27976400
2014-06-03,1810,1820,1800,1809,11400,20587700
2014-06-02,1786,1799,1786,1796,9500,17034400
2014-05-30,1788,1792,1742,1786,18800,33311100
2014-05-29,1765,1794,1765,1785,5600,9981100
2014-05-28,1785,1794,1773,1790,7500,13394300
2014-05-27,1786,1790,1777,1785,3900,6962100
2014-05-26,1778,1788,1742,1786,11600,20612600
2014-05-23,1777,1781,1762,1778,12100,21493300
2014-05-22,1737,1769,1730,1765,9500,16591100
2014-05-21,1730,1739,1707,1737,7600,13170400
2014-05-20,1749,1750,1722,1739,11900,20729700
2014-05-19,1720,1730,1718,1726,9500,16377200
2014-05-16,1735,1740,1720,1720,13900,23969200
2014-05-15,1756,1761,1730,1749,6700,11674200
2014-05-14,1747,1774,1730,1774,12200,21456500
2014-05-13,1734,1757,1720,1747,11700,20323200
2014-05-12,1715,1735,1711,1715,11200,19294800
2014-05-09,1716,1738,1715,1715,6000,10332900
2014-05-08,1706,1729,1706,1708,11100,19041800
2014-05-07,1756,1756,1681,1705,18800,32287200
2014-05-02,1774,1774,1745,1756,8300,14583500
2014-05-01,1760,1779,1749,1767,11300,19912100
2014-04-30,1744,1762,1730,1750,10800,18853400
2014-04-28,1760,1763,1722,1744,16600,28908800
2014-04-25,1720,1798,1714,1774,23600,41557300
2014-04-24,1730,1730,1688,1724,18000,30875800
2014-04-23,1716,1745,1712,1732,16300,28189400
2014-04-22,1733,1733,1701,1701,6500,11126300
2014-04-21,1702,1722,1702,1715,6900,11815500
2014-04-18,1701,1711,1670,1694,17500,29577000
2014-04-17,1702,1720,1680,1690,12300,20892700
2014-04-16,1679,1719,1665,1683,11300,18969300
2014-04-15,1656,1681,1646,1653,10600,17573900
2014-04-14,1650,1681,1650,1656,9600,15979200
2014-04-11,1655,1696,1643,1665,18800,31406000
2014-04-10,1730,1747,1671,1671,20900,35665200
2014-04-09,1702,1714,1687,1700,19400,32999300
2014-04-08,1734,1741,1727,1727,17700,30668300
2014-04-07,1773,1773,1746,1752,12600,22114100
2014-04-04,1795,1795,1773,1783,16600,29644400
2014-04-03,1799,1815,1787,1795,15400,27724300
2014-04-02,1797,1815,1775,1783,25500,45653400
2014-04-01,1795,1798,1776,1790,23600,42140700
2014-03-31,1788,1790,1770,1786,17900,31913100
2014-03-28,1791,1791,1746,1786,15500,27459600
2014-03-27,1790,1795,1763,1791,21000,37393100
2014-03-26,1820,1853,1810,1820,21600,39476800
2014-03-25,1847,1862,1833,1833,12300,22672200
2014-03-24,1836,1878,1834,1847,23700,43858000
2014-03-20,1883,1890,1850,1851,24300,45401700
2014-03-19,1925,1938,1850,1860,24300,45585800
2014-03-18,1872,1932,1872,1924,13500,25784100
2014-03-17,1887,1929,1841,1870,29900,56155600
2014-03-14,1946,1952,1910,1918,41700,80788000
2014-03-13,1962,1969,1943,1957,14700,28771700
2014-03-12,1980,1980,1947,1953,10100,19807200
2014-03-11,1970,1989,1966,1983,13000,25770500
2014-03-10,1979,1979,1960,1964,11700,23031900
2014-03-07,1947,1974,1940,1966,21600,42275600
2014-03-06,1926,1928,1910,1919,14900,28580100
2014-03-05,1930,1984,1924,1926,43000,84089600
2014-03-04,1845,1925,1845,1923,33900,64458000
2014-03-03,1846,1850,1826,1845,16000,29406100
2014-02-28,1847,1869,1846,1857,10700,19855500
2014-02-27,1905,1905,1848,1854,20500,38401500
2014-02-26,1916,1916,1898,1899,9600,18321800
2014-02-25,1898,1929,1897,1914,23900,45760800
2014-02-24,1900,1900,1871,1897,14100,26715500
2014-02-21,1907,1916,1893,1909,29600,56417500
2014-02-20,1865,1919,1855,1908,32700,62089000
2014-02-19,1864,1873,1844,1859,18600,34548800
2014-02-18,1889,1921,1841,1860,58700,110257100
2014-02-17,1798,1870,1788,1852,66300,121803100
2014-02-14,1755,1791,1749,1789,33100,58788900
2014-02-13,1789,1789,1753,1755,14700,26082900
2014-02-12,1725,1796,1725,1773,24600,43409200
2014-02-10,1715,1725,1707,1725,21000,36055000
2014-02-07,1698,1718,1693,1707,12700,21711300
