2734-T,東証1部,サーラ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,554,555,553,554,13100,7251200
2014-06-26,558,558,550,553,3900,2155100
2014-06-25,551,559,550,557,8900,4933700
2014-06-24,560,560,553,560,7800,4358400
2014-06-23,559,560,557,560,6100,3411300
2014-06-20,560,560,545,559,14400,8021400
2014-06-19,555,559,555,559,12800,7134200
2014-06-18,550,554,550,554,12500,6894200
2014-06-17,543,550,543,550,11800,6449300
2014-06-16,543,547,543,543,49300,26797500
2014-06-13,544,544,536,543,25900,14066800
2014-06-12,542,547,540,547,9700,5287400
2014-06-11,545,549,543,546,10800,5893100
2014-06-10,544,547,540,545,8800,4782500
2014-06-09,543,544,540,543,5700,3093100
2014-06-06,542,545,530,543,30900,16684800
2014-06-05,534,542,532,542,8700,4677500
2014-06-04,533,535,529,534,7100,3781200
2014-06-03,544,544,532,536,7000,3765800
2014-06-02,535,541,525,540,12700,6763800
2014-05-30,528,538,528,535,3900,2076200
2014-05-29,541,541,527,536,3600,1926700
2014-05-28,529,547,519,545,23000,12278900
2014-05-27,539,539,533,535,6600,3538800
2014-05-26,537,537,531,537,18100,9711000
2014-05-23,526,537,526,537,14900,7896300
2014-05-22,522,527,522,526,8100,4253600
2014-05-21,515,523,515,521,4600,2390800
2014-05-20,517,527,517,518,7700,3992400
2014-05-19,507,514,506,509,3100,1578200
2014-05-16,515,516,502,502,13700,6973300
2014-05-15,513,519,513,517,3100,1599300
2014-05-14,513,525,509,515,2300,1186500
2014-05-13,509,518,509,515,5600,2876700
2014-05-12,518,524,507,507,14800,7628600
2014-05-09,514,520,514,518,3900,2015800
2014-05-08,509,515,499,513,12000,6102900
2014-05-07,517,518,508,510,16100,8279600
2014-05-02,516,527,516,524,6200,3220200
2014-05-01,520,524,512,523,13100,6794800
2014-04-30,517,521,517,520,1900,986300
2014-04-28,518,520,513,516,14600,7557600
2014-04-25,513,518,513,518,11200,5760200
2014-04-24,513,517,513,513,2700,1386400
2014-04-23,510,514,510,513,5700,2919200
2014-04-22,511,511,509,509,1200,611400
2014-04-21,506,516,505,508,2000,1015600
2014-04-18,513,513,506,512,5400,2764700
2014-04-17,514,515,509,509,3600,1841800
2014-04-16,498,516,498,510,9800,4976000
2014-04-15,499,513,495,495,17100,8556800
2014-04-14,509,516,495,499,4500,2277900
2014-04-11,504,520,504,509,9500,4873500
2014-04-10,512,518,510,510,5900,3023200
2014-04-09,516,520,502,510,16200,8265100
2014-04-08,528,528,515,522,9900,5168800
2014-04-07,524,530,524,530,24900,13111000
2014-04-04,528,530,520,524,13600,7150400
2014-04-03,525,525,520,524,11100,5815900
2014-04-02,530,533,520,521,22900,12005500
2014-04-01,520,524,510,523,17500,9104900
2014-03-31,518,520,514,519,11100,5754900
2014-03-28,515,515,506,514,13300,6814400
2014-03-27,519,519,499,518,11600,5950400
2014-03-26,513,515,505,512,15400,7897500
2014-03-25,513,513,500,507,25500,13050600
2014-03-24,489,515,489,513,13600,6872100
2014-03-20,496,496,489,489,9100,4476400
2014-03-19,495,503,493,493,8700,4311600
2014-03-18,496,502,492,495,8200,4070400
2014-03-17,488,493,484,488,9000,4392100
2014-03-14,500,506,488,488,39500,19646500
2014-03-13,504,510,492,507,5900,2978900
2014-03-12,497,508,497,505,5900,2972300
2014-03-11,509,509,490,507,8900,4479700
2014-03-10,504,508,504,507,3800,1924900
2014-03-07,509,511,501,508,32700,16641100
2014-03-06,506,509,506,509,5600,2846400
2014-03-05,508,509,505,507,4900,2488700
2014-03-04,505,510,504,508,9500,4818200
2014-03-03,498,510,496,505,8200,4132500
2014-02-28,504,504,497,499,7300,3654000
2014-02-27,502,503,502,502,2200,1104500
2014-02-26,503,509,503,503,3600,1817900
2014-02-25,508,510,503,506,42000,21340300
2014-02-24,508,510,503,508,6100,3093300
2014-02-21,493,509,493,508,17900,8982800
2014-02-20,497,497,492,492,4200,2072200
2014-02-19,485,497,485,491,2500,1223700
2014-02-18,490,499,488,492,15400,7590700
2014-02-17,480,491,480,490,7800,3782900
2014-02-14,490,493,485,485,8400,4092700
2014-02-13,499,499,483,486,5800,2834800
2014-02-12,497,497,493,496,3300,1636900
2014-02-10,495,495,484,489,32900,16256900
2014-02-07,481,497,481,495,14700,7181900
2014-02-06,477,479,473,479,13400,6387600
2014-02-05,475,481,475,476,22500,10702100
2014-02-04,484,484,470,472,33500,15998700
2014-02-03,485,491,482,483,10300,4986900
2014-01-31,484,489,482,489,8900,4327500
2014-01-30,485,490,484,486,12700,6160500
2014-01-29,487,496,487,488,5000,2450700
2014-01-28,488,496,486,486,14100,6903800
2014-01-27,501,501,488,488,16000,7897900
2014-01-24,509,509,503,503,31400,15917200
2014-01-23,509,512,507,509,8300,4221400
2014-01-22,510,511,505,509,6400,3253200
2014-01-21,507,515,507,509,10000,5103800
2014-01-20,513,515,507,513,8100,4149600
2014-01-17,503,510,503,508,9800,4967600
2014-01-16,513,514,500,503,18000,9114000
2014-01-15,512,514,496,514,32400,16465200
2014-01-14,501,504,498,499,12700,6355200
2014-01-10,511,511,501,501,20500,10391000
2014-01-09,506,511,503,511,9000,4567300
2014-01-08,509,512,495,512,9700,4893000
2014-01-07,511,511,501,509,6800,3458000
2014-01-06,513,519,497,510,32700,16660200
2013-12-30,493,504,493,504,21800,10821100
2013-12-27,488,494,488,493,18700,9209200
2013-12-26,482,496,482,486,18900,9228700
2013-12-25,479,484,479,481,19000,9130600
2013-12-24,491,491,475,478,41300,19915100
2013-12-20,494,495,488,488,28500,13993500
2013-12-19,504,504,493,494,27700,13732000
2013-12-18,501,505,500,504,10900,5473800
2013-12-17,495,500,495,500,9500,4729300
2013-12-16,500,500,495,495,3200,1588000
2013-12-13,492,500,492,497,45200,22284000
2013-12-12,502,504,500,501,7600,3809700
2013-12-11,502,504,502,502,7700,3869400
2013-12-10,504,507,502,502,8900,4479900
2013-12-09,505,515,505,505,79900,40366300
2013-12-06,508,517,508,515,42900,21996200
2013-12-05,508,510,506,507,31800,16182500
2013-12-04,506,511,506,508,19400,9867500
2013-12-03,515,515,505,507,16800,8564400
2013-12-02,503,515,503,512,19400,9860000
2013-11-29,500,506,500,504,10200,5130900
2013-11-28,500,505,500,505,21100,10605000
2013-11-27,506,506,500,503,64900,32743300
