2768-T,東証1部,双日,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,180,181,177,178,11510300,2056807800
2014-06-26,180,181,179,181,5985100,1077985400
2014-06-25,180,182,178,179,9008400,1618891800
2014-06-24,180,182,178,181,9092100,1643758500
2014-06-23,183,184,181,182,9553600,1741332400
2014-06-20,181,183,179,183,19955000,3617062000
2014-06-19,179,182,179,180,25352200,4564809700
2014-06-18,175,179,175,179,18088000,3199866400
2014-06-17,174,175,173,175,12074700,2102834400
2014-06-16,175,175,172,173,11061900,1922030600
2014-06-13,172,175,171,174,30685700,5320142700
2014-06-12,169,172,168,172,16917200,2875327900
2014-06-11,169,171,168,168,9698800,1641904100
2014-06-10,170,172,168,168,10737300,1824687900
2014-06-09,172,174,169,169,18736700,3218183300
2014-06-06,166,171,165,171,15023100,2528151700
2014-06-05,166,167,164,165,9671100,1597298800
2014-06-04,167,168,166,166,10330300,1721133500
2014-06-03,167,168,165,168,17873900,2978699000
2014-06-02,164,167,162,166,26177800,4310190200
2014-05-30,163,166,160,162,83651700,13556413000
2014-05-29,161,165,161,164,15830700,2582274800
2014-05-28,162,163,161,161,9107500,1473855000
2014-05-27,164,165,162,162,10254300,1672410800
2014-05-26,163,164,161,163,8123500,1320797000
2014-05-23,160,163,160,161,6694300,1080727100
2014-05-22,160,162,158,160,13473000,2154241000
2014-05-21,160,161,158,158,11557700,1839507400
2014-05-20,161,164,159,161,10549400,1704628500
2014-05-19,161,162,159,161,13563600,2179154500
2014-05-16,160,161,159,160,10651700,1703675000
2014-05-15,163,164,160,162,21399100,3457364000
2014-05-14,165,167,164,166,11805500,1952379600
2014-05-13,164,166,163,166,7094400,1167003100
2014-05-12,165,167,161,162,11544400,1880425200
2014-05-09,163,168,163,165,13665700,2252423100
2014-05-08,160,169,160,163,19078400,3130651200
2014-05-07,162,162,157,159,10157200,1621737500
2014-05-02,164,166,163,164,8116600,1332397900
2014-05-01,161,164,160,163,15275600,2474367300
2014-04-30,166,166,161,161,9431700,1537423500
2014-04-28,165,166,164,165,2802800,461768900
2014-04-25,166,168,165,166,3952600,657015800
2014-04-24,166,167,164,166,5490300,908055500
2014-04-23,166,168,165,165,6897600,1147011300
2014-04-22,166,167,164,164,7121300,1177849100
2014-04-21,167,168,165,166,3976200,661956000
2014-04-18,167,168,166,167,4340100,724328200
2014-04-17,165,167,164,166,7482100,1240568600
2014-04-16,165,166,164,166,8201400,1354351000
2014-04-15,163,165,161,165,11264300,1837378000
2014-04-14,162,164,161,162,7487100,1216432200
2014-04-11,162,165,162,164,8416500,1376528000
2014-04-10,170,170,165,165,7372900,1236181400
2014-04-09,170,171,167,167,6435400,1084440900
2014-04-08,172,173,171,171,7001800,1202900300
2014-04-07,173,174,171,173,4733700,818867200
2014-04-04,178,178,175,176,3290600,581633000
2014-04-03,178,179,176,177,5933200,1053843900
2014-04-02,177,179,175,176,7377400,1304901200
2014-04-01,176,176,174,176,3952600,693285000
2014-03-31,172,176,171,176,8165400,1422173700
2014-03-28,168,171,166,170,9664000,1633377700
2014-03-27,165,168,162,167,13662700,2249484700
2014-03-26,170,171,166,168,9667800,1623236000
2014-03-25,170,173,169,170,8887200,1514393700
2014-03-24,166,174,166,171,13712200,2330419700
2014-03-20,172,172,167,167,10861500,1832233600
2014-03-19,174,175,171,172,6882800,1190119300
