2778-T,JQスタンダード,パレモ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,295,296,294,294,14900,4391200
2014-06-26,296,296,294,295,10500,3095100
2014-06-25,297,297,294,294,12300,3635600
2014-06-24,298,298,296,297,4100,1218600
2014-06-23,296,298,296,298,12800,3790500
2014-06-20,294,295,294,295,9900,2918100
2014-06-19,295,296,295,295,10400,3070000
2014-06-18,294,296,294,296,7100,2091100
2014-06-17,293,295,293,294,21100,6205800
2014-06-16,294,295,292,294,20600,6044600
2014-06-13,294,295,293,294,14100,4142800
2014-06-12,295,295,294,295,2800,825700
2014-06-11,294,295,293,295,14300,4199600
2014-06-10,295,296,294,294,19500,5742500
2014-06-09,295,296,294,296,27700,8175600
2014-06-06,295,297,295,296,6200,1835300
2014-06-05,296,296,294,294,40200,11879700
2014-06-04,298,298,296,298,22300,6619500
2014-06-03,299,299,298,298,5800,1733200
2014-06-02,302,302,299,300,3900,1171400
2014-05-30,300,301,299,301,1500,450000
2014-05-29,298,300,297,300,4200,1255100
2014-05-28,299,299,298,298,1600,478300
2014-05-27,298,299,297,298,2100,625000
2014-05-26,297,299,297,297,2000,594900
2014-05-23,295,298,295,297,5400,1598600
2014-05-22,297,299,297,298,2900,863900
2014-05-21,297,297,295,297,2700,798600
2014-05-20,298,299,296,297,5500,1631100
2014-05-19,298,300,297,299,2300,687400
2014-05-16,298,300,296,298,6500,1933400
2014-05-15,299,301,298,300,2500,748500
2014-05-14,298,301,298,301,3700,1104700
2014-05-13,302,302,298,298,3600,1080300
2014-05-12,302,302,299,300,4300,1293200
2014-05-09,300,302,299,302,1900,570000
2014-05-08,301,301,298,300,5700,1709300
2014-05-07,301,301,300,300,6200,1863200
2014-05-02,301,301,299,301,1900,570900
2014-05-01,300,301,300,301,1500,451200
2014-04-30,300,301,300,301,4100,1231000
2014-04-28,300,301,300,300,1200,360100
2014-04-25,299,300,299,300,1200,359700
2014-04-24,302,302,300,300,2400,721700
2014-04-23,301,302,299,301,9000,2702200
2014-04-22,302,304,301,301,3500,1057800
2014-04-21,302,303,301,303,1600,483200
2014-04-18,302,302,301,301,1800,542300
2014-04-17,300,302,300,302,3000,901200
2014-04-16,301,302,300,302,2700,811000
2014-04-15,302,303,300,301,3300,995300
2014-04-14,300,302,300,302,1900,571500
2014-04-11,301,302,300,300,13500,4053500
2014-04-10,302,305,301,301,8900,2685400
2014-04-09,305,305,301,301,6700,2025300
2014-04-08,302,305,301,305,6500,1965700
2014-04-07,305,305,302,303,15600,4727600
2014-04-04,303,304,303,304,4200,1275200
2014-04-03,302,303,301,303,7200,2176100
2014-04-02,301,304,301,301,26200,7899600
2014-04-01,310,310,304,305,4200,1286800
2014-03-31,310,310,306,310,16800,5207200
2014-03-28,305,307,304,307,5000,1525900
2014-03-27,300,303,300,303,2700,815200
2014-03-26,301,302,300,300,6400,1923900
2014-03-25,301,303,301,302,4200,1265300
2014-03-24,301,302,300,301,6000,1805100
2014-03-20,305,305,301,303,11400,3455600
2014-03-19,304,307,304,304,7400,2256500
2014-03-18,303,306,302,305,5200,1582400
2014-03-17,305,305,303,303,6700,2037700
2014-03-14,306,307,304,304,11200,3419700
2014-03-13,308,308,306,306,4900,1504200
2014-03-12,307,309,306,307,10300,3163600
2014-03-11,306,308,306,306,6100,1869700
2014-03-10,309,309,306,306,5900,1813000
2014-03-07,307,307,306,306,7100,2176300
2014-03-06,309,309,306,308,4100,1264000
2014-03-05,308,309,306,308,11000,3380600
2014-03-04,303,306,303,306,8300,2523100
2014-03-03,307,307,304,306,13900,4249000
2014-02-28,307,308,306,307,6000,1839800
2014-02-27,307,308,306,308,14200,4360500
2014-02-26,307,310,307,308,14800,4552300
2014-02-25,310,312,308,312,35600,11048700
2014-02-24,313,313,310,312,17900,5579000
2014-02-21,308,312,307,310,17100,5286900
2014-02-20,310,314,307,307,46900,14578200
2014-02-19,308,310,307,307,29100,8965900
2014-02-18,305,310,305,308,135800,41619400
2014-02-17,330,332,323,324,176700,58126500
2014-02-14,327,332,324,329,48500,15890700
2014-02-13,331,333,325,329,44500,14649200
2014-02-12,331,337,331,336,37800,12606800
2014-02-10,333,335,330,331,22700,7557800
2014-02-07,330,331,327,328,11300,3722100
2014-02-06,325,329,324,329,10700,3487600
2014-02-05,330,331,324,325,16100,5281300
2014-02-04,323,328,320,323,29500,9522400
2014-02-03,335,338,333,334,20600,6901600
2014-01-31,345,346,335,340,16300,5569500
2014-01-30,343,346,343,344,9600,3304600
2014-01-29,344,347,343,347,12400,4279500
2014-01-28,336,340,335,340,7000,2358300
2014-01-27,337,337,333,335,20000,6716400
2014-01-24,342,344,340,342,15300,5230400
2014-01-23,341,344,340,343,11300,3859700
2014-01-22,345,347,340,342,27400,9422700
2014-01-21,349,350,347,349,8700,3037200
2014-01-20,348,349,345,349,13900,4829200
2014-01-17,345,348,345,348,15800,5474500
2014-01-16,345,346,342,345,10100,3480800
2014-01-15,343,345,341,344,12600,4319800
2014-01-14,341,342,338,341,18400,6259000
2014-01-10,340,342,337,341,8800,2987200
2014-01-09,347,347,334,338,31100,10659400
2014-01-08,340,348,338,346,24800,8518900
2014-01-07,333,339,333,338,19200,6438500
2014-01-06,329,332,328,331,30700,10122400
2013-12-30,326,328,324,327,16800,5478700
2013-12-27,320,322,317,321,9900,3166000
2013-12-26,316,320,315,320,16400,5218200
2013-12-25,313,317,313,316,16400,5158500
2013-12-24,315,317,312,312,37700,11830700
2013-12-20,317,320,316,317,11500,3655200
2013-12-19,317,318,314,315,16300,5150100
2013-12-18,318,318,316,316,7700,2438800
2013-12-17,315,317,314,317,9900,3118800
2013-12-16,320,320,314,314,25100,7966900
2013-12-13,322,322,319,320,11900,3811400
2013-12-12,321,326,319,319,14800,4767700
2013-12-11,321,325,319,322,11200,3591200
2013-12-10,322,322,319,321,21600,6934900
2013-12-09,326,327,321,321,17600,5706300
2013-12-06,324,324,322,324,1700,549500
2013-12-05,322,325,322,324,9900,3191500
2013-12-04,326,326,320,322,12500,4035700
2013-12-03,323,326,323,326,1600,519800
2013-12-02,324,326,322,323,15600,5054800
2013-11-29,317,322,317,320,9600,3063500
2013-11-28,319,323,317,317,10100,3225100
2013-11-27,322,325,319,319,9500,3057600
2013-11-26,327,330,322,323,11700,3810900
2013-11-25,330,331,327,328,8200,2702100
2013-11-22,326,330,326,326,15300,5027600
2013-11-21,324,326,322,323,5800,1882400
2013-11-20,322,323,321,322,2500,805200
2013-11-19,324,324,320,320,4100,1319400
2013-11-18,323,324,320,320,8600,2769200
2013-11-15,321,325,317,319,20100,6465100
2013-11-14,315,318,314,317,8900,2810400
2013-11-13,312,318,312,315,12300,3864300
2013-11-12,312,313,311,312,6700,2093900
2013-11-11,311,314,310,310,43300,13475100
2013-11-08,310,311,310,311,12100,3759000
2013-11-07,311,311,309,310,3000,929500
2013-11-06,309,310,308,309,10000,3084500
2013-11-05,311,311,309,309,13600,4219000
2013-11-01,309,310,309,309,4700,1452500
2013-10-31,309,310,308,309,2500,772000
2013-10-30,311,312,309,309,5400,1675900
2013-10-29,311,311,310,311,4400,1365800
2013-10-28,311,311,309,311,11000,3413200
2013-10-25,311,311,306,308,22600,6974500
2013-10-24,309,311,309,311,5700,1765100
2013-10-23,311,313,307,308,24800,7651400
2013-10-22,308,311,307,311,12500,3858600
2013-10-21,309,309,307,308,5600,1725300
2013-10-18,308,309,307,309,7200,2218500
2013-10-17,308,310,304,308,18200,5576200
2013-10-16,308,309,307,307,2500,770400
2013-10-15,309,309,306,306,6900,2120400
2013-10-11,309,309,305,309,12100,3710900
2013-10-10,310,310,307,308,4400,1359300
2013-10-09,307,309,305,309,5400,1655100
2013-10-08,305,310,305,310,3500,1074700
2013-10-07,310,310,306,307,9200,2838400
2013-10-04,308,309,305,309,13400,4105500
2013-10-03,310,310,308,308,11100,3421200
2013-10-02,310,312,308,308,14200,4391000
2013-10-01,310,310,309,310,6300,1951400
2013-09-30,313,313,309,309,30200,9375400
2013-09-27,314,315,312,312,6100,1914000
2013-09-26,309,315,308,312,6200,1930500
2013-09-25,308,310,307,308,9900,3054100
2013-09-24,307,309,307,308,5500,1692300
2013-09-20,307,308,306,308,8700,2672700
2013-09-19,309,309,305,308,12400,3790200
2013-09-18,306,308,306,308,5200,1592900
2013-09-17,306,308,306,306,5400,1654000
2013-09-13,309,309,306,306,2800,863200
2013-09-12,307,308,306,308,1100,337600
2013-09-11,309,309,306,306,4500,1382200
2013-09-10,309,309,306,308,2000,616600
2013-09-09,306,307,304,307,8900,2720600
2013-09-06,307,307,305,307,3800,1162500
2013-09-05,309,309,306,307,5100,1571000
2013-09-04,307,308,306,308,3300,1012000
2013-09-03,309,309,307,307,900,277200
2013-09-02,306,309,305,309,3100,951300
2013-08-30,309,309,305,305,2300,704600
2013-08-29,305,311,304,306,13300,4106700
2013-08-28,304,305,303,304,3100,941700
2013-08-27,304,305,304,304,3000,912400
2013-08-26,308,308,303,304,3700,1128900
2013-08-23,305,308,305,308,2100,646500
2013-08-22,305,307,305,307,3400,1038100
2013-08-21,309,310,306,307,3400,1049200
2013-08-20,308,309,305,308,2700,827700
2013-08-19,310,311,307,308,2900,898500
2013-08-16,300,312,300,311,17200,5232400
2013-08-15,308,312,307,309,12100,3746100
2013-08-14,312,312,309,310,2100,651800
2013-08-13,311,312,310,310,3500,1088100
2013-08-12,313,313,305,310,14300,4406300
2013-08-09,311,312,309,310,4500,1397600
2013-08-08,309,311,308,308,4600,1423300
2013-08-07,309,310,308,308,2800,864700
2013-08-06,311,311,309,310,3600,1118200
2013-08-05,311,311,308,308,6100,1894200
2013-08-02,311,311,308,311,4500,1396600
2013-08-01,311,311,309,311,900,279200
2013-07-31,310,312,307,309,3500,1079700
2013-07-30,306,310,306,310,4100,1263400
2013-07-29,310,311,305,307,7200,2216200
2013-07-26,312,312,308,310,5100,1575300
2013-07-25,312,312,308,309,12000,3712100
2013-07-24,312,312,310,310,4500,1401500
2013-07-23,312,313,312,313,2500,780800
2013-07-22,314,314,311,311,4000,1252200
