2799-T,JQスタンダード,パイオン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,228,230,225,228,180100,40973900
2014-06-26,225,228,225,228,52100,11794900
2014-06-25,219,224,219,224,330600,73616100
2014-06-24,220,223,219,221,173700,38386500
2014-06-23,226,226,222,222,217900,48843900
2014-06-20,225,227,224,225,152900,34382300
2014-06-19,228,228,224,226,133300,30103800
2014-06-18,227,228,225,228,53800,12222100
2014-06-17,225,227,225,226,138500,31267000
2014-06-16,227,229,226,226,211000,47861000
2014-06-13,225,230,225,228,99100,22572400
2014-06-12,228,231,226,229,77500,17672400
2014-06-11,233,233,228,229,114000,26221700
2014-06-10,235,237,232,233,53900,12603500
2014-06-09,234,236,233,235,114700,26951100
2014-06-06,236,237,232,233,239300,56241900
2014-06-05,240,240,235,236,153700,36598600
2014-06-04,240,241,239,240,147100,35318900
2014-06-03,240,243,238,242,198400,47586500
2014-06-02,239,241,238,240,238600,56991000
2014-05-30,234,241,234,240,655400,155978500
2014-05-29,236,238,232,234,378600,88696200
2014-05-28,238,242,236,237,1087100,259653000
2014-05-27,242,247,237,244,3403800,832510800
2014-05-26,200,202,197,197,105300,20945200
2014-05-23,196,204,195,200,141900,28393100
2014-05-22,194,198,194,195,90800,17765600
2014-05-21,193,197,189,192,147500,28430700
2014-05-20,195,196,189,192,245700,47258000
2014-05-19,244,244,187,198,973600,203017100
2014-05-16,245,250,240,243,172900,42311300
2014-05-15,245,251,244,250,77100,19149500
2014-05-14,247,250,240,245,78200,19257100
2014-05-13,245,247,240,247,84000,20421300
2014-05-12,250,251,240,243,107200,26198200
2014-05-09,248,251,246,249,44500,11034800
2014-05-08,249,251,246,250,54000,13445700
2014-05-07,250,252,243,245,50400,12441200
2014-05-02,252,253,249,251,25300,6347300
2014-05-01,247,255,244,252,78000,19467500
2014-04-30,247,251,243,245,67300,16557100
2014-04-28,243,250,242,247,90100,22029700
2014-04-25,247,251,246,248,98200,24342300
2014-04-24,254,254,247,250,44300,11069600
2014-04-23,256,256,246,251,108400,27194100
2014-04-22,258,261,251,252,187000,47868000
2014-04-21,260,268,258,258,263300,68952300
2014-04-18,250,265,250,262,637500,165125100
2014-04-17,237,246,237,246,97200,23465600
2014-04-16,230,239,229,237,143800,33646700
2014-04-15,231,235,228,230,170900,39524600
2014-04-14,238,239,231,233,92400,21667600
2014-04-11,231,241,227,238,236300,55244200
2014-04-10,259,260,247,251,245100,61951800
2014-04-09,260,265,252,259,169200,43919300
2014-04-08,266,269,261,262,417500,110535900
2014-04-07,260,263,255,258,254300,65949400
2014-04-04,262,262,257,258,128400,33301600
2014-04-03,262,270,260,264,283100,75043300
2014-04-02,263,266,259,259,141500,36996100
2014-04-01,267,267,257,264,285700,75036300
2014-03-31,272,274,258,260,457700,121296900
2014-03-28,251,263,246,262,282700,72488100
2014-03-27,253,253,237,247,139700,34250000
2014-03-26,245,265,245,255,399600,102431400
2014-03-25,234,250,234,250,256800,62689900
2014-03-24,231,238,231,234,70500,16540700
2014-03-20,243,248,230,233,180000,42581500
2014-03-19,239,249,230,247,236200,57355700
2014-03-18,233,240,232,237,72300,17037400
2014-03-17,234,236,230,233,39800,9272300
2014-03-14,235,238,230,233,119900,28050700
2014-03-13,240,243,238,241,72100,17376900
2014-03-12,241,243,237,240,62300,15007500
2014-03-11,242,243,240,241,42100,10198900
2014-03-10,238,243,238,242,51800,12484800
2014-03-07,236,239,235,238,41700,9894600
2014-03-06,233,234,229,234,33500,7760200
2014-03-05,233,236,231,233,26900,6268200
2014-03-04,227,231,226,230,27900,6389400
2014-03-03,226,228,222,227,70000,15759500
2014-02-28,239,239,230,232,121900,28438500
2014-02-27,240,241,238,239,34500,8233200
2014-02-26,242,243,238,240,66600,16030600
2014-02-25,241,245,241,242,61600,14968800
2014-02-24,239,245,236,241,91200,21922000
2014-02-21,232,239,232,235,45700,10819400
2014-02-20,240,242,230,234,116800,27434600
2014-02-19,240,243,237,240,73000,17555100
2014-02-18,231,240,231,238,70400,16520500
2014-02-17,229,230,223,229,64500,14639900
