2814-T,JQスタンダード,佐藤食,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1007,1007,1005,1005,900,905100
2014-06-26,1001,1008,1001,1007,2300,2310100
2014-06-25,1000,1009,1000,1002,500,501800
2014-06-24,1000,1004,1000,1000,400,400400
2014-06-23,1004,1008,1000,1005,5500,5517000
2014-06-20,1005,1007,1002,1005,1900,1910500
2014-06-19,1001,1005,1001,1004,1400,1402700
2014-06-18,1013,1015,1007,1007,600,607500
2014-06-17,1005,1013,1003,1006,1200,1206700
2014-06-16,1010,1016,1006,1010,3900,3932000
2014-06-13,1034,1034,1015,1016,1700,1739900
2014-06-12,1016,1020,1016,1017,1000,1018700
2014-06-11,1016,1025,1016,1016,300,305700
2014-06-10,1022,1022,1015,1015,1100,1118100
2014-06-09,1021,1021,1013,1015,2800,2850400
2014-06-06,1023,1024,1022,1023,900,920400
2014-06-05,1024,1024,1024,1024,200,204800
2014-06-04,1027,1027,1022,1022,1900,1946500
2014-06-03,1050,1050,1019,1025,2300,2366200
2014-06-02,1018,1066,1018,1066,500,516000
2014-05-30,1025,1025,1025,1025,100,102500
2014-05-29,1033,1035,1015,1025,4000,4082400
2014-05-28,1019,1035,1018,1035,1200,1228900
2014-05-27,1016,1019,1015,1015,800,813100
2014-05-26,1001,1020,996,1010,1800,1811300
2014-05-23,998,1000,996,1000,1000,998200
2014-05-22,1000,1000,1000,1000,300,300000
2014-05-21,1001,1001,999,1000,700,699900
2014-05-20,995,998,995,996,2600,2588400
2014-05-19,1014,1014,1000,1000,2100,2111100
2014-05-16,1001,1014,1001,1013,300,302800
2014-05-15,1014,1014,1000,1013,3500,3503500
2014-05-14,1014,1014,1000,1000,1400,1403600
2014-05-13,1004,1005,999,999,2600,2604400
2014-05-12,1020,1022,1019,1020,2400,2448700
2014-05-09,1060,1063,1027,1027,6000,6337800
2014-05-08,1130,1150,1090,1090,1700,1877000
2014-05-07,-,-,-,-,0,0
2014-05-02,1120,1160,1120,1160,1800,2067700
2014-05-01,1163,1163,1111,1150,2000,2255500
2014-04-30,1199,1199,1165,1188,1100,1307300
2014-04-28,1220,1230,1164,1199,3400,4088100
2014-04-25,1050,1330,1032,1160,19800,24158200
2014-04-24,1070,1080,1030,1080,3200,3381700
2014-04-23,1210,1210,1031,1070,15200,17078700
2014-04-22,1014,1014,1000,1000,2500,2506900
2014-04-21,1000,1000,999,999,400,399900
2014-04-18,1000,1002,1000,1000,1000,1001200
2014-04-17,1000,1018,1000,1000,3100,3102200
2014-04-16,1003,1005,1000,1000,1100,1102100
2014-04-15,1006,1011,1006,1010,600,605600
2014-04-14,999,1069,999,1008,1700,1760800
2014-04-11,997,998,997,998,1900,1894500
2014-04-10,1017,1030,1005,1005,2000,2028500
2014-04-09,1025,1054,1013,1014,2100,2147200
2014-04-08,1051,1051,1012,1021,3000,3100100
2014-04-07,1070,1075,1051,1075,1900,2015600
2014-04-04,1100,1100,1070,1080,1600,1725500
2014-04-03,1102,1105,1090,1105,800,879100
2014-04-02,1101,1145,1100,1101,2300,2540700
2014-04-01,1130,1150,1100,1125,700,787000
2014-03-31,1000,1154,1000,1120,15110,15589950
2014-03-28,1046,1090,1045,1046,2520,2669040
2014-03-27,1081,1082,1003,1054,3500,3653410
2014-03-26,1052,1153,1045,1120,6510,7059270
2014-03-25,1060,1079,1035,1067,2610,2777030
2014-03-24,1050,1065,1041,1060,2530,2658560
2014-03-20,1075,1095,1052,1054,1730,1861310
2014-03-19,1050,1080,1035,1080,3820,4045940
2014-03-18,1085,1104,1035,1071,1470,1562580
2014-03-17,1121,1130,1083,1083,2310,2560550
2014-03-14,1135,1147,1123,1125,1950,2206670
2014-03-13,1170,1180,1131,1131,1040,1201440
2014-03-12,1186,1186,1129,1182,1830,2102790
2014-03-11,1162,1200,1162,1198,1750,2085720
2014-03-10,1151,1195,1140,1162,2210,2561130
2014-03-07,1161,1205,1130,1150,1270,1469820
2014-03-06,1185,1199,1180,1181,580,691340
2014-03-05,1200,1223,1175,1193,1890,2248190
2014-03-04,1150,1228,1150,1210,1530,1811030
2014-03-03,1112,1171,1090,1171,6740,7516050
2014-02-28,1166,1184,1150,1160,1300,1510980
2014-02-27,1185,1185,1131,1161,5130,5955310
2014-02-26,1190,1200,1161,1166,2430,2862110
2014-02-25,1200,1219,1181,1190,1230,1465930
2014-02-24,1200,1229,1160,1194,2780,3292220
2014-02-21,1190,1210,1170,1199,2200,2601690
2014-02-20,1206,1229,1190,1190,1190,1430580
2014-02-19,1239,1239,1201,1225,2370,2879430
2014-02-18,1260,1264,1081,1238,8930,10491180
2014-02-17,1230,1269,1215,1241,2490,3090490
2014-02-14,1322,1322,1230,1260,3530,4422170
2014-02-13,1364,1364,1290,1292,3810,5021580
2014-02-12,1389,1410,1350,1363,6260,8542780
2014-02-10,1400,1420,1350,1390,5100,7038620
2014-02-07,1405,1430,1376,1378,4210,5881940
2014-02-06,1264,1395,1264,1375,5740,7580390
2014-02-05,1264,1348,1170,1348,6710,8523080
2014-02-04,1131,1375,1131,1285,14260,17378430
2014-02-03,1421,1470,1405,1425,4350,6195170
2014-01-31,1494,1524,1425,1440,5230,7679690
2014-01-30,1494,1510,1460,1481,3930,5818190
2014-01-29,1548,1564,1500,1564,5310,8148300
2014-01-28,1450,1575,1449,1538,10890,16257790
2014-01-27,1442,1560,1430,1441,12020,17504990
2014-01-24,1538,1592,1531,1592,16030,24929760
2014-01-23,1658,1770,1590,1618,18970,31825380
2014-01-22,1670,1750,1670,1683,18860,32231450
2014-01-21,1591,1700,1550,1664,16930,27311050
2014-01-20,1635,1800,1601,1631,40510,68086050
2014-01-17,1500,1610,1490,1595,38980,59851430
2014-01-16,1211,1534,1207,1520,77810,109507950
2014-01-15,1334,1445,1218,1271,16370,21603120
2014-01-14,1400,1500,1300,1310,61880,84980910
2014-01-10,1068,1368,1068,1368,76740,98148140
2014-01-09,953,1068,953,1068,13550,13711470
2014-01-08,949,953,949,952,330,313670
2014-01-07,949,950,941,947,310,293010
2014-01-06,945,955,945,948,4260,4041630
2013-12-30,945,947,945,947,1110,1049490
2013-12-27,945,964,940,945,1970,1863980
2013-12-26,954,954,939,944,1520,1434830
2013-12-25,929,965,922,962,2740,2601150
2013-12-24,943,943,901,906,6310,5862750
2013-12-20,946,946,945,945,970,916840
2013-12-19,945,946,944,945,650,613770
2013-12-18,945,946,944,944,920,869420
2013-12-17,944,950,944,947,2260,2139790
2013-12-16,947,947,944,946,1420,1343490
2013-12-13,948,948,945,945,1750,1655060
2013-12-12,949,949,948,949,350,332110
2013-12-11,951,955,949,949,950,903540
2013-12-10,956,956,950,951,2160,2059540
2013-12-09,950,960,949,956,3020,2890550
2013-12-06,950,960,945,950,1520,1453110
2013-12-05,950,959,945,946,1540,1465890
2013-12-04,946,954,945,950,2000,1893130
2013-12-03,945,950,945,945,1770,1673170
2013-12-02,950,960,945,945,2850,2710160
