2830-T,東証2部,アヲハタ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1604,1604,1603,1604,1800,2886900
2014-06-26,1605,1605,1600,1602,1800,2883500
2014-06-25,1601,1606,1594,1605,6300,10094300
2014-06-24,1601,1601,1595,1595,3500,5598300
2014-06-23,1600,1601,1598,1598,7300,11679700
2014-06-20,1593,1594,1583,1587,3300,5246000
2014-06-19,1580,1589,1580,1583,4000,6335600
2014-06-18,1572,1579,1572,1579,2300,3623400
2014-06-17,1565,1570,1565,1570,2300,3606700
2014-06-16,1569,1570,1560,1565,2600,4072700
2014-06-13,1545,1569,1545,1569,5700,8871600
2014-06-12,1540,1544,1536,1544,3200,4926700
2014-06-11,1528,1537,1525,1537,3100,4746000
2014-06-10,1523,1527,1523,1527,3200,4880200
2014-06-09,1521,1523,1520,1523,2400,3652000
2014-06-06,1516,1521,1516,1521,2100,3185600
2014-06-05,1520,1522,1520,1522,1900,2889600
2014-06-04,1518,1522,1518,1519,1300,1974700
2014-06-03,1517,1521,1516,1519,1400,2124800
2014-06-02,1522,1522,1517,1517,2600,3951400
2014-05-30,1520,1520,1513,1516,1300,1971600
2014-05-29,1520,1520,1518,1520,1700,2582900
2014-05-28,1515,1520,1515,1519,4900,7431300
2014-05-27,1512,1514,1512,1514,1800,2723200
2014-05-26,1510,1512,1510,1512,1000,1511000
2014-05-23,1510,1510,1508,1509,1000,1509500
2014-05-22,1509,1509,1507,1507,400,603200
2014-05-21,1508,1509,1504,1504,900,1355500
2014-05-20,1508,1508,1508,1508,500,754000
2014-05-19,1510,1510,1505,1508,500,753900
2014-05-16,1509,1509,1504,1504,700,1054700
2014-05-15,1508,1508,1508,1508,200,301600
2014-05-14,1500,1509,1500,1509,700,1053400
2014-05-13,1508,1510,1500,1500,2500,3762800
2014-05-12,1510,1511,1506,1510,1000,1509700
2014-05-09,1506,1510,1502,1510,1000,1507200
2014-05-08,1507,1510,1501,1501,1900,2860400
2014-05-07,1510,1510,1505,1505,400,603000
2014-05-02,1500,1505,1500,1503,1200,1803200
2014-05-01,1498,1503,1498,1500,2600,3903700
2014-04-30,1497,1505,1497,1505,700,1049700
2014-04-28,1497,1500,1496,1500,1400,2096400
2014-04-25,1502,1502,1498,1499,3800,5699100
2014-04-24,1507,1507,1501,1504,2400,3607600
2014-04-23,1509,1509,1504,1507,1000,1506700
2014-04-22,1510,1511,1510,1510,500,755200
2014-04-21,1510,1511,1510,1510,600,906100
2014-04-18,1510,1511,1510,1510,900,1359200
2014-04-17,1512,1512,1509,1509,800,1208000
2014-04-16,1509,1511,1509,1511,1400,2114100
2014-04-15,1495,1509,1495,1509,1200,1799800
2014-04-14,1511,1511,1500,1500,1400,2112900
2014-04-11,1501,1502,1494,1494,3100,4645800
2014-04-10,1501,1503,1501,1502,700,1051500
2014-04-09,1505,1509,1500,1500,1900,2855800
2014-04-08,1509,1510,1502,1510,1200,1808600
2014-04-07,1512,1512,1503,1508,1400,2111400
2014-04-04,1511,1512,1509,1510,3000,4532200
2014-04-03,1509,1511,1509,1510,1500,2264600
2014-04-02,1505,1509,1505,1508,1100,1658300
2014-04-01,1509,1510,1500,1509,900,1355800
2014-03-31,1500,1506,1492,1506,2000,2994700
2014-03-28,1500,1501,1491,1494,1900,2842200
2014-03-27,1492,1502,1492,1495,1000,1499000
2014-03-26,1500,1500,1490,1500,3400,5089500
2014-03-25,1499,1500,1495,1500,3300,4946900
2014-03-24,1494,1494,1491,1494,1000,1493000
2014-03-20,1494,1499,1482,1493,3700,5513400
2014-03-19,1491,1495,1491,1494,1100,1642300
2014-03-18,1494,1495,1490,1495,1700,2537300
2014-03-17,1491,1494,1490,1494,600,894700
2014-03-14,1491,1492,1491,1491,400,596500
2014-03-13,1490,1497,1490,1493,3100,4626400
2014-03-12,1493,1499,1490,1497,1700,2538900
2014-03-11,1499,1499,1493,1494,1200,1794000
2014-03-10,1493,1498,1492,1498,800,1194900
