2831-T,東証2部,はごろも,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1075,1076,1075,1076,3000,3227000
2014-06-26,1076,1076,1070,1070,4000,4298000
2014-06-25,1070,1076,1070,1076,3000,3216000
2014-06-24,1068,1068,1068,1068,1000,1068000
2014-06-23,1077,1077,1065,1076,13000,13976000
2014-06-20,1060,1063,1060,1063,7000,7426000
2014-06-19,1060,1060,1060,1060,1000,1060000
2014-06-18,1058,1059,1058,1059,4000,4234000
2014-06-17,1058,1058,1057,1058,3000,3173000
2014-06-16,1059,1059,1055,1055,5000,5288000
2014-06-13,1055,1058,1055,1058,3000,3168000
2014-06-12,1053,1053,1053,1053,1000,1053000
2014-06-11,1055,1055,1053,1053,2000,2108000
2014-06-10,1050,1050,1050,1050,1000,1050000
2014-06-09,1051,1051,1050,1050,5000,5253000
2014-06-06,1051,1051,1050,1051,4000,4203000
2014-06-05,1051,1051,1051,1051,2000,2102000
2014-06-04,1050,1051,1049,1051,4000,4200000
2014-06-03,1053,1053,1053,1053,2000,2106000
2014-06-02,1051,1053,1051,1051,6000,6311000
2014-05-30,1050,1051,1050,1051,4000,4203000
2014-05-29,1051,1051,1050,1050,3000,3152000
2014-05-28,1051,1051,1051,1051,3000,3153000
2014-05-27,1053,1053,1051,1052,4000,4208000
2014-05-26,1059,1059,1054,1054,3000,3172000
2014-05-23,1055,1055,1054,1054,11000,11604000
2014-05-22,1052,1052,1051,1052,8000,8415000
2014-05-21,1051,1051,1051,1051,2000,2102000
2014-05-20,1051,1052,1051,1051,4000,4205000
2014-05-19,1052,1052,1051,1051,5000,5259000
2014-05-16,1051,1052,1051,1051,4000,4205000
2014-05-15,-,-,-,-,0,0
2014-05-14,1051,1052,1051,1052,3000,3155000
2014-05-13,1062,1062,1053,1053,4000,4221000
2014-05-12,1059,1059,1053,1053,3000,3165000
2014-05-09,-,-,-,-,0,0
2014-05-08,1054,1054,1053,1053,2000,2107000
2014-05-07,1055,1055,1055,1055,1000,1055000
2014-05-02,1054,1055,1051,1055,4000,4215000
2014-05-01,1055,1055,1051,1051,2000,2106000
2014-04-30,-,-,-,-,0,0
2014-04-28,1059,1059,1050,1050,5000,5268000
2014-04-25,1053,1053,1053,1053,1000,1053000
2014-04-24,1053,1053,1053,1053,2000,2106000
2014-04-23,1053,1054,1053,1053,16000,16849000
2014-04-22,1060,1062,1057,1057,6000,6353000
2014-04-21,1059,1059,1059,1059,1000,1059000
2014-04-18,1051,1051,1051,1051,1000,1051000
2014-04-17,1054,1054,1050,1051,8000,8413000
2014-04-16,1053,1053,1053,1053,1000,1053000
2014-04-15,-,-,-,-,0,0
2014-04-14,1060,1060,1060,1060,1000,1060000
2014-04-11,1051,1057,1051,1051,3000,3159000
2014-04-10,1055,1056,1055,1055,6000,6333000
2014-04-09,1060,1061,1056,1056,8000,8474000
2014-04-08,1061,1061,1061,1061,1000,1061000
2014-04-07,-,-,-,-,0,0
2014-04-04,1066,1066,1065,1065,2000,2131000
2014-04-03,1068,1069,1068,1069,2000,2137000
2014-04-02,1077,1077,1077,1077,1000,1077000
2014-04-01,1069,1069,1061,1061,2000,2130000
2014-03-31,-,-,-,-,0,0
2014-03-28,1058,1065,1058,1065,3000,3181000
2014-03-27,1050,1057,1050,1057,2000,2107000
2014-03-26,1081,1082,1079,1080,5000,5403000
2014-03-25,1075,1080,1075,1078,5000,5392000
2014-03-24,1082,1082,1075,1075,12000,12975000
2014-03-20,1079,1083,1076,1076,9000,9706000
