2911-T,東証2部,旭松食,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,300,300,300,300,1000,300000
2014-06-26,300,300,300,300,1000,300000
2014-06-25,-,-,-,-,0,0
2014-06-24,-,-,-,-,0,0
2014-06-23,299,300,298,300,4000,1196000
2014-06-20,298,298,292,292,6000,1775000
2014-06-19,295,295,295,295,1000,295000
2014-06-18,293,293,290,290,5000,1456000
2014-06-17,-,-,-,-,0,0
2014-06-16,299,299,295,295,2000,594000
2014-06-13,292,292,292,292,1000,292000
2014-06-12,-,-,-,-,0,0
2014-06-11,292,292,292,292,1000,292000
2014-06-10,292,292,292,292,2000,584000
2014-06-09,291,292,291,292,2000,583000
2014-06-06,291,291,291,291,3000,873000
2014-06-05,291,291,291,291,1000,291000
2014-06-04,291,291,291,291,1000,291000
2014-06-03,300,300,291,291,4000,1185000
2014-06-02,298,298,290,295,4000,1181000
2014-05-30,-,-,-,-,0,0
2014-05-29,298,298,298,298,1000,298000
2014-05-28,-,-,-,-,0,0
2014-05-27,291,291,291,291,2000,582000
2014-05-26,-,-,-,-,0,0
2014-05-23,287,287,287,287,1000,287000
2014-05-22,285,285,285,285,1000,285000
2014-05-21,286,286,286,286,1000,286000
2014-05-20,286,287,286,287,3000,859000
2014-05-19,289,289,289,289,2000,578000
2014-05-16,-,-,-,-,0,0
2014-05-15,289,289,289,289,1000,289000
2014-05-14,-,-,-,-,0,0
2014-05-13,290,291,289,289,5000,1449000
2014-05-12,293,293,291,291,2000,584000
2014-05-09,290,290,290,290,2000,580000
2014-05-08,290,290,290,290,2000,580000
2014-05-07,291,291,291,291,1000,291000
2014-05-02,298,298,292,292,3000,888000
2014-05-01,292,292,292,292,2000,584000
2014-04-30,295,296,291,291,3000,882000
2014-04-28,291,295,291,295,4000,1171000
2014-04-25,-,-,-,-,0,0
2014-04-24,291,291,291,291,1000,291000
2014-04-23,-,-,-,-,0,0
2014-04-22,296,296,290,290,10000,2913000
2014-04-21,293,293,293,293,1000,293000
2014-04-18,293,293,293,293,1000,293000
2014-04-17,290,291,290,291,10000,2901000
2014-04-16,293,293,293,293,1000,293000
2014-04-15,296,296,296,296,2000,592000
2014-04-14,296,296,296,296,1000,296000
2014-04-11,292,295,292,295,2000,587000
2014-04-10,-,-,-,-,0,0
2014-04-09,294,294,292,292,4000,1172000
2014-04-08,295,295,295,295,2000,590000
2014-04-07,295,295,295,295,1000,295000
2014-04-04,295,297,295,297,2000,592000
2014-04-03,303,303,293,293,6000,1790000
2014-04-02,307,307,304,304,3000,918000
2014-04-01,306,306,304,304,2000,610000
2014-03-31,308,308,303,305,5000,1527000
2014-03-28,302,306,302,306,4000,1217000
2014-03-27,302,302,302,302,7000,2114000
2014-03-26,327,327,321,327,11000,3585000
2014-03-25,321,327,320,327,6000,1943000
2014-03-24,324,324,321,324,6000,1939000
2014-03-20,328,328,320,320,9000,2917000
2014-03-19,328,328,325,325,2000,653000
2014-03-18,327,327,327,327,1000,327000
2014-03-17,326,326,320,326,5000,1615000
2014-03-14,321,321,321,321,1000,321000
2014-03-13,328,328,328,328,5000,1640000
