3047-F,福証Q-Board,TRUCKONE,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,228,229,228,229,300,68500
2014-06-26,-,-,-,-,0,0
2014-06-25,-,-,-,-,0,0
2014-06-24,231,235,231,235,500,116300
2014-06-23,231,235,231,235,1300,301300
2014-06-20,240,240,240,240,300,72000
2014-06-19,242,242,240,240,300,72200
2014-06-18,240,250,240,250,500,124000
2014-06-17,-,-,-,-,0,0
2014-06-16,238,238,238,238,500,119000
2014-06-13,241,241,241,241,500,120500
2014-06-12,-,-,-,-,0,0
2014-06-11,-,-,-,-,0,0
2014-06-10,-,-,-,-,0,0
2014-06-09,-,-,-,-,0,0
2014-06-06,240,240,240,240,300,72000
2014-06-05,242,242,229,229,500,117100
2014-06-04,-,-,-,-,0,0
2014-06-03,-,-,-,-,0,0
2014-06-02,234,234,234,234,100,23400
2014-05-30,-,-,-,-,0,0
2014-05-29,-,-,-,-,0,0
2014-05-28,-,-,-,-,0,0
2014-05-27,-,-,-,-,0,0
2014-05-26,-,-,-,-,0,0
2014-05-23,-,-,-,-,0,0
2014-05-22,240,240,240,240,100,24000
2014-05-21,-,-,-,-,0,0
2014-05-20,-,-,-,-,0,0
2014-05-19,-,-,-,-,0,0
2014-05-16,-,-,-,-,0,0
2014-05-15,-,-,-,-,0,0
2014-05-14,-,-,-,-,0,0
2014-05-13,-,-,-,-,0,0
2014-05-12,-,-,-,-,0,0
2014-05-09,-,-,-,-,0,0
2014-05-08,-,-,-,-,0,0
2014-05-07,242,242,242,242,600,145200
2014-05-02,222,238,222,238,800,179200
2014-05-01,-,-,-,-,0,0
2014-04-30,225,225,225,225,200,45000
2014-04-28,224,224,224,224,300,67200
2014-04-25,226,226,226,226,100,22600
2014-04-24,-,-,-,-,0,0
2014-04-23,-,-,-,-,0,0
2014-04-22,234,234,234,234,100,23400
2014-04-21,235,235,227,227,200,46200
2014-04-18,243,243,243,243,100,24300
2014-04-17,232,237,221,237,900,207000
2014-04-16,-,-,-,-,0,0
2014-04-15,-,-,-,-,0,0
2014-04-14,-,-,-,-,0,0
2014-04-11,-,-,-,-,0,0
2014-04-10,233,247,233,240,1000,240100
2014-04-09,-,-,-,-,0,0
2014-04-08,231,246,230,241,1900,443100
2014-04-07,233,233,233,233,1500,349500
2014-04-04,241,241,241,241,100,24100
2014-04-03,-,-,-,-,0,0
2014-04-02,241,241,237,241,3200,770600
2014-04-01,-,-,-,-,0,0
2014-03-31,250,254,238,249,2000,491900
2014-03-28,-,-,-,-,0,0
2014-03-27,-,-,-,-,0,0
2014-03-26,279,279,279,279,100,27900
2014-03-25,250,250,250,250,100,25000
2014-03-24,-,-,-,-,0,0
2014-03-20,-,-,-,-,0,0
2014-03-19,265,279,263,263,1600,438500
2014-03-18,240,258,234,258,700,169400
2014-03-17,-,-,-,-,0,0
2014-03-14,-,-,-,-,0,0
2014-03-13,-,-,-,-,0,0
2014-03-12,245,245,245,245,100,24500
2014-03-11,-,-,-,-,0,0
2014-03-10,-,-,-,-,0,0
2014-03-07,-,-,-,-,0,0
2014-03-06,255,255,247,247,700,176100
2014-03-05,257,257,243,243,500,125300
2014-03-04,245,245,245,245,500,122500
2014-03-03,251,251,251,251,100,25100
2014-02-28,-,-,-,-,0,0
2014-02-27,-,-,-,-,0,0
2014-02-26,-,-,-,-,0,0
2014-02-25,-,-,-,-,0,0
2014-02-24,-,-,-,-,0,0
2014-02-21,-,-,-,-,0,0
2014-02-20,-,-,-,-,0,0
2014-02-19,-,-,-,-,0,0
2014-02-18,-,-,-,-,0,0
2014-02-17,272,277,272,277,200,54900
2014-02-14,-,-,-,-,0,0
2014-02-13,-,-,-,-,0,0
2014-02-12,-,-,-,-,0,0
2014-02-10,264,264,264,264,100,26400
2014-02-07,-,-,-,-,0,0
2014-02-06,264,264,264,264,400,105600
2014-02-05,257,257,257,257,300,77100
2014-02-04,-,-,-,-,0,0
2014-02-03,244,248,242,245,1000,243400
2014-01-31,258,258,242,252,1400,348600
2014-01-30,253,253,253,253,100,25300
2014-01-29,-,-,-,-,0,0
2014-01-28,-,-,-,-,0,0
2014-01-27,253,269,253,269,300,78300
2014-01-24,252,260,251,251,1700,429600
2014-01-23,299,308,268,268,1400,413400
2014-01-22,283,283,283,283,100,28300
2014-01-21,-,-,-,-,0,0
2014-01-20,269,275,259,259,900,243000
2014-01-17,263,263,255,255,1100,288500
2014-01-16,248,255,248,255,200,50300
2014-01-15,244,244,244,244,100,24400
2014-01-14,-,-,-,-,0,0
2014-01-10,-,-,-,-,0,0
2014-01-09,-,-,-,-,0,0
2014-01-08,236,236,236,236,800,188800
2014-01-07,247,247,247,247,400,98800
2014-01-06,239,239,239,239,500,119500
2013-12-30,-,-,-,-,0,0
2013-12-27,-,-,-,-,0,0
2013-12-26,-,-,-,-,0,0
2013-12-25,230,230,230,230,300,69000
2013-12-24,236,236,236,236,100,23600
2013-12-20,242,242,242,242,100,24200
2013-12-19,236,236,236,236,600,141600
2013-12-18,236,244,236,241,300,72100
2013-12-17,-,-,-,-,0,0
2013-12-16,237,237,237,237,100,23700
2013-12-13,-,-,-,-,0,0
2013-12-12,-,-,-,-,0,0
2013-12-11,245,245,245,245,200,49000
2013-12-10,246,246,246,246,1100,270600
2013-12-09,-,-,-,-,0,0
2013-12-06,250,250,250,250,400,100000
2013-12-05,248,250,248,248,1400,347800
2013-12-04,-,-,-,-,0,0
2013-12-03,242,242,240,240,2900,697200
2013-12-02,247,252,247,252,2000,495500
2013-11-29,248,258,240,256,2900,716600
2013-11-28,264,264,264,264,200,52800
2013-11-27,240,265,240,265,500,122500
2013-11-26,247,247,247,247,100,24700
2013-11-25,279,279,279,279,100,27900
2013-11-22,-,-,-,-,0,0
2013-11-21,255,255,255,255,100,25500
2013-11-20,-,-,-,-,0,0
2013-11-19,-,-,-,-,0,0
2013-11-18,-,-,-,-,0,0
2013-11-15,-,-,-,-,0,0
2013-11-14,-,-,-,-,0,0
2013-11-13,266,266,260,260,300,78600
2013-11-12,250,250,250,250,100,25000
2013-11-11,-,-,-,-,0,0
2013-11-08,-,-,-,-,0,0
2013-11-07,-,-,-,-,0,0
2013-11-06,265,265,265,265,300,79500
2013-11-05,264,264,257,257,200,52100
2013-11-01,-,-,-,-,0,0
2013-10-31,-,-,-,-,0,0
2013-10-30,-,-,-,-,0,0
2013-10-29,-,-,-,-,0,0
2013-10-28,256,272,256,272,200,52800
2013-10-25,-,-,-,-,0,0
2013-10-24,-,-,-,-,0,0
2013-10-23,-,-,-,-,0,0
2013-10-22,255,255,255,255,100,25500
2013-10-21,-,-,-,-,0,0
2013-10-18,266,266,242,258,300,76600
2013-10-17,250,250,250,250,100,25000
2013-10-16,-,-,-,-,0,0
2013-10-15,-,-,-,-,0,0
2013-10-11,-,-,-,-,0,0
2013-10-10,-,-,-,-,0,0
2013-10-09,-,-,-,-,0,0
2013-10-08,-,-,-,-,0,0
2013-10-07,246,246,246,246,1100,270600
2013-10-04,230,235,230,235,2200,514400
2013-10-03,217,234,217,230,4500,982300
2013-10-02,-,-,-,-,0,0
2013-10-01,247,280,247,280,1500,381000
2013-09-30,255,255,255,255,300,76500
2013-09-27,-,-,-,-,0,0
2013-09-26,287,287,287,287,100,28700
2013-09-25,-,-,-,-,0,0
2013-09-24,27100,27100,27100,27100,1,27100
2013-09-20,-,-,-,-,0,0
2013-09-19,-,-,-,-,0,0
2013-09-18,-,-,-,-,0,0
2013-09-17,-,-,-,-,0,0
2013-09-13,-,-,-,-,0,0
2013-09-12,-,-,-,-,0,0
2013-09-11,-,-,-,-,0,0
2013-09-10,-,-,-,-,0,0
2013-09-09,-,-,-,-,0,0
2013-09-06,27800,27800,27800,27800,3,83400
2013-09-05,27800,27800,27800,27800,2,55600
2013-09-04,-,-,-,-,0,0
2013-09-03,-,-,-,-,0,0
2013-09-02,-,-,-,-,0,0
2013-08-30,27800,27800,27800,27800,1,27800
2013-08-29,26800,27800,26800,27800,2,54600
2013-08-28,-,-,-,-,0,0
2013-08-27,-,-,-,-,0,0
2013-08-26,-,-,-,-,0,0
2013-08-23,-,-,-,-,0,0
2013-08-22,-,-,-,-,0,0
2013-08-21,-,-,-,-,0,0
2013-08-20,-,-,-,-,0,0
2013-08-19,-,-,-,-,0,0
2013-08-16,26300,26300,26300,26300,1,26300
2013-08-15,23800,24800,23800,24800,5,121000
2013-08-14,-,-,-,-,0,0
2013-08-13,25800,25800,25800,25800,1,25800
2013-08-12,-,-,-,-,0,0
2013-08-09,-,-,-,-,0,0
2013-08-08,-,-,-,-,0,0
2013-08-07,28000,28000,28000,28000,1,28000
2013-08-06,28990,28990,28990,28990,3,86970
