3063-T,東証マザーズ,jGroup,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,591,595,578,579,28300,16594300
2014-06-26,590,593,582,589,17200,10085300
2014-06-25,579,585,577,585,17400,10091300
2014-06-24,578,578,575,577,14700,8482200
2014-06-23,565,575,564,575,22700,12906000
2014-06-20,563,564,562,563,4300,2420900
2014-06-19,562,563,561,563,7500,4215600
2014-06-18,561,562,560,560,5800,3252300
2014-06-17,560,562,559,560,3600,2017500
2014-06-16,559,561,558,559,9400,5260300
2014-06-13,560,561,557,559,4800,2685400
2014-06-12,562,562,556,561,4000,2241100
2014-06-11,550,562,550,562,6400,3556600
2014-06-10,560,562,550,550,14000,7763700
2014-06-09,555,560,555,560,11900,6634000
2014-06-06,551,554,549,554,6700,3694900
2014-06-05,550,551,548,550,3800,2090100
2014-06-04,550,550,546,546,8900,4881500
2014-06-03,549,550,547,549,7200,3951300
2014-06-02,547,549,540,548,12000,6556800
2014-05-30,545,547,537,538,8600,4674000
2014-05-29,538,544,535,544,11000,5920100
2014-05-28,540,540,538,539,2800,1510600
2014-05-27,540,540,536,536,5400,2906200
2014-05-26,539,540,536,537,7500,4034800
2014-05-23,532,537,532,536,2400,1284300
2014-05-22,533,536,532,532,3600,1923300
2014-05-21,532,534,532,532,2500,1332300
2014-05-20,530,533,529,532,2100,1113400
2014-05-19,536,536,528,528,7800,4153600
2014-05-16,535,537,532,534,3100,1653900
2014-05-15,533,533,530,532,3600,1914500
2014-05-14,531,535,531,531,4400,2338400
2014-05-13,531,535,531,531,2000,1068000
2014-05-12,535,538,530,533,4200,2236700
2014-05-09,540,540,530,530,3000,1602200
2014-05-08,539,540,530,530,10700,5726900
2014-05-07,540,543,537,537,8000,4317300
2014-05-02,543,544,539,542,4400,2383600
2014-05-01,540,543,537,543,11000,5940500
2014-04-30,534,539,532,539,7900,4232600
2014-04-28,530,533,527,532,10400,5511400
2014-04-25,526,529,524,526,5500,2901500
2014-04-24,522,528,522,522,5500,2884100
2014-04-23,519,523,519,522,4100,2134100
2014-04-22,516,520,515,519,3600,1862000
2014-04-21,524,524,514,514,6900,3594200
2014-04-18,525,525,500,514,15300,7800200
2014-04-17,520,526,515,517,6400,3333500
2014-04-16,520,520,517,519,2100,1089500
2014-04-15,516,520,511,518,6800,3502600
2014-04-14,517,520,516,517,7500,3877900
2014-04-11,516,525,515,520,6300,3272400
2014-04-10,520,525,520,525,3500,1827700
2014-04-09,528,531,520,520,7500,3936400
2014-04-08,524,530,520,530,4900,2577500
2014-04-07,522,527,521,521,4200,2198400
2014-04-04,525,525,515,522,6100,3172300
2014-04-03,524,524,520,521,3400,1774100
2014-04-02,520,520,518,519,2800,1452800
2014-04-01,514,519,514,517,4100,2113600
2014-03-31,506,515,506,510,11600,5912800
2014-03-28,505,513,504,505,7500,3804600
2014-03-27,499,514,499,514,6400,3220600
2014-03-26,501,501,498,499,9300,4651200
2014-03-25,500,502,498,500,11400,5692900
2014-03-24,502,502,500,500,10500,5261000
2014-03-20,507,509,502,502,6500,3274100
2014-03-19,505,508,503,504,4100,2071300
2014-03-18,504,508,504,504,4400,2220700
2014-03-17,505,510,503,507,11100,5606500
2014-03-14,508,512,507,508,7200,3660700
2014-03-13,510,513,510,510,8200,4185700
2014-03-12,513,513,510,511,8100,4145900
2014-03-11,512,515,512,513,4500,2308400
2014-03-10,517,517,509,513,10700,5475300
2014-03-07,519,519,514,517,3700,1914800
2014-03-06,513,515,512,512,4500,2309400
2014-03-05,513,518,510,513,4900,2526300
2014-03-04,510,518,508,509,7800,3985400
2014-03-03,520,521,510,511,16900,8714700
2014-02-28,526,526,520,520,16200,8468300
2014-02-27,526,529,525,526,16200,8518500
2014-02-26,523,535,520,527,68700,36069900
2014-02-25,555,565,555,565,46900,26159700
2014-02-24,555,559,552,557,26700,14818500
2014-02-21,555,556,554,555,18600,10319500
2014-02-20,562,562,554,554,25500,14259500
2014-02-19,561,565,560,562,15600,8759500
2014-02-18,562,567,561,563,13300,7505300
2014-02-17,561,563,557,560,11200,6278400
2014-02-14,557,562,553,556,16600,9250400
2014-02-13,568,569,552,553,19400,10925100
2014-02-12,559,565,558,562,11700,6565600
2014-02-10,560,562,555,558,10200,5694100
2014-02-07,550,554,547,551,15600,8587500
2014-02-06,545,548,542,548,9100,4964300
2014-02-05,547,549,531,545,13000,7030300
2014-02-04,526,540,520,538,27900,14725000
2014-02-03,546,550,539,543,23800,12915500
2014-01-31,558,559,547,550,14300,7893700
2014-01-30,551,558,547,554,17900,9861700
2014-01-29,565,568,555,559,18200,10226800
2014-01-28,553,560,550,558,17400,9654800
2014-01-27,540,559,537,543,38600,20968200
2014-01-24,562,568,559,560,23500,13201100
2014-01-23,567,567,561,562,10500,5926100
2014-01-22,562,567,560,561,16700,9401000
2014-01-21,568,568,558,562,18200,10263800
2014-01-20,557,568,556,568,21700,12158900
2014-01-17,550,553,546,553,18300,10058800
2014-01-16,548,550,546,550,14200,7778100
2014-01-15,548,549,545,545,14100,7714900
2014-01-14,547,548,544,545,23800,12988600
2014-01-10,550,550,546,547,13900,7624000
2014-01-09,549,550,546,549,15200,8335200
2014-01-08,543,550,543,546,13700,7485500
2014-01-07,550,550,545,545,13600,7450100
2014-01-06,544,546,540,543,18400,9992000
2013-12-30,529,545,527,541,47900,25692800
2013-12-27,516,521,516,519,14200,7352100
2013-12-26,510,524,510,523,15800,8160800
2013-12-25,504,515,504,512,23500,11975300
2013-12-24,514,514,504,506,28300,14407500
2013-12-20,511,514,500,511,28000,14224100
2013-12-19,515,515,511,514,9800,5028900
2013-12-18,511,516,511,512,14800,7574800
2013-12-17,518,519,512,512,19400,10012800
2013-12-16,517,518,515,515,17800,9189500
2013-12-13,515,520,513,520,9800,5052700
2013-12-12,514,517,513,515,10200,5254000
2013-12-11,525,525,512,514,23600,12193700
2013-12-10,511,529,511,523,38200,19753100
2013-12-09,511,511,507,510,14500,7397700
2013-12-06,508,510,505,506,9600,4872600
2013-12-05,507,510,507,510,4000,2032100
2013-12-04,506,509,505,506,12900,6536700
2013-12-03,505,508,505,507,9700,4909700
2013-12-02,504,509,503,505,8700,4394700
2013-11-29,503,507,502,503,10100,5084900
2013-11-28,506,508,504,504,20600,10414100
2013-11-27,505,508,505,507,7100,3590700
2013-11-26,510,510,505,505,19000,9650900
2013-11-25,506,508,506,507,12900,6534400
2013-11-22,505,506,504,504,8100,4090300
2013-11-21,506,506,504,505,11500,5810300
2013-11-20,504,506,503,505,5500,2775800
2013-11-19,502,506,502,504,10100,5090200
2013-11-18,506,506,501,505,7700,3885100
2013-11-15,503,509,500,501,11700,5892900
2013-11-14,506,506,500,502,12000,6037800
2013-11-13,505,508,503,506,11700,5905400
2013-11-12,510,510,505,506,9500,4819100
2013-11-11,509,510,506,509,9100,4625700
2013-11-08,507,509,504,505,8100,4099900
2013-11-07,508,510,504,505,11000,5580400
2013-11-06,507,507,503,505,9400,4749800
2013-11-05,507,507,502,504,13800,6967100
2013-11-01,501,502,496,500,11900,5943500
2013-10-31,500,501,495,500,19900,9923900
2013-10-30,497,500,497,500,8500,4231600
2013-10-29,495,499,495,497,8000,3974300
2013-10-28,497,498,495,495,13700,6799000
2013-10-25,496,496,492,495,8700,4297100
2013-10-24,489,495,489,495,13000,6378900
2013-10-23,490,496,490,493,19100,9377600
2013-10-22,491,494,489,494,10300,5066200
2013-10-21,494,494,489,491,15100,7425200
2013-10-18,488,491,486,491,13400,6542200
2013-10-17,488,490,486,489,9300,4534800
2013-10-16,487,489,485,488,12900,6282100
2013-10-15,488,492,487,487,14200,6940100
2013-10-11,486,489,484,486,19400,9424700
2013-10-10,493,493,486,489,13100,6405600
2013-10-09,488,494,486,494,18000,8776600
2013-10-08,491,495,488,494,7000,3436600
2013-10-07,495,495,490,490,16100,7909200
2013-10-04,492,496,492,495,7100,3498100
2013-10-03,495,498,494,495,3600,1783900
2013-10-02,496,498,493,497,13000,6432300
2013-10-01,500,500,493,496,15700,7785300
2013-09-30,497,499,496,499,9000,4476500
2013-09-27,499,499,495,495,8600,4273400
2013-09-26,494,499,493,498,7000,3466200
2013-09-25,499,499,494,494,8800,4365600
2013-09-24,496,499,494,498,10500,5210800
2013-09-20,494,495,493,495,8100,4004400
2013-09-19,499,499,493,494,9900,4902500
2013-09-18,498,500,492,494,8700,4307900
2013-09-17,495,499,491,492,10300,5088600
2013-09-13,493,497,492,493,6500,3203300
2013-09-12,500,500,493,493,10300,5101900
2013-09-11,496,499,494,499,9200,4565200
2013-09-10,500,507,495,495,10900,5440400
2013-09-09,504,506,493,500,13200,6594000
2013-09-06,500,500,493,495,13700,6793100
2013-09-05,494,500,493,495,6600,3268700
2013-09-04,500,500,490,493,14500,7156100
2013-09-03,490,500,490,496,11000,5438800
2013-09-02,492,494,488,491,14900,7314200
2013-08-30,496,497,490,493,8500,4199300
2013-08-29,491,499,490,496,18000,8882200
2013-08-28,494,499,490,491,49500,24467100
2013-08-27,107000,107200,106500,107200,258,27596000
2013-08-26,107000,107200,106200,107200,168,17948900
2013-08-23,106600,107100,106000,107000,133,14182400
2013-08-22,107000,108000,106700,106700,121,12963300
2013-08-21,108000,108400,107000,107200,91,9794700
2013-08-20,108300,108800,108000,108000,87,9421900
2013-08-19,108100,108600,108000,108200,79,8547600
2013-08-16,107100,108800,107100,108300,92,9916800
2013-08-15,108000,108200,106900,107900,100,10755000
2013-08-14,107000,108000,106800,108000,83,8898500
2013-08-13,107400,107800,106000,107700,77,8224400
2013-08-12,108000,108000,105000,107400,82,8763700
2013-08-09,109700,111000,105100,107000,187,20130500
2013-08-08,109300,112500,108000,108300,211,23210000
2013-08-07,107200,109500,106200,109300,150,16144000
2013-08-06,105800,107500,105500,106700,148,15738100
2013-08-05,105800,105800,104200,104500,91,9567700
2013-08-02,103400,104300,103000,103600,117,12109700
2013-08-01,103900,104000,101600,103500,207,21310900
2013-07-31,105300,105500,103500,104000,145,15128300
2013-07-30,104000,105000,102800,103800,160,16585000
2013-07-29,105600,105800,104200,104300,134,14091800
2013-07-26,105700,105800,103300,104800,192,20047500
2013-07-25,104100,105100,104100,105000,96,10044700
2013-07-24,105000,105600,103500,103600,270,28207700
2013-07-23,105900,106500,105000,105200,173,18250700
2013-07-22,107000,107500,105700,105700,180,19178000
2013-07-19,107100,107600,105500,106500,154,16440300
2013-07-18,106900,107300,105000,106000,160,16992600
2013-07-17,107000,107300,103900,106000,193,20454300
2013-07-16,108000,108900,105500,106500,151,16134300
2013-07-12,105600,106600,105100,106000,134,14152500
2013-07-11,107400,107400,105500,105600,186,19842100
2013-07-10,109300,109300,107500,107500,152,16437000
2013-07-09,110000,110000,107600,107800,110,11922400
2013-07-08,108000,109700,107500,108900,102,11032500
2013-07-05,106200,109100,106200,107300,123,13231200
2013-07-04,108100,109000,106800,108400,167,17996500
2013-07-03,108500,109800,108000,108000,93,10104600
2013-07-02,108000,111000,107800,107900,173,18842300
2013-07-01,104800,108000,103100,105000,171,18048900
2013-06-28,100800,103000,100000,103000,167,16878700
2013-06-27,104000,104000,98800,99800,234,23555500
2013-06-26,110000,110500,103000,103000,355,37586900
2013-06-25,124900,124900,119100,119100,56,6778900
2013-06-24,124900,126800,120000,122500,53,6474100
2013-06-21,121000,121000,119000,120000,32,3855400
