3087-T,東証1部,ドトル日レス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1778,1787,1753,1768,185000,327504500
2014-06-26,1800,1800,1777,1782,82900,148083200
2014-06-25,1785,1807,1780,1784,112900,202507900
2014-06-24,1770,1787,1758,1785,112800,200650800
2014-06-23,1784,1785,1755,1760,113900,200685400
2014-06-20,1785,1785,1760,1770,180600,319703900
2014-06-19,1781,1794,1770,1779,185500,330309100
2014-06-18,1760,1776,1752,1771,140100,247429700
2014-06-17,1762,1771,1755,1763,163700,288469100
2014-06-16,1772,1784,1751,1762,134200,236595900
2014-06-13,1748,1766,1738,1764,196700,344896400
2014-06-12,1763,1763,1726,1752,237800,414369100
2014-06-11,1770,1779,1750,1763,212000,373202600
2014-06-10,1798,1803,1773,1775,197100,351368800
2014-06-09,1825,1830,1794,1808,114700,207616400
2014-06-06,1837,1844,1821,1831,192800,353856100
2014-06-05,1824,1843,1819,1837,141900,260381300
2014-06-04,1826,1827,1809,1820,165800,301625600
2014-06-03,1790,1829,1783,1812,327400,593483500
2014-06-02,1775,1825,1772,1788,342800,613778000
2014-05-30,1742,1751,1731,1735,189500,330179100
2014-05-29,1742,1754,1736,1745,167500,292163100
2014-05-28,1721,1754,1718,1742,149800,261003400
2014-05-27,1720,1724,1710,1718,111700,191875800
2014-05-26,1719,1722,1699,1721,151300,258781600
2014-05-23,1725,1735,1699,1703,215800,368720200
2014-05-22,1720,1736,1715,1729,172300,297863400
2014-05-21,1682,1710,1682,1709,145800,248248800
2014-05-20,1705,1709,1681,1681,106100,179360800
2014-05-19,1685,1711,1684,1686,128500,217984900
2014-05-16,1717,1723,1685,1692,346300,586404600
2014-05-15,1761,1761,1731,1739,312000,542585700
2014-05-14,1795,1795,1761,1781,160900,285497000
2014-05-13,1815,1818,1787,1798,132800,238585100
2014-05-12,1815,1815,1782,1786,126300,226715600
2014-05-09,1786,1854,1786,1809,245700,446112800
2014-05-08,1786,1787,1770,1781,123000,218734800
2014-05-07,1808,1823,1781,1786,230300,414245600
2014-05-02,1833,1845,1819,1828,153100,280072900
