3097-T,東証1部,物語コーポ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,3050,3055,3020,3030,33300,100963000
2014-06-26,3035,3060,3025,3055,104400,317481500
2014-06-25,3075,3075,3045,3050,238100,729011500
2014-06-24,3045,3080,3045,3075,55300,169445000
2014-06-23,3045,3060,3035,3055,51500,157021500
2014-06-20,3050,3055,3040,3045,34800,106006500
2014-06-19,3045,3070,3035,3070,34800,106281500
2014-06-18,3060,3070,3035,3050,39500,120564500
2014-06-17,3020,3075,3020,3075,27600,84354500
2014-06-16,3020,3025,3010,3020,70600,212929500
2014-06-13,3045,3050,3020,3045,76600,232405000
2014-06-12,3070,3075,3050,3060,46500,142328500
2014-06-11,3100,3105,3075,3085,50800,156830000
2014-06-10,3120,3120,3100,3105,24800,77077000
2014-06-09,3130,3135,3105,3110,46100,143555500
2014-06-06,3100,3140,3100,3135,23000,71849000
2014-06-05,3115,3115,3080,3085,30700,94996000
2014-06-04,3100,3120,3090,3100,47300,146571500
2014-06-03,3120,3145,3095,3135,41300,128771500
2014-06-02,3100,3115,3090,3110,37900,117575000
2014-05-30,3105,3110,3080,3100,43000,133172500
2014-05-29,3160,3160,3115,3120,44600,139576000
2014-05-28,3170,3195,3150,3180,13700,43574000
2014-05-27,3185,3200,3160,3160,18500,58730000
2014-05-26,3165,3180,3145,3160,15500,48951500
2014-05-23,3095,3140,3075,3110,22800,70964000
2014-05-22,3050,3075,3030,3060,16900,51584500
2014-05-21,3030,3065,3005,3025,23900,72369000
2014-05-20,3070,3085,3020,3020,40500,123239500
2014-05-19,3165,3180,3080,3085,41000,128125000
2014-05-16,3180,3185,3140,3175,27200,86141500
2014-05-15,3150,3225,3145,3210,26100,83132000
2014-05-14,3285,3300,3170,3185,60100,193397000
2014-05-13,3305,3325,3260,3285,19700,64777500
2014-05-12,3290,3365,3250,3285,53600,176929000
2014-05-09,3330,3350,3200,3310,128800,422908000
2014-05-08,3565,3580,3450,3505,41400,145085000
2014-05-07,3665,3665,3550,3585,35800,129075500
2014-05-02,3655,3675,3615,3675,33600,122568500
2014-05-01,3690,3690,3600,3655,47000,171195500
2014-04-30,3630,3715,3630,3685,70600,259008500
2014-04-28,3500,3580,3500,3575,76200,271256000
2014-04-25,3490,3555,3460,3505,38800,136332000
2014-04-24,3490,3570,3470,3475,48200,169122500
2014-04-23,3410,3485,3410,3485,39000,135027500
2014-04-22,3450,3450,3390,3410,25300,86501000
2014-04-21,3420,3485,3420,3435,41500,142862000
2014-04-18,3440,3440,3370,3400,37300,126949500
2014-04-17,3470,3490,3410,3450,51700,178623000
2014-04-16,3275,3440,3270,3435,100900,342365000
2014-04-15,3285,3330,3250,3275,61600,202858500
2014-04-14,3200,3270,3200,3245,34000,110367500
2014-04-11,3190,3255,3185,3220,29400,94752000
2014-04-10,3270,3285,3220,3225,24400,79267500
2014-04-09,3250,3270,3200,3250,39300,127271500
2014-04-08,3265,3325,3255,3280,73600,241957500
2014-04-07,3225,3255,3200,3250,43600,141242000
2014-04-04,3210,3235,3210,3225,23900,77046000
2014-04-03,3180,3240,3180,3205,40800,131314500
2014-04-02,3240,3250,3170,3175,38800,125289000
2014-04-01,3250,3250,3205,3250,28600,92519000
2014-03-31,3230,3240,3200,3240,35700,115067500
2014-03-28,3190,3225,3170,3225,45800,146762000
2014-03-27,3125,3190,3125,3190,37200,118188000
2014-03-26,3195,3195,3130,3160,46800,148562000
2014-03-25,3145,3200,3130,3160,43000,136262500
2014-03-24,3035,3150,3030,3145,65700,204682500
2014-03-20,3020,3030,2970,2982,27300,81760400
2014-03-19,3020,3045,3010,3020,13900,42003000
2014-03-18,3050,3050,3005,3020,6700,20235000
2014-03-17,3065,3075,3000,3005,16400,49672000
2014-03-14,3095,3095,3030,3060,35600,109058500
2014-03-13,3020,3050,3020,3030,20100,60929500
2014-03-12,3060,3060,3010,3010,20000,60458500
2014-03-11,3060,3080,3015,3070,33700,102651000
2014-03-10,3060,3080,3055,3070,7600,23310500
2014-03-07,3050,3095,3045,3070,16500,50516000
2014-03-06,3055,3085,3050,3065,12100,37078500
2014-03-05,3090,3105,3070,3075,15200,46893500
2014-03-04,3085,3110,3055,3110,11700,36093000
2014-03-03,3090,3105,3050,3105,18100,55606500
2014-02-28,3115,3115,3055,3090,20700,63676500
2014-02-27,3095,3100,3065,3100,26400,81308000
2014-02-26,3125,3135,3090,3105,17300,53766500
2014-02-25,3115,3140,3110,3135,25000,78194000
2014-02-24,3070,3080,3040,3065,8600,26302000
2014-02-21,3035,3080,3035,3070,12900,39465500
2014-02-20,3050,3075,3025,3035,20500,62395500
2014-02-19,3070,3070,3020,3050,12600,38307500
2014-02-18,3070,3080,3015,3070,28000,85494000
2014-02-17,3020,3065,2991,3040,15500,46919100
2014-02-14,3045,3060,3005,3030,22200,67350000
2014-02-13,3110,3110,3025,3060,22900,69926000
2014-02-12,3100,3130,3065,3110,47100,145963000
2014-02-10,3055,3085,3010,3060,45400,137961500
2014-02-07,3160,3180,3080,3105,26100,81999500
2014-02-06,3085,3130,3010,3105,39000,120098000
2014-02-05,2948,3045,2933,3030,49000,146852000
2014-02-04,3000,3020,2886,2899,60900,178983700
2014-02-03,3080,3105,3040,3060,29700,91054500
2014-01-31,3115,3130,3090,3130,29200,90761500
2014-01-30,3100,3150,3085,3150,34300,106807000
2014-01-29,3070,3175,3050,3175,46000,143991000
2014-01-28,3040,3055,2972,2976,38900,117247100
2014-01-27,3105,3105,3010,3050,58000,177228000
2014-01-24,3125,3155,3115,3150,40900,128089000
2014-01-23,3185,3185,3140,3145,43000,135649500
2014-01-22,3195,3195,3155,3185,43800,139238000
2014-01-21,3260,3265,3190,3200,33300,107186000
2014-01-20,3265,3270,3210,3235,61000,198240000
2014-01-17,3180,3240,3170,3240,58200,186144000
2014-01-16,3195,3195,3150,3160,26400,83645000
2014-01-15,3150,3190,3145,3165,34300,108629500
2014-01-14,3115,3185,3115,3145,34400,108366000
2014-01-10,3160,3165,3130,3150,36100,113586500
2014-01-09,3195,3200,3155,3170,31900,101464000
2014-01-08,3210,3240,3170,3195,57800,185233500
2014-01-07,3260,3270,3205,3215,56800,183367000
2014-01-06,3200,3300,3200,3260,152200,493442500
2013-12-30,3175,3195,3160,3175,63500,201786500
2013-12-27,3190,3190,3135,3175,42300,133748000
2013-12-26,3125,3210,3125,3180,123000,388353000
2013-12-25,3125,3145,3120,3145,151000,472621000
2013-12-24,3140,3160,3125,3135,84900,266377000
2013-12-20,3130,3145,3130,3130,50500,158249000
2013-12-19,3150,3160,3130,3145,73700,231518000
2013-12-18,3135,3145,3125,3135,69200,216879500
2013-12-17,3165,3170,3105,3110,342400,1078342000
2013-12-16,3240,3260,3170,3170,90300,289585000
2013-12-13,3200,3255,3190,3235,104500,336417000
2013-12-12,3200,3215,3135,3205,91400,290187500
2013-12-11,3125,3260,3125,3230,165700,531081500
2013-12-10,3150,3190,3115,3125,231900,728343000
2013-12-09,3170,3230,3165,3205,149400,477431500
2013-12-06,3195,3225,3160,3200,105700,337110000
2013-12-05,3270,3280,3210,3225,104900,339837500
2013-12-04,3305,3350,3270,3310,77900,257961500
2013-12-03,3390,3410,3360,3375,92100,312104000
2013-12-02,3450,3490,3410,3445,175600,605258000
2013-11-29,3900,3915,3840,3855,24800,95786000
2013-11-28,3955,3960,3900,3910,21800,85828500
2013-11-27,3865,3930,3865,3910,15600,60907000
2013-11-26,3785,3855,3785,3855,19800,75847500
2013-11-25,3765,3800,3755,3795,15200,57488000
2013-11-22,3800,3850,3775,3780,19400,73816000
2013-11-21,3810,3850,3800,3800,20400,77703000
2013-11-20,3860,3860,3810,3820,15500,59345500
2013-11-19,3880,3880,3825,3835,15200,58447500
2013-11-18,3900,3930,3845,3855,17400,67446500
2013-11-15,3920,3920,3865,3875,17700,68853000
2013-11-14,3890,3935,3845,3920,12600,49151500
2013-11-13,3955,3955,3915,3925,7200,28337000
2013-11-12,3800,3990,3800,3955,27200,105181000
2013-11-11,3920,3930,3865,3865,14000,54657000
2013-11-08,3920,4000,3905,3925,13400,52873000
2013-11-07,4015,4015,3950,3965,15500,61623500
2013-11-06,4025,4025,4005,4020,6600,26492500
2013-11-05,4055,4070,4030,4040,4900,19842500
2013-11-01,4105,4115,4030,4050,9800,39933000
2013-10-31,4140,4140,4100,4105,8900,36640500
2013-10-30,4135,4160,4120,4150,4500,18606000
2013-10-29,4165,4170,4125,4135,4900,20313500
2013-10-28,4130,4180,4110,4165,4900,20315500
2013-10-25,4155,4155,4095,4120,10400,42866000
2013-10-24,4140,4175,4110,4170,2900,12014000
2013-10-23,4180,4210,4150,4150,6800,28418500
2013-10-22,4200,4200,4140,4170,13300,55427500
2013-10-21,4290,4290,4245,4250,10500,44764000
2013-10-18,4280,4320,4260,4295,10900,46832000
2013-10-17,4255,4285,4245,4260,8900,37924000
2013-10-16,4265,4265,4205,4210,6200,26236500
2013-10-15,4280,4300,4230,4265,6600,28065000
2013-10-11,4155,4250,4155,4225,7200,30295000
2013-10-10,4110,4195,4110,4135,6000,24900000
2013-10-09,4005,4260,4005,4140,29100,120933500
2013-10-08,4150,4160,3985,4015,33300,134556500
2013-10-07,4310,4320,4200,4220,11000,46681500
2013-10-04,4375,4390,4310,4320,8100,35296000
2013-10-03,4210,4440,4210,4420,14200,61540000
2013-10-02,4450,4495,4270,4275,13000,56702500
2013-10-01,4465,4500,4425,4475,13000,58235500
2013-09-30,4455,4485,4420,4465,12400,55215500
2013-09-27,4495,4580,4400,4425,38900,174567000
2013-09-26,4365,4480,4305,4480,21700,95304500
2013-09-25,4245,4370,4230,4335,38200,163726000
2013-09-24,4210,4250,4155,4235,24600,103517000
2013-09-20,4170,4240,4135,4240,20100,84369500
2013-09-19,3995,4220,3980,4210,30600,125010000
2013-09-18,3985,4010,3960,3980,9000,35911500
2013-09-17,3990,4000,3960,3990,7700,30683500
2013-09-13,3950,3995,3935,3990,14200,56353000
2013-09-12,3950,3950,3900,3915,11100,43445500
2013-09-11,3965,3985,3955,3955,6000,23839000
2013-09-10,3990,3990,3930,3965,9800,38732000
2013-09-09,3985,4000,3925,3970,15400,61174000
2013-09-06,3965,3990,3925,3985,10000,39646000
2013-09-05,3995,3995,3895,3925,15800,62302500
2013-09-04,3980,3995,3960,3990,18500,73742500
2013-09-03,3875,3970,3865,3970,18000,70846000
2013-09-02,3845,3865,3840,3840,15600,60110500
2013-08-30,3820,3870,3785,3825,10800,41425000
2013-08-29,3755,3805,3750,3785,9700,36624500
2013-08-28,3810,3810,3700,3705,8800,32798000
2013-08-27,3735,3825,3735,3810,8600,32725000
2013-08-26,3785,3825,3745,3805,12600,47838500
2013-08-23,3755,3775,3710,3715,11500,43015500
2013-08-22,3725,3745,3710,3730,3600,13380000
2013-08-21,3775,3815,3760,3770,8300,31358500
2013-08-20,3730,3835,3720,3790,11000,41659500
2013-08-19,3730,3730,3685,3705,5500,20356000
2013-08-16,3705,3740,3680,3725,6500,24131000
2013-08-15,3755,3755,3700,3705,8200,30466500
2013-08-14,3695,3755,3695,3755,7100,26403000
2013-08-13,3910,3910,3670,3700,57600,218338000
2013-08-12,3800,3800,3625,3630,20800,77128000
2013-08-09,3870,3930,3825,3830,5100,19770000
2013-08-08,3920,3950,3860,3860,5800,22717000
2013-08-07,3965,3965,3920,3925,5700,22456500
2013-08-06,3915,3970,3910,3965,11200,44223500
2013-08-05,3970,3995,3960,3960,6600,26248500
2013-08-02,3940,4035,3930,3985,15200,60761500
2013-08-01,3925,3925,3855,3920,6900,26936000
2013-07-31,3925,3935,3815,3900,12400,48006000
2013-07-30,3665,3935,3665,3925,22600,85281000
2013-07-29,3810,3830,3720,3720,13800,52062000
2013-07-26,3815,3885,3810,3855,9700,37294500
2013-07-25,3830,3910,3810,3860,7800,30068500
2013-07-24,3875,3920,3845,3860,12800,49500000
2013-07-23,3870,3980,3855,3915,13400,52511000
2013-07-22,4025,4025,3840,3865,17700,69039000
2013-07-19,4070,4075,3835,3965,19600,77579000
2013-07-18,3960,4090,3930,4060,19000,76472500
2013-07-17,3970,3970,3900,3915,17300,67922500
2013-07-16,3990,3995,3935,3950,15400,61025500
2013-07-12,4085,4085,3950,3990,18400,73899500
2013-07-11,4080,4110,4045,4085,20600,83945000
2013-07-10,4080,4130,4070,4085,33400,136772500
2013-07-09,3920,4065,3895,4045,44100,176541500
2013-07-08,3920,3945,3830,3830,18100,70259500
2013-07-05,3925,3935,3860,3915,23300,91245000
2013-07-04,3705,3855,3640,3830,33200,125116000
2013-07-03,3610,3765,3610,3705,37400,137413500
2013-07-02,3720,3720,3575,3645,21400,78034000
2013-07-01,3410,3650,3410,3615,33600,118913500
2013-06-28,3390,3485,3305,3465,33200,113541000
2013-06-27,3085,3395,3085,3385,88500,289082500
2013-06-26,3185,3185,3045,3075,88800,277537000
2013-06-25,3250,3310,3205,3235,178100,580603000
2013-06-24,3360,3370,3300,3305,41400,138139000
2013-06-21,3320,3365,3265,3360,31900,105567000
