3161-T,東証2部,アゼアス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,366,369,364,364,8500,3115000
2014-06-26,369,369,368,368,3300,1217300
2014-06-25,368,370,366,366,5700,2097600
2014-06-24,365,368,364,366,12800,4674600
2014-06-23,370,374,362,367,5700,2092500
2014-06-20,374,374,368,373,7800,2897600
2014-06-19,367,370,366,369,6100,2241600
2014-06-18,369,372,366,367,7400,2728900
2014-06-17,367,367,365,367,1100,402900
2014-06-16,368,369,365,367,5100,1870300
2014-06-13,367,372,366,367,5700,2101100
2014-06-12,378,378,360,375,43400,16050500
2014-06-11,372,374,368,371,13400,4967800
2014-06-10,366,372,365,368,10900,4010700
2014-06-09,365,366,363,365,6900,2517200
2014-06-06,361,365,361,365,4200,1521500
2014-06-05,364,364,360,360,3800,1375800
2014-06-04,358,363,358,363,2600,938200
2014-06-03,362,362,355,358,8000,2872800
2014-06-02,359,360,356,360,8300,2975900
2014-05-30,360,363,360,363,6600,2391400
2014-05-29,359,361,358,360,2300,828300
2014-05-28,360,365,357,359,6800,2449300
2014-05-27,360,364,359,361,7500,2712200
2014-05-26,356,360,355,358,8700,3120300
2014-05-23,353,356,353,355,2300,815500
2014-05-22,361,361,350,354,6800,2406400
2014-05-21,358,358,350,352,7500,2654800
2014-05-20,359,359,353,359,11100,3953700
2014-05-19,360,361,360,360,2200,792500
2014-05-16,361,367,357,359,8300,2998900
2014-05-15,366,366,360,364,3500,1266000
2014-05-14,365,365,362,364,12300,4457400
2014-05-13,365,366,359,361,5700,2066200
2014-05-12,374,374,359,368,6200,2262100
2014-05-09,371,374,369,369,2800,1039800
2014-05-08,373,376,367,367,4900,1817600
2014-05-07,371,374,370,371,6400,2385300
2014-05-02,371,381,366,375,15000,5601500
2014-05-01,367,374,364,368,20200,7416300
2014-04-30,383,383,367,371,11800,4408700
2014-04-28,381,385,375,383,11500,4390100
2014-04-25,377,393,375,381,40900,15588900
2014-04-24,403,407,402,403,55000,22263600
2014-04-23,402,403,400,401,14200,5702200
2014-04-22,406,406,403,403,20600,8345100
2014-04-21,405,406,400,405,16800,6780200
2014-04-18,401,406,401,405,8100,3266200
2014-04-17,407,408,404,405,8900,3611500
2014-04-16,400,408,400,406,15700,6343500
2014-04-15,405,408,402,402,7700,3123900
2014-04-14,408,410,402,403,20100,8179000
2014-04-11,400,409,400,401,21400,8601100
2014-04-10,410,411,405,409,9300,3793800
2014-04-09,405,410,401,408,9400,3793900
