3168-T,東証2部,クロタニ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,535,535,530,530,1700,903500
2014-06-26,534,537,530,536,5300,2829900
2014-06-25,525,535,525,535,1900,1006500
2014-06-24,530,530,525,527,4700,2486600
2014-06-23,536,538,518,520,29200,15336500
2014-06-20,535,535,533,533,4300,2297200
2014-06-19,538,538,534,534,1700,913100
2014-06-18,537,538,532,533,400,214000
2014-06-17,532,547,530,530,7400,3955100
2014-06-16,535,535,530,535,3800,2017600
2014-06-13,531,540,530,530,8900,4726100
2014-06-12,532,542,530,530,10100,5375400
2014-06-11,534,548,521,545,13500,7171400
2014-06-10,544,544,534,534,2100,1125900
2014-06-09,541,543,536,537,5800,3131900
2014-06-06,547,547,539,543,2200,1198100
2014-06-05,543,546,538,545,2800,1520900
2014-06-04,539,540,539,540,1400,755900
2014-06-03,535,535,529,535,3500,1865100
2014-06-02,532,532,530,532,700,372200
2014-05-30,531,531,531,531,1000,531000
2014-05-29,528,528,526,526,1700,897400
2014-05-28,524,527,524,527,500,263200
2014-05-27,528,529,522,522,400,210800
2014-05-26,527,527,520,520,500,262200
2014-05-23,523,523,520,520,300,156600
2014-05-22,518,520,518,520,1200,623700
2014-05-21,511,515,511,512,3500,1789100
2014-05-20,522,522,521,521,900,469000
2014-05-19,525,528,521,521,4600,2410600
2014-05-16,521,525,521,525,500,261500
2014-05-15,538,538,525,525,1100,582300
2014-05-14,528,528,528,528,400,211200
2014-05-13,523,532,523,528,1100,578900
2014-05-12,541,541,521,521,5200,2760500
2014-05-09,534,534,534,534,200,106800
2014-05-08,540,540,534,534,1700,913400
2014-05-07,534,535,534,535,600,320500
2014-05-02,537,537,536,536,300,161000
2014-05-01,534,539,530,537,4000,2131600
2014-04-30,534,534,534,534,100,53400
2014-04-28,535,535,533,533,1300,694600
2014-04-25,543,543,536,537,2800,1508500
2014-04-24,544,544,543,543,700,380500
2014-04-23,549,549,544,546,3100,1690600
2014-04-22,550,550,549,549,1000,549800
2014-04-21,544,550,544,546,1700,930100
2014-04-18,543,549,542,543,600,326800
2014-04-17,553,553,542,543,4400,2395500
2014-04-16,538,553,538,553,5200,2835300
2014-04-15,540,547,536,537,5400,2917400
2014-04-14,536,549,535,540,8800,4723300
2014-04-11,552,552,535,539,6800,3687900
2014-04-10,557,557,549,553,1700,935500
2014-04-09,562,562,556,557,1300,726100
2014-04-08,562,562,562,562,900,505800
2014-04-07,561,563,561,563,200,112400
2014-04-04,561,561,560,561,900,504700
2014-04-03,559,562,559,559,1400,784300
2014-04-02,563,563,557,557,800,449000
2014-04-01,562,566,560,566,1600,902400
2014-03-31,553,565,553,565,8400,4717500
2014-03-28,551,559,551,559,800,442200
2014-03-27,556,556,554,555,1700,942900
2014-03-26,563,567,546,552,5900,3238800
2014-03-25,565,566,563,563,1200,678800
2014-03-24,560,566,560,566,1100,621400
2014-03-20,556,565,547,548,3400,1891600
2014-03-19,558,560,556,556,6300,3515600
2014-03-18,557,565,557,557,3900,2175500
2014-03-17,573,575,555,567,2200,1242600
2014-03-14,585,585,550,578,9100,5201000
2014-03-13,584,584,583,583,1300,758400
2014-03-12,582,583,582,582,500,291100
2014-03-11,586,592,582,585,2600,1534800
2014-03-10,581,583,581,583,1200,699400
2014-03-07,591,591,580,580,1500,875800
2014-03-06,582,582,578,582,800,464400
2014-03-05,582,582,582,582,100,58200
2014-03-04,573,582,568,582,2000,1148900
2014-03-03,578,582,575,579,1100,636300
2014-02-28,583,583,582,582,600,349400
2014-02-27,-,-,-,-,0,0
2014-02-26,575,584,575,584,900,518400
2014-02-25,592,599,592,595,1500,893200
2014-02-24,590,592,590,592,800,473200
2014-02-21,587,590,585,590,1500,881900
2014-02-20,594,594,586,586,2600,1526700
2014-02-19,598,598,598,598,100,59800
2014-02-18,596,596,595,595,200,119100
2014-02-17,586,586,586,586,100,58600
2014-02-14,595,595,584,584,500,293800
2014-02-13,595,598,595,598,400,238500
2014-02-12,-,-,-,-,0,0
2014-02-10,601,601,588,588,1800,1066300
2014-02-07,605,605,585,592,5300,3164200
2014-02-06,567,579,567,579,900,519100
2014-02-05,597,597,560,562,5100,2895000
2014-02-04,585,586,569,569,6600,3833200
2014-02-03,591,599,590,590,2700,1595900
2014-01-31,600,607,595,596,5600,3347600
2014-01-30,603,603,599,600,3000,1800800
2014-01-29,605,608,600,608,2800,1696200
2014-01-28,599,609,595,609,4400,2639700
2014-01-27,595,595,588,589,7300,4326900
2014-01-24,609,609,604,604,3200,1940800
2014-01-23,614,614,602,612,6300,3838700
2014-01-22,618,619,611,611,8300,5094900
2014-01-21,613,619,613,617,5500,3389300
2014-01-20,610,613,608,613,2900,1771900
2014-01-17,607,609,605,609,3200,1940800
2014-01-16,615,615,608,608,1700,1043500
2014-01-15,607,617,600,617,13200,7980200
2014-01-14,599,607,599,607,9800,5877000
2014-01-10,620,623,615,616,7300,4503000
2014-01-09,615,620,615,618,2800,1731700
2014-01-08,616,620,616,620,1200,741200
2014-01-07,619,620,618,620,3000,1856300
2014-01-06,619,620,606,620,8000,4922100
2013-12-30,608,620,608,620,6500,3990900
2013-12-27,600,608,600,605,7200,4338800
2013-12-26,581,597,581,597,7700,4547300
2013-12-25,580,582,580,580,11700,6789100
2013-12-24,581,583,580,582,9400,5462200
2013-12-20,582,586,578,578,19200,11121500
2013-12-19,585,586,581,581,5700,3324500
2013-12-18,583,593,583,585,6900,4038800
2013-12-17,592,595,587,587,7500,4439500
2013-12-16,599,600,594,595,8400,5018900
2013-12-13,602,607,601,607,3500,2108900
2013-12-12,602,605,598,605,9100,5459000
2013-12-11,605,607,602,606,2600,1571800
2013-12-10,605,605,602,602,4900,2953800
2013-12-09,606,613,602,602,6100,3706500
2013-12-06,604,610,602,604,6900,4174600
2013-12-05,603,608,601,608,4000,2414700
2013-12-04,604,610,601,610,8200,4950800
2013-12-03,613,614,604,604,8100,4948700
2013-12-02,613,614,611,613,3400,2083600
2013-11-29,609,614,609,614,3200,1952900
2013-11-28,608,610,608,609,2400,1461400
2013-11-27,607,612,607,612,3100,1887800
2013-11-26,605,608,600,608,4600,2770300
2013-11-25,610,615,601,605,7700,4705000
2013-11-22,609,610,609,610,8500,5180200
2013-11-21,609,610,606,608,1200,730600
2013-11-20,609,609,605,607,2300,1395500
2013-11-19,612,612,608,611,2300,1403000
2013-11-18,613,614,610,612,1800,1102000
2013-11-15,610,612,609,612,4300,2623300
2013-11-14,604,605,602,605,2300,1387200
2013-11-13,600,603,600,602,2900,1744700
2013-11-12,597,605,597,605,600,360100
2013-11-11,597,605,595,596,3500,2091800
2013-11-08,595,600,595,600,1300,775300
2013-11-07,591,599,591,593,3200,1899600
2013-11-06,602,602,592,601,1300,776500
2013-11-05,599,612,591,612,12300,7359700
2013-11-01,616,616,599,600,7900,4785200
2013-10-31,625,625,614,614,2900,1793700
2013-10-30,620,627,616,618,5300,3282200
2013-10-29,624,625,617,622,2900,1792900
2013-10-28,618,624,617,624,1000,620100
2013-10-25,620,624,620,621,1200,747200
2013-10-24,622,630,613,618,3500,2174100
2013-10-23,617,621,617,618,3800,2351200
2013-10-22,616,618,615,618,1700,1048400
2013-10-21,616,619,613,615,6500,3994600
2013-10-18,615,619,613,619,2000,1229700
2013-10-17,620,625,619,621,3600,2234500
2013-10-16,617,619,613,619,2400,1476000
2013-10-15,618,618,611,614,2900,1782900
2013-10-11,625,625,609,610,10700,6558300
2013-10-10,611,619,611,613,2100,1289300
2013-10-09,613,619,610,619,900,551100
2013-10-08,630,630,613,620,2400,1488200
2013-10-07,622,631,614,622,8100,5036300
2013-10-04,622,639,622,638,8500,5408700
2013-10-03,621,637,620,622,1500,935700
2013-10-02,639,643,620,630,5300,3327300
2013-10-01,643,643,635,638,800,510100
2013-09-30,640,640,622,634,4400,2774900
2013-09-27,642,642,638,638,3200,2049400
2013-09-26,620,668,620,642,10000,6457500
2013-09-25,617,630,617,630,7500,4676700
2013-09-24,614,625,614,622,7500,4640100
2013-09-20,611,617,610,610,6000,3672800
2013-09-19,609,615,609,611,11000,6715600
2013-09-18,612,612,608,608,3900,2379700
2013-09-17,610,612,610,610,400,244200
