3173-T,JQスタンダード,大阪工機,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,783,783,773,773,5500,4284900
2014-06-26,788,790,782,788,5400,4249600
2014-06-25,789,794,786,786,4500,3550000
2014-06-24,797,797,790,793,1200,951100
2014-06-23,800,804,792,800,6500,5192400
2014-06-20,803,803,790,790,4000,3176000
2014-06-19,807,807,794,794,5500,4410600
2014-06-18,810,810,795,795,5500,4403600
2014-06-17,811,811,800,809,7600,6121600
2014-06-16,795,815,794,809,23600,18967200
2014-06-13,780,794,766,794,17900,14061400
2014-06-12,778,778,744,765,2700,2053000
2014-06-11,757,774,756,774,3700,2835800
2014-06-10,780,780,728,750,33600,25285200
2014-06-09,783,797,781,789,8700,6844900
2014-06-06,757,758,751,755,3600,2717100
2014-06-05,771,771,757,767,3400,2603300
2014-06-04,780,780,780,780,4400,3432000
2014-06-03,800,802,780,783,9500,7484000
2014-06-02,775,805,775,793,34500,27293600
2014-05-30,750,759,741,753,13700,10296600
2014-05-29,715,750,715,739,52200,38008500
2014-05-28,700,703,698,703,5800,4062200
2014-05-27,700,700,700,700,4000,2800000
2014-05-26,691,700,687,700,8100,5624500
2014-05-23,685,685,685,685,200,137000
2014-05-22,683,690,683,687,2000,1373200
2014-05-21,680,685,680,681,2600,1772400
2014-05-20,692,692,681,690,2300,1587200
2014-05-19,700,700,681,681,8300,5787100
2014-05-16,691,697,683,690,8700,6002800
2014-05-15,690,697,682,692,35000,24144700
2014-05-14,663,665,663,665,3800,2522000
2014-05-13,651,660,646,646,1100,719700
2014-05-12,-,-,-,-,0,0
2014-05-09,663,663,655,655,2700,1789300
2014-05-08,663,663,652,659,2400,1583800
2014-05-07,660,661,660,660,3500,2310100
2014-05-02,662,665,660,665,10200,6781400
2014-05-01,662,662,662,662,2400,1588800
2014-04-30,660,660,655,655,1100,724800
2014-04-28,664,664,660,660,4000,2655600
2014-04-25,647,656,645,656,2300,1495500
2014-04-24,653,657,650,650,1200,782200
2014-04-23,650,655,650,653,300,195800
2014-04-22,651,651,645,645,6800,4394400
2014-04-21,655,655,655,655,200,131000
2014-04-18,645,650,645,650,2000,1292500
2014-04-17,651,651,651,651,500,325500
2014-04-16,644,650,644,650,1000,647000
2014-04-15,653,654,653,654,400,261300
2014-04-14,-,-,-,-,0,0
2014-04-11,642,654,642,654,600,391200
2014-04-10,645,646,643,643,4800,3095700
2014-04-09,651,662,643,643,1300,848000
2014-04-08,654,654,653,653,1400,914600
2014-04-07,660,660,654,654,900,592800
2014-04-04,656,656,656,656,1100,721600
2014-04-03,655,660,655,658,1100,723900
2014-04-02,662,663,659,660,600,396700
2014-04-01,-,-,-,-,0,0
2014-03-31,660,660,659,660,1700,1121900
2014-03-28,650,650,645,650,1300,843600
2014-03-27,650,650,640,640,8900,5769000
2014-03-26,650,651,650,651,2400,1560100
2014-03-25,651,670,650,655,3700,2418500
2014-03-24,666,666,656,656,1200,791300
2014-03-20,656,676,653,666,4300,2848200
2014-03-19,656,656,656,656,700,459200
2014-03-18,653,653,653,653,100,65300
2014-03-17,650,670,650,650,2800,1842200
2014-03-14,658,658,650,650,1100,718900
2014-03-13,653,658,651,658,2900,1894900
2014-03-12,675,675,663,669,500,334200
2014-03-11,-,-,-,-,0,0
2014-03-10,669,674,660,674,1400,938400
2014-03-07,665,665,660,660,300,199000
2014-03-06,652,655,652,655,900,588900
2014-03-05,652,655,652,655,2000,1308900
2014-03-04,665,665,652,652,1800,1175200
2014-03-03,656,672,652,655,2300,1507700
2014-02-28,677,677,677,677,100,67700
2014-02-27,680,680,680,680,3900,2652000
2014-02-26,666,667,656,666,1300,863500
2014-02-25,659,665,659,665,400,265400
2014-02-24,643,647,641,645,3800,2445700
2014-02-21,650,662,650,655,2500,1639300
2014-02-20,642,652,642,650,4600,2975200
2014-02-19,651,651,650,650,2600,1690800
2014-02-18,654,654,647,647,800,520100
2014-02-17,652,665,651,654,3400,2228100
2014-02-14,679,679,674,679,400,270700
2014-02-13,-,-,-,-,0,0
2014-02-12,690,690,678,685,4700,3240700
2014-02-10,687,687,677,677,400,272800
2014-02-07,665,670,665,670,1400,932000
2014-02-06,650,660,650,660,500,327800
2014-02-05,653,665,632,662,3700,2431600
2014-02-04,658,661,631,647,6600,4276300
2014-02-03,678,678,665,678,3000,2017800
2014-01-31,694,694,677,689,6500,4477500
2014-01-30,690,697,675,697,3000,2056400
2014-01-29,697,699,696,699,1100,766500
2014-01-28,672,699,672,697,4900,3373000
2014-01-27,679,690,675,685,11100,7559600
2014-01-24,696,696,687,687,3500,2414400
2014-01-23,703,705,698,698,4800,3368800
2014-01-22,710,710,699,699,6000,4221600
2014-01-21,699,710,696,710,4000,2824200
2014-01-20,695,709,692,692,13400,9390000
2014-01-17,695,695,692,692,3100,2150800
2014-01-16,685,695,685,688,34200,23521900
2014-01-15,682,685,681,681,4400,3006500
2014-01-14,681,681,677,677,16400,11110700
2014-01-10,679,680,671,675,2400,1621600
2014-01-09,683,686,675,685,7200,4897600
2014-01-08,680,687,674,683,7100,4838100
2014-01-07,666,684,666,684,32400,22031600
2014-01-06,660,665,657,665,6200,4099500
2013-12-30,649,654,643,654,7400,4814900
2013-12-27,640,640,635,635,3800,2431000
2013-12-26,634,638,632,635,3600,2287100
2013-12-25,618,630,618,630,7000,4356400
2013-12-24,624,624,618,620,8300,5153500
2013-12-20,625,630,622,630,3800,2382200
2013-12-19,629,629,625,625,2000,1256300
2013-12-18,626,626,626,626,100,62600
2013-12-17,632,634,626,626,3900,2467200
2013-12-16,627,630,626,628,10500,6604500
2013-12-13,625,625,613,618,8400,5197600
2013-12-12,632,632,625,631,3400,2141900
2013-12-11,629,630,625,625,3700,2328700
2013-12-10,627,628,622,622,8800,5517400
2013-12-09,620,620,618,618,3200,1982500
2013-12-06,616,616,615,615,1400,861700
2013-12-05,620,624,615,624,4300,2667000
2013-12-04,620,624,616,616,12700,7876800
2013-12-03,622,622,619,620,3700,2293800
2013-12-02,620,622,617,620,3500,2169900
2013-11-29,620,620,610,610,3100,1907400
2013-11-28,620,620,620,620,600,372000
2013-11-27,622,622,608,614,4300,2659300
2013-11-26,617,619,612,619,2700,1665200
2013-11-25,613,617,609,614,2500,1534900
2013-11-22,612,616,612,614,3800,2331400
2013-11-21,608,612,608,611,2100,1278900
2013-11-20,607,610,607,610,4100,2493800
2013-11-19,611,612,609,609,2600,1585600
2013-11-18,613,615,608,608,4300,2626800
2013-11-15,613,615,606,611,12800,7814100
2013-11-14,615,619,615,618,3800,2342600
2013-11-13,614,614,600,606,5800,3510600
2013-11-12,616,616,612,612,1600,981500
2013-11-11,615,615,613,613,1100,674500
2013-11-08,617,617,617,617,200,123400
2013-11-07,615,617,613,617,500,307200
2013-11-06,-,-,-,-,0,0
2013-11-05,618,618,613,613,1400,859600
2013-11-01,620,620,611,611,3800,2346200
2013-10-31,613,613,613,613,100,61300
2013-10-30,616,616,615,615,1400,861700
2013-10-29,626,626,626,626,100,62600
2013-10-28,629,629,621,621,2800,1755400
2013-10-25,622,622,615,622,3000,1851900
2013-10-24,619,620,615,615,600,370500
2013-10-23,614,620,614,620,4700,2912300
2013-10-22,619,619,611,611,1000,615000
2013-10-21,611,618,611,618,300,184000
2013-10-18,611,611,611,611,100,61100
2013-10-17,611,611,611,611,100,61100
2013-10-16,610,610,607,608,1600,973500
2013-10-15,611,616,608,616,3500,2135800
2013-10-11,614,614,609,613,2200,1348100
2013-10-10,608,613,608,613,1000,611100
2013-10-09,607,607,607,607,100,60700
2013-10-08,606,607,606,607,900,545500
2013-10-07,612,614,610,610,1000,610900
2013-10-04,611,612,610,612,600,366300
2013-10-03,611,613,611,613,1700,1039000
2013-10-02,616,621,611,611,1900,1169200
2013-10-01,615,615,615,615,2400,1476000
2013-09-30,618,618,617,617,1500,926000
2013-09-27,628,628,619,619,3200,2000300
2013-09-26,611,618,608,618,1100,672600
2013-09-25,624,624,620,621,2500,1555300
2013-09-24,625,625,621,624,1600,997600
2013-09-20,623,624,619,624,1300,809100
2013-09-19,620,622,618,618,6800,4215500
2013-09-18,615,620,614,618,1800,1110800
2013-09-17,612,620,612,620,1700,1046600
2013-09-13,614,615,614,615,200,122900
2013-09-12,608,608,605,608,1200,728800
2013-09-11,614,614,608,608,3900,2386700
2013-09-10,609,609,606,608,600,364800
2013-09-09,610,615,610,610,2400,1468800
2013-09-06,-,-,-,-,0,0
2013-09-05,613,613,610,610,2300,1406300
2013-09-04,602,613,602,613,200,121500
2013-09-03,610,611,607,610,3100,1887600
2013-09-02,608,609,608,609,200,121700
2013-08-30,-,-,-,-,0,0
2013-08-29,602,605,602,605,400,241100
2013-08-28,607,607,607,607,400,242800
2013-08-27,618,618,607,607,2300,1419300
2013-08-26,610,610,610,610,1000,610000
2013-08-23,609,609,599,608,2500,1508800
2013-08-22,605,606,603,606,900,544400
2013-08-21,605,605,598,600,1700,1018200
2013-08-20,606,606,595,595,2700,1620500
2013-08-19,597,603,597,603,200,120000
2013-08-16,609,609,597,597,4100,2470100
2013-08-15,607,607,602,602,200,120900
2013-08-14,604,606,604,606,1200,726700
2013-08-13,606,607,601,607,700,421900
2013-08-12,605,605,605,605,1100,665500
2013-08-09,609,609,605,605,200,121400
2013-08-08,603,605,603,604,5100,3084400
2013-08-07,605,610,602,602,4900,2954800
2013-08-06,610,610,602,605,1500,908400
2013-08-05,616,616,607,607,600,368700
2013-08-02,605,615,605,615,1600,978500
2013-08-01,607,607,607,607,100,60700
2013-07-31,608,608,603,607,700,423000
2013-07-30,612,612,612,612,200,122400
2013-07-29,616,616,602,602,4500,2756000
2013-07-26,614,614,606,608,1700,1036500
2013-07-25,610,614,610,614,600,367200
2013-07-24,611,611,605,605,3200,1939700
2013-07-23,608,610,605,610,4600,2801800
2013-07-22,614,615,610,610,1700,1039000
2013-07-19,616,617,602,611,3600,2203900
2013-07-18,614,617,614,617,900,553700
2013-07-17,613,620,613,618,3500,2152100
2013-07-16,612,612,612,612,100,61200
