3178-T,東証1部,チムニー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2236,2257,2090,2124,105000,226779600
2014-06-26,2285,2300,2192,2271,128900,290728100
2014-06-25,2343,2377,2320,2323,108500,254456200
2014-06-24,2343,2355,2336,2343,59900,140363200
2014-06-23,2330,2348,2329,2348,38800,90623000
2014-06-20,2340,2340,2324,2328,22600,52632700
2014-06-19,2328,2340,2321,2329,29000,67512100
2014-06-18,2328,2342,2324,2326,25300,59050300
2014-06-17,2300,2320,2290,2315,37100,85522400
2014-06-16,2300,2300,2282,2289,22200,50883300
2014-06-13,2251,2289,2243,2287,40300,91133600
2014-06-12,2248,2261,2239,2251,17500,39369800
2014-06-11,2255,2259,2239,2248,17100,38478000
2014-06-10,2253,2257,2240,2255,19400,43615600
2014-06-09,2259,2259,2233,2257,21400,48178100
2014-06-06,2226,2256,2226,2255,25600,57351000
2014-06-05,2241,2268,2210,2227,47700,107008100
2014-06-04,2215,2229,2211,2228,26600,59018300
2014-06-03,2213,2222,2211,2222,28500,63203600
2014-06-02,2212,2224,2207,2213,29100,64442600
2014-05-30,2230,2234,2203,2212,24000,53295700
2014-05-29,2202,2220,2193,2215,19800,43705100
2014-05-28,2180,2225,2175,2199,37600,82731100
2014-05-27,2170,2191,2167,2173,22700,49391900
2014-05-26,2179,2179,2141,2163,18400,39748800
2014-05-23,2128,2180,2115,2136,33800,72152800
2014-05-22,2128,2152,2076,2141,29800,63196000
2014-05-21,2053,2137,2021,2133,29000,60868900
2014-05-20,2060,2080,2020,2053,31200,63920700
2014-05-19,2119,2153,2058,2061,55700,116997000
2014-05-16,2124,2128,2085,2103,38100,79974100
2014-05-15,2170,2170,2130,2151,18200,39040500
2014-05-14,2161,2169,2151,2168,20000,43207600
2014-05-13,2120,2195,2118,2172,30500,65428000
2014-05-12,2193,2241,2111,2112,67300,145223500
2014-05-09,2270,2272,2180,2189,113200,249927600
2014-05-08,2340,2357,2286,2309,103400,239720100
2014-05-07,2450,2481,2306,2309,119500,282440800
2014-05-02,2347,2529,2344,2487,165400,408159900
2014-05-01,2390,2440,2299,2310,110900,262354400
2014-04-30,2400,2625,2378,2426,378300,942964900
2014-04-28,2159,2498,2112,2318,467600,1105110000
2014-04-25,2159,2194,2107,2142,106000,226994000
2014-04-24,2189,2279,2107,2109,87700,191856900
2014-04-23,2130,2215,2128,2140,74200,160487000
2014-04-22,2060,2179,2060,2123,97300,206070400
2014-04-21,2216,2220,2074,2101,144300,309724100
2014-04-18,2448,2675,2240,2316,182500,434113200
2014-04-17,2312,2489,2312,2425,183800,441676200
2014-04-16,2193,2288,2193,2270,139800,313898800
2014-04-15,2126,2194,2100,2185,118800,256739000
2014-04-14,1980,2244,1976,2114,143300,302127100
2014-04-11,2042,2150,1986,1986,169400,350924900
2014-04-10,2000,2074,1997,2072,142800,290984300
2014-04-09,1901,1971,1881,1961,124500,240244500
2014-04-08,1889,1938,1855,1914,67800,128693700
2014-04-07,1850,1875,1830,1874,35600,65920900
2014-04-04,1780,1842,1764,1842,35200,63631900
2014-04-03,1830,1830,1784,1786,32000,57637900
2014-04-02,1850,1850,1820,1821,28400,52261400
2014-04-01,1811,1839,1811,1826,21400,38979700
2014-03-31,1788,1800,1764,1800,39000,69561000
2014-03-28,1726,1760,1725,1760,38300,66808800
2014-03-27,1630,1705,1620,1705,33700,55608200
2014-03-26,1615,1625,1604,1624,23100,37306500
2014-03-25,1638,1638,1595,1615,12300,19884900
2014-03-24,1598,1615,1581,1590,16500,26326500
2014-03-20,1620,1620,1574,1596,37500,59750000
2014-03-19,1604,1663,1604,1622,25400,41544800
2014-03-18,1597,1615,1572,1600,25600,40859200
2014-03-17,1621,1621,1565,1569,31300,49751500
2014-03-14,1598,1615,1571,1613,26200,41826600
2014-03-13,1613,1638,1601,1625,16900,27359800
2014-03-12,1591,1700,1590,1600,41300,67589200
2014-03-11,1630,1650,1568,1620,73300,117322200
2014-03-10,1695,1725,1602,1650,95700,158344900
2014-03-07,1699,1847,1690,1725,115600,200984200
2014-03-06,1620,1672,1610,1671,65800,108190300
2014-03-05,1555,1630,1551,1605,100100,159252100
2014-03-04,1495,1520,1479,1520,53100,79986400
2014-03-03,1475,1499,1435,1498,39000,57394300
2014-02-28,1468,1496,1441,1475,32200,47290000
2014-02-27,1448,1495,1426,1468,59000,85883200
