3204-T,東証1部,トーア紡,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,73,73,72,73,1070000,77586000
2014-06-26,73,73,72,73,663000,48278000
2014-06-25,73,74,73,73,970000,71066000
2014-06-24,73,73,72,73,895000,65304000
2014-06-23,73,74,72,73,706000,51536000
2014-06-20,73,74,72,72,1164000,84719000
2014-06-19,72,74,71,73,2299000,166409000
2014-06-18,73,74,72,74,1116000,81953000
2014-06-17,73,73,72,73,744000,54184000
2014-06-16,72,74,71,72,1067000,77219000
2014-06-13,72,73,72,73,1204000,86739000
2014-06-12,71,73,70,73,1828000,131207000
2014-06-11,71,71,70,70,613000,43509000
2014-06-10,71,71,70,71,629000,44448000
2014-06-09,71,71,70,70,1337000,94748000
2014-06-06,70,72,70,71,1262000,89651000
2014-06-05,71,71,70,71,1157000,82127000
2014-06-04,71,71,70,70,706000,50070000
2014-06-03,70,72,70,71,1963000,138577000
2014-06-02,69,70,68,70,2212000,152583000
2014-05-30,69,71,69,71,934000,64977000
2014-05-29,70,70,69,69,865000,60106000
2014-05-28,71,71,69,69,934000,65390000
2014-05-27,70,71,70,70,948000,66366000
2014-05-26,70,71,70,71,621000,43684000
2014-05-23,70,71,69,71,724000,50689000
2014-05-22,68,70,68,70,815000,55662000
2014-05-21,69,69,68,68,839000,57764000
2014-05-20,69,70,69,69,730000,50626000
2014-05-19,70,70,69,69,679000,47407000
2014-05-16,70,70,69,69,666000,46441000
2014-05-15,70,71,70,70,658000,46115000
2014-05-14,70,71,70,71,751000,52757000
2014-05-13,70,71,69,71,782000,54748000
2014-05-12,70,71,69,69,1205000,83892000
2014-05-09,70,72,70,70,636000,44582000
2014-05-08,71,71,70,70,898000,63739000
2014-05-07,70,71,70,70,692000,48670000
2014-05-02,70,71,70,71,686000,48263000
2014-05-01,69,71,69,71,503000,34979000
2014-04-30,70,71,70,70,476000,33329000
2014-04-28,70,71,69,70,704000,49390000
2014-04-25,70,71,70,71,648000,45522000
2014-04-24,70,70,69,70,407000,28484000
2014-04-23,70,71,70,70,416000,29122000
2014-04-22,70,71,70,70,331000,23382000
2014-04-21,70,71,70,71,534000,37479000
2014-04-18,71,71,70,71,477000,33574000
2014-04-17,71,71,70,71,341000,24147000
2014-04-16,70,71,69,71,679000,47423000
2014-04-15,70,71,70,70,555000,38861000
2014-04-14,70,70,69,69,554000,38632000
2014-04-11,69,71,69,70,674000,46876000
2014-04-10,72,73,70,71,830000,59471000
2014-04-09,74,74,71,72,856000,62556000
2014-04-08,73,73,71,71,830000,60339000
2014-04-07,73,75,73,73,1368000,101121000
2014-04-04,74,75,73,73,839000,61888000
2014-04-03,73,74,72,73,969000,71017000
2014-04-02,72,75,72,73,1123000,82279000
2014-04-01,72,73,72,73,799000,57743000
2014-03-31,72,73,71,71,821000,59247000
2014-03-28,71,72,70,72,819000,58235000
2014-03-27,72,72,70,70,614000,43864000
2014-03-26,72,72,71,72,501000,36009000
2014-03-25,71,72,70,71,599000,42592000
2014-03-24,68,73,68,70,1197000,83521000
2014-03-20,72,72,68,68,1464000,103087000
2014-03-19,71,72,70,71,836000,59269000
2014-03-18,72,73,71,71,1346000,96879000
2014-03-17,71,71,70,71,745000,52869000
2014-03-14,73,73,70,70,1141000,81865000
2014-03-13,74,75,74,74,565000,41957000
2014-03-12,75,75,74,75,585000,43686000
2014-03-11,74,75,74,75,1115000,83030000
2014-03-10,75,75,73,73,887000,66018000
2014-03-07,75,76,74,75,1042000,77970000
2014-03-06,73,75,72,75,974000,71545000
2014-03-05,73,74,73,73,893000,65190000
2014-03-04,72,73,72,73,609000,43919000
2014-03-03,73,73,71,73,623000,45208000
2014-02-28,72,73,72,72,612000,44088000
2014-02-27,75,75,72,72,782000,57933000
2014-02-26,74,74,74,74,628000,46472000
2014-02-25,74,75,74,74,811000,60016000
2014-02-24,74,75,73,74,662000,48985000
2014-02-21,73,74,72,73,578000,42193000
2014-02-20,73,74,72,72,647000,47245000
2014-02-19,74,74,73,74,752000,55643000
2014-02-18,72,74,72,73,882000,63975000
2014-02-17,73,73,71,71,890000,63700000
2014-02-14,73,75,72,72,710000,51738000
2014-02-13,75,75,73,73,731000,54491000
2014-02-12,76,76,74,75,844000,63732000
2014-02-10,75,76,74,74,512000,38385000
2014-02-07,73,75,73,74,1073000,78973000
2014-02-06,71,73,71,72,1096000,78507000
2014-02-05,72,72,69,70,1974000,139599000
2014-02-04,72,73,70,70,2447000,175509000
2014-02-03,76,78,74,75,2486000,187654000
2014-01-31,79,80,76,77,1510000,118392000
2014-01-30,80,80,77,78,2299000,181302000
2014-01-29,80,81,80,81,1111000,89626000
2014-01-28,81,81,79,79,1322000,106126000
2014-01-27,81,81,79,80,2164000,173869000
2014-01-24,81,83,81,81,1766000,144088000
2014-01-23,83,84,81,83,2613000,215680000
2014-01-22,83,84,81,83,2715000,224215000
2014-01-21,86,86,84,84,2270000,193785000
2014-01-20,86,87,85,85,2690000,230645000
2014-01-17,85,86,84,86,3225000,274690000
2014-01-16,84,85,83,85,2571000,215989000
2014-01-15,83,84,82,83,2144000,177906000
2014-01-14,83,83,81,82,2800000,231040000
2014-01-10,82,85,82,84,5797000,480869000
2014-01-09,81,82,80,81,1642000,133461000
2014-01-08,80,81,80,81,2458000,198145000
2014-01-07,81,82,79,80,2388000,192458000
2014-01-06,80,81,79,81,2125000,170131000
2013-12-30,80,81,79,80,1676000,133854000
2013-12-27,80,80,79,79,1299000,103584000
2013-12-26,79,81,78,79,3224000,255766000
2013-12-25,80,81,79,80,3708000,296733000
2013-12-24,80,80,79,80,4297000,343691000
2013-12-20,80,80,79,80,2390000,191011000
2013-12-19,80,81,79,79,1838000,147386000
2013-12-18,80,81,79,80,3205000,257379000
2013-12-17,79,80,79,80,2982000,237483000
2013-12-16,80,81,78,78,2148000,170697000
2013-12-13,80,81,80,80,1941000,155818000
2013-12-12,81,81,80,80,1261000,101998000
2013-12-11,81,82,80,80,1668000,135160000
2013-12-10,81,82,81,82,1726000,139875000
2013-12-09,82,82,80,80,2581000,209391000
2013-12-06,81,82,81,81,1939000,157884000
2013-12-05,82,83,81,81,1412000,115764000
2013-12-04,83,84,82,82,3083000,254511000
2013-12-03,83,84,81,83,4276000,355644000
2013-12-02,82,83,81,82,3303000,272088000
2013-11-29,81,83,80,82,2473000,201858000
2013-11-28,82,82,80,81,2571000,208695000
2013-11-27,81,82,81,82,1627000,132206000
2013-11-26,82,82,81,81,1642000,133618000
2013-11-25,83,83,82,83,1892000,156347000
2013-11-22,84,84,82,82,1784000,148706000
2013-11-21,84,85,82,84,3986000,333405000
2013-11-20,81,83,81,83,3468000,285648000
2013-11-19,82,82,80,81,1070000,86867000
2013-11-18,81,82,80,81,1424000,115667000
2013-11-15,80,82,80,80,1147000,92472000
2013-11-14,80,81,79,80,1803000,145091000
2013-11-13,79,81,78,79,1929000,153373000
2013-11-12,78,79,77,79,1584000,123672000
2013-11-11,79,80,77,77,1925000,151818000
2013-11-08,80,80,78,78,2247000,178795000
2013-11-07,81,81,80,81,2233000,180846000
2013-11-06,79,82,79,80,3837000,306125000
2013-11-05,79,80,78,79,2532000,199950000
2013-11-01,80,80,79,79,4231000,337549000
2013-10-31,79,86,79,80,11284000,924769000
2013-10-30,79,80,79,80,1873000,148053000
2013-10-29,80,80,78,79,2035000,161978000
2013-10-28,79,80,78,80,1895000,149723000
2013-10-25,79,80,78,78,2242000,177753000
2013-10-24,79,80,78,80,2439000,192691000
2013-10-23,80,80,79,80,3261000,260787000
2013-10-22,81,82,79,79,3363000,269705000
2013-10-21,78,81,78,80,4361000,344257000
2013-10-18,76,78,76,77,1758000,134835000
2013-10-17,76,78,75,76,1888000,144354000
2013-10-16,75,76,73,75,1963000,147017000
2013-10-15,74,76,74,75,1110000,82668000
2013-10-11,75,76,74,75,1248000,93399000
2013-10-10,76,76,73,74,1471000,109771000
2013-10-09,73,75,73,75,1317000,97295000
2013-10-08,71,74,71,73,1247000,89471000
2013-10-07,73,74,72,72,1553000,113249000
2013-10-04,74,75,72,74,2976000,218677000
2013-10-03,77,77,75,75,2156000,164336000
2013-10-02,81,83,76,78,6877000,544272000
2013-10-01,76,94,76,81,42638000,3634544000
2013-09-30,74,76,74,76,1359000,101280000
2013-09-27,75,76,74,74,2153000,161185000
2013-09-26,73,74,72,74,1427000,104610000
2013-09-25,74,75,73,74,895000,66182000
2013-09-24,74,75,72,73,1957000,143353000
2013-09-20,71,74,71,73,1089000,78338000
2013-09-19,71,72,71,71,642000,45631000
2013-09-18,71,72,71,71,841000,59829000
2013-09-17,70,73,70,72,1608000,114252000
2013-09-13,68,69,68,69,812000,55557000
2013-09-12,68,69,68,68,882000,60115000
2013-09-11,68,69,68,69,559000,38285000
2013-09-10,67,69,67,68,884000,59629000
2013-09-09,68,68,67,67,682000,46056000
2013-09-06,66,67,66,67,370000,24614000
2013-09-05,67,67,65,66,500000,33209000
2013-09-04,66,67,66,66,473000,31230000
2013-09-03,65,67,65,67,559000,36653000
2013-09-02,64,65,64,64,241000,15519000
2013-08-30,66,66,64,64,330000,21504000
2013-08-29,65,66,65,65,459000,29854000
2013-08-28,66,66,65,66,503000,33071000
2013-08-27,67,68,66,66,281000,18792000
2013-08-26,68,68,67,67,224000,15076000
2013-08-23,68,68,67,67,296000,19994000
2013-08-22,66,68,66,68,114000,7627000
2013-08-21,67,68,66,66,190000,12712000
2013-08-20,67,68,67,67,73000,4907000
2013-08-19,67,68,67,67,40000,2683000
2013-08-16,67,68,67,67,69000,4636000
2013-08-15,67,68,66,68,139000,9338000
2013-08-14,68,68,66,68,194000,12969000
2013-08-13,67,68,66,67,181000,12131000
2013-08-12,67,68,66,66,341000,22610000
2013-08-09,67,68,66,67,136000,9114000
2013-08-08,67,68,67,67,113000,7578000
2013-08-07,68,68,67,67,97000,6535000
2013-08-06,68,69,67,69,140000,9556000
2013-08-05,67,68,67,67,118000,7950000
2013-08-02,67,68,67,67,256000,17162000
2013-08-01,66,68,65,67,373000,24749000
2013-07-31,67,69,66,67,397000,26720000
2013-07-30,66,68,66,67,218000,14638000
2013-07-29,67,67,66,66,306000,20326000
2013-07-26,69,69,67,67,458000,31275000
