3227-T,東証,MID,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,235200,235500,234000,234800,1709,401164300
2014-06-26,236000,237500,234200,234300,3748,883038800
2014-06-25,245000,245500,242600,244000,2518,613248600
2014-06-24,244400,245900,244100,244100,1714,419852500
2014-06-23,245900,247500,244000,244000,2308,567247000
2014-06-20,244900,245200,243000,245200,2851,697032200
2014-06-19,239700,244700,239700,243500,3706,897490000
2014-06-18,238300,239600,238100,238700,1329,317498600
2014-06-17,238200,238800,237700,238100,1184,282206200
2014-06-16,238200,239000,237300,237300,1476,351462900
2014-06-13,236100,238500,235400,237700,1795,425060500
2014-06-12,235300,236800,235300,236000,1080,254917700
2014-06-11,235200,236000,233800,235500,817,191900100
2014-06-10,236700,237100,233600,234600,1484,349625000
2014-06-09,236800,237200,236700,236700,1749,414439100
2014-06-06,236900,237000,235700,237000,1565,370292200
2014-06-05,235000,236000,234700,235600,1515,356846500
2014-06-04,234200,236200,233500,233600,1768,415678000
2014-06-03,233600,234900,233500,234200,1877,439855600
2014-06-02,233000,233600,233000,233100,1134,264623600
2014-05-30,232300,232900,232300,232800,1152,267991400
2014-05-29,232300,232800,232100,232200,869,201875400
2014-05-28,232200,232800,232200,232200,1012,235280900
2014-05-27,232400,232600,231600,232100,837,194434900
2014-05-26,231300,232500,231300,232000,427,99111500
2014-05-23,231400,232400,231100,231100,730,169077500
2014-05-22,232000,232000,231400,231400,481,111473500
2014-05-21,230900,231500,230600,230800,612,141368700
2014-05-20,231200,231400,230600,231400,366,84604200
2014-05-19,231400,231800,230800,231400,492,113792900
2014-05-16,231100,231500,230400,231400,762,175942200
2014-05-15,232000,232200,230700,231000,982,227005400
2014-05-14,231200,232000,231200,231400,338,78276100
2014-05-13,232700,232700,231000,231000,484,112076500
2014-05-12,232200,232500,231000,231900,410,94984000
2014-05-09,232500,232700,231700,232200,482,111885000
2014-05-08,232800,232900,232000,232900,383,89092700
2014-05-07,232300,232800,231500,231500,405,94006800
2014-05-02,232000,233500,231600,232700,798,185493500
2014-05-01,231200,232100,230800,232000,460,106622100
2014-04-30,230300,231400,230300,231200,515,118920700
2014-04-28,231200,231300,230200,230800,444,102368400
2014-04-25,230300,231400,230200,231400,365,84200500
2014-04-24,230000,230700,229600,230700,407,93669700
2014-04-23,230200,230500,229600,230400,224,51515600
2014-04-22,230500,230500,229500,230500,257,59132300
2014-04-21,230000,230900,229500,229500,220,50629700
2014-04-18,230500,231200,229900,230000,572,131758900
2014-04-17,230800,230800,229800,229800,229,52772600
2014-04-16,229700,230700,229100,229700,354,81383700
2014-04-15,230800,230800,228100,228100,378,86627600
2014-04-14,228100,230500,227400,230300,578,132560900
2014-04-11,227000,229700,227000,229100,604,137842000
2014-04-10,230000,231500,229000,229000,668,153702300
2014-04-09,231500,232200,228500,228500,454,104359000
2014-04-08,234600,234600,230100,231900,488,112953300
2014-04-07,234500,235000,232800,234600,503,117953400
2014-04-04,235200,235200,231200,231200,463,107656300
2014-04-03,235000,236000,234300,235200,627,147497900
2014-04-02,234600,235100,234000,235000,438,102794800
2014-04-01,233100,235000,233100,234800,546,127761700
2014-03-31,233200,234000,232000,233100,506,117860800
2014-03-28,234900,234900,232200,233200,773,180766200
2014-03-27,230900,234900,230100,234100,700,162931400
2014-03-26,231400,231400,229600,229700,622,143327700
2014-03-25,226900,232900,226300,230300,1014,232856900
2014-03-24,226800,227900,225100,227000,547,123929500
2014-03-20,226100,227200,225500,225500,1167,264192200
2014-03-19,228900,228900,226000,226600,524,119031700
2014-03-18,227600,229900,226500,227900,685,156090200
2014-03-17,226200,227700,224800,227700,736,166388300
2014-03-14,227000,228300,225800,226400,630,142873900
2014-03-13,232100,232500,229000,229000,711,163781900
2014-03-12,235000,235500,232200,232500,1007,235371900
2014-03-11,233900,235000,231000,235000,769,180221900
2014-03-10,232000,234400,232000,233900,549,128010700
2014-03-07,234000,234500,232600,234400,374,87534300
2014-03-06,232600,234100,232000,234000,639,149207700
2014-03-05,232000,232800,231400,231900,856,198714200
2014-03-04,230300,232200,230000,231300,432,99916000
2014-03-03,234000,234000,230000,231200,577,133566400
2014-02-28,229600,234300,229000,234100,1902,442215900
2014-02-27,226300,230000,226100,230000,1160,265270900
